日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-09-19,2.283,2.304,2.282,2.293,112129,26946274.0,0.96,3.4
2024-09-20,2.284,2.297,2.282,2.291,19308,4635830.0,0.65,0.59
2024-09-23,2.286,2.29,2.284,2.289,4856,1167165.0,0.26,0.15
2024-09-24,2.286,2.286,2.24,2.281,36130,8655204.0,2.01,1.09
2024-09-25,2.281,2.291,2.241,2.288,39234,9415143.0,2.19,1.19
2024-09-26,2.265,2.302,2.265,2.292,32674,7871918.0,1.62,0.99
2024-09-27,2.284,2.305,2.269,2.284,2102,503864.0,1.57,0.06
2024-09-30,2.261,2.294,2.243,2.294,6005,1440936.0,2.23,0.18
2024-10-08,2.285,2.306,2.278,2.301,13260,3191025.0,1.22,0.4
2024-10-09,2.266,2.304,2.266,2.298,4425,1064798.0,1.65,0.13
2024-10-10,2.298,2.314,2.268,2.305,49692,12033815.0,2.0,1.51
2024-10-11,2.305,2.32,2.289,2.314,11902,2886850.0,1.34,0.36
2024-10-14,2.313,2.314,2.29,2.304,6983,1689314.0,1.04,0.21
2024-10-15,2.305,2.314,2.29,2.305,18038,4366924.0,1.04,0.55
2024-10-16,2.306,2.306,2.301,2.302,9933,2402983.0,0.22,0.3
2024-10-17,2.294,2.305,2.294,2.303,9720,2349813.0,0.48,0.29
2024-10-18,2.304,2.315,2.291,2.308,8607,2083099.0,1.04,0.26
2024-10-21,2.293,2.317,2.293,2.314,9644,2341738.0,1.04,0.29
2024-10-22,2.334,2.334,2.305,2.317,14278,3467589.0,1.25,0.43
2024-10-23,2.299,2.328,2.299,2.311,26054,6323968.0,1.25,0.79
2024-10-24,2.311,2.324,2.306,2.312,11559,2805112.0,0.78,0.35
2024-10-25,2.312,2.319,2.3,2.315,5056,1228378.0,0.82,0.15
2024-10-28,2.303,2.326,2.303,2.324,4563,1111105.0,0.99,0.14
2024-10-29,2.309,2.359,2.309,2.334,9253,2264207.0,2.15,0.28
2024-10-30,2.347,2.362,2.334,2.341,925,227384.0,1.2,0.03
2024-10-31,2.344,2.379,2.335,2.344,401,98617.0,1.88,0.01
2024-11-01,2.362,2.362,2.311,2.34,2903,713991.0,2.18,0.09
2024-11-04,2.349,2.357,2.335,2.336,1482,363616.0,0.94,0.04
2024-11-05,2.353,2.353,2.323,2.338,6388,1563922.0,1.28,0.19
2024-11-06,2.34,2.34,2.318,2.339,457,111981.0,0.94,0.01
2024-11-07,2.35,2.366,2.32,2.361,1466,362563.0,1.97,0.04
2024-11-08,2.361,2.549,2.331,2.349,953,235197.0,9.23,0.03
2024-11-11,2.349,2.357,2.344,2.357,5848,1443242.0,0.55,0.18
2024-11-12,2.364,2.364,2.354,2.359,2953,730321.0,0.42,0.09
2024-11-13,2.359,2.364,2.333,2.359,8582,2108146.0,1.31,0.26
2024-11-14,2.351,2.364,2.329,2.334,17025,4180055.0,1.48,0.52
2024-11-15,2.333,2.344,2.314,2.332,11637,2839537.0,1.29,0.35
2024-11-18,2.35,2.384,2.317,2.329,6710,1643806.0,2.87,0.2
2024-11-19,2.374,2.563,2.311,2.328,24290,5941799.0,10.82,0.74
2024-11-20,2.342,2.342,2.284,2.318,38983,9452788.0,2.49,1.18
2024-11-21,2.308,2.362,2.303,2.352,5229,1273225.0,2.55,0.16
2024-11-22,2.359,2.361,2.32,2.359,1788,442045.0,1.74,0.05
2024-11-25,2.359,2.372,2.359,2.366,455,112957.0,0.55,0.01
2024-11-26,2.374,2.374,2.361,2.368,2300,571532.0,0.55,0.07
2024-11-27,2.374,2.374,2.364,2.364,5729,1423934.0,0.42,0.17
2024-11-28,2.364,2.373,2.364,2.373,1311,325979.0,0.38,0.04
2024-11-29,2.35,2.383,2.334,2.377,1624,404252.0,2.06,0.05
2024-12-02,2.384,2.392,2.38,2.392,3468,866843.0,0.5,0.11
2024-12-03,2.378,2.391,2.378,2.384,634,158599.0,0.54,0.02
2024-12-04,2.379,2.41,2.379,2.406,2876,723539.0,1.3,0.09
2024-12-05,2.408,2.428,2.401,2.415,9258,2339958.0,1.12,0.28
2024-12-06,2.375,2.434,2.375,2.419,4386,1108128.0,2.44,0.13
2024-12-09,2.428,2.428,2.409,2.419,1854,469892.0,0.79,0.06
2024-12-10,2.379,2.428,2.379,2.421,4800,1216372.0,2.03,0.15
2024-12-11,2.418,2.46,2.399,2.46,14277,3654185.0,2.52,0.43
2024-12-12,2.46,2.516,2.46,2.51,15607,4070681.0,2.28,0.47
2024-12-13,2.49,2.542,2.49,2.534,26031,6858681.0,2.07,0.79
2024-12-16,2.52,2.543,2.496,2.538,5837,1547435.0,1.85,0.18
2024-12-17,2.531,2.544,2.499,2.538,8288,2193189.0,1.77,0.25
2024-12-18,2.532,2.544,2.498,2.543,9325,2457084.0,1.81,0.28
2024-12-19,2.539,2.539,2.503,2.504,5517,1453325.0,1.42,0.17
2024-12-20,2.522,2.545,2.48,2.481,4633,1216294.0,2.6,0.14
2024-12-23,2.48,2.519,2.465,2.475,1091,281946.0,2.18,0.03
2024-12-24,2.493,2.514,2.468,2.493,4565,1191112.0,1.86,0.14
2024-12-25,2.511,2.519,2.487,2.496,1434,374399.0,1.28,0.04
2024-12-26,2.499,2.505,2.485,2.494,872,227778.0,0.8,0.03
2024-12-27,2.479,2.511,2.479,2.505,7626,1995774.0,1.28,0.23
2024-12-30,2.512,2.514,2.504,2.506,2100,551775.0,0.4,0.06
2024-12-31,2.509,2.52,2.505,2.509,5930,1557788.0,0.6,0.18
2025-01-02,2.509,2.511,2.501,2.511,2536,665821.0,0.4,0.08
2025-01-03,2.511,2.543,2.496,2.541,17222,4560673.0,1.87,0.52
2025-01-06,2.537,2.549,2.529,2.539,12171,3231109.0,0.79,0.37
2025-01-07,2.538,2.544,2.519,2.525,10477,2775617.0,0.98,0.32
2025-01-08,2.519,2.563,2.519,2.559,25716,6841809.0,1.74,0.78
2025-01-09,2.559,2.564,2.553,2.562,7795,2085583.0,0.43,0.24
2025-01-10,2.564,2.574,2.554,2.567,7480,2006803.0,0.78,0.23
2025-01-13,2.564,2.566,2.545,2.55,8820,2354674.0,0.82,0.27
2025-01-14,2.554,2.554,2.513,2.516,2979,787600.0,1.61,0.09
2025-01-15,2.534,2.545,2.515,2.533,1542,408175.0,1.19,0.05
2025-01-16,2.529,2.529,2.517,2.523,4447,1172909.0,0.47,0.13
2025-01-17,2.541,2.577,2.52,2.572,3509,934616.0,2.26,0.11
2025-01-20,2.565,2.572,2.563,2.57,3529,947553.0,0.35,0.11
2025-01-21,2.564,2.579,2.564,2.577,6685,1798756.0,0.58,0.2
2025-01-22,2.578,2.594,2.565,2.588,15302,4121897.0,1.13,0.46
2025-01-23,2.602,2.764,2.564,2.706,16931,4701455.0,7.73,0.51
2025-01-24,2.791,2.884,2.69,2.829,19268,5569267.0,7.17,0.58
2025-01-27,2.834,2.839,2.79,2.822,23971,7056056.0,1.73,0.73
2025-02-05,2.822,2.844,2.772,2.844,16303,4799268.0,2.55,0.49
2025-02-06,2.84,2.892,2.808,2.874,13544,4040919.0,2.95,0.41
2025-02-07,2.9,2.9,2.85,2.874,9250,2766630.0,1.74,0.28
2025-02-10,2.876,2.934,2.876,2.933,12948,3912819.0,2.02,0.39
2025-02-11,2.914,2.98,2.893,2.972,51499,15885615.0,2.97,1.56
2025-02-12,2.974,3.03,2.974,2.981,36596,11412967.0,1.88,1.11
2025-02-13,2.941,2.993,2.941,2.953,12445,3836613.0,1.74,0.38
2025-02-14,2.913,2.964,2.913,2.964,16514,5059018.0,1.73,0.5
2025-02-17,2.964,3.009,2.963,3.003,25533,7930144.0,1.55,0.77
2025-02-18,3.004,3.011,2.992,2.994,17468,5443236.0,0.63,0.53
2025-02-19,2.994,3.011,2.955,2.986,8553,2662638.0,1.87,0.26
2025-02-20,3.004,3.004,2.956,2.98,7769,2405373.0,1.61,0.24
2025-02-21,2.98,3.012,2.964,2.969,7846,2441666.0,1.61,0.24
2025-02-24,2.989,3.002,2.929,2.944,3535,1093604.0,2.46,0.11
2025-02-25,2.924,2.974,2.865,2.934,21321,6533555.0,3.7,0.65
2025-02-26,2.933,2.942,2.913,2.941,11207,3414492.0,0.99,0.34
2025-02-27,2.963,2.963,2.902,2.931,8605,2626216.0,2.07,0.26
2025-02-28,2.943,2.964,2.864,2.885,12965,3913670.0,3.41,0.39
2025-03-03,2.884,2.934,2.847,2.914,26390,7927872.0,3.02,0.8
2025-03-04,2.946,3.002,2.943,2.983,12731,3922795.0,2.02,0.39
2025-03-05,2.994,2.994,2.979,2.984,7391,2290958.0,0.5,0.22
2025-03-06,2.977,2.994,2.93,2.952,5333,1635550.0,2.14,0.16
