日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-28,2.555,2.625,2.555,2.584,224871,62260636.0,2.81,11.48
2024-03-29,2.584,2.681,2.584,2.663,50271,14214956.0,3.75,2.57
2024-04-01,2.663,2.695,2.663,2.676,30322,8678167.0,1.2,1.55
2024-04-02,2.676,2.686,2.652,2.675,33733,9647253.0,1.27,1.72
2024-04-03,2.676,2.687,2.676,2.685,24414,6997713.0,0.41,1.25
2024-04-08,2.685,2.736,2.656,2.722,26616,7704693.0,2.98,1.36
2024-04-09,2.726,2.755,2.7,2.735,14258,4158930.0,2.02,0.73
2024-04-10,2.735,2.76,2.716,2.745,9896,2905019.0,1.61,0.51
2024-04-11,2.748,2.795,2.748,2.791,9529,2808644.0,1.71,0.49
2024-04-12,2.792,2.821,2.792,2.81,11896,3559970.0,1.04,0.61
2024-04-15,2.813,2.864,2.74,2.766,46355,13699538.0,4.41,2.37
2024-04-16,2.764,2.796,2.706,2.794,9434,2760535.0,3.25,0.48
2024-04-17,2.799,2.814,2.794,2.808,9086,2718705.0,0.72,0.46
2024-04-18,2.815,2.817,2.804,2.816,6933,2076840.0,0.46,0.35
2024-04-19,2.796,2.831,2.796,2.809,11524,3453996.0,1.24,0.59
2024-04-22,2.796,2.813,2.746,2.806,7950,2377418.0,2.39,0.41
2024-04-23,2.806,2.872,2.799,2.847,6982,2104793.0,2.6,0.36
2024-04-24,2.838,2.856,2.829,2.848,8958,2715347.0,0.95,0.46
2024-04-25,2.817,2.916,2.817,2.91,5380,1634656.0,3.48,0.27
2024-04-26,2.911,2.987,2.911,2.981,6899,2179595.0,2.61,0.35
2024-04-29,2.983,3.065,2.98,2.992,7733,2468796.0,2.85,0.39
2024-04-30,2.992,3.063,2.937,3.023,5622,1796739.0,4.21,0.29
2024-05-06,3.029,3.029,3.011,3.02,5296,1698124.0,0.6,0.27
2024-05-07,3.065,3.065,2.98,3.01,9758,3120151.0,2.81,0.5
2024-05-08,3.015,3.015,2.992,2.993,10412,3314635.0,0.76,0.53
2024-05-09,2.992,2.993,2.989,2.989,3007,954989.0,0.13,0.15
2024-05-10,2.989,3.007,2.989,2.994,2838,903228.0,0.6,0.14
2024-05-13,3.02,3.02,2.993,3.002,3851,1226077.0,0.9,0.2
2024-05-14,3.004,3.018,2.993,3.015,3400,1086851.0,0.83,0.17
2024-05-15,3.015,3.069,3.015,3.064,17416,5656484.0,1.79,0.89
2024-05-16,3.042,3.114,3.042,3.077,3758,1224235.0,2.35,0.19
2024-05-17,3.082,3.102,3.082,3.091,13303,4360833.0,0.65,0.68
2024-05-20,3.083,3.114,3.055,3.059,4427,1448115.0,1.91,0.23
2024-05-21,3.058,3.059,3.005,3.005,9087,2908849.0,1.77,0.46
2024-05-22,3.005,3.011,2.931,2.932,11361,3556296.0,2.66,0.58
2024-05-23,2.915,2.93,2.875,2.911,21042,6469961.0,1.88,1.07
2024-05-24,2.906,2.945,2.875,2.934,9286,2893442.0,2.4,0.47
2024-05-27,2.934,2.955,2.908,2.931,6726,2096635.0,1.6,0.34
2024-05-28,2.931,2.964,2.931,2.955,32921,10302572.0,1.13,1.68
2024-05-29,2.955,2.959,2.94,2.954,15488,4864199.0,0.64,0.79
2024-05-30,2.954,2.972,2.947,2.954,7241,2273461.0,0.85,0.37
2024-05-31,2.954,2.983,2.954,2.979,29658,9369580.0,0.98,1.51
2024-06-03,2.976,3.0,2.976,2.985,10082,3198916.0,0.81,0.51
2024-06-04,2.977,3.015,2.975,2.98,10770,3416604.0,1.34,0.55
2024-06-05,2.98,3.019,2.961,3.018,17290,5504832.0,1.95,0.88
2024-06-06,3.018,3.045,3.008,3.025,20646,6641695.0,1.23,1.05
2024-06-07,3.026,3.026,3.007,3.013,5834,1865879.0,0.63,0.3
2024-06-11,3.013,3.02,2.976,2.99,6596,2101079.0,1.46,0.34
