日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,3.273,3.397,3.249,3.28,426437,167000013.0,4.55,5.95
2021-06-22,3.27,3.282,3.173,3.28,140184,54449233.0,3.32,1.96
2021-06-23,3.28,3.281,3.254,3.279,59298,23091723.0,0.82,0.83
2021-06-24,3.276,3.276,3.254,3.258,25044,9733670.0,0.67,0.35
2021-06-25,3.259,3.263,3.252,3.26,35688,13860653.0,0.34,0.5
2021-06-28,3.26,3.261,3.251,3.254,26850,10416494.0,0.31,0.37
2021-06-29,3.246,3.258,3.24,3.256,24988,9683533.0,0.55,0.35
2021-06-30,3.256,3.262,3.248,3.258,17373,6743078.0,0.43,0.24
2021-07-01,3.26,3.363,3.254,3.351,49151,19208965.0,3.35,0.69
2021-07-02,3.343,3.343,3.253,3.26,16523,6428158.0,2.69,0.23
2021-07-05,3.26,3.261,3.25,3.253,15023,5830241.0,0.34,0.21
2021-07-06,3.253,3.254,3.245,3.253,11137,4314799.0,0.28,0.16
2021-07-07,3.253,3.253,3.243,3.244,9047,3502958.0,0.31,0.13
2021-07-08,3.243,3.244,3.238,3.24,9269,3583635.0,0.18,0.13
2021-07-09,3.239,3.24,3.224,3.224,8492,3273051.0,0.49,0.12
2021-07-12,3.197,3.224,3.197,3.206,12159,4659799.0,0.84,0.17
2021-07-13,3.198,3.204,3.182,3.183,17303,6600881.0,0.69,0.24
2021-07-14,3.183,3.183,3.172,3.173,12538,4765126.0,0.35,0.18
2021-07-15,3.173,3.225,3.172,3.222,18115,6929791.0,1.67,0.25
2021-07-16,3.218,3.261,3.187,3.258,25844,9969946.0,2.3,0.36
2021-07-19,3.254,3.259,3.243,3.259,87069,33793877.0,0.49,1.22
2021-07-20,3.259,3.28,3.252,3.26,20142,7824850.0,0.86,0.28
2021-07-21,3.261,3.262,3.251,3.261,17021,6612533.0,0.34,0.24
2021-07-22,3.262,3.267,3.257,3.262,10686,4154946.0,0.31,0.15
2021-07-23,3.263,3.283,3.263,3.282,45661,17821025.0,0.61,0.64
2021-07-26,3.282,3.282,3.231,3.235,12083,4684725.0,1.55,0.17
2021-07-27,3.235,3.235,3.179,3.212,17713,6758700.0,1.73,0.25
2021-07-28,3.212,3.212,3.182,3.198,8796,3359770.0,0.93,0.12
2021-07-29,3.198,3.22,3.185,3.206,13808,5286993.0,1.09,0.19
2021-07-30,3.203,3.208,3.186,3.207,6388,2443599.0,0.69,0.09
2021-08-02,3.207,3.235,3.193,3.23,8189,3146734.0,1.31,0.11
2021-08-03,3.23,3.254,3.224,3.245,11990,4642080.0,0.93,0.17
2021-08-04,3.245,3.245,3.225,3.235,10132,3915966.0,0.62,0.14
2021-08-05,3.234,3.234,3.223,3.227,11731,4520951.0,0.34,0.16
2021-08-06,3.21,3.225,3.21,3.218,7456,2869426.0,0.46,0.1
