日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-03-29,7.867,8.238,7.867,7.968,522384,525120862.0,4.77,11.81
2023-03-30,7.983,7.998,7.947,7.968,81406,81363133.0,0.64,1.84
2023-03-31,7.973,7.982,7.959,7.978,49881,49863160.0,0.29,1.13
2023-04-03,7.981,7.994,7.96,7.977,44450,44411541.0,0.43,1.01
2023-04-04,7.977,7.977,7.929,7.946,35020,34904435.0,0.6,0.79
2023-04-06,7.946,7.946,7.874,7.897,58858,58389604.0,0.91,1.33
2023-04-07,7.888,7.904,7.871,7.885,73307,72636857.0,0.42,1.66
2023-04-10,7.883,7.885,7.866,7.875,63655,62984436.0,0.24,1.44
2023-04-11,7.875,7.876,7.841,7.862,59068,58402881.0,0.44,1.34
2023-04-12,7.861,7.861,7.83,7.836,36705,36203167.0,0.39,0.83
2023-04-13,7.834,7.834,7.804,7.815,78422,77118409.0,0.38,1.77
2023-04-14,7.814,7.826,7.799,7.805,72954,71744082.0,0.35,1.65
2023-04-17,7.807,7.883,7.807,7.878,54626,53901883.0,0.97,1.24
2023-04-18,7.88,7.932,7.874,7.911,34501,34283551.0,0.74,0.78
2023-04-19,7.909,7.917,7.869,7.896,52281,51848262.0,0.61,1.18
2023-04-20,7.896,7.908,7.876,7.885,24468,24253506.0,0.41,0.55
2023-04-21,7.886,7.889,7.838,7.848,24151,23875851.0,0.65,0.55
2023-04-24,7.848,7.876,7.791,7.807,32767,32212515.0,1.08,0.74
2023-04-25,7.807,7.817,7.791,7.804,25958,25492754.0,0.33,0.59
2023-04-26,7.798,7.816,7.793,7.799,19973,19614744.0,0.29,0.45
2023-04-27,7.791,7.804,7.771,7.785,40473,39683058.0,0.42,0.92
2023-04-28,7.784,7.865,7.779,7.857,30273,29797899.0,1.1,0.68
2023-05-04,7.856,7.866,7.828,7.845,29095,28720257.0,0.48,0.66
2023-05-05,7.853,7.853,7.804,7.816,26076,25653653.0,0.62,0.59
2023-05-08,7.816,7.834,7.813,7.815,22456,22102120.0,0.27,0.51
2023-05-09,7.814,7.835,7.808,7.831,24381,23989550.0,0.35,0.55
2023-05-10,7.832,7.906,7.816,7.899,40620,40225362.0,1.15,0.92
2023-05-11,7.935,7.935,7.87,7.877,18658,18477961.0,0.82,0.42
2023-05-12,7.877,7.877,7.83,7.849,14042,13861598.0,0.6,0.32
2023-05-15,7.85,7.859,7.819,7.853,8259,8135383.0,0.51,0.19
2023-05-16,7.853,7.933,7.822,7.929,41480,41141082.0,1.41,0.94
2023-05-17,7.87,7.933,7.87,7.893,26046,25864549.0,0.79,0.59
2023-05-18,7.89,7.897,7.867,7.897,29565,29277361.0,0.38,0.67
2023-05-19,7.895,7.895,7.866,7.878,26377,26110929.0,0.37,0.6
2023-05-22,7.878,7.897,7.86,7.887,24942,24710065.0,0.47,0.56
2023-05-23,7.894,7.894,7.869,7.881,22942,22708312.0,0.32,0.52
2023-05-24,7.881,7.927,7.845,7.898,43608,43216870.0,1.04,0.99
2023-05-25,7.899,7.929,7.871,7.915,45421,45118834.0,0.73,1.03
2023-05-26,7.934,7.936,7.878,7.886,42705,42371683.0,0.73,0.97
2023-05-29,7.879,7.906,7.878,7.894,35106,34789312.0,0.36,0.79
2023-05-30,7.894,7.894,7.853,7.883,36349,35959796.0,0.52,0.82
2023-05-31,7.886,7.889,7.853,7.886,23635,23379889.0,0.46,0.53
2023-06-01,7.883,7.883,7.847,7.868,30770,30416988.0,0.46,0.7
2023-06-02,7.868,7.871,7.844,7.853,25523,25205583.0,0.34,0.58
2023-06-05,7.848,7.852,7.782,7.792,22514,22190754.0,0.89,0.51
2023-06-06,7.792,7.794,6.978,7.755,137986,132373739.0,10.47,3.12
2023-06-07,7.678,7.784,7.489,7.778,58771,57225469.0,3.8,1.33
2023-06-08,7.788,7.831,7.741,7.816,43330,42483692.0,1.16,0.98
2023-06-09,7.817,7.823,7.778,7.781,32865,32289731.0,0.58,0.74
2023-06-12,7.741,7.773,7.703,7.751,32648,31873777.0,0.9,0.74
2023-06-13,7.724,7.77,7.698,7.724,36438,35531243.0,0.93,0.82
