日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-29,5.51,5.514,5.417,5.512,31217,21263093.0,1.76,1.74
2024-04-01,5.513,5.514,5.325,5.509,16507,11099595.0,3.43,0.92
2024-04-02,5.492,5.514,5.435,5.509,7356,5011294.0,1.43,0.41
2024-04-03,5.481,5.504,5.434,5.49,13492,9177447.0,1.27,0.75
2024-04-08,5.456,5.489,5.454,5.486,9366,6370930.0,0.64,0.52
2024-04-09,5.487,5.494,5.482,5.484,9607,6535544.0,0.22,0.53
2024-04-10,5.486,5.514,5.483,5.514,9454,6434507.0,0.57,0.53
2024-04-11,5.514,5.539,5.513,5.534,4385,3002938.0,0.47,0.24
2024-04-12,5.538,5.539,5.515,5.525,10781,7377386.0,0.43,0.6
2024-04-15,5.534,5.559,5.506,5.554,7148,4905352.0,0.96,0.4
2024-04-16,5.554,5.568,5.544,5.549,3870,2659265.0,0.43,0.22
2024-04-17,5.541,5.652,5.541,5.635,6504,4515109.0,2.0,0.36
2024-04-18,5.635,5.685,5.635,5.657,7264,5071157.0,0.89,0.4
2024-04-19,5.617,5.636,5.584,5.631,2481,1722811.0,0.92,0.14
2024-04-22,5.628,5.662,5.592,5.652,4175,2908032.0,1.24,0.23
2024-04-23,5.652,5.704,5.599,5.654,19633,13650280.0,1.86,1.09
2024-04-24,5.686,5.694,5.669,5.686,18539,12971669.0,0.44,1.03
2024-04-25,5.721,5.846,5.721,5.834,17940,12803194.0,2.2,1.0
2024-04-26,5.843,5.939,5.843,5.934,13569,9810771.0,1.65,0.75
2024-04-29,5.927,5.984,5.805,5.865,19189,13790545.0,3.02,1.07
2024-04-30,5.862,5.923,5.846,5.903,25924,17594449.0,1.31,1.44
2024-05-06,5.908,5.909,5.858,5.858,11269,7611803.0,0.86,0.63
2024-05-07,5.857,5.857,5.843,5.853,15535,10458240.0,0.24,0.86
2024-05-08,5.856,5.856,5.819,5.82,8370,5611641.0,0.63,0.47
2024-05-09,5.823,5.858,5.818,5.848,9346,6289898.0,0.69,0.52
2024-05-10,5.848,5.873,5.818,5.839,6400,4300369.0,0.94,0.36
2024-05-13,5.852,5.873,5.767,5.851,9896,6657660.0,1.82,0.55
2024-05-14,5.85,5.866,5.789,5.837,6640,4459246.0,1.32,0.37
2024-05-15,5.818,5.838,5.818,5.833,5275,3541973.0,0.34,0.29
2024-05-16,5.818,5.836,5.818,5.827,7423,4982356.0,0.31,0.41
2024-05-17,5.826,5.848,5.818,5.828,6440,4326070.0,0.51,0.36
2024-05-20,5.827,5.853,5.826,5.827,6628,4447182.0,0.46,0.37
2024-05-21,5.827,5.827,5.787,5.817,9049,6057880.0,0.69,0.5
2024-05-22,5.808,5.829,5.798,5.798,7502,5018227.0,0.53,0.42
2024-05-23,5.788,5.8,5.759,5.782,6400,4271427.0,0.71,0.36
2024-05-24,5.784,5.851,5.758,5.828,6558,4376175.0,1.61,0.36
2024-05-27,5.828,5.886,5.81,5.81,6682,4488852.0,1.3,0.37
2024-05-28,5.777,5.808,5.751,5.774,2893,1925998.0,0.98,0.16
2024-05-29,5.751,5.842,5.751,5.806,6530,4359548.0,1.58,0.36
2024-05-30,5.838,5.838,5.725,5.751,5197,3451065.0,1.95,0.29
2024-05-31,5.742,5.779,5.742,5.776,5625,3740391.0,0.64,0.31
2024-06-03,5.75,5.78,5.719,5.768,7922,5271487.0,1.06,0.44
2024-06-04,5.761,5.867,5.718,5.739,18100,12064774.0,2.58,1.01
2024-06-05,5.756,5.827,5.728,5.738,7425,4930394.0,1.73,0.41
2024-06-06,5.718,5.733,5.698,5.698,9015,5950386.0,0.61,0.5
2024-06-07,5.698,5.816,5.698,5.708,10616,7018921.0,2.07,0.59
2024-06-11,5.708,5.718,5.654,5.698,7513,4948044.0,1.12,0.42
2024-06-12,5.692,5.698,5.676,5.679,10115,6642002.0,0.39,0.56
2024-06-13,5.678,5.693,5.678,5.682,11737,7708051.0,0.26,0.65
2024-06-14,5.682,5.762,5.657,5.678,8918,5850784.0,1.85,0.5
2024-06-17,5.677,5.713,5.668,5.681,7528,4937638.0,0.79,0.42
2024-06-18,5.663,5.728,5.663,5.723,12507,8215759.0,1.14,0.7
2024-06-19,5.723,5.768,5.698,5.768,7831,5171368.0,1.22,0.44
2024-06-20,5.768,5.818,5.719,5.78,7860,5197566.0,1.72,0.44
2024-06-21,5.773,5.813,5.721,5.763,12827,8532588.0,1.59,0.71
2024-06-24,5.718,5.804,5.712,5.754,9890,6563595.0,1.6,0.55
2024-06-25,5.763,5.765,5.712,5.712,14371,9518851.0,0.92,0.8
2024-06-26,5.712,5.78,5.688,5.718,11493,7600831.0,1.61,0.64
2024-06-27,5.718,5.746,5.714,5.74,10592,6993565.0,0.56,0.59
2024-06-28,5.708,5.747,5.708,5.729,10636,7036249.0,0.68,0.59
2024-07-01,5.709,5.728,5.709,5.724,11195,7397155.0,0.33,0.62
2024-07-02,5.718,5.728,5.718,5.722,12087,7985914.0,0.17,0.67
2024-07-03,5.727,5.733,5.719,5.722,13650,9016773.0,0.24,0.76
2024-07-04,5.721,5.732,5.708,5.708,6680,4411385.0,0.42,0.37
2024-07-05,5.707,5.707,5.676,5.679,8301,5449813.0,0.54,0.46
2024-07-08,5.618,5.743,5.618,5.666,10935,7158325.0,2.2,0.61
2024-07-09,5.662,5.673,5.658,5.66,10937,7158835.0,0.26,0.61
2024-07-10,5.653,5.654,5.647,5.65,6217,4061423.0,0.12,0.35
2024-07-11,5.645,5.648,5.627,5.632,7159,4664455.0,0.37,0.4
2024-07-12,5.618,5.768,5.618,5.701,10923,7142349.0,2.66,0.61
2024-07-15,5.689,5.696,5.659,5.678,7517,4929475.0,0.65,0.42
2024-07-16,5.766,5.766,5.655,5.73,10020,6593142.0,1.95,0.56
2024-07-17,5.718,5.743,5.718,5.735,9913,6560841.0,0.44,0.55
2024-07-18,5.72,5.77,5.72,5.754,8979,5958166.0,0.87,0.5
2024-07-19,5.754,5.768,5.754,5.768,7739,5140928.0,0.24,0.43
2024-07-22,5.768,5.788,5.768,5.788,9102,6063531.0,0.35,0.51
2024-07-23,5.788,5.789,5.759,5.773,11995,7981396.0,0.52,0.67
2024-07-24,5.773,5.779,5.714,5.714,7608,5060643.0,1.13,0.42
2024-07-25,5.713,5.752,5.713,5.727,6939,4583465.0,0.68,0.39
2024-07-26,5.624,5.754,5.624,5.738,5986,3967113.0,2.27,0.33
2024-07-29,5.7,5.816,5.7,5.764,8719,5795098.0,2.02,0.48
2024-07-30,5.816,5.816,5.763,5.773,7028,4676592.0,0.92,0.39
2024-07-31,5.719,5.778,5.718,5.764,3627,2413163.0,1.04,0.2
2024-08-01,5.743,5.778,5.736,5.737,7649,5071711.0,0.73,0.43
2024-08-02,5.764,5.765,5.743,5.75,8040,5332055.0,0.38,0.45
2024-08-05,5.758,5.792,5.758,5.788,8053,5365998.0,0.59,0.45
2024-08-06,5.757,5.791,5.757,5.785,13168,8774142.0,0.59,0.73
2024-08-07,5.768,5.858,5.768,5.852,17126,11510578.0,1.56,0.95
2024-08-08,5.852,5.877,5.844,5.853,11026,7431799.0,0.56,0.61
2024-08-09,5.838,5.863,5.79,5.856,11624,7820159.0,1.25,0.65
2024-08-12,5.854,5.856,5.8,5.814,7455,5003947.0,0.96,0.41
2024-08-13,5.738,5.868,5.738,5.857,11781,7899122.0,2.24,0.66
2024-08-14,5.837,5.877,5.817,5.864,12186,8200911.0,1.02,0.68
2024-08-15,5.866,5.881,5.858,5.872,12963,8754724.0,0.39,0.72
2024-08-16,5.835,5.876,5.835,5.869,15714,10614745.0,0.7,0.87
2024-08-19,5.883,5.899,5.818,5.897,13612,9199626.0,1.38,0.76
2024-08-20,5.897,5.912,5.878,5.909,16556,11227836.0,0.58,0.92
2024-08-21,5.909,5.912,5.904,5.908,11487,7801385.0,0.14,0.64
2024-08-22,5.918,5.92,5.908,5.912,14580,9902243.0,0.2,0.81
2024-08-23,5.935,5.935,5.898,5.914,6721,4566146.0,0.63,0.37
2024-08-26,5.898,5.912,5.898,5.903,8124,5514012.0,0.24,0.45
2024-08-27,5.918,5.918,5.838,5.904,6185,4188395.0,1.36,0.34
2024-08-28,5.876,5.917,5.848,5.85,11455,7712155.0,1.17,0.64
