日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-07-25,4.6,4.791,4.35,4.734,935805,430858447.0,11.97,31.2
2025-07-28,4.47,4.724,4.445,4.7,259951,121561094.0,5.89,8.67
2025-07-29,4.679,4.705,4.65,4.699,148962,69902450.0,1.17,4.97
2025-07-30,4.692,4.74,4.668,4.738,92939,43679138.0,1.53,3.1
2025-07-31,4.734,4.909,4.699,4.9,106924,51575288.0,4.43,3.56
2025-08-01,4.911,5.05,4.86,4.98,83576,41441866.0,3.88,2.79
2025-08-04,4.986,5.04,4.931,4.976,71100,35364336.0,2.19,2.37
2025-08-05,4.987,4.999,4.923,4.998,21318,10585881.0,1.53,0.71
2025-08-06,4.999,5.05,4.985,5.046,36493,18245935.0,1.3,1.22
2025-08-07,5.048,5.077,5.018,5.074,27316,13798225.0,1.17,0.91
2025-08-08,5.075,5.112,5.036,5.094,18795,9547721.0,1.5,0.63
2025-08-11,5.099,5.106,5.054,5.097,29742,15128975.0,1.02,0.99
2025-08-12,5.096,5.1,5.042,5.086,27524,13979895.0,1.14,0.92
2025-08-13,5.066,5.092,5.03,5.061,83349,42160709.0,1.22,2.78
2025-08-14,5.041,5.052,5.02,5.047,43968,22156794.0,0.63,1.47
2025-08-15,5.045,5.045,4.97,4.989,24037,12027652.0,1.49,0.8
2025-08-18,4.989,4.989,4.78,4.897,70721,34389209.0,4.19,2.36
2025-08-19,4.887,4.9,4.8,4.887,60057,29119971.0,2.04,2.0
2025-08-20,4.885,4.977,4.852,4.89,39877,19626071.0,2.56,1.33
2025-08-21,4.895,4.949,4.882,4.944,46200,22720699.0,1.37,1.54
2025-08-22,4.942,4.952,4.905,4.949,20607,10135843.0,0.95,0.69
2025-08-25,4.919,5.034,4.909,4.999,22682,11315069.0,2.53,0.76
2025-08-26,4.969,5.047,4.969,5.043,39386,19784859.0,1.56,1.31
2025-08-27,5.049,5.052,5.016,5.046,26077,13144845.0,0.71,0.87
2025-08-28,5.025,5.033,4.993,5.011,11072,5553735.0,0.79,0.37
2025-08-29,5.011,5.011,4.935,4.963,11648,5792657.0,1.52,0.39
2025-09-01,4.933,4.979,4.902,4.97,5431,2682657.0,1.55,0.18
2025-09-02,4.97,5.033,4.96,5.02,14141,7074711.0,1.47,0.47
2025-09-03,5.019,5.052,4.983,5.052,6337,3168407.0,1.37,0.21
2025-09-04,5.04,5.049,5.003,5.036,17611,8836744.0,0.91,0.59
2025-09-05,5.031,5.031,4.986,4.987,10844,5420682.0,0.89,0.36
2025-09-08,4.957,4.996,4.947,4.994,7283,3613314.0,0.98,0.24
2025-09-09,4.994,4.994,4.935,4.972,12526,6223936.0,1.18,0.42
2025-09-10,4.971,4.971,4.947,4.968,4084,2023007.0,0.48,0.14
2025-09-11,4.967,4.968,4.911,4.965,7620,3760972.0,1.15,0.25
2025-09-12,4.94,4.955,4.92,4.953,4596,2272096.0,0.7,0.15
2025-09-15,4.923,4.969,4.923,4.96,2642,1309180.0,0.93,0.09
2025-09-16,4.93,4.974,4.916,4.946,7894,3900306.0,1.17,0.26
2025-09-17,4.947,4.947,4.923,4.937,2848,1403441.0,0.49,0.09
2025-09-18,4.95,4.951,4.931,4.944,5320,2631533.0,0.41,0.18
2025-09-19,4.94,4.94,4.918,4.938,6612,3257621.0,0.44,0.22
2025-09-22,4.938,4.95,4.9,4.946,5724,2816935.0,1.01,0.19
2025-09-23,4.945,4.99,4.945,4.965,4375,2169639.0,0.91,0.15
2025-09-24,4.956,4.98,4.935,4.979,7646,3795341.0,0.91,0.25
2025-09-25,4.949,4.967,4.9,4.926,19870,9809516.0,1.35,0.66
2025-09-26,4.901,4.94,4.809,4.937,60642,29714873.0,2.66,2.02
2025-09-29,4.907,4.937,4.867,4.933,11502,5651305.0,1.42,0.38
2025-09-30,4.905,4.943,4.885,4.931,3231,1589606.0,1.18,0.11
2025-10-09,4.901,4.931,4.843,4.931,11527,5648160.0,1.78,0.38
2025-10-10,4.901,4.925,4.872,4.913,6119,2999237.0,1.07,0.2
2025-10-13,4.884,4.931,4.845,4.899,12321,6013765.0,1.75,0.41
2025-10-14,4.895,4.9,4.89,4.9,959,469944.0,0.2,0.03
