日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-25,2.847,2.961,2.777,2.905,38558,11404316.0,6.87,4.64
2024-12-26,2.892,2.925,2.872,2.925,13125,3927568.0,1.82,1.58
2024-12-27,2.925,3.009,2.885,3.002,5275,1627330.0,4.24,0.63
2024-12-30,2.989,3.314,2.988,3.05,11609,3747457.0,10.86,1.4
2024-12-31,3.05,3.342,2.92,3.016,7243,2277362.0,13.84,0.87
2025-01-02,3.012,3.092,2.988,3.091,7386,2350579.0,3.45,0.89
2025-01-03,3.091,3.171,3.054,3.171,13942,4529014.0,3.79,1.68
2025-01-06,3.176,3.195,3.131,3.164,20741,6839991.0,2.02,2.5
2025-01-07,3.138,3.163,3.115,3.127,8037,2603727.0,1.52,0.97
2025-01-08,3.128,3.183,3.088,3.169,3796,1243778.0,3.04,0.46
2025-01-09,3.169,3.196,3.169,3.185,4472,1474870.0,0.85,0.54
2025-01-10,3.187,3.247,3.156,3.235,20627,6860611.0,2.86,2.48
2025-01-13,3.202,3.237,3.197,3.204,4087,1362859.0,1.24,0.49
2025-01-14,3.202,3.217,3.171,3.205,2309,764508.0,1.44,0.28
2025-01-15,3.247,3.247,3.172,3.233,12993,4343181.0,2.34,1.56
2025-01-16,3.233,3.233,3.194,3.212,900,299581.0,1.21,0.11
2025-01-17,3.181,3.257,3.181,3.247,16507,5537843.0,2.37,1.99
2025-01-20,3.246,3.486,3.213,3.259,6637,2237097.0,8.41,0.8
2025-01-21,3.352,3.352,3.259,3.259,3853,1301992.0,2.85,0.46
2025-01-22,3.227,3.273,3.227,3.251,7656,2577004.0,1.41,0.92
2025-01-23,3.257,3.257,3.222,3.246,5912,1984007.0,1.08,0.71
2025-01-24,3.23,3.259,3.23,3.247,15308,5147970.0,0.89,1.84
2025-01-27,3.244,3.256,3.22,3.251,15145,5086219.0,1.11,1.82
2025-02-05,3.249,3.392,3.235,3.338,11408,3909525.0,4.83,1.37
2025-02-06,3.338,3.457,3.303,3.345,3506,1209180.0,4.61,0.42
2025-02-07,3.329,3.437,3.31,3.339,3118,1074675.0,3.8,0.38
2025-02-10,3.317,3.407,3.308,3.385,8996,3123704.0,2.96,1.08
2025-02-11,3.386,3.587,3.386,3.524,6236,2244659.0,5.94,0.75
2025-02-12,3.523,3.666,3.489,3.537,29293,10844933.0,5.02,3.52
2025-02-13,3.597,3.647,3.461,3.499,15707,5720808.0,5.26,1.89
2025-02-14,3.482,3.54,3.445,3.494,2893,1036052.0,2.72,0.35
2025-02-17,3.494,3.567,3.487,3.495,3498,1263065.0,2.29,0.42
2025-02-18,3.495,3.515,3.451,3.457,1749,628240.0,1.83,0.21
2025-02-19,3.455,3.455,3.388,3.412,4920,1734859.0,1.94,0.59
2025-02-20,3.396,3.448,3.376,3.394,34897,12248623.0,2.11,4.2
2025-02-21,3.378,3.407,3.352,3.379,26036,9085103.0,1.62,3.13
2025-02-24,3.363,3.415,3.287,3.333,15299,5305191.0,3.79,1.84
2025-02-25,3.327,3.369,3.267,3.275,7815,2669316.0,3.06,0.94
2025-02-26,3.28,3.297,3.21,3.238,14148,4766989.0,2.66,1.7
2025-02-27,3.227,3.249,3.148,3.172,27127,9032358.0,3.12,3.26
2025-02-28,3.184,3.237,3.148,3.221,8433,2766477.0,2.81,1.01
2025-03-03,3.231,3.287,3.219,3.28,10053,3384932.0,2.11,1.21
2025-03-04,3.295,3.358,3.295,3.318,14425,4958909.0,1.92,1.74
2025-03-05,3.307,3.333,3.279,3.311,14660,4999428.0,1.63,1.76
2025-03-06,3.281,3.319,3.267,3.267,5885,1998229.0,1.57,0.71
2025-03-07,3.282,3.3,3.25,3.25,3915,1320834.0,1.53,0.47
2025-03-10,3.242,3.327,3.242,3.281,14005,4788329.0,2.62,1.68
2025-03-11,3.281,3.366,3.263,3.284,4850,1656277.0,3.14,0.58
2025-03-12,3.354,3.354,3.247,3.26,5934,2012069.0,3.26,0.71
2025-03-13,3.26,3.296,3.259,3.275,2244,761690.0,1.13,0.27
2025-03-14,3.294,3.299,3.26,3.271,3947,1338211.0,1.19,0.47
2025-03-17,3.241,3.337,3.241,3.336,6808,2323311.0,2.93,0.82
2025-03-18,3.321,3.367,3.307,3.347,2985,1030754.0,1.8,0.36
2025-03-19,3.356,3.383,3.343,3.375,6981,2423429.0,1.2,0.84
2025-03-20,3.387,3.416,3.367,3.41,3763,1324805.0,1.45,0.45
2025-03-21,3.41,3.427,3.385,3.418,1894,666676.0,1.23,0.23
2025-03-24,3.436,3.566,3.382,3.406,2803,993526.0,5.38,0.34
2025-03-25,3.39,3.437,3.367,3.423,2762,972631.0,2.06,0.33
2025-03-26,3.405,3.467,3.402,3.45,709,251172.0,1.9,0.09
2025-03-27,3.437,3.515,3.437,3.454,5015,1802282.0,2.26,0.6
2025-03-28,3.454,3.547,3.444,3.467,8465,3036399.0,2.98,1.02
2025-03-31,3.464,3.53,3.435,3.457,5711,2047480.0,2.74,0.69
2025-04-01,3.441,3.46,3.415,3.427,5416,1919546.0,1.3,0.65
2025-04-02,3.427,3.49,3.427,3.443,6214,2216246.0,1.84,0.75
2025-04-03,3.426,3.448,3.416,3.437,5257,1857983.0,0.93,0.63
2025-04-07,3.442,3.442,3.316,3.355,7622,2627005.0,3.67,0.92
2025-04-08,3.346,3.352,3.318,3.32,1960,675492.0,1.01,0.24
2025-04-09,3.32,3.333,3.254,3.256,9373,3179011.0,2.38,1.13
2025-04-10,3.27,3.35,3.27,3.294,2251,767294.0,2.46,0.27
2025-04-11,3.302,3.366,3.294,3.362,2303,789249.0,2.19,0.28
2025-04-14,3.361,3.382,3.335,3.356,2966,1027873.0,1.4,0.36
2025-04-15,3.358,3.36,3.344,3.357,1459,505257.0,0.48,0.18
2025-04-16,3.366,3.366,3.341,3.347,996,345668.0,0.74,0.12
2025-04-17,3.342,3.374,3.334,3.365,2172,752880.0,1.2,0.26
2025-04-18,3.367,3.433,3.367,3.397,2639,929409.0,1.96,0.32
2025-04-21,3.396,3.4,3.349,3.38,3389,1180986.0,1.5,0.41
2025-04-22,3.382,3.407,3.382,3.393,613,215100.0,0.74,0.07
2025-04-23,3.387,3.511,3.387,3.49,5213,1860316.0,3.65,0.63
2025-04-24,3.501,3.504,3.454,3.482,1608,577843.0,1.43,0.19
2025-04-25,3.468,3.527,3.442,3.485,1106,397041.0,2.44,0.13
2025-04-28,3.471,3.493,3.396,3.426,8856,3149956.0,2.78,1.07
2025-04-29,3.419,3.526,3.419,3.464,8089,2909564.0,3.12,0.97
2025-04-30,3.465,3.499,3.401,3.437,5130,1831444.0,2.83,0.62
2025-05-06,3.433,3.472,3.423,3.439,1836,654504.0,1.43,0.22
2025-05-07,3.44,3.474,3.428,3.447,2279,809543.0,1.34,0.27
2025-05-08,3.461,3.47,3.447,3.452,910,324652.0,0.67,0.11
2025-05-09,3.454,3.504,3.446,3.503,3582,1281038.0,1.68,0.43
2025-05-12,3.494,3.528,3.489,3.526,3446,1249478.0,1.11,0.41
2025-05-13,3.538,3.622,3.528,3.586,6298,2324789.0,2.67,0.76
2025-05-14,3.601,3.622,3.569,3.612,11464,4243818.0,1.48,1.38
2025-05-15,3.597,3.608,3.537,3.567,1295,476400.0,1.97,0.16
2025-05-16,3.552,3.645,3.537,3.625,9205,3418744.0,3.03,1.11
2025-05-19,3.617,3.637,3.598,3.602,5577,2078630.0,1.08,0.67
2025-05-20,3.602,3.673,3.59,3.666,3941,1473765.0,2.3,0.47
2025-05-21,3.668,3.77,3.666,3.729,8428,3237449.0,2.84,1.01
2025-05-22,3.729,3.744,3.7,3.712,5482,2101936.0,1.18,0.66
2025-05-23,3.714,3.735,3.665,3.734,6537,2488506.0,1.89,0.79
2025-05-26,3.749,3.772,3.686,3.715,9155,3512645.0,2.3,1.1
2025-05-27,3.7,3.715,3.63,3.68,3394,1283480.0,2.29,0.41
2025-05-28,3.665,3.747,3.587,3.705,3450,1310601.0,4.35,0.42
2025-05-29,3.695,3.722,3.665,3.712,5847,2225328.0,1.54,0.7
2025-05-30,3.714,3.717,3.672,3.697,2227,849743.0,1.21,0.27
2025-06-03,3.698,3.707,3.668,3.684,994,378247.0,1.05,0.12
2025-06-04,3.674,3.752,3.674,3.707,2754,1052715.0,2.12,0.33
2025-06-05,3.708,3.733,3.701,3.727,9232,3536681.0,0.86,1.11
2025-06-06,3.724,3.807,3.706,3.806,3161,1215915.0,2.71,0.38
2025-06-09,3.812,3.91,3.766,3.802,5192,2043413.0,3.78,0.62
2025-06-10,3.8,3.865,3.768,3.843,4372,1720393.0,2.55,0.53
2025-06-11,3.827,4.238,3.803,3.879,6737,2688150.0,11.32,0.81
2025-06-12,3.879,3.958,3.863,3.888,4295,1721573.0,2.45,0.52
2025-06-13,3.904,3.904,3.872,3.895,2395,958670.0,0.82,0.29
2025-06-16,3.888,4.005,3.888,3.953,6952,2822962.0,3.0,0.84
2025-06-17,3.954,3.971,3.951,3.962,3816,1552796.0,0.51,0.46
2025-06-18,3.96,4.135,3.96,4.026,7433,3071402.0,4.42,0.89
2025-06-19,4.009,4.031,3.994,4.028,5040,2081007.0,0.92,0.61
2025-06-20,4.012,4.154,4.012,4.128,14408,6086943.0,3.53,1.73
2025-06-23,4.134,4.24,4.053,4.088,8408,3529815.0,4.53,1.01
2025-06-24,4.071,4.105,3.926,4.038,9191,3776237.0,4.38,1.11
2025-06-25,4.032,4.032,3.966,3.972,4775,1960748.0,1.63,0.57
2025-06-26,3.97,3.984,3.94,3.95,3062,1245664.0,1.11,0.37
2025-06-27,3.962,3.967,3.871,3.878,3035,1214608.0,2.43,0.37
2025-06-30,3.86,3.92,3.859,3.919,7838,3135615.0,1.57,0.94
2025-07-01,3.902,4.022,3.901,4.009,7952,3253600.0,3.09,0.96
2025-07-02,4.008,4.057,4.008,4.035,2481,1030048.0,1.22,0.3
2025-07-03,4.035,4.061,3.981,4.034,5462,2257880.0,1.98,0.66
2025-07-04,4.027,4.028,3.995,3.995,2648,1091345.0,0.82,0.32
2025-07-07,3.993,3.993,3.941,3.97,2745,1119797.0,1.3,0.33
2025-07-08,4.036,4.036,3.89,3.905,4239,1712912.0,3.68,0.51
2025-07-09,3.905,3.905,3.855,3.895,6935,2763673.0,1.28,0.83
2025-07-10,3.895,3.921,3.855,3.916,5843,2348179.0,1.69,0.7
2025-07-11,3.913,3.954,3.884,3.884,4033,1628080.0,1.79,0.49
2025-07-14,3.868,3.971,3.866,3.944,3477,1405301.0,2.7,0.42
2025-07-15,3.957,3.992,3.936,3.949,6148,2503609.0,1.42,0.74
2025-07-16,3.933,4.037,3.912,4.033,4603,1881514.0,3.17,0.55
2025-07-17,4.016,4.035,3.977,3.987,1933,796133.0,1.44,0.23
2025-07-18,3.983,4.1,3.919,3.937,5892,2402387.0,4.54,0.71
2025-07-21,3.933,3.933,3.815,3.827,8082,3213890.0,3.0,0.97
2025-07-22,3.826,3.867,3.721,3.724,10907,4216708.0,3.81,1.31
2025-07-23,3.737,3.739,3.621,3.691,20282,7649876.0,3.17,2.44
2025-07-24,3.706,3.817,3.632,3.808,26720,10157779.0,5.01,3.21
2025-07-25,3.806,3.806,3.699,3.763,10249,3967435.0,2.81,1.23
2025-07-28,3.757,3.774,3.698,3.754,7210,2766803.0,2.02,0.87
2025-07-29,3.737,3.766,3.736,3.75,2780,1073364.0,0.8,0.33
2025-07-30,3.75,3.848,3.734,3.754,5989,2325661.0,3.04,0.72
2025-07-31,3.739,3.785,3.739,3.781,3696,1434624.0,1.23,0.44
2025-08-01,3.765,3.777,3.734,3.767,7599,2942166.0,1.14,0.91
