日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-03-31,3.541,3.541,3.541,3.541,67851,24026021.0,0.0,4.52
2025-04-01,3.75,3.892,3.363,3.582,353816,126932812.0,14.94,23.59
2025-04-02,3.584,3.648,3.566,3.632,68614,24807423.0,2.29,4.57
2025-04-03,3.648,3.749,3.647,3.736,172804,64064821.0,2.81,11.52
2025-04-07,3.773,3.892,3.725,3.818,101449,38413760.0,4.47,6.76
2025-04-08,3.817,3.817,3.728,3.782,35334,13318764.0,2.33,2.36
2025-04-09,3.761,3.782,3.716,3.719,28734,10741113.0,1.75,1.92
2025-04-10,3.716,3.75,3.633,3.74,31352,11606614.0,3.15,2.09
2025-04-11,3.739,3.78,3.696,3.733,32406,12167081.0,2.25,2.16
2025-04-14,3.73,3.757,3.694,3.751,20116,7514836.0,1.69,1.34
2025-04-15,3.755,3.773,3.751,3.761,21247,7990381.0,0.59,1.42
2025-04-16,3.759,3.773,3.756,3.77,19097,7187159.0,0.45,1.27
2025-04-17,3.761,3.819,3.761,3.812,18073,6874431.0,1.54,1.2
2025-04-18,3.815,3.852,3.783,3.807,20910,7974881.0,1.81,1.39
2025-04-21,3.807,3.83,3.767,3.804,16678,6315073.0,1.65,1.11
2025-04-22,3.805,3.83,3.774,3.824,15829,6021450.0,1.47,1.06
2025-04-23,3.825,3.835,3.802,3.82,16546,6327929.0,0.86,1.1
2025-04-24,3.82,3.836,3.806,3.832,18622,7113913.0,0.79,1.24
2025-04-25,3.833,3.85,3.828,3.835,6674,2559203.0,0.57,0.44
2025-04-28,3.835,3.84,3.778,3.78,8750,3325134.0,1.62,0.58
2025-04-29,3.776,3.798,3.763,3.796,7288,2762600.0,0.93,0.49
2025-04-30,3.78,3.833,3.78,3.809,16818,6413482.0,1.4,1.12
2025-05-06,3.794,3.84,3.794,3.831,22213,8479843.0,1.21,1.48
2025-05-07,3.832,3.85,3.81,3.844,18336,7037490.0,1.04,1.22
2025-05-08,3.829,3.876,3.829,3.868,19794,7645732.0,1.22,1.32
2025-05-09,3.853,3.919,3.853,3.91,16262,6323750.0,1.71,1.08
2025-05-12,3.909,3.948,3.894,3.921,9856,3867654.0,1.38,0.66
2025-05-13,3.911,3.941,3.889,3.937,17198,6735655.0,1.33,1.15
2025-05-14,3.921,4.006,3.921,3.971,10344,4116497.0,2.16,0.69
2025-05-15,3.971,4.012,3.965,4.011,12361,4933351.0,1.18,0.82
2025-05-16,4.011,4.07,4.001,4.043,10813,4372821.0,1.72,0.72
2025-05-19,4.059,4.077,4.028,4.041,12381,5019154.0,1.21,0.83
2025-05-20,4.054,4.055,4.021,4.048,16384,6614171.0,0.84,1.09
2025-05-21,4.055,4.058,4.0,4.031,13061,5261308.0,1.43,0.87
2025-05-22,4.03,4.04,4.002,4.01,17092,6874571.0,0.94,1.14
2025-05-23,4.013,4.03,3.983,3.99,15383,6164152.0,1.17,1.03
2025-05-26,3.99,4.049,3.971,4.043,12773,5136559.0,1.95,0.85
2025-05-27,4.047,4.069,4.014,4.025,11062,4462108.0,1.36,0.74
2025-05-28,4.026,4.04,4.014,4.027,4775,1921519.0,0.65,0.32
2025-05-29,4.03,4.039,4.022,4.03,6129,2470757.0,0.42,0.41
2025-05-30,4.03,4.042,4.029,4.037,7869,3175176.0,0.32,0.52
2025-06-03,4.038,4.045,4.032,4.039,3377,1363722.0,0.32,0.23
2025-06-04,4.041,4.041,4.024,4.031,2663,1074841.0,0.42,0.18
2025-06-05,4.031,4.035,4.02,4.028,4763,1918650.0,0.37,0.32
2025-06-06,4.038,4.038,4.011,4.026,4977,2002748.0,0.67,0.33
2025-06-09,4.027,4.034,3.985,3.99,8577,3428857.0,1.22,0.57
2025-06-10,3.989,3.999,3.975,3.988,9723,3874500.0,0.6,0.65
2025-06-11,3.986,3.995,3.985,3.991,16084,6414981.0,0.25,1.07
