日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-08-08,3.879,3.9,3.729,3.9,608603,234222725.0,5.7,25.36
2025-08-11,3.9,4.187,3.9,4.095,365220,146355537.0,7.36,15.22
2025-08-12,4.078,4.147,4.013,4.137,140514,57574973.0,3.27,5.85
2025-08-13,4.107,4.138,4.08,4.098,110551,45448188.0,1.4,4.61
2025-08-14,4.079,4.121,4.065,4.12,134716,55227433.0,1.37,5.61
2025-08-15,4.119,4.124,4.081,4.118,76226,31342370.0,1.04,3.18
2025-08-18,4.116,4.116,4.002,4.054,99039,40107240.0,2.77,4.13
2025-08-19,4.0,4.05,3.994,4.039,63158,25420887.0,1.38,2.63
2025-08-20,4.032,4.109,4.028,4.078,99622,40568680.0,2.01,4.15
2025-08-21,4.078,4.119,4.06,4.111,52767,21626395.0,1.45,2.2
2025-08-22,4.115,4.119,4.081,4.116,47763,19605709.0,0.92,1.99
2025-08-25,4.116,4.135,4.09,4.129,59391,24468831.0,1.09,2.47
2025-08-26,4.13,4.189,4.119,4.179,64296,26669424.0,1.7,2.68
2025-08-27,4.18,4.217,4.16,4.16,29870,12515589.0,1.36,1.24
2025-08-28,4.16,4.187,4.138,4.18,54880,22813457.0,1.18,2.29
2025-08-29,4.185,4.185,4.155,4.176,25018,10443339.0,0.72,1.04
2025-09-01,4.171,4.193,4.144,4.18,33765,14101233.0,1.17,1.41
2025-09-02,4.155,4.219,4.155,4.18,48055,20099409.0,1.53,2.0
2025-09-03,4.183,4.193,4.168,4.19,26744,11198970.0,0.6,1.11
2025-09-04,4.194,4.2,4.169,4.189,29492,12346116.0,0.74,1.23
2025-09-05,4.189,4.195,4.136,4.159,24660,10304617.0,1.41,1.03
2025-09-08,4.159,4.159,4.109,4.125,36012,14901661.0,1.2,1.5
2025-09-09,4.125,4.14,4.095,4.134,33010,13609364.0,1.09,1.38
2025-09-10,4.134,4.142,4.11,4.14,28795,11867318.0,0.77,1.2
2025-09-11,4.11,4.148,4.11,4.148,11637,4801357.0,0.92,0.48
2025-09-12,4.149,4.154,4.123,4.151,26221,10875361.0,0.75,1.09
2025-09-15,4.151,4.188,4.131,4.181,42064,17566371.0,1.37,1.75
2025-09-16,4.163,4.19,4.163,4.18,33168,13847033.0,0.65,1.38
2025-09-17,4.171,4.189,4.167,4.177,30076,12566222.0,0.53,1.25
2025-09-18,4.177,4.22,4.171,4.21,26717,11196390.0,1.17,1.11
2025-09-19,4.213,4.218,4.186,4.199,24637,10362965.0,0.76,1.03
2025-09-22,4.198,4.21,4.17,4.198,33517,14063844.0,0.95,1.4
2025-09-23,4.206,4.28,4.177,4.21,37181,15682674.0,2.45,1.55
2025-09-24,4.209,4.21,4.19,4.202,26360,11077719.0,0.48,1.1
2025-09-25,4.202,4.202,4.156,4.165,18384,7676579.0,1.09,0.77
2025-09-26,4.169,4.189,4.141,4.166,21912,9147255.0,1.15,0.91
2025-09-29,4.145,4.204,4.131,4.18,25129,10494708.0,1.75,1.05
2025-09-30,4.16,4.2,4.16,4.183,12839,5353208.0,0.96,0.53
2025-10-09,4.2,4.2,4.15,4.181,21024,8783730.0,1.2,0.88
2025-10-10,4.18,4.191,4.16,4.183,14669,6129969.0,0.74,0.61
2025-10-13,4.152,4.198,4.146,4.195,26929,11273679.0,1.24,1.12
2025-10-14,4.18,4.23,4.17,4.202,20885,8740366.0,1.43,0.87
2025-10-15,4.223,4.223,4.166,4.182,23690,9925453.0,1.36,0.99
2025-10-16,4.182,4.185,4.166,4.181,23022,9608416.0,0.45,0.96
2025-10-17,4.187,4.198,4.174,4.194,2339,979907.0,0.57,0.1
