日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-01,4.834,4.844,4.817,4.817,34213,18687948.0,0.56,2.73
2024-11-04,4.814,4.835,4.777,4.834,7348,4009453.0,1.2,0.59
2024-11-05,4.837,4.905,4.816,4.905,6859,3773491.0,1.84,0.55
2024-11-06,4.865,4.941,4.829,4.923,5668,3143775.0,2.28,0.45
2024-11-07,4.936,4.936,4.883,4.934,2392,1328806.0,1.08,0.19
2024-11-08,4.944,4.944,4.896,4.923,1634,907338.0,0.97,0.13
2024-11-11,4.925,4.925,4.859,4.91,32305,17855471.0,1.34,2.57
2024-11-12,4.909,4.979,4.871,4.977,12024,6724549.0,2.2,0.96
2024-11-13,5.084,5.084,4.937,5.024,3225,1820965.0,2.95,0.26
2024-11-14,5.138,5.138,5.016,5.059,9401,5336027.0,2.43,0.75
2024-11-15,5.06,5.114,5.024,5.09,11224,6397548.0,1.78,0.89
2024-11-18,5.09,5.114,5.09,5.108,2753,1579746.0,0.47,0.22
2024-11-19,5.214,5.214,5.052,5.077,11471,6560702.0,3.17,0.91
2024-11-20,5.076,5.11,5.06,5.063,8297,4744177.0,0.98,0.66
2024-11-21,5.044,5.164,5.023,5.084,575,328028.0,2.78,0.05
2024-11-22,5.199,5.199,5.064,5.085,4368,2500711.0,2.66,0.35
2024-11-25,5.045,5.099,5.045,5.059,488,278231.0,1.06,0.04
2024-11-26,5.02,5.114,5.02,5.059,1351,768454.0,1.86,0.11
2024-11-27,5.039,5.114,5.039,5.067,953,542780.0,1.48,0.08
2024-11-28,5.034,5.104,5.034,5.07,133,75914.0,1.38,0.01
2024-11-29,5.067,5.1,5.066,5.08,964,550467.0,0.67,0.08
2024-12-02,5.064,5.064,4.966,4.987,13483,7600500.0,1.93,1.07
2024-12-03,4.964,5.022,4.961,4.988,60767,34034872.0,1.22,4.84
2024-12-04,4.964,5.019,4.962,5.014,5415,3045392.0,1.14,0.43
2024-12-05,4.974,5.019,4.974,5.018,1457,821924.0,0.9,0.12
2024-12-06,4.978,5.062,4.978,5.035,9010,5115387.0,1.67,0.72
2024-12-09,4.995,5.074,4.995,5.039,5446,3091306.0,1.57,0.43
2024-12-10,4.999,5.074,4.999,5.073,20848,11865074.0,1.49,1.66
2024-12-11,5.064,5.107,5.035,5.094,14005,8006122.0,1.42,1.12
2024-12-12,5.054,5.256,5.054,5.154,14724,8524229.0,3.97,1.17
