日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-12-09,2.595,2.595,2.497,2.541,658990,186322125.0,4.59,20.65
2022-12-12,2.517,2.541,2.487,2.524,74387,20809262.0,2.13,2.33
2022-12-13,2.515,2.532,2.484,2.518,80340,22400703.0,1.9,2.52
2022-12-14,2.51,2.517,2.238,2.495,24667,6835020.0,11.08,0.77
2022-12-15,2.488,2.496,2.463,2.471,19045,5253600.0,1.32,0.6
2022-12-16,2.473,2.474,2.446,2.458,24431,6700919.0,1.13,0.77
2022-12-19,2.453,2.458,2.419,2.425,28887,7852290.0,1.59,0.91
2022-12-20,2.424,2.427,2.386,2.413,31561,8487718.0,1.69,0.99
2022-12-21,2.411,2.422,2.387,2.421,56464,15170212.0,1.45,1.77
2022-12-22,2.421,2.43,2.383,2.414,49414,13297816.0,1.94,1.55
2022-12-23,2.414,2.473,2.402,2.467,50462,13772253.0,2.94,1.58
2022-12-26,2.468,2.478,2.441,2.458,13553,3706972.0,1.5,0.42
2022-12-27,2.457,2.457,2.417,2.422,15622,4232486.0,1.63,0.49
2022-12-28,2.422,2.422,2.341,2.353,49182,13022272.0,3.34,1.54
2022-12-29,2.365,2.365,2.295,2.297,36593,9568844.0,2.97,1.15
2022-12-30,2.313,2.317,2.278,2.295,34113,8772384.0,1.7,1.07
2023-01-03,2.304,2.311,2.267,2.283,19337,4965924.0,1.92,0.61
2023-01-04,2.299,2.299,2.275,2.289,22933,5887350.0,1.05,0.72
2023-01-05,2.289,2.298,2.279,2.287,36819,9461406.0,0.83,1.15
2023-01-06,2.292,2.313,2.268,2.305,51568,13239501.0,1.97,1.62
2023-01-09,2.309,2.312,2.277,2.3,19953,5140993.0,1.52,0.63
2023-01-10,2.306,2.314,2.296,2.309,32974,8531559.0,0.78,1.03
2023-01-11,2.307,2.347,2.307,2.317,40251,10476364.0,1.73,1.26
2023-01-12,2.317,2.317,2.309,2.311,10098,2621009.0,0.35,0.32
2023-01-13,2.311,2.334,2.272,2.293,22650,5846710.0,2.68,0.71
2023-01-16,2.293,2.293,2.272,2.276,20102,5151678.0,0.92,0.63
2023-01-17,2.276,2.286,2.273,2.28,7477,1915799.0,0.57,0.23
2023-01-18,2.28,2.285,2.274,2.281,9258,2373007.0,0.48,0.29
