日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-01-24,2.824,3.084,2.824,2.964,102182,30260796.0,10.15,4.92
2025-01-27,2.959,3.032,2.918,3.003,20480,6219028.0,3.85,0.99
2025-02-05,3.004,3.034,2.944,2.994,19710,6008653.0,3.0,0.95
2025-02-06,2.985,3.003,2.934,2.983,35216,10660204.0,2.3,1.69
2025-02-07,2.967,2.967,2.935,2.949,17198,5188206.0,1.07,0.83
2025-02-10,2.94,2.954,2.903,2.942,62654,18730814.0,1.73,3.01
2025-02-11,2.942,3.119,2.925,3.058,56167,17168272.0,6.59,2.7
2025-02-12,3.05,3.062,3.021,3.034,28184,8749268.0,1.34,1.36
2025-02-13,3.029,3.029,2.974,2.988,17219,5275228.0,1.81,0.83
2025-02-14,2.964,3.008,2.942,3.002,18893,5745786.0,2.21,0.91
2025-02-17,3.002,3.052,2.984,3.017,12484,3846595.0,2.27,0.6
2025-02-18,3.004,3.078,2.984,3.0,32136,9928449.0,3.12,1.55
2025-02-19,2.995,3.013,2.97,2.983,13838,4216415.0,1.43,0.67
2025-02-20,2.984,2.991,2.964,2.964,14125,4296868.0,0.91,0.68
2025-02-21,2.976,3.002,2.965,2.979,21308,6499670.0,1.25,1.03
2025-02-24,2.979,2.979,2.924,2.927,18213,5478471.0,1.85,0.88
2025-02-25,2.934,2.957,2.914,2.925,18609,5584510.0,1.47,0.9
2025-02-26,2.944,2.953,2.91,2.918,11958,3581448.0,1.47,0.58
2025-02-27,2.926,2.926,2.884,2.903,20870,6197440.0,1.44,1.0
2025-02-28,2.891,2.904,2.877,2.883,14560,4294193.0,0.93,0.7
2025-03-03,2.902,2.934,2.881,2.931,7299,2175127.0,1.84,0.35
2025-03-04,2.939,2.976,2.934,2.957,18732,5672905.0,1.43,0.9
2025-03-05,2.957,2.966,2.947,2.957,5524,1669761.0,0.64,0.27
2025-03-06,2.956,2.964,2.936,2.946,5619,1691958.0,0.95,0.27
2025-03-07,2.953,2.953,2.936,2.938,3931,1181299.0,0.58,0.19
2025-03-10,2.952,2.952,2.94,2.942,1833,551481.0,0.41,0.09
2025-03-11,2.944,2.944,2.939,2.942,3126,940344.0,0.17,0.15
2025-03-12,2.939,2.944,2.931,2.936,7918,2375259.0,0.44,0.38
2025-03-13,2.94,2.945,2.924,2.932,7469,2240747.0,0.72,0.36
2025-03-14,2.937,2.937,2.923,2.934,12127,3634245.0,0.48,0.58
2025-03-17,2.924,2.937,2.924,2.934,4862,1458325.0,0.44,0.23
2025-03-18,2.934,2.941,2.929,2.935,7993,2397326.0,0.41,0.38
2025-03-19,2.94,2.975,2.932,2.974,75933,23004860.0,1.47,3.65
2025-03-20,2.979,2.984,2.973,2.975,20000,6080355.0,0.37,0.96
2025-03-21,2.978,2.983,2.934,2.978,33052,10005578.0,1.65,1.59
2025-03-24,2.963,2.977,2.954,2.969,4126,1250611.0,0.77,0.2
2025-03-25,2.964,2.985,2.964,2.978,8036,2446008.0,0.71,0.39
2025-03-26,2.982,2.982,2.949,2.976,18424,5582169.0,1.11,0.89
2025-03-27,2.976,2.985,2.969,2.98,110542,33558310.0,0.54,5.32
2025-03-28,2.993,3.023,2.964,2.98,25634,7819717.0,1.98,1.23
2025-03-31,2.98,3.012,2.979,2.998,9622,2945660.0,1.11,0.46
2025-04-01,2.987,3.013,2.979,3.004,4830,1483284.0,1.13,0.23
2025-04-02,3.009,3.033,3.003,3.019,8489,2617279.0,1.0,0.41
2025-04-03,3.014,3.049,3.009,3.034,12169,3757917.0,1.32,0.59
2025-04-07,3.001,3.032,2.934,2.945,20456,6210590.0,3.23,0.98
2025-04-08,2.945,2.989,2.945,2.952,27300,8249441.0,1.49,1.31
2025-04-09,2.973,2.973,2.943,2.956,6128,1849786.0,1.02,0.29
2025-04-10,2.974,2.994,2.956,2.993,15538,4720587.0,1.29,0.75
2025-04-11,2.994,3.048,2.994,3.036,23087,7149489.0,1.8,1.11
2025-04-14,3.036,3.07,3.012,3.046,11833,3675371.0,1.91,0.57
2025-04-15,3.03,3.063,3.03,3.055,8582,2674207.0,1.08,0.41
2025-04-16,3.059,3.069,3.034,3.058,20003,6247347.0,1.15,0.96
2025-04-17,3.069,3.134,3.048,3.089,16568,5215414.0,2.81,0.8
2025-04-18,3.089,3.114,3.07,3.102,4226,1332432.0,1.42,0.2
2025-04-21,3.115,3.116,3.063,3.09,7725,2433514.0,1.71,0.37
2025-04-22,3.084,3.09,3.028,3.049,16351,5107588.0,2.01,0.79
2025-04-23,3.049,3.071,3.028,3.047,10247,3189106.0,1.41,0.49
2025-04-24,3.059,3.069,3.046,3.059,3595,1122033.0,0.75,0.17
2025-04-25,3.069,3.072,3.054,3.07,3835,1201412.0,0.59,0.18
2025-04-28,3.076,3.078,2.974,3.002,20061,6166837.0,3.39,0.97
2025-04-29,3.004,3.029,3.0,3.016,6411,1971506.0,0.97,0.31
2025-04-30,3.05,3.05,3.012,3.033,3116,962371.0,1.26,0.15
2025-05-06,3.038,3.059,3.014,3.033,8153,2522284.0,1.48,0.39
2025-05-07,3.033,3.059,3.022,3.039,3717,1151622.0,1.22,0.18
2025-05-08,3.039,3.052,3.005,3.042,10132,3126129.0,1.55,0.49
2025-05-09,3.041,3.075,3.03,3.054,4803,1497016.0,1.48,0.23
2025-05-12,3.066,3.091,3.046,3.088,4571,1430827.0,1.47,0.22
2025-05-13,3.101,3.134,3.064,3.083,7660,2410435.0,2.27,0.37
2025-05-14,3.076,3.114,3.071,3.104,5197,1641162.0,1.39,0.25
2025-05-15,3.117,3.143,3.084,3.123,11194,3560988.0,1.9,0.54
2025-05-16,3.136,3.227,3.123,3.205,68225,22272608.0,3.33,3.28
2025-05-19,3.205,3.289,3.166,3.264,26008,8565036.0,3.84,1.25
2025-05-20,3.277,3.334,3.244,3.298,32400,10899639.0,2.76,1.56
2025-05-21,3.319,3.358,3.297,3.352,22625,7682283.0,1.85,1.09
2025-05-22,3.339,3.433,3.323,3.386,10625,3629441.0,3.28,0.51
2025-05-23,3.431,3.431,3.348,3.353,13398,4599813.0,2.45,0.64
2025-05-26,3.354,3.384,3.314,3.331,27671,9482088.0,2.09,1.33
2025-05-27,3.345,3.382,3.294,3.325,9669,3278791.0,2.64,0.47
2025-05-28,3.311,3.392,3.273,3.332,15273,5154340.0,3.58,0.73
2025-05-29,3.319,3.431,3.285,3.323,29072,9860954.0,4.38,1.4
2025-05-30,3.335,3.396,3.31,3.318,17673,5998479.0,2.59,0.85
2025-06-03,3.332,3.36,3.294,3.321,29280,9889061.0,1.99,1.41
2025-06-04,3.321,3.349,3.304,3.314,39727,13429628.0,1.36,1.91
2025-06-05,3.358,3.433,3.288,3.423,13751,4577215.0,4.38,0.66
2025-06-06,3.422,3.423,3.393,3.41,5198,1771201.0,0.88,0.25
2025-06-09,3.42,3.538,3.392,3.418,4148,1419486.0,4.28,0.2
2025-06-10,3.42,3.447,3.41,3.414,6470,2214303.0,1.08,0.31
2025-06-11,3.416,3.439,3.386,3.428,8553,2924090.0,1.55,0.41
2025-06-12,3.442,3.455,3.399,3.409,10957,3736560.0,1.63,0.53
2025-06-13,3.405,3.454,3.389,3.401,15279,5204048.0,1.91,0.74
2025-06-16,3.412,3.428,3.388,3.414,12851,4381715.0,1.18,0.62
2025-06-17,3.425,3.478,3.4,3.415,35621,12205804.0,2.28,1.71
2025-06-18,3.401,3.469,3.401,3.444,10106,3464737.0,1.99,0.49
2025-06-19,3.444,3.485,3.444,3.445,12244,4227048.0,1.19,0.59
2025-06-20,3.442,3.595,3.418,3.54,21621,7489397.0,5.14,1.04
2025-06-23,3.54,3.573,3.515,3.56,5961,2109750.0,1.64,0.29
2025-06-24,3.56,3.56,3.462,3.488,21389,7484227.0,2.75,1.03
2025-06-25,3.485,3.515,3.436,3.507,7837,2716472.0,2.26,0.38
2025-06-26,3.506,3.533,3.48,3.502,4061,1420086.0,1.51,0.2
2025-06-27,3.488,3.528,3.46,3.5,2984,1039092.0,1.94,0.14
2025-06-30,3.52,3.52,3.414,3.468,8802,3047512.0,3.03,0.42
2025-07-01,3.468,3.468,3.422,3.439,11643,4000588.0,1.33,0.56
2025-07-02,3.425,3.465,3.425,3.464,5296,1830773.0,1.16,0.25
2025-07-03,3.477,3.477,3.446,3.453,2395,827783.0,0.89,0.12
2025-07-04,3.439,3.474,3.438,3.466,2084,720856.0,1.04,0.1
2025-07-07,3.473,3.515,3.473,3.505,2582,902360.0,1.21,0.12
2025-07-08,3.535,3.535,3.49,3.499,3259,1139796.0,1.28,0.16
2025-07-09,3.496,3.526,3.429,3.467,6927,2407889.0,2.77,0.33
2025-07-10,3.466,3.494,3.441,3.459,3612,1253091.0,1.53,0.17
2025-07-11,3.445,3.48,3.42,3.452,7096,2439753.0,1.73,0.34
2025-07-14,3.462,3.466,3.412,3.434,1137,389925.0,1.56,0.05
2025-07-15,3.438,3.478,3.438,3.467,6978,2415143.0,1.16,0.34
2025-07-16,3.471,3.48,3.453,3.471,3389,1174921.0,0.78,0.16
2025-07-17,3.471,3.497,3.445,3.471,3676,1274186.0,1.5,0.18
2025-07-18,3.481,3.495,3.458,3.475,1039,360299.0,1.07,0.05
2025-07-21,3.485,3.494,3.434,3.437,4806,1662651.0,1.73,0.23
2025-07-22,3.447,3.447,3.354,3.371,10060,3408085.0,2.71,0.48
2025-07-23,3.353,3.353,3.285,3.315,9513,3154393.0,2.02,0.46
2025-07-24,3.315,3.315,3.278,3.289,37037,12168771.0,1.12,1.78
2025-07-25,3.289,3.306,3.245,3.264,9003,2932698.0,1.85,0.43
2025-07-28,3.251,3.271,3.222,3.26,14039,4540109.0,1.5,0.68
2025-07-29,3.247,3.26,3.202,3.252,8379,2701705.0,1.78,0.4
2025-07-30,3.25,3.326,3.248,3.326,8673,2862290.0,2.4,0.42
2025-07-31,3.33,3.383,3.33,3.375,4940,1664321.0,1.59,0.24
2025-08-01,3.382,3.394,3.353,3.37,8518,2872083.0,1.21,0.41
2025-08-04,3.38,3.38,3.33,3.343,7876,2637237.0,1.48,0.38
2025-08-05,3.353,3.358,3.33,3.336,2321,774505.0,0.84,0.11
2025-08-06,3.349,3.349,3.31,3.329,8797,2922622.0,1.17,0.42
2025-08-07,3.338,3.338,3.279,3.324,15450,5095354.0,1.77,0.74
2025-08-08,3.311,3.323,3.288,3.31,8406,2774647.0,1.05,0.4
2025-08-11,3.32,3.32,3.248,3.256,8281,2704837.0,2.18,0.4
2025-08-12,3.256,3.3,3.236,3.291,16338,5348823.0,1.97,0.79
2025-08-13,3.305,3.308,3.278,3.294,3704,1217025.0,0.91,0.18
2025-08-14,3.304,3.314,3.25,3.275,7616,2483445.0,1.94,0.37
2025-08-15,3.271,3.3,3.221,3.235,10967,3553019.0,2.41,0.53
2025-08-18,3.248,3.248,3.111,3.131,24978,7833656.0,4.23,1.2
2025-08-19,3.13,3.133,3.027,3.087,17584,5425850.0,3.39,0.85
2025-08-20,3.105,3.147,3.068,3.101,18855,5881319.0,2.56,0.91
2025-08-21,3.12,3.132,3.089,3.128,15691,4871341.0,1.39,0.75
2025-08-22,3.128,3.15,3.109,3.124,6973,2176634.0,1.31,0.34
2025-08-25,3.12,3.165,3.093,3.153,14423,4527956.0,2.3,0.69
2025-08-26,3.14,3.275,3.14,3.268,11446,3684472.0,4.28,0.55
2025-08-27,3.279,3.284,3.213,3.268,18581,6011787.0,2.17,0.89
2025-08-28,3.248,3.266,3.23,3.266,5349,1740762.0,1.1,0.26
2025-08-29,3.246,3.266,3.195,3.258,6454,2077930.0,2.17,0.31
2025-09-01,3.238,3.256,3.219,3.243,1684,545065.0,1.14,0.08
2025-09-02,3.242,3.277,3.242,3.253,3914,1273171.0,1.08,0.19
2025-09-03,3.25,3.299,3.243,3.255,1848,601027.0,1.72,0.09
2025-09-04,3.275,3.298,3.245,3.261,10935,3583675.0,1.63,0.53
2025-09-05,3.277,3.299,3.196,3.23,19823,6381139.0,3.16,0.95
2025-09-08,3.211,3.241,3.184,3.186,4622,1475369.0,1.76,0.22
2025-09-09,3.19,3.196,3.154,3.166,3574,1131841.0,1.32,0.17
2025-09-10,3.167,3.185,3.114,3.145,24022,7511976.0,2.24,1.16
2025-09-11,3.137,3.243,3.115,3.18,14865,4737196.0,4.07,0.72
2025-09-12,3.199,3.245,3.181,3.207,5437,1740136.0,2.01,0.26
2025-09-15,3.207,3.225,3.196,3.224,1334,428650.0,0.9,0.06
2025-09-16,3.241,3.245,3.22,3.235,11046,3573231.0,0.78,0.53
2025-09-17,3.216,3.29,3.209,3.275,2291,745818.0,2.5,0.11
2025-09-18,3.275,3.281,3.235,3.247,1782,581600.0,1.4,0.09
2025-09-19,3.266,3.283,3.237,3.251,1397,453650.0,1.42,0.07
2025-09-22,3.251,3.29,3.212,3.223,1791,578021.0,2.4,0.09
2025-09-23,3.223,3.23,3.206,3.222,699,224943.0,0.74,0.03
2025-09-24,3.203,3.24,3.196,3.225,5588,1791151.0,1.37,0.27
2025-09-25,3.212,3.238,3.195,3.222,4802,1545624.0,1.33,0.23
