日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-06-26,3.536,3.536,3.536,3.536,10959,3875014.0,0.0,0.91
2025-06-27,3.89,3.89,3.89,3.89,54257,21106101.0,0.0,4.52
2025-06-30,4.18,4.279,3.78,3.915,350861,138075686.0,12.83,29.24
2025-07-01,3.898,3.916,3.876,3.903,64464,25151042.0,1.02,5.37
2025-07-02,3.95,3.95,3.905,3.923,38758,15212773.0,1.15,3.23
2025-07-03,3.92,3.924,3.906,3.923,18064,7075573.0,0.46,1.51
2025-07-04,3.91,3.959,3.91,3.959,24268,9547251.0,1.25,2.02
2025-07-07,3.955,3.989,3.925,3.967,21070,8376786.0,1.62,1.76
2025-07-08,3.979,3.979,3.94,3.953,11420,4512218.0,0.98,0.95
2025-07-09,3.95,3.968,3.936,3.947,18898,7453577.0,0.81,1.58
2025-07-10,3.947,3.947,3.921,3.937,13089,5147184.0,0.66,1.09
2025-07-11,3.939,3.939,3.919,3.929,14889,5846167.0,0.51,1.24
2025-07-14,3.929,3.929,3.911,3.925,24937,9784526.0,0.46,2.08
2025-07-15,3.925,3.949,3.896,3.93,23946,9408954.0,1.35,2.0
2025-07-16,3.93,3.943,3.921,3.94,10545,4151307.0,0.56,0.88
2025-07-17,3.939,3.946,3.927,3.939,13454,5297470.0,0.48,1.12
2025-07-18,3.931,3.941,3.927,3.935,5605,2203997.0,0.36,0.47
2025-07-21,3.927,3.934,3.912,3.926,17923,7034626.0,0.56,1.49
2025-07-22,3.914,3.921,3.911,3.917,14160,5548561.0,0.25,1.18
2025-07-23,3.912,3.913,3.833,3.85,35359,13635557.0,2.04,2.95
2025-07-24,3.848,3.849,3.785,3.799,30915,11749825.0,1.66,2.58
2025-07-25,3.793,3.848,3.732,3.828,39811,15055602.0,3.05,3.32
2025-07-28,3.83,3.842,3.784,3.828,21925,8340620.0,1.52,1.83
2025-07-29,3.837,3.885,3.815,3.88,25756,9957522.0,1.83,2.15
2025-07-30,3.882,3.884,3.856,3.87,14708,5690904.0,0.72,1.23
2025-07-31,3.855,3.903,3.855,3.903,21969,8559752.0,1.24,1.83
2025-08-01,3.92,3.924,3.863,3.92,12361,4823456.0,1.56,1.03
2025-08-04,3.904,3.93,3.89,3.901,10215,3986720.0,1.02,0.85
2025-08-05,3.9,3.92,3.86,3.918,5203,2028217.0,1.54,0.43
2025-08-06,3.915,3.936,3.89,3.93,11068,4338323.0,1.17,0.92
2025-08-07,3.931,3.935,3.914,3.921,9724,3814810.0,0.53,0.81
2025-08-08,3.921,3.921,3.89,3.916,9982,3899393.0,0.79,0.83
2025-08-11,3.915,3.915,3.878,3.889,4022,1564170.0,0.94,0.34
2025-08-12,3.889,3.898,3.858,3.892,7142,2770552.0,1.03,0.6
2025-08-13,3.89,3.89,3.862,3.874,4578,1772217.0,0.72,0.38
2025-08-14,3.861,3.881,3.851,3.881,11665,4506768.0,0.77,0.97
2025-08-15,3.881,3.881,3.79,3.81,11292,4322201.0,2.34,0.94
2025-08-18,3.815,3.815,3.724,3.735,8717,3264509.0,2.39,0.73
2025-08-19,3.73,3.735,3.696,3.721,28420,10554326.0,1.04,2.37
2025-08-20,3.72,3.76,3.72,3.736,5569,2081037.0,1.07,0.46
2025-08-21,3.707,3.8,3.707,3.776,39429,14772302.0,2.49,3.29
2025-08-22,3.776,3.814,3.753,3.807,11852,4501714.0,1.62,0.99
2025-08-25,3.784,3.854,3.77,3.826,10777,4137923.0,2.21,0.9
2025-08-26,3.826,3.91,3.823,3.882,14314,5553137.0,2.27,1.19
2025-08-27,3.908,3.908,3.845,3.891,15513,6049623.0,1.62,1.29
2025-08-28,3.869,3.901,3.85,3.85,4187,1619580.0,1.31,0.35
2025-08-29,3.827,3.882,3.827,3.848,8024,3085520.0,1.43,0.67
2025-09-01,3.843,3.88,3.826,3.863,4327,1672367.0,1.4,0.36
2025-09-02,3.881,3.909,3.851,3.88,5949,2315837.0,1.5,0.5
2025-09-03,3.851,3.91,3.798,3.892,13063,5060009.0,2.89,1.09
2025-09-04,3.9,3.907,3.853,3.903,12067,4706440.0,1.39,1.01
2025-09-05,3.868,3.902,3.868,3.877,3934,1529855.0,0.87,0.33
2025-09-08,3.854,3.859,3.835,3.835,5129,1970231.0,0.62,0.43
2025-09-09,3.84,3.855,3.811,3.845,12423,4759162.0,1.15,1.04
2025-09-10,3.845,3.85,3.822,3.847,8588,3297732.0,0.73,0.72
2025-09-11,3.812,3.858,3.812,3.848,3663,1408388.0,1.2,0.31
2025-09-12,3.848,3.9,3.815,3.821,3299,1268875.0,2.21,0.27
2025-09-15,3.821,3.858,3.82,3.84,6602,2534330.0,0.99,0.55
2025-09-16,3.845,3.885,3.812,3.833,2100,806094.0,1.9,0.17
2025-09-17,3.82,3.878,3.82,3.845,1208,463192.0,1.51,0.1
2025-09-18,3.875,3.89,3.855,3.879,3526,1366635.0,0.91,0.29
2025-09-19,3.856,3.897,3.84,3.88,5595,2161518.0,1.47,0.47
2025-09-22,3.881,3.89,3.84,3.886,3651,1415351.0,1.29,0.3
2025-09-23,3.886,3.901,3.861,3.864,3993,1548807.0,1.03,0.33
2025-09-24,3.862,3.901,3.855,3.88,3418,1328736.0,1.19,0.28
2025-09-25,3.9,3.902,3.86,3.86,8567,3328138.0,1.08,0.71
2025-09-26,3.861,3.895,3.818,3.846,5869,2263499.0,1.99,0.49
2025-09-29,3.845,3.869,3.825,3.83,8551,3283263.0,1.14,0.71
2025-09-30,3.853,3.853,3.811,3.829,2321,888274.0,1.1,0.19
2025-10-09,3.81,3.829,3.81,3.82,1724,658419.0,0.5,0.14
2025-10-10,3.8,3.851,3.8,3.844,1251,479759.0,1.34,0.1
2025-10-13,3.839,3.842,3.804,3.84,1517,582399.0,0.99,0.13
2025-10-14,3.84,3.88,3.84,3.869,203,78167.0,1.04,0.02
