日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-02-27,3.764,3.764,3.506,3.712,242347,90301110.0,8.91,24.24
2025-02-28,3.55,3.68,3.526,3.542,125888,45083854.0,4.15,12.59
2025-03-03,3.526,3.55,3.492,3.53,38899,13746879.0,1.64,3.89
2025-03-04,3.528,3.568,3.513,3.562,47416,16806915.0,1.56,4.74
2025-03-05,3.567,3.606,3.551,3.604,33926,12174927.0,1.54,3.39
2025-03-06,3.604,3.632,3.59,3.616,21630,7819426.0,1.17,2.16
2025-03-07,3.626,3.639,3.6,3.612,10516,3801044.0,1.08,1.05
2025-03-10,3.618,3.628,3.596,3.625,10890,3942067.0,0.89,1.09
2025-03-11,3.629,3.629,3.607,3.61,10829,3918437.0,0.61,1.08
2025-03-12,3.601,3.616,3.6,3.608,10877,3926534.0,0.44,1.09
2025-03-13,3.596,3.625,3.596,3.625,13606,4912160.0,0.8,1.36
2025-03-14,3.625,3.65,3.603,3.646,9839,3581173.0,1.3,0.98
2025-03-17,3.645,3.66,3.615,3.655,6219,2267564.0,1.23,0.62
2025-03-18,3.645,3.655,3.626,3.648,9605,3493736.0,0.79,0.96
2025-03-19,3.648,3.66,3.63,3.653,3406,1242877.0,0.82,0.34
2025-03-20,3.658,3.669,3.64,3.654,5670,2075689.0,0.79,0.57
2025-03-21,3.654,3.659,3.634,3.659,19800,7209646.0,0.68,1.98
2025-03-24,3.645,3.671,3.645,3.661,4034,1476821.0,0.71,0.4
2025-03-25,3.656,3.68,3.656,3.677,11103,4072433.0,0.66,1.11
2025-03-26,3.682,3.71,3.667,3.704,9428,3477756.0,1.17,0.94
2025-03-27,3.704,3.722,3.704,3.71,11794,4383269.0,0.49,1.18
2025-03-28,3.714,3.749,3.702,3.747,12492,4660248.0,1.27,1.25
2025-03-31,3.742,3.764,3.72,3.733,6384,2391383.0,1.17,0.64
2025-04-01,3.723,3.764,3.723,3.751,6383,2393837.0,1.1,0.64
2025-04-02,3.752,3.788,3.752,3.783,13100,4933661.0,0.96,1.31
2025-04-03,3.799,3.875,3.788,3.873,14383,5498455.0,2.3,1.44
2025-04-07,3.863,3.9,3.788,3.816,13434,5149575.0,2.89,1.34
2025-04-08,3.81,3.82,3.69,3.803,4652,1755680.0,3.41,0.47
2025-04-09,3.788,3.788,3.74,3.765,11561,4342513.0,1.26,1.16
2025-04-10,3.744,3.81,3.731,3.81,3440,1299203.0,2.1,0.34
2025-04-11,3.81,3.849,3.802,3.823,1990,763317.0,1.23,0.2
2025-04-14,3.81,3.92,3.791,3.919,14384,5525441.0,3.37,1.44
2025-04-15,3.921,3.921,3.887,3.917,3131,1223325.0,0.87,0.31
2025-04-16,3.916,4.085,3.898,4.059,5424,2144922.0,4.77,0.54
2025-04-17,4.04,4.073,3.981,3.993,13628,5478330.0,2.27,1.36
2025-04-18,3.977,3.99,3.95,3.965,2183,867011.0,1.0,0.22
2025-04-21,3.969,3.97,3.899,3.92,3295,1291883.0,1.79,0.33
2025-04-22,3.909,3.946,3.909,3.927,2409,946943.0,0.94,0.24
2025-04-23,3.924,3.968,3.909,3.938,4978,1961954.0,1.5,0.5
2025-04-24,3.931,3.938,3.914,3.928,3533,1384820.0,0.61,0.35
2025-04-25,3.912,3.942,3.91,3.923,658,258272.0,0.81,0.07
2025-04-28,3.922,3.941,3.9,3.912,4617,1807870.0,1.05,0.46
2025-04-29,3.909,3.96,3.909,3.953,5493,2163318.0,1.3,0.55
2025-04-30,3.942,4.008,3.942,3.972,3025,1203957.0,1.67,0.3
2025-05-06,3.975,4.01,3.972,3.999,1874,749172.0,0.96,0.19
2025-05-07,4.008,4.008,3.986,3.987,978,390705.0,0.55,0.1
2025-05-08,3.975,4.0,3.948,3.998,7667,3035348.0,1.3,0.77
2025-05-09,3.996,3.996,3.933,3.98,5699,2258609.0,1.58,0.57
2025-05-12,3.973,3.999,3.967,3.999,3673,1464207.0,0.8,0.37
2025-05-13,4.008,4.017,3.965,3.99,8402,3360933.0,1.3,0.84
2025-05-14,3.993,4.003,3.968,3.974,6434,2568549.0,0.88,0.64
2025-05-15,3.975,3.99,3.964,3.965,1313,521552.0,0.65,0.13
2025-05-16,3.966,4.03,3.955,4.006,13100,5244563.0,1.89,1.31
2025-05-19,3.997,4.053,3.977,4.008,9230,3703868.0,1.9,0.92
2025-05-20,4.019,4.044,4.0,4.044,8523,3440820.0,1.1,0.85
2025-05-21,4.05,4.121,4.04,4.108,22370,9134867.0,2.0,2.24
2025-05-22,4.105,4.106,4.068,4.092,7112,2903992.0,0.93,0.71
2025-05-23,4.092,4.138,4.0,4.101,8252,3380506.0,3.37,0.83
2025-05-26,4.073,4.118,4.073,4.104,10667,4385575.0,1.1,1.07
2025-05-27,4.105,4.118,4.105,4.107,8659,3558355.0,0.32,0.87
2025-05-28,4.107,4.129,4.08,4.091,11674,4780650.0,1.19,1.17
2025-05-29,4.097,4.147,4.03,4.147,12857,5304806.0,2.86,1.29
2025-05-30,4.13,4.15,4.13,4.133,6206,2567651.0,0.48,0.62
2025-06-03,4.129,4.185,4.107,4.125,11872,4915715.0,1.89,1.19
2025-06-04,4.085,4.14,4.085,4.115,5648,2325075.0,1.33,0.56
2025-06-05,4.118,4.173,4.096,4.105,13328,5486393.0,1.87,1.33
2025-06-06,4.105,4.14,4.09,4.127,19073,7840169.0,1.22,1.91
2025-06-09,4.129,4.17,4.129,4.154,7078,2940694.0,0.99,0.71
2025-06-10,4.154,4.23,4.118,4.166,13001,5424679.0,2.7,1.3
2025-06-11,4.152,4.2,4.152,4.191,12201,5096666.0,1.15,1.22
2025-06-12,4.204,4.238,4.18,4.198,11426,4800920.0,1.38,1.14
2025-06-13,4.197,4.235,4.164,4.2,13901,5836126.0,1.69,1.39
2025-06-16,4.183,4.262,4.177,4.205,19274,8091279.0,2.02,1.93
2025-06-17,4.205,4.226,4.198,4.206,7424,3121458.0,0.67,0.74
2025-06-18,4.207,4.234,4.182,4.232,3957,1664844.0,1.24,0.4
2025-06-19,4.232,4.315,4.231,4.303,25648,11007844.0,1.98,2.56
2025-06-20,4.34,4.421,4.3,4.394,13321,5820183.0,2.81,1.33
2025-06-23,4.346,4.481,4.346,4.395,9104,4014033.0,3.07,0.91
2025-06-24,4.371,4.435,4.268,4.308,22134,9569717.0,3.8,2.21
2025-06-25,4.291,4.353,4.257,4.306,9513,4085122.0,2.23,0.95
2025-06-26,4.291,4.31,4.28,4.289,9904,4254725.0,0.7,0.99
2025-06-27,4.289,4.301,4.238,4.253,16352,6942347.0,1.47,1.64
2025-06-30,4.252,4.255,4.227,4.249,14844,6294223.0,0.66,1.48
2025-07-01,4.254,4.261,4.241,4.255,21127,8983819.0,0.47,2.11
2025-07-02,4.269,4.31,4.25,4.285,11129,4767544.0,1.41,1.11
2025-07-03,4.285,4.311,4.26,4.279,12747,5465443.0,1.19,1.27
2025-07-04,4.267,4.35,4.262,4.278,13884,5952607.0,2.06,1.39
2025-07-07,4.291,4.325,4.278,4.311,10151,4369789.0,1.1,1.02
2025-07-08,4.322,4.373,4.294,4.312,12619,5444974.0,1.83,1.26
2025-07-09,4.321,4.321,4.261,4.279,14635,6269434.0,1.39,1.46
2025-07-10,4.293,4.31,4.25,4.256,9603,4103567.0,1.4,0.96
2025-07-11,4.252,4.269,4.239,4.239,4555,1932544.0,0.7,0.46
2025-07-14,4.252,4.264,4.23,4.237,5374,2280725.0,0.8,0.54
2025-07-15,4.237,4.25,4.23,4.25,8117,3438780.0,0.47,0.81
2025-07-16,4.266,4.339,4.25,4.298,10362,4433942.0,2.09,1.04
2025-07-17,4.281,4.301,4.26,4.26,3475,1485284.0,0.95,0.35
2025-07-18,4.26,4.27,4.22,4.223,10487,4440274.0,1.17,1.05
2025-07-21,4.236,4.24,4.168,4.193,10430,4366606.0,1.7,1.04
2025-07-22,4.178,4.181,4.103,4.108,12283,5063510.0,1.86,1.23
2025-07-23,4.108,4.108,4.08,4.107,7937,3247060.0,0.68,0.79
2025-07-24,4.115,4.19,4.107,4.168,16944,6997945.0,2.02,1.69
2025-07-25,4.166,4.2,4.131,4.173,18553,7706423.0,1.66,1.86
2025-07-28,4.175,4.207,4.148,4.173,22176,9226370.0,1.41,2.22
2025-07-29,4.173,4.178,4.114,4.121,8029,3316768.0,1.53,0.8
2025-07-30,4.125,4.195,4.095,4.185,24270,10018262.0,2.43,2.43
