日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-05-21,3.522,3.522,3.522,3.522,10381,3689574.0,0.0,0.69
2025-05-22,3.522,3.877,3.522,3.877,78229,30575130.0,10.08,5.22
2025-05-23,3.888,4.267,3.877,4.146,252722,103504708.0,10.06,16.86
2025-05-26,4.167,4.367,4.043,4.101,80421,33290479.0,7.81,5.37
2025-05-27,4.097,4.097,3.968,4.036,102917,41755610.0,3.15,6.87
2025-05-28,4.036,4.088,4.006,4.086,56371,23124564.0,2.03,3.76
2025-05-29,4.086,4.128,4.064,4.083,36601,15054615.0,1.57,2.44
2025-05-30,4.078,4.098,4.063,4.071,41480,17023624.0,0.86,2.77
2025-06-03,4.062,4.078,4.058,4.064,28582,11722021.0,0.49,1.91
2025-06-04,4.064,4.08,4.063,4.075,40770,16723119.0,0.42,2.72
2025-06-05,4.076,4.086,4.063,4.07,27048,11099216.0,0.56,1.8
2025-06-06,4.069,4.078,4.062,4.07,26242,10765304.0,0.39,1.75
2025-06-09,4.071,4.071,4.058,4.063,31196,12777528.0,0.32,2.08
2025-06-10,4.064,4.066,4.053,4.058,29655,12129426.0,0.32,1.98
2025-06-11,4.057,4.062,4.043,4.054,13423,5485239.0,0.47,0.9
2025-06-12,4.054,4.054,4.036,4.042,14996,6106239.0,0.44,1.0
2025-06-13,4.043,4.055,4.028,4.053,18996,7734340.0,0.67,1.27
2025-06-16,4.048,4.09,4.04,4.083,37739,15473193.0,1.23,2.52
2025-06-17,4.093,4.188,4.072,4.188,35027,14618824.0,2.84,2.34
2025-06-18,4.188,4.318,4.188,4.313,35039,15022096.0,3.1,2.34
2025-06-19,4.312,4.348,4.253,4.331,51390,22355668.0,2.2,3.43
2025-06-20,4.331,4.367,4.291,4.352,24800,10826762.0,1.75,1.65
2025-06-23,4.352,4.362,4.328,4.338,13299,5820663.0,0.78,0.89
2025-06-24,4.332,4.352,4.156,4.259,59242,25382468.0,4.52,3.95
2025-06-25,4.239,4.276,4.174,4.225,17260,7355417.0,2.39,1.15
2025-06-26,4.222,4.261,4.194,4.206,18313,7792917.0,1.59,1.22
2025-06-27,4.198,4.202,4.138,4.166,34917,14641442.0,1.52,2.33
2025-06-30,4.166,4.182,4.128,4.153,21363,8919540.0,1.3,1.43
2025-07-01,4.154,4.156,4.13,4.147,8854,3697394.0,0.63,0.59
2025-07-02,4.147,4.277,4.147,4.248,20346,8672906.0,3.13,1.36
2025-07-03,4.247,4.28,4.241,4.246,14850,6373296.0,0.92,0.99
2025-07-04,4.252,4.288,4.217,4.283,12561,5388106.0,1.67,0.84
2025-07-07,4.3,4.302,4.262,4.281,4957,2137947.0,0.93,0.33
2025-07-08,4.281,4.281,4.202,4.21,14545,6183181.0,1.85,0.97
2025-07-09,4.203,4.261,4.162,4.178,12932,5472639.0,2.35,0.86
2025-07-10,4.178,4.218,4.158,4.178,11511,4848848.0,1.44,0.77
2025-07-11,4.186,4.218,4.173,4.194,4881,2055655.0,1.08,0.33
2025-07-14,4.202,4.212,4.177,4.179,5139,2166157.0,0.83,0.34
2025-07-15,4.179,4.258,4.173,4.203,9044,3845356.0,2.03,0.6
2025-07-16,4.204,4.212,4.19,4.207,2903,1229379.0,0.52,0.19
2025-07-17,4.207,4.222,4.19,4.203,8277,3507612.0,0.76,0.55
2025-07-18,4.212,4.216,4.165,4.168,15050,6340702.0,1.21,1.0
2025-07-21,4.181,4.185,4.131,4.131,14367,5997703.0,1.3,0.96
2025-07-22,4.143,4.143,4.06,4.066,19119,7860207.0,2.01,1.28
2025-07-23,4.066,4.067,3.961,4.041,44610,17956293.0,2.61,2.98
2025-07-24,4.046,4.046,3.999,4.014,16846,6815750.0,1.16,1.12
2025-07-25,4.011,4.021,3.996,4.014,10733,4340029.0,0.62,0.72
2025-07-28,4.03,4.096,4.015,4.093,8892,3642818.0,2.02,0.59
2025-07-29,4.095,4.1,4.062,4.071,11226,4606295.0,0.93,0.75
2025-07-30,4.071,4.093,4.058,4.088,6331,2598770.0,0.86,0.42
2025-07-31,4.082,4.158,4.082,4.148,17261,7195771.0,1.86,1.15
2025-08-01,4.132,4.165,4.128,4.138,13143,5485050.0,0.89,0.88
2025-08-04,4.131,4.165,4.06,4.065,10281,4247870.0,2.54,0.69
2025-08-05,4.071,4.083,4.023,4.081,9967,4083586.0,1.48,0.66
2025-08-06,4.065,4.097,4.038,4.083,5070,2086942.0,1.45,0.34
2025-08-07,4.083,4.113,4.072,4.089,5318,2196129.0,1.0,0.35
2025-08-08,4.089,4.089,4.068,4.08,3336,1371125.0,0.51,0.22
2025-08-11,4.072,4.072,4.038,4.053,11514,4703504.0,0.83,0.77
2025-08-12,4.053,4.068,4.037,4.053,10621,4334561.0,0.76,0.71
2025-08-13,4.053,4.053,4.025,4.026,10456,4257430.0,0.69,0.7
2025-08-14,4.023,4.033,4.011,4.011,6779,2749462.0,0.55,0.45
2025-08-15,4.008,4.011,3.968,3.982,13319,5345679.0,1.07,0.89
2025-08-18,3.972,3.981,3.808,3.831,49754,19312708.0,4.34,3.32
2025-08-19,3.845,3.846,3.736,3.74,36250,13711521.0,2.87,2.42
2025-08-20,3.74,3.794,3.737,3.739,32784,12425286.0,1.52,2.19
2025-08-21,3.738,3.754,3.729,3.742,32022,12073380.0,0.67,2.14
2025-08-22,3.752,3.752,3.728,3.734,30342,11432513.0,0.64,2.02
2025-08-25,3.734,3.75,3.713,3.75,27915,10484358.0,0.99,1.86
2025-08-26,3.75,3.888,3.75,3.885,29013,11208250.0,3.68,1.94
2025-08-27,3.887,3.932,3.846,3.877,18219,7164856.0,2.21,1.22
2025-08-28,3.877,3.879,3.819,3.868,17391,6764732.0,1.55,1.16
2025-08-29,3.852,3.858,3.785,3.828,28985,11184303.0,1.89,1.93
2025-09-01,3.822,3.822,3.782,3.819,12836,4937351.0,1.04,0.86
2025-09-02,3.819,3.886,3.813,3.872,8258,3215731.0,1.91,0.55
2025-09-03,3.872,3.902,3.853,3.902,9751,3800892.0,1.27,0.65
2025-09-04,3.902,4.012,3.902,3.962,26761,10653757.0,2.82,1.79
2025-09-05,3.948,3.958,3.913,3.927,12667,5013228.0,1.14,0.85
2025-09-08,3.912,3.912,3.888,3.911,2756,1084071.0,0.61,0.18
2025-09-09,3.911,3.922,3.876,3.922,14938,5879587.0,1.18,1.0
2025-09-10,3.912,3.921,3.878,3.918,14328,5627542.0,1.1,0.96
2025-09-11,3.902,3.918,3.88,3.916,14975,5881450.0,0.97,1.0
2025-09-12,3.902,3.915,3.889,3.912,9519,3746755.0,0.66,0.64
2025-09-15,3.902,3.912,3.888,3.903,8296,3262041.0,0.61,0.55
2025-09-16,3.9,3.9,3.884,3.898,6763,2654718.0,0.41,0.45
2025-09-17,3.897,3.899,3.888,3.894,1053,412987.0,0.28,0.07
2025-09-18,3.894,3.897,3.888,3.895,6472,2537803.0,0.23,0.43
2025-09-19,3.895,3.9,3.883,3.897,1634,641683.0,0.44,0.11
2025-09-22,3.883,3.896,3.878,3.888,8300,3254028.0,0.46,0.55
2025-09-23,3.882,3.892,3.876,3.888,4136,1619976.0,0.41,0.28
2025-09-24,3.883,3.902,3.878,3.884,2421,948094.0,0.62,0.16
2025-09-25,3.884,3.884,3.842,3.848,17464,6788121.0,1.08,1.17
2025-09-26,3.848,3.855,3.832,3.853,4051,1570754.0,0.6,0.27
2025-09-29,3.853,3.855,3.819,3.819,15553,6014971.0,0.93,1.04
2025-09-30,3.819,3.822,3.807,3.819,7606,2923583.0,0.39,0.51
2025-10-09,3.802,3.828,3.797,3.828,4484,1720500.0,0.81,0.3
2025-10-10,3.825,3.836,3.793,3.814,1518,584659.0,1.12,0.1
2025-10-13,3.83,3.833,3.8,3.814,4189,1600256.0,0.87,0.28
