日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-06-28,4.923,4.935,4.922,4.924,36765,20954842.0,0.26,0.77
2024-07-01,4.923,4.937,4.922,4.927,10382,5917759.0,0.3,0.22
2024-07-02,4.927,4.927,4.921,4.922,14308,8153321.0,0.12,0.3
2024-07-03,4.922,4.924,4.922,4.922,5064,2885587.0,0.04,0.11
2024-07-04,4.894,4.923,4.894,4.923,9720,5538229.0,0.59,0.2
2024-07-05,4.919,4.924,4.919,4.92,3464,1973269.0,0.1,0.07
2024-07-08,4.919,4.922,4.919,4.92,2215,1261333.0,0.06,0.05
2024-07-09,4.92,4.92,4.919,4.919,1910,1087653.0,0.02,0.04
2024-07-10,4.919,4.924,4.919,4.923,8894,5067034.0,0.1,0.19
2024-07-11,4.923,4.923,4.918,4.921,5592,3185963.0,0.1,0.12
2024-07-12,4.92,4.922,4.919,4.922,6759,3850879.0,0.06,0.14
2024-07-15,4.918,4.924,4.918,4.923,6110,3481138.0,0.12,0.13
2024-07-16,4.919,4.923,4.919,4.92,5753,3277599.0,0.08,0.12
2024-07-17,4.921,4.956,4.917,4.93,8876,5062303.0,0.79,0.19
2024-07-18,4.929,4.929,4.921,4.924,7361,4196640.0,0.16,0.15
2024-07-19,4.923,4.943,4.919,4.928,5509,3141231.0,0.49,0.12
2024-07-22,4.924,4.943,4.92,4.926,8782,5007837.0,0.47,0.18
2024-07-23,4.926,4.926,4.918,4.922,2165,1233469.0,0.16,0.05
2024-07-24,4.922,4.922,4.919,4.919,938,534120.0,0.06,0.02
2024-07-25,4.917,4.926,4.917,4.921,689,392527.0,0.18,0.01
2024-07-26,4.944,4.944,4.919,4.921,1246,710191.0,0.51,0.03
2024-07-29,4.919,4.924,4.919,4.922,4567,2602358.0,0.1,0.1
2024-07-30,4.922,4.922,4.92,4.922,4754,2708537.0,0.04,0.1
2024-07-31,4.921,4.923,4.921,4.922,14654,8349683.0,0.04,0.31
2024-08-01,4.922,4.922,4.92,4.921,3469,1976535.0,0.04,0.07
2024-08-02,4.921,4.923,4.921,4.923,5967,3399913.0,0.04,0.12
2024-08-05,4.923,4.973,4.919,4.956,24784,14158072.0,1.1,0.52
2024-08-06,4.955,5.072,4.926,5.064,32370,18696178.0,2.95,0.68
2024-08-07,5.025,5.122,4.944,5.121,19547,11465908.0,3.52,0.41
2024-08-08,5.121,5.147,5.097,5.105,10565,6224955.0,0.98,0.22
2024-08-09,5.105,5.136,5.104,5.117,19283,11354074.0,0.63,0.4
2024-08-12,5.09,5.128,5.09,5.114,9501,5590465.0,0.74,0.2
2024-08-13,5.139,5.139,5.092,5.096,7490,4397254.0,0.92,0.16
2024-08-14,5.075,5.076,5.024,5.072,12085,7048289.0,1.02,0.25
2024-08-15,5.07,5.12,5.07,5.12,12330,7216837.0,0.99,0.26
2024-08-16,5.12,5.152,5.092,5.128,16410,9679759.0,1.17,0.34
2024-08-19,5.134,5.162,5.09,5.124,8789,5185046.0,1.4,0.18
2024-08-20,5.099,5.154,5.099,5.125,11359,6703682.0,1.07,0.24
2024-08-21,5.125,5.222,5.104,5.122,13398,7944871.0,2.3,0.28
2024-08-22,5.096,5.199,5.096,5.128,9547,5648114.0,2.01,0.2
2024-08-23,5.159,5.159,5.112,5.124,2947,1740186.0,0.92,0.06
2024-08-26,5.113,5.116,5.095,5.114,1129,663778.0,0.41,0.02
2024-08-27,5.101,5.116,5.065,5.101,6102,3583829.0,1.0,0.13
2024-08-28,5.085,5.158,5.079,5.102,18631,10973270.0,1.55,0.39
2024-08-29,5.09,5.123,5.084,5.093,12387,7282179.0,0.76,0.26
2024-08-30,5.12,5.12,5.08,5.093,2347,1378063.0,0.79,0.05
2024-09-02,5.154,5.154,5.039,5.073,7562,4434086.0,2.26,0.16
2024-09-03,5.073,5.141,5.054,5.063,7293,4263817.0,1.71,0.15
2024-09-04,5.063,5.082,5.031,5.05,11919,6940523.0,1.01,0.25
2024-09-05,5.032,5.073,5.032,5.048,7912,4610750.0,0.81,0.17
2024-09-06,5.034,5.114,4.985,5.037,4638,2690525.0,2.56,0.1
2024-09-09,5.036,5.048,5.007,5.024,5980,3470661.0,0.81,0.13
2024-09-10,5.044,5.044,4.997,5.009,3119,1804978.0,0.94,0.07
2024-09-11,5.024,5.041,4.979,4.988,7131,4117941.0,1.24,0.15
2024-09-12,5.02,5.038,4.955,5.021,14166,8174952.0,1.66,0.3
2024-09-13,4.959,5.054,4.959,5.003,4604,2664148.0,1.89,0.1
2024-09-18,5.002,5.014,4.925,4.958,12610,7214362.0,1.78,0.26
2024-09-19,4.95,4.985,4.947,4.963,1578,906830.0,0.77,0.03
2024-09-20,4.956,4.977,4.928,4.959,5096,2921789.0,0.99,0.11
2024-09-23,4.925,4.964,4.925,4.931,2937,1679361.0,0.79,0.06
