日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-02-17,9.34,9.34,9.34,9.34,1387,1348612.0,0.0,0.28
2025-02-18,10.312,10.312,10.312,10.312,2531,2706997.0,0.0,0.51
2025-02-19,11.382,11.382,10.367,11.135,108754,123685896.0,9.84,21.75
2025-02-20,10.831,11.105,10.831,11.096,53180,60448909.0,2.46,10.64
2025-02-21,10.984,11.116,10.967,11.007,19229,21891190.0,1.34,3.85
2025-02-24,10.988,11.003,10.848,10.861,28861,32616358.0,1.41,5.77
2025-02-25,10.885,10.91,10.627,10.68,17980,19909557.0,2.61,3.6
2025-02-26,10.63,10.729,10.571,10.706,17777,19667071.0,1.48,3.56
2025-02-27,10.626,10.716,10.626,10.646,3809,4203612.0,0.84,0.76
2025-02-28,10.568,10.616,10.406,10.464,12236,13280168.0,1.97,2.45
2025-03-03,10.464,10.63,10.418,10.569,11467,12565666.0,2.03,2.29
2025-03-04,10.566,10.831,10.566,10.713,18230,20262499.0,2.51,3.65
2025-03-05,10.727,10.833,10.655,10.783,9697,10828054.0,1.66,1.94
2025-03-06,10.783,10.803,10.627,10.748,6327,7032340.0,1.63,1.27
2025-03-07,10.795,10.796,10.649,10.726,4036,4470664.0,1.37,0.81
2025-03-10,10.666,10.796,10.666,10.765,7575,8443127.0,1.21,1.52
2025-03-11,10.636,10.756,10.636,10.738,3046,3382165.0,1.11,0.61
2025-03-12,10.706,10.736,10.616,10.704,3463,3834024.0,1.12,0.69
2025-03-13,10.701,10.704,10.637,10.657,4208,4649602.0,0.63,0.84
2025-03-14,10.657,10.675,10.616,10.655,4543,5017852.0,0.55,0.91
2025-03-17,10.576,10.654,10.576,10.631,4703,5177282.0,0.73,0.94
2025-03-18,10.631,10.639,10.582,10.615,5287,5813165.0,0.54,1.06
2025-03-19,10.608,10.639,10.586,10.639,2378,2616058.0,0.5,0.48
2025-03-20,10.641,10.746,10.641,10.679,4317,4790414.0,0.99,0.86
2025-03-21,10.714,10.716,10.631,10.715,2556,2829268.0,0.8,0.51
2025-03-24,10.745,10.865,10.716,10.864,2266,2531650.0,1.39,0.45
2025-03-25,10.864,10.951,10.816,10.884,1630,1835446.0,1.24,0.33
2025-03-26,10.828,11.114,10.828,11.11,7782,8855670.0,2.63,1.56
2025-03-27,11.058,11.166,11.058,11.116,3721,4276909.0,0.97,0.74
2025-03-28,11.105,11.166,11.067,11.153,2072,2387554.0,0.89,0.41
2025-03-31,11.151,11.165,10.894,10.933,4101,4687005.0,2.43,0.82
2025-04-01,10.883,10.976,10.883,10.916,2259,2559861.0,0.85,0.45
2025-04-02,10.906,11.146,10.906,11.076,1531,1747807.0,2.2,0.31
2025-04-03,11.024,11.216,11.024,11.198,2222,2565480.0,1.73,0.44
2025-04-07,11.195,11.363,11.128,11.347,5021,5836698.0,2.1,1.0
2025-04-08,11.346,11.366,11.209,11.316,1282,1499114.0,1.38,0.26
2025-04-09,11.216,11.381,11.216,11.292,4216,4916082.0,1.46,0.84
2025-04-10,10.936,11.472,10.936,11.449,3733,4396128.0,4.75,0.75
2025-04-11,11.455,11.455,11.427,11.438,2667,3154544.0,0.24,0.53
2025-04-14,11.427,11.438,11.361,11.383,5169,6085332.0,0.67,1.03
