日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-07-02,3.937,4.293,3.937,4.219,195079,89720501.0,10.61,13.27
2024-07-03,4.215,4.29,4.077,4.219,22880,10824013.0,5.05,1.56
2024-07-04,4.175,4.214,4.175,4.196,18615,8789132.0,0.92,1.27
2024-07-05,4.152,4.152,4.082,4.135,81111,37611982.0,1.67,5.52
2024-07-08,4.126,4.18,4.113,4.18,40294,18865843.0,1.62,2.74
2024-07-09,4.14,4.181,4.138,4.143,26358,12361798.0,1.03,1.79
2024-07-10,4.093,4.174,4.093,4.162,27675,12945109.0,1.96,1.88
2024-07-11,4.158,4.166,4.117,4.136,19346,9029215.0,1.18,1.32
2024-07-12,4.1,4.133,4.099,4.122,22234,10319255.0,0.82,1.51
2024-07-15,4.121,4.171,4.099,4.155,26126,12184101.0,1.75,1.78
2024-07-16,4.155,4.195,4.141,4.176,22780,10704867.0,1.3,1.55
2024-07-17,4.204,4.204,4.175,4.179,15534,7312128.0,0.69,1.06
2024-07-18,4.213,4.213,4.145,4.161,20344,9548836.0,1.63,1.38
2024-07-19,4.161,4.181,4.143,4.179,17662,8292309.0,0.91,1.2
2024-07-22,4.179,4.195,4.177,4.192,19335,9106710.0,0.43,1.32
2024-07-23,4.192,4.192,4.172,4.183,28001,13183757.0,0.48,1.9
2024-07-24,4.152,4.183,4.152,4.17,14396,6765408.0,0.74,0.98
2024-07-25,4.172,4.179,4.16,4.177,23316,10957210.0,0.46,1.59
2024-07-26,4.179,4.181,4.142,4.181,22556,10601365.0,0.93,1.53
2024-07-29,4.179,4.213,4.166,4.18,21365,10047587.0,1.12,1.45
2024-07-30,4.2,4.204,4.177,4.18,19552,9203927.0,0.65,1.33
2024-07-31,4.175,4.181,4.164,4.168,12957,6090740.0,0.41,0.88
2024-08-01,4.178,4.184,4.156,4.184,8680,4074376.0,0.67,0.59
2024-08-02,4.203,4.203,4.17,4.178,16336,7690698.0,0.79,1.11
2024-08-05,4.185,4.269,4.152,4.252,13163,6236260.0,2.8,0.9
2024-08-06,4.223,4.356,4.223,4.32,12583,6024821.0,3.13,0.86
2024-08-07,4.352,4.455,4.336,4.353,29712,14653589.0,2.75,2.02
2024-08-08,4.403,4.455,4.295,4.314,11391,5563205.0,3.68,0.77
2024-08-09,4.314,4.315,4.285,4.298,11531,5560050.0,0.7,0.78
2024-08-12,4.346,4.346,4.272,4.273,10892,5237577.0,1.72,0.74
2024-08-13,4.276,4.295,4.24,4.265,10356,4977041.0,1.29,0.7
2024-08-14,4.228,4.363,4.228,4.279,12858,6174354.0,3.17,0.87
2024-08-15,4.241,4.364,4.241,4.282,7813,3762433.0,2.87,0.53
2024-08-16,4.242,4.293,4.242,4.268,8797,4229960.0,1.19,0.6
2024-08-19,4.267,4.303,4.264,4.276,11629,5584065.0,0.91,0.79
2024-08-20,4.264,4.306,4.264,4.28,19005,9129411.0,0.98,1.29
2024-08-21,4.279,4.295,4.266,4.284,18712,8999635.0,0.68,1.27
2024-08-22,4.352,4.352,4.267,4.275,10625,5107912.0,1.98,0.72
2024-08-23,4.276,4.285,4.261,4.274,5222,2506871.0,0.56,0.36
2024-08-26,4.274,4.284,4.248,4.274,9599,4605090.0,0.84,0.65
2024-08-27,4.274,4.28,4.271,4.276,3794,1822054.0,0.21,0.26
2024-08-28,4.265,4.302,4.263,4.288,15989,7669592.0,0.91,1.09
2024-08-29,4.26,4.3,4.225,4.269,8589,4119194.0,1.75,0.58
2024-08-30,4.268,4.268,4.235,4.251,12396,5919882.0,0.77,0.84
2024-09-02,4.198,4.27,4.198,4.246,15696,7488794.0,1.69,1.07
2024-09-03,4.246,4.265,4.196,4.23,9435,4477888.0,1.63,0.64
2024-09-04,4.23,4.254,4.23,4.249,19921,9485191.0,0.57,1.36
2024-09-05,4.218,4.273,4.218,4.262,9453,4521996.0,1.29,0.64
2024-09-06,4.224,4.281,4.224,4.278,13917,6677656.0,1.34,0.95
2024-09-09,4.282,4.295,4.252,4.286,13210,6344887.0,1.01,0.9
2024-09-10,4.32,4.322,4.254,4.28,7706,3705563.0,1.59,0.52
2024-09-11,4.28,4.285,4.242,4.248,20306,9749258.0,1.0,1.38
2024-09-12,4.237,4.254,4.193,4.205,21661,10293915.0,1.44,1.47
2024-09-13,4.21,4.273,4.158,4.262,12305,5877168.0,2.73,0.84
2024-09-18,4.262,4.319,4.209,4.266,16649,7981152.0,2.58,1.13
2024-09-19,4.269,4.293,4.197,4.266,22816,10959693.0,2.25,1.55
2024-09-20,4.265,4.275,4.252,4.269,26232,12554859.0,0.54,1.78
2024-09-23,4.252,4.322,4.252,4.274,16279,7832786.0,1.64,1.11
2024-09-24,4.297,4.325,4.228,4.236,18367,8805306.0,2.27,1.25
2024-09-25,4.225,4.315,4.225,4.275,18702,8983225.0,2.12,1.27
2024-09-26,4.237,4.31,4.237,4.296,15521,7467189.0,1.71,1.06
2024-09-27,4.272,4.295,4.253,4.285,3281,1577025.0,0.98,0.22
2024-09-30,4.236,4.276,4.085,4.271,7433,3531856.0,4.46,0.51
2024-10-08,4.246,4.269,4.175,4.261,18661,8854323.0,2.2,1.27
2024-10-09,4.244,4.27,4.196,4.244,20128,9623646.0,1.74,1.37
2024-10-10,4.196,4.27,4.196,4.261,9437,4505231.0,1.74,0.64
2024-10-11,4.283,4.285,4.26,4.274,14059,6755487.0,0.59,0.96
2024-10-14,4.274,4.349,4.257,4.307,14897,7166575.0,2.15,1.01
2024-10-15,4.307,4.349,4.305,4.323,15426,7481484.0,1.02,1.05
2024-10-16,4.283,4.348,4.275,4.289,15495,7490841.0,1.69,1.05
2024-10-17,4.29,4.3,4.254,4.26,14935,7166220.0,1.07,1.02
2024-10-18,4.284,4.284,4.221,4.233,16480,7848481.0,1.48,1.12
2024-10-21,4.233,4.268,4.233,4.252,21870,10456584.0,0.83,1.49
2024-10-22,4.275,4.282,4.252,4.255,12658,6055085.0,0.71,0.86
2024-10-23,4.255,4.263,4.24,4.242,12115,5780729.0,0.54,0.82
