日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-02-26,3.605,3.605,3.605,3.605,11092,4093998.0,0.0,1.09
2025-02-27,3.236,3.804,3.236,3.598,160528,58107866.0,15.76,15.79
2025-02-28,3.315,3.615,3.315,3.6,70371,25770379.0,8.34,6.92
2025-03-03,3.564,3.602,3.526,3.59,81819,29961068.0,2.11,8.05
2025-03-04,3.551,3.635,3.55,3.632,78397,28841779.0,2.37,7.71
2025-03-05,3.614,3.735,3.614,3.729,17572,6589926.0,3.33,1.73
2025-03-06,3.729,3.829,3.714,3.804,37275,14390311.0,3.08,3.67
2025-03-07,3.801,3.914,3.774,3.888,40731,15894884.0,3.68,4.01
2025-03-10,3.869,3.924,3.869,3.922,19006,7598577.0,1.41,1.87
2025-03-11,3.924,3.934,3.884,3.917,35173,14021852.0,1.27,3.46
2025-03-12,3.924,3.924,3.877,3.905,17735,7080301.0,1.2,1.74
2025-03-13,3.903,3.903,3.845,3.889,18732,7421136.0,1.49,1.84
2025-03-14,3.884,3.914,3.854,3.904,26429,10492844.0,1.54,2.6
2025-03-17,3.914,3.914,3.874,3.895,9150,3642696.0,1.02,0.9
2025-03-18,3.882,3.914,3.849,3.899,16957,6732377.0,1.67,1.67
2025-03-19,3.898,3.912,3.863,3.909,22894,9101334.0,1.26,2.25
2025-03-20,3.894,3.983,3.894,3.947,17015,6824399.0,2.28,1.67
2025-03-21,3.947,3.974,3.909,3.957,8332,3345635.0,1.65,0.82
2025-03-24,3.951,3.963,3.942,3.954,4172,1684195.0,0.53,0.41
2025-03-25,3.937,3.982,3.937,3.978,8915,3614287.0,1.14,0.88
2025-03-26,3.958,4.037,3.958,4.029,5642,2306467.0,1.99,0.55
2025-03-27,4.029,4.07,4.019,4.061,8212,3380982.0,1.27,0.81
2025-03-28,4.064,4.226,4.046,4.191,11969,4995985.0,4.43,1.18
2025-03-31,4.179,4.19,4.12,4.173,10350,4394347.0,1.67,1.02
2025-04-01,4.172,4.182,4.042,4.091,6502,2711346.0,3.35,0.64
2025-04-02,4.084,4.121,4.028,4.106,17228,7214287.0,2.27,1.69
2025-04-03,4.069,4.135,4.069,4.133,3792,1595553.0,1.61,0.37
2025-04-07,4.138,4.172,3.925,4.06,18697,7758075.0,5.98,1.84
2025-04-08,4.052,4.079,4.02,4.06,5629,2321512.0,1.45,0.55
2025-04-09,4.021,4.053,3.964,4.033,2852,1170375.0,2.19,0.28
2025-04-10,3.993,4.074,3.993,4.059,11515,4744512.0,2.01,1.13
2025-04-11,4.038,4.114,4.025,4.078,6082,2533861.0,2.19,0.6
2025-04-14,4.078,4.097,4.069,4.082,932,388096.0,0.69,0.09
2025-04-15,4.061,4.114,4.061,4.081,4940,2059608.0,1.3,0.49
2025-04-16,4.069,4.124,4.069,4.118,2366,992478.0,1.35,0.23
2025-04-17,4.101,4.205,4.101,4.199,6208,2639116.0,2.53,0.61
2025-04-18,4.194,4.224,4.095,4.116,14776,6268082.0,3.07,1.45
2025-04-21,4.114,4.114,4.049,4.096,4607,1915359.0,1.58,0.45
2025-04-22,4.094,4.11,4.065,4.102,5466,2281456.0,1.1,0.54
2025-04-23,4.102,4.142,4.094,4.137,3633,1533323.0,1.17,0.36
2025-04-24,4.154,4.154,4.108,4.143,1419,598192.0,1.11,0.14
2025-04-25,4.127,4.154,4.104,4.107,1382,581969.0,1.21,0.14
2025-04-28,4.107,4.107,4.06,4.097,5101,2122806.0,1.14,0.5
2025-04-29,4.1,4.1,4.06,4.083,1561,650936.0,0.98,0.15
2025-04-30,4.083,4.172,4.074,4.168,2158,905166.0,2.4,0.21
2025-05-06,4.154,4.234,4.129,4.232,4527,1922530.0,2.52,0.45
2025-05-07,4.232,4.276,4.195,4.272,6031,2611304.0,1.91,0.59
2025-05-08,4.273,4.313,4.202,4.276,15355,6688346.0,2.6,1.51
2025-05-09,4.259,4.302,4.235,4.275,6300,2739369.0,1.57,0.62
2025-05-12,4.258,4.345,4.248,4.327,12411,5422107.0,2.27,1.22
2025-05-13,4.309,4.4,4.302,4.387,10583,4701133.0,2.26,1.04
2025-05-14,4.387,4.436,4.358,4.436,14161,6342807.0,1.78,1.39
2025-05-15,4.418,4.492,4.4,4.446,8028,3649195.0,2.07,0.79
2025-05-16,4.464,4.501,4.447,4.477,19288,8787631.0,1.21,1.9
2025-05-19,4.495,4.518,4.479,4.514,6389,2936199.0,0.87,0.63
2025-05-20,4.524,4.652,4.514,4.605,5411,2524597.0,3.06,0.53
2025-05-21,4.605,4.696,4.605,4.662,8973,4267183.0,1.98,0.88
2025-05-22,4.662,4.682,4.626,4.649,12332,5835114.0,1.2,1.21
2025-05-23,4.63,4.701,4.63,4.674,8142,3876582.0,1.53,0.8
2025-05-26,4.655,4.747,4.595,4.612,5519,2620638.0,3.25,0.54
2025-05-27,4.6,4.635,4.489,4.57,15995,7419795.0,3.17,1.57
2025-05-28,4.551,4.62,4.519,4.602,19809,9181385.0,2.21,1.95
2025-05-29,4.602,4.682,4.556,4.644,22254,10418766.0,2.74,2.19
2025-05-30,4.625,4.69,4.588,4.675,13069,6169846.0,2.2,1.29
2025-06-03,4.675,4.711,4.609,4.697,9156,4329631.0,2.18,0.9
2025-06-04,4.696,4.707,4.655,4.685,11343,5402934.0,1.11,1.12
2025-06-05,4.685,4.707,4.603,4.69,17611,8332350.0,2.22,1.73
2025-06-06,4.671,4.69,4.586,4.624,17227,8113195.0,2.22,1.69
2025-06-09,4.622,4.623,4.554,4.61,8824,4110526.0,1.49,0.87
2025-06-10,4.591,4.648,4.553,4.607,21340,10003937.0,2.06,2.1
2025-06-11,4.607,4.663,4.584,4.609,10482,4923210.0,1.71,1.03
2025-06-12,4.59,4.614,4.58,4.61,5811,2719824.0,0.74,0.57
2025-06-13,4.612,4.623,4.57,4.604,8567,4017286.0,1.15,0.84
2025-06-16,4.614,4.63,4.578,4.606,11360,5318575.0,1.13,1.12
2025-06-17,4.614,4.614,4.595,4.608,3582,1680863.0,0.41,0.35
2025-06-18,4.594,4.608,4.574,4.607,5475,2564690.0,0.74,0.54
2025-06-19,4.614,4.678,4.587,4.612,11371,5351024.0,1.98,1.12
2025-06-20,4.612,4.626,4.58,4.619,5366,2519405.0,1.0,0.53
2025-06-23,4.618,4.627,4.598,4.621,3373,1584730.0,0.63,0.33
2025-06-24,4.627,4.627,4.574,4.585,9614,4493531.0,1.15,0.95
2025-06-25,4.587,4.587,4.527,4.572,20524,9522557.0,1.31,2.02
2025-06-26,4.566,4.57,4.485,4.542,18028,8307832.0,1.86,1.77
2025-06-27,4.547,4.547,4.489,4.512,11046,5067292.0,1.28,1.09
2025-06-30,4.507,4.542,4.472,4.519,5418,2485407.0,1.55,0.53
2025-07-01,4.519,4.582,4.433,4.569,29616,13481395.0,3.3,2.91
2025-07-02,4.51,4.564,4.508,4.561,8892,4104808.0,1.23,0.87
2025-07-03,4.542,4.542,4.512,4.518,14310,6592187.0,0.66,1.41
2025-07-04,4.512,4.554,4.496,4.542,12384,5715790.0,1.28,1.22
2025-07-07,4.531,4.575,4.516,4.573,4167,1933445.0,1.3,0.41
2025-07-08,4.586,4.586,4.475,4.479,5441,2514256.0,2.43,0.54
2025-07-09,4.48,4.524,4.407,4.459,13016,5921778.0,2.61,1.28
2025-07-10,4.467,4.467,4.406,4.407,12422,5614942.0,1.37,1.22
2025-07-11,4.407,4.407,4.334,4.359,10586,4714988.0,1.66,1.04
2025-07-14,4.347,4.371,4.273,4.334,15790,6939841.0,2.25,1.55
2025-07-15,4.307,4.361,4.277,4.33,17616,7782334.0,1.94,1.73
2025-07-16,4.333,4.374,4.324,4.365,13894,6163318.0,1.15,1.37
2025-07-17,4.364,4.399,4.329,4.334,15601,6911416.0,1.6,1.53
2025-07-18,4.347,4.352,4.255,4.28,12741,5599484.0,2.24,1.25
2025-07-21,4.267,4.267,4.19,4.217,27079,11640256.0,1.8,2.66
2025-07-22,4.213,4.213,4.164,4.192,25433,10841786.0,1.16,2.5
2025-07-23,4.192,4.231,4.078,4.215,28366,11944733.0,3.65,2.79
2025-07-24,4.207,4.267,4.153,4.238,26306,11269662.0,2.7,2.59
2025-07-25,4.247,4.256,4.195,4.217,24483,10545993.0,1.44,2.41
2025-07-28,4.201,4.323,4.182,4.238,13666,5898234.0,3.34,1.34
2025-07-29,4.229,4.255,4.205,4.232,14996,6479108.0,1.18,1.47
2025-07-30,4.232,4.324,4.214,4.303,18139,7858552.0,2.6,1.78
2025-07-31,4.303,4.393,4.285,4.389,11898,5293874.0,2.51,1.17
2025-08-01,4.399,4.423,4.364,4.37,2126,951929.0,1.34,0.21
2025-08-04,4.388,4.403,4.318,4.332,15231,6766397.0,1.95,1.5
2025-08-05,4.314,4.383,4.299,4.316,4062,1790768.0,1.94,0.4
2025-08-06,4.324,4.373,4.277,4.341,10918,4849983.0,2.22,1.07
2025-08-07,4.354,4.402,4.301,4.335,4891,2171425.0,2.33,0.48
2025-08-08,4.317,4.402,4.296,4.329,3747,1665777.0,2.45,0.37
2025-08-11,4.329,4.35,4.304,4.32,2659,1171500.0,1.06,0.26
2025-08-12,4.333,4.338,4.283,4.324,7255,3183818.0,1.27,0.71
2025-08-13,4.306,4.363,4.292,4.336,8359,3697495.0,1.64,0.82
2025-08-14,4.353,4.402,4.318,4.356,9687,4310101.0,1.94,0.95
2025-08-15,4.339,4.4,4.319,4.325,10877,4823366.0,1.86,1.07
2025-08-18,4.307,4.307,4.181,4.193,5006,2151362.0,2.91,0.49
2025-08-19,4.167,4.244,4.093,4.134,34143,14363229.0,3.6,3.36
2025-08-20,4.109,4.241,4.097,4.149,33324,14238368.0,3.48,3.28
2025-08-21,4.149,4.179,4.107,4.149,20445,8604784.0,1.74,2.01
2025-08-22,4.149,4.185,4.115,4.126,11010,4669501.0,1.69,1.08
2025-08-25,4.118,4.152,4.093,4.127,10561,4436346.0,1.43,1.04
2025-08-26,4.127,4.254,4.104,4.245,12319,5302172.0,3.63,1.21
2025-08-27,4.261,4.364,4.22,4.32,12787,5624480.0,3.39,1.26
2025-08-28,4.339,4.354,4.276,4.277,7424,3265542.0,1.81,0.73
2025-08-29,4.262,4.309,4.202,4.215,11660,5051136.0,2.5,1.15
2025-09-01,4.213,4.247,4.177,4.202,2528,1082899.0,1.66,0.25
2025-09-02,4.193,4.304,4.193,4.288,16162,7035818.0,2.64,1.59
2025-09-03,4.276,4.361,4.276,4.345,15397,6827933.0,1.98,1.51
2025-09-04,4.363,4.393,4.326,4.349,20010,8871053.0,1.54,1.97
2025-09-05,4.362,4.377,4.325,4.342,19622,8705937.0,1.2,1.93
2025-09-08,4.39,4.39,4.273,4.277,2993,1281727.0,2.69,0.29
2025-09-09,4.251,4.37,4.24,4.328,4566,1955966.0,3.04,0.45
2025-09-10,4.328,4.361,4.295,4.35,4325,1875119.0,1.52,0.43
2025-09-11,4.31,4.325,4.295,4.312,1640,707592.0,0.69,0.16
2025-09-12,4.312,4.312,4.286,4.289,3013,1293245.0,0.6,0.3
2025-09-15,4.282,4.32,4.282,4.29,4708,2022611.0,0.89,0.46
2025-09-16,4.273,4.3,4.273,4.292,554,237489.0,0.63,0.05
2025-09-17,4.299,4.299,4.273,4.286,912,390346.0,0.61,0.09
2025-09-18,4.312,4.375,4.246,4.254,1948,840350.0,3.01,0.19
2025-09-19,4.254,4.316,4.169,4.245,11150,4706184.0,3.46,1.1
2025-09-22,4.245,4.25,4.173,4.22,12663,5367052.0,1.81,1.25
2025-09-23,4.195,4.25,4.181,4.239,5972,2514547.0,1.64,0.59
2025-09-24,4.217,4.268,4.217,4.22,557,235508.0,1.2,0.05
2025-09-25,4.22,4.235,4.18,4.189,3798,1601564.0,1.3,0.37
2025-09-26,4.199,4.2,4.168,4.187,6731,2811139.0,0.76,0.66
2025-09-29,4.162,4.186,4.15,4.152,1686,703181.0,0.86,0.17
2025-09-30,4.17,4.177,4.131,4.16,10317,4284497.0,1.11,1.01
2025-10-09,4.135,4.24,4.119,4.169,6529,2734048.0,2.91,0.64
2025-10-10,4.144,4.24,4.13,4.203,9405,3933487.0,2.64,0.92
2025-10-13,4.188,4.248,4.188,4.216,5493,2323113.0,1.43,0.54
