日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-03,2.514,2.514,2.482,2.51,26355,6792450.0,1.3,3.69
2024-12-04,2.51,2.515,2.472,2.515,5391,1397092.0,1.71,0.75
2024-12-05,2.515,2.515,2.487,2.507,1481,383988.0,1.11,0.21
2024-12-06,2.507,2.618,2.507,2.609,3165,829019.0,4.43,0.44
2024-12-09,2.632,2.715,2.632,2.684,7622,2099354.0,3.18,1.07
2024-12-10,2.684,2.766,2.585,2.685,11528,3186775.0,6.74,1.61
2024-12-11,2.688,2.727,2.655,2.688,1908,529029.0,2.68,0.27
2024-12-12,2.689,2.711,2.682,2.701,1869,519625.0,1.08,0.26
2024-12-13,2.701,2.915,2.701,2.729,12613,3648978.0,7.92,1.76
2024-12-16,2.73,2.865,2.73,2.798,2307,663657.0,4.95,0.32
2024-12-17,2.798,2.916,2.796,2.836,8343,2445069.0,4.29,1.17
2024-12-18,2.826,2.875,2.802,2.809,4695,1377186.0,2.57,0.66
2024-12-19,2.805,2.84,2.763,2.763,3240,928496.0,2.74,0.45
2024-12-20,2.778,2.778,2.699,2.758,3548,1005214.0,2.86,0.5
2024-12-23,2.749,2.757,2.708,2.731,1231,347203.0,1.78,0.17
2024-12-24,2.74,2.775,2.7,2.745,946,267554.0,2.75,0.13
2024-12-25,2.729,2.795,2.729,2.735,1354,384107.0,2.4,0.19
2024-12-26,2.735,2.799,2.705,2.736,1414,398712.0,3.44,0.2
2024-12-27,2.74,2.763,2.719,2.72,4489,1262889.0,1.61,0.63
2024-12-30,2.72,2.795,2.645,2.696,3584,1008229.0,5.51,0.5
2024-12-31,2.704,2.745,2.669,2.683,6837,1905911.0,2.82,0.96
2025-01-02,2.699,2.766,2.692,2.765,10267,2885995.0,2.76,1.44
2025-01-03,2.75,2.881,2.75,2.873,3869,1119212.0,4.74,0.54
2025-01-06,2.873,2.914,2.864,2.914,1652,494313.0,1.74,0.23
2025-01-07,2.899,2.925,2.849,2.87,1748,517752.0,2.61,0.24
2025-01-08,2.854,2.914,2.779,2.904,5112,1520871.0,4.7,0.72
2025-01-09,2.919,2.935,2.911,2.925,5332,1599928.0,0.83,0.75
2025-01-10,2.909,2.974,2.873,2.955,1211,367806.0,3.45,0.17
2025-01-13,2.914,3.055,2.914,2.952,2423,736905.0,4.77,0.34
2025-01-14,2.936,3.055,2.915,2.96,1113,338392.0,4.74,0.16
2025-01-15,2.976,2.996,2.935,2.973,2973,904559.0,2.06,0.42
2025-01-16,3.015,3.015,2.975,2.988,2216,682425.0,1.35,0.31
2025-01-17,3.08,3.08,2.988,3.014,193,59983.0,3.08,0.03
2025-01-20,3.006,3.097,2.979,3.07,643,198437.0,3.92,0.09
2025-01-21,3.164,3.164,3.071,3.113,1788,568418.0,3.03,0.25
2025-01-22,3.114,3.208,3.109,3.127,2086,673578.0,3.18,0.29
2025-01-23,3.116,3.175,3.053,3.129,1292,414525.0,3.9,0.18
2025-01-24,3.087,3.183,3.084,3.15,1733,558698.0,3.16,0.24
2025-01-27,3.15,3.194,3.15,3.175,1069,348684.0,1.4,0.15
2025-02-05,3.186,3.313,3.121,3.264,3757,1233655.0,6.05,0.53
2025-02-06,3.217,3.39,3.217,3.373,3514,1189347.0,5.3,0.49
2025-02-07,3.39,3.602,3.305,3.496,7733,2742357.0,8.81,1.08
2025-02-10,3.523,3.586,3.492,3.586,5309,1923376.0,2.69,0.74
2025-02-11,3.586,3.81,3.586,3.71,9527,3613208.0,6.25,1.33
2025-02-12,3.715,3.729,3.605,3.625,10843,4081010.0,3.34,1.52
2025-02-13,3.625,3.703,3.41,3.455,5960,2140560.0,8.08,0.83
2025-02-14,3.437,3.471,3.357,3.435,11575,4056373.0,3.3,1.62
2025-02-17,3.389,3.426,3.389,3.402,4782,1669556.0,1.08,0.67
2025-02-18,3.401,3.47,3.401,3.438,1810,633718.0,2.03,0.25
2025-02-19,3.438,3.464,3.408,3.412,7592,2670654.0,1.63,1.06
2025-02-20,3.375,3.443,3.344,3.346,11800,4084095.0,2.9,1.65
2025-02-21,3.267,3.363,3.267,3.31,11288,3860451.0,2.87,1.58
2025-02-24,3.31,3.311,3.259,3.269,2270,764501.0,1.57,0.32
2025-02-25,3.269,3.295,3.215,3.244,12468,4171709.0,2.45,1.74
2025-02-26,3.225,3.287,3.215,3.25,11433,3818324.0,2.22,1.6
2025-02-27,3.25,3.283,3.176,3.178,6456,2126182.0,3.29,0.9
2025-02-28,3.175,3.175,3.033,3.127,7517,2387071.0,4.47,1.05
2025-03-03,3.116,3.132,3.059,3.132,10068,3208478.0,2.33,1.41
2025-03-04,3.13,3.235,3.086,3.187,5430,1758375.0,4.76,0.76
2025-03-05,3.187,3.276,3.161,3.253,2588,848054.0,3.61,0.36
2025-03-06,3.25,3.289,3.222,3.284,7704,2569710.0,2.06,1.08
2025-03-07,3.281,3.281,3.185,3.224,16596,5501157.0,2.92,2.32
2025-03-10,3.215,3.288,3.186,3.196,3110,1027849.0,3.16,0.44
2025-03-11,3.196,3.235,3.115,3.134,6090,1982019.0,3.75,0.85
2025-03-12,3.134,3.153,3.093,3.105,6221,1985415.0,1.91,0.87
2025-03-13,3.105,3.133,3.081,3.103,4525,1442293.0,1.67,0.63
2025-03-14,3.103,3.103,3.095,3.096,1569,499459.0,0.26,0.22
2025-03-17,3.085,3.174,3.085,3.134,8252,2649001.0,2.87,1.15
2025-03-18,3.13,3.189,3.12,3.135,12651,4082853.0,2.2,1.77
2025-03-19,3.119,3.167,3.119,3.165,6932,2241844.0,1.53,0.97
2025-03-20,3.153,3.255,3.152,3.226,5074,1669881.0,3.25,0.71
2025-03-21,3.226,3.263,3.208,3.262,2408,801004.0,1.7,0.34
2025-03-24,3.261,3.335,3.261,3.323,6742,2289801.0,2.27,0.94
2025-03-25,3.323,3.394,3.323,3.363,4742,1631309.0,2.14,0.66
2025-03-26,3.347,3.435,3.334,3.43,3782,1314263.0,3.0,0.53
2025-03-27,3.413,3.515,3.413,3.485,3915,1389384.0,2.97,0.55
2025-03-28,3.538,3.538,3.391,3.403,10286,3618737.0,4.22,1.44
2025-03-31,3.355,3.4,3.251,3.286,10381,3528131.0,4.38,1.45
2025-04-01,3.285,3.286,3.239,3.248,6416,2140443.0,1.43,0.9
2025-04-02,3.231,3.288,3.226,3.275,6876,2302327.0,1.91,0.96
2025-04-03,3.26,3.333,3.26,3.332,8101,2749986.0,2.23,1.13
2025-04-07,3.302,3.348,3.185,3.191,5485,1822871.0,4.89,0.77
2025-04-08,3.192,3.206,3.164,3.171,7165,2339673.0,1.32,1.0
2025-04-09,3.222,3.222,3.082,3.155,1715,554390.0,4.42,0.24
2025-04-10,3.099,3.171,3.099,3.159,4959,1605532.0,2.28,0.69
2025-04-11,3.16,3.204,3.135,3.189,2750,899292.0,2.18,0.38
2025-04-14,3.188,3.206,3.173,3.181,1838,600933.0,1.03,0.26
2025-04-15,3.173,3.188,3.155,3.155,3139,1020874.0,1.04,0.44
2025-04-16,3.165,3.165,3.138,3.151,2469,799748.0,0.86,0.35
2025-04-17,3.136,3.26,3.136,3.259,19541,6423865.0,3.94,2.73
2025-04-18,3.25,3.325,3.235,3.315,23613,7971122.0,2.76,3.3
2025-04-21,3.301,3.4,3.256,3.385,26483,8941807.0,4.34,3.71
2025-04-22,3.37,3.426,3.345,3.366,23025,7953536.0,2.39,3.22
2025-04-23,3.375,3.375,3.336,3.36,1875,645492.0,1.16,0.26
2025-04-24,3.355,3.4,3.345,3.36,5201,1796668.0,1.64,0.73
2025-04-25,3.365,3.388,3.315,3.348,7023,2411826.0,2.17,0.98
2025-04-28,3.334,3.34,3.279,3.295,1199,406089.0,1.82,0.17
2025-04-29,3.273,3.311,3.225,3.311,994,336473.0,2.61,0.14
2025-04-30,3.294,3.375,3.268,3.333,3863,1313779.0,3.23,0.54
2025-05-06,3.324,3.347,3.318,3.323,1702,577402.0,0.87,0.24
2025-05-07,3.323,3.332,3.289,3.315,2230,750958.0,1.29,0.31
2025-05-08,3.315,3.328,3.295,3.307,1422,480586.0,1.0,0.2
2025-05-09,3.294,3.345,3.276,3.337,4375,1486083.0,2.09,0.61
2025-05-12,3.323,3.405,3.323,3.397,4613,1571576.0,2.46,0.65
2025-05-13,3.383,3.427,3.369,3.419,3894,1351536.0,1.71,0.54
2025-05-14,3.405,3.44,3.403,3.428,13316,4648450.0,1.08,1.86
2025-05-15,3.428,3.447,3.371,3.387,2939,1022317.0,2.22,0.41
2025-05-16,3.401,3.415,3.351,3.395,1599,554197.0,1.89,0.22
2025-05-19,3.4,3.417,3.391,3.415,5257,1823090.0,0.77,0.74
2025-05-20,3.415,3.469,3.415,3.463,4612,1620896.0,1.58,0.65
2025-05-21,3.477,3.503,3.45,3.471,2384,841542.0,1.53,0.33
2025-05-22,3.457,3.457,3.402,3.411,10359,3609817.0,1.58,1.45
2025-05-23,3.41,3.41,3.372,3.378,1969,679541.0,1.11,0.28
2025-05-26,3.364,3.403,3.364,3.403,3624,1254514.0,1.15,0.51
2025-05-27,3.402,3.432,3.402,3.403,2283,795630.0,0.88,0.32
2025-05-28,3.389,3.44,3.379,3.439,2417,844564.0,1.79,0.34
2025-05-29,3.417,3.48,3.417,3.47,7573,2665533.0,1.83,1.06
2025-05-30,3.484,3.498,3.425,3.449,5957,2094374.0,2.1,0.83
2025-06-03,3.436,3.458,3.436,3.449,1855,652368.0,0.64,0.26
2025-06-04,3.435,3.478,3.435,3.436,697,245119.0,1.25,0.1
2025-06-05,3.436,3.436,3.421,3.423,2812,981855.0,0.44,0.39
2025-06-06,3.437,3.437,3.409,3.414,1535,533828.0,0.82,0.21
2025-06-09,3.422,3.422,3.375,3.39,1744,602769.0,1.38,0.24
2025-06-10,3.376,3.435,3.376,3.431,5329,1858825.0,1.74,0.75
2025-06-11,3.417,3.435,3.417,3.431,1758,614488.0,0.52,0.25
2025-06-12,3.417,3.462,3.413,3.454,830,290019.0,1.43,0.12
2025-06-13,3.44,3.47,3.44,3.446,1979,696540.0,0.87,0.28
2025-06-16,3.435,3.46,3.421,3.46,1508,527171.0,1.13,0.21
2025-06-17,3.446,3.469,3.443,3.467,2150,757454.0,0.75,0.3
2025-06-18,3.47,3.51,3.47,3.51,6405,2281327.0,1.15,0.9
2025-06-19,3.514,3.715,3.508,3.618,8702,3132359.0,5.9,1.22
2025-06-20,3.615,3.683,3.573,3.676,4656,1724944.0,3.04,0.65
2025-06-23,3.661,3.706,3.544,3.669,8159,2992906.0,4.41,1.14
2025-06-24,3.645,3.645,3.551,3.594,7166,2625633.0,2.56,1.0
2025-06-25,3.585,3.612,3.534,3.569,5677,2063420.0,2.17,0.79
2025-06-26,3.568,3.598,3.525,3.55,1730,625154.0,2.05,0.24
2025-06-27,3.545,3.561,3.503,3.523,1166,418480.0,1.63,0.16
2025-06-30,3.486,3.545,3.486,3.526,1250,447504.0,1.67,0.17
2025-07-01,3.492,3.585,3.492,3.543,3035,1091206.0,2.64,0.42
2025-07-02,3.543,3.585,3.543,3.574,1873,679526.0,1.19,0.26
2025-07-03,3.559,3.613,3.559,3.595,5423,1982215.0,1.51,0.76
2025-07-04,3.58,3.635,3.554,3.609,5140,1884072.0,2.25,0.72
2025-07-07,3.585,3.646,3.575,3.626,2467,910289.0,1.97,0.35
2025-07-08,3.652,3.652,3.547,3.587,1630,598087.0,2.9,0.23
2025-07-09,3.572,3.653,3.516,3.529,6973,2536309.0,3.82,0.98
2025-07-10,3.515,3.555,3.507,3.526,1457,524020.0,1.36,0.2
2025-07-11,3.527,3.537,3.512,3.525,308,110495.0,0.71,0.04
2025-07-14,3.516,3.535,3.49,3.493,2383,853288.0,1.28,0.33
2025-07-15,3.503,3.503,3.452,3.485,2284,808954.0,1.46,0.32
2025-07-16,3.471,3.534,3.471,3.53,2094,746525.0,1.81,0.29
2025-07-17,3.516,3.535,3.508,3.515,2144,767668.0,0.76,0.3
2025-07-18,3.511,3.601,3.511,3.523,3533,1273875.0,2.56,0.49
2025-07-21,3.518,3.537,3.415,3.442,4404,1555990.0,3.46,0.62
2025-07-22,3.441,3.484,3.344,3.367,6362,2217278.0,4.07,0.89
2025-07-23,3.384,3.407,3.326,3.331,2166,738318.0,2.41,0.3
2025-07-24,3.328,3.341,3.323,3.324,909,308340.0,0.54,0.13
2025-07-25,3.315,3.351,3.315,3.343,555,189101.0,1.08,0.08
2025-07-28,3.345,3.44,3.345,3.385,3984,1377079.0,2.84,0.56
2025-07-29,3.385,3.434,3.3,3.378,7018,2414157.0,3.96,0.98
2025-07-30,3.364,3.435,3.3,3.433,3985,1365885.0,4.0,0.56
2025-07-31,3.419,3.459,3.399,3.433,5684,1991482.0,1.75,0.8
2025-08-01,3.419,3.443,3.343,3.423,4006,1378336.0,2.91,0.56
2025-08-04,3.409,3.412,3.367,3.388,3300,1138671.0,1.31,0.46
2025-08-05,3.388,3.415,3.35,3.39,2538,875577.0,1.92,0.36
2025-08-06,3.394,3.401,3.371,3.401,1491,515292.0,0.88,0.21
2025-08-07,3.398,3.416,3.346,3.367,3695,1273143.0,2.06,0.52
2025-08-08,3.375,3.375,3.35,3.358,897,307012.0,0.74,0.13
2025-08-11,3.344,3.345,3.306,3.318,737,249851.0,1.16,0.1
2025-08-12,3.331,3.331,3.276,3.29,2282,765491.0,1.66,0.32
2025-08-13,3.303,3.303,3.173,3.239,2452,807169.0,3.95,0.34
2025-08-14,3.226,3.278,3.205,3.253,2980,982989.0,2.25,0.42
2025-08-15,3.24,3.268,3.228,3.245,5782,1910794.0,1.23,0.81
2025-08-18,3.254,3.255,3.167,3.168,5341,1728841.0,2.71,0.75
2025-08-19,3.178,3.178,3.118,3.119,5856,1870478.0,1.89,0.82
2025-08-20,3.118,3.235,3.109,3.146,9428,3032706.0,4.04,1.32
2025-08-21,3.13,3.155,3.125,3.139,1971,630681.0,0.95,0.28
2025-08-22,3.154,3.154,3.12,3.138,4392,1406547.0,1.08,0.61
