日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-02-08,3.483,3.621,3.466,3.544,496206,193031603.0,4.94,15.43
2023-02-09,3.538,3.573,3.511,3.563,82629,32423618.0,1.75,2.57
2023-02-10,3.566,3.697,3.566,3.646,124345,50043755.0,3.68,3.87
2023-02-13,3.646,3.703,3.639,3.66,60380,24452833.0,1.76,1.88
2023-02-14,3.662,3.738,3.662,3.725,71657,29208559.0,2.08,2.23
2023-02-15,3.734,3.859,3.734,3.805,106729,44582491.0,3.36,3.32
2023-02-16,3.81,3.856,3.735,3.772,79068,32968156.0,3.18,2.46
2023-02-17,3.771,3.772,3.701,3.739,70198,28850501.0,1.88,2.18
2023-02-20,3.729,3.767,3.711,3.765,45324,18672738.0,1.5,1.41
2023-02-21,3.765,3.802,3.755,3.79,38823,16181010.0,1.25,1.21
2023-02-22,3.79,3.808,3.771,3.783,38659,16132618.0,0.98,1.2
2023-02-23,3.783,3.797,3.746,3.775,29693,12323591.0,1.35,0.92
2023-02-24,3.775,3.775,3.754,3.761,16436,6802969.0,0.56,0.51
2023-02-27,3.761,3.768,3.751,3.756,18224,7545498.0,0.45,0.57
2023-02-28,3.756,3.756,3.741,3.746,21293,8784946.0,0.4,0.66
2023-03-01,3.744,3.754,3.717,3.731,26652,10947698.0,0.99,0.83
2023-03-02,3.729,3.729,3.713,3.723,18796,7708196.0,0.43,0.58
2023-03-03,3.721,3.727,3.675,3.713,30422,12407390.0,1.4,0.95
2023-03-06,3.701,3.711,3.692,3.706,19190,7833887.0,0.51,0.6
2023-03-07,3.705,3.719,3.701,3.714,11653,4766663.0,0.49,0.36
2023-03-08,3.715,3.73,3.715,3.727,12749,5229338.0,0.4,0.4
2023-03-09,3.728,3.731,3.713,3.719,8530,3495434.0,0.48,0.27
2023-03-10,3.719,3.721,3.701,3.721,19092,7803552.0,0.54,0.59
2023-03-13,3.72,3.73,3.701,3.721,25127,10301501.0,0.78,0.78
2023-03-14,3.721,3.721,3.701,3.705,21614,8835968.0,0.54,0.67
2023-03-15,3.703,3.718,3.695,3.7,14550,5935980.0,0.62,0.45
2023-03-16,3.7,3.703,3.671,3.687,27710,11255871.0,0.86,0.86
2023-03-17,3.696,3.699,3.671,3.691,20426,8307537.0,0.76,0.64
2023-03-20,3.692,3.692,3.677,3.68,7487,3040017.0,0.41,0.23
2023-03-21,3.68,3.688,3.67,3.685,16379,6641918.0,0.49,0.51
2023-03-22,3.681,3.688,3.672,3.687,18261,7408462.0,0.43,0.57
2023-03-23,3.688,3.688,3.673,3.683,18158,7373220.0,0.41,0.56
2023-03-24,3.681,3.683,3.67,3.681,12732,5161558.0,0.35,0.4
2023-03-27,3.683,3.689,3.675,3.681,6451,2618376.0,0.38,0.2
2023-03-28,3.68,3.687,3.667,3.68,11459,4647759.0,0.54,0.36
2023-03-29,3.68,3.68,3.632,3.65,8120,3270940.0,1.3,0.25
2023-03-30,3.64,3.646,3.631,3.636,9057,3637430.0,0.41,0.28
2023-03-31,3.636,3.651,3.632,3.643,14630,5885857.0,0.52,0.45
2023-04-03,3.643,3.644,3.621,3.632,17998,7224942.0,0.63,0.56
2023-04-04,3.631,3.631,3.592,3.606,15102,6019496.0,1.07,0.47
2023-04-06,3.608,3.609,3.528,3.548,35612,13977792.0,2.25,1.11
2023-04-07,3.545,3.565,3.531,3.552,17261,6782794.0,0.96,0.54
2023-04-10,3.551,3.563,3.541,3.555,16236,6390308.0,0.62,0.5
2023-04-11,3.555,3.568,3.551,3.559,9397,3700516.0,0.48,0.29
2023-04-12,3.562,3.569,3.56,3.566,5168,2037688.0,0.25,0.16
2023-04-13,3.566,3.566,3.549,3.562,10565,4161090.0,0.48,0.33
2023-04-14,3.559,3.577,3.541,3.575,11370,4470471.0,1.01,0.35
2023-04-17,3.576,3.59,3.554,3.587,11786,4655373.0,1.01,0.37
2023-04-18,3.588,3.618,3.583,3.61,10736,4280302.0,0.98,0.33
2023-04-19,3.601,3.619,3.571,3.589,12165,4828472.0,1.33,0.38
2023-04-20,3.589,3.597,3.57,3.588,9279,3677603.0,0.75,0.29
2023-04-21,3.586,3.596,3.554,3.556,6045,2384713.0,1.17,0.19
2023-04-24,3.556,3.588,3.555,3.568,6816,2689333.0,0.93,0.21
2023-04-25,3.557,3.568,3.533,3.556,7141,2804419.0,0.98,0.22
2023-04-26,3.556,3.562,3.534,3.539,4923,1932192.0,0.79,0.15
2023-04-27,3.536,3.54,3.521,3.528,2541,992239.0,0.54,0.08
2023-04-28,3.528,3.541,3.521,3.541,6405,2505375.0,0.57,0.2
2023-05-04,3.547,3.547,3.512,3.515,6114,2385163.0,0.99,0.19
2023-05-05,3.527,3.527,3.509,3.512,3686,1434676.0,0.51,0.11
2023-05-08,3.512,3.536,3.49,3.493,5845,2271242.0,1.31,0.18
2023-05-09,3.492,3.492,3.453,3.459,9747,3742567.0,1.12,0.3
2023-05-10,3.446,3.546,3.427,3.545,21013,8156812.0,3.44,0.65
2023-05-11,3.547,3.567,3.533,3.546,4959,1945723.0,0.96,0.15
2023-05-12,3.546,3.551,3.53,3.54,6795,2665646.0,0.59,0.21
2023-05-15,3.54,3.54,3.481,3.521,7919,3077317.0,1.67,0.25
2023-05-16,3.521,3.549,3.487,3.541,5331,2077326.0,1.76,0.17
2023-05-17,3.546,3.567,3.529,3.535,9010,3537055.0,1.07,0.28
2023-05-18,3.537,3.545,3.507,3.537,5217,2037035.0,1.07,0.16
2023-05-19,3.536,3.537,3.516,3.528,1702,664354.0,0.59,0.05
2023-05-22,3.527,3.548,3.482,3.519,13433,5230613.0,1.87,0.42
2023-05-23,3.519,3.519,3.491,3.501,9062,3519173.0,0.8,0.28
2023-05-24,3.501,3.503,3.462,3.494,6700,2586899.0,1.17,0.21
2023-05-25,3.493,3.493,3.458,3.473,9857,3794169.0,1.0,0.31
2023-05-26,3.473,3.492,3.447,3.475,2625,1011564.0,1.3,0.08
2023-05-29,3.471,3.471,3.451,3.452,6000,2301854.0,0.58,0.19
2023-05-30,3.456,3.47,3.409,3.421,9698,3689524.0,1.77,0.3
2023-05-31,3.42,3.42,3.343,3.351,7379,2756390.0,2.25,0.23
2023-06-01,3.351,3.374,3.321,3.33,9195,3433529.0,1.58,0.29
2023-06-02,3.33,3.356,3.315,3.352,6595,2441935.0,1.23,0.21
2023-06-05,3.352,3.352,3.288,3.301,11625,4281543.0,1.91,0.36
2023-06-06,3.298,3.298,3.129,3.216,33327,11866804.0,5.12,1.04
2023-06-07,3.213,3.232,3.169,3.231,8945,3198089.0,1.96,0.28
2023-06-08,3.232,3.332,3.227,3.327,8367,3058875.0,3.25,0.26
2023-06-09,3.332,3.371,3.301,3.305,6857,2544258.0,2.1,0.21
2023-06-12,3.31,3.321,3.252,3.314,8613,3154151.0,2.09,0.27
2023-06-13,3.309,3.322,3.274,3.321,3161,1168776.0,1.45,0.1
2023-06-14,3.321,3.339,3.281,3.299,4232,1558746.0,1.75,0.13
2023-06-15,3.299,3.299,3.271,3.294,6128,2244452.0,0.85,0.19
