日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-12-17,3.862,3.862,3.862,3.862,80863,33639070.0,0.0,1.13
2021-12-20,4.277,4.278,4.082,4.164,834414,380064752.0,5.08,11.62
2021-12-21,4.164,4.192,3.862,4.011,258042,111199493.0,7.93,3.59
2021-12-22,4.0,4.102,3.873,4.044,192902,81956141.0,5.71,2.69
2021-12-23,4.047,4.217,4.047,4.192,126095,56244902.0,4.2,1.76
2021-12-24,4.193,4.24,4.133,4.185,80269,35926536.0,2.55,1.12
2021-12-27,4.185,4.202,4.142,4.189,42511,19023072.0,1.43,0.59
2021-12-28,4.189,4.192,4.176,4.18,45491,20376031.0,0.38,0.63
2021-12-29,4.18,4.182,4.152,4.153,41240,18387227.0,0.72,0.57
2021-12-30,4.158,4.165,4.102,4.108,57014,25204133.0,1.52,0.79
2021-12-31,4.107,4.155,4.097,4.15,45610,20157442.0,1.41,0.63
2022-01-04,4.151,4.178,4.151,4.159,46322,20668536.0,0.65,0.64
2022-01-05,4.16,4.16,4.146,4.15,32556,14480562.0,0.34,0.45
2022-01-06,4.15,4.153,4.144,4.147,23918,10632552.0,0.22,0.33
2022-01-07,4.147,4.152,4.131,4.133,35365,15683243.0,0.51,0.49
2022-01-10,4.133,4.133,4.12,4.122,32368,14307887.0,0.31,0.45
2022-01-11,4.121,4.127,4.101,4.127,50711,22335502.0,0.63,0.71
2022-01-12,4.132,4.205,4.127,4.197,84801,37989378.0,1.89,1.18
2022-01-13,4.195,4.251,4.162,4.201,76125,34317279.0,2.12,1.06
2022-01-14,4.198,4.2,4.168,4.185,60820,27241770.0,0.76,0.85
2022-01-17,4.185,4.224,4.185,4.222,60635,27383209.0,0.93,0.84
2022-01-18,4.22,4.221,4.181,4.188,53363,23949672.0,0.95,0.74
2022-01-19,4.188,4.21,4.179,4.192,47543,21340702.0,0.74,0.66
2022-01-20,4.192,4.209,4.189,4.2,69600,31276403.0,0.48,0.97
2022-01-21,4.201,4.247,4.201,4.246,63673,28822170.0,1.1,0.89
2022-01-24,4.249,4.427,4.246,4.342,125437,58144146.0,4.26,1.75
2022-01-25,4.344,4.382,4.291,4.305,66028,30468709.0,2.1,0.92
2022-01-26,4.297,4.336,4.257,4.316,57222,26346548.0,1.84,0.8
2022-01-27,4.314,4.314,4.282,4.295,55863,25670412.0,0.74,0.78
2022-01-28,4.296,4.387,4.296,4.381,52653,24436483.0,2.12,0.73
2022-02-07,4.381,4.578,4.381,4.574,82706,39613295.0,4.5,1.15
2022-02-08,4.574,4.842,4.574,4.805,174224,88065823.0,5.86,2.43
2022-02-09,4.802,4.802,4.672,4.771,109120,54671779.0,2.71,1.52
2022-02-10,4.758,4.874,4.674,4.814,102617,52484343.0,4.19,1.43
2022-02-11,4.822,5.147,4.802,5.135,122460,64994083.0,7.17,1.7
2022-02-14,5.134,5.502,4.862,5.257,155734,86724596.0,12.46,2.17
2022-02-16,5.257,5.257,4.982,5.119,170347,92458859.0,5.23,2.37
2022-02-17,5.12,5.15,4.818,4.952,198582,104645307.0,6.49,2.76
2022-02-18,4.941,5.052,4.801,5.014,156512,81539062.0,5.07,2.18
2022-02-21,5.016,5.161,5.016,5.103,96268,51858085.0,2.89,1.34
2022-02-22,5.095,5.095,4.862,4.893,115940,60632500.0,4.57,1.61
2022-02-23,4.882,4.902,4.692,4.849,102786,52327270.0,4.29,1.43
2022-02-24,4.787,4.839,4.712,4.731,92964,47014325.0,2.62,1.29
2022-02-25,4.732,4.852,4.732,4.808,58637,29948226.0,2.54,0.82
2022-02-28,4.808,4.853,4.762,4.772,44897,22836094.0,1.89,0.63
2022-03-01,4.767,4.767,4.548,4.58,127944,62795996.0,4.59,1.78
2022-03-02,4.552,4.713,4.384,4.699,113561,55327207.0,7.18,1.58
2022-03-03,4.699,4.818,4.602,4.813,78487,39746524.0,4.6,1.09
2022-03-04,4.814,4.892,4.723,4.768,87334,44480233.0,3.51,1.22
2022-03-07,4.702,4.748,4.612,4.664,68367,34035422.0,2.85,0.95
2022-03-08,4.662,4.662,4.532,4.534,70766,34477883.0,2.79,0.99
2022-03-09,4.502,4.602,4.43,4.492,134327,64196637.0,3.79,1.87
2022-03-10,4.591,4.591,4.47,4.498,103745,49956880.0,2.69,1.44
2022-03-11,4.434,4.505,4.402,4.503,74334,35260371.0,2.29,1.03
2022-03-14,4.447,4.473,4.412,4.429,35511,16842756.0,1.35,0.49
2022-03-15,4.427,4.427,4.252,4.261,101844,46988792.0,3.95,1.42
2022-03-16,4.253,4.442,4.182,4.437,100606,46081916.0,6.1,1.4
