日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-07-23,6.511,6.511,6.132,6.156,69681,50402390.0,6.99,4.36
2024-07-24,6.153,6.211,5.941,6.185,22547,15921165.0,4.39,1.41
2024-07-25,6.177,6.186,6.126,6.167,9989,7153246.0,0.97,0.62
2024-07-26,6.151,6.166,6.046,6.092,30389,21498107.0,1.95,1.9
2024-07-29,6.08,6.156,6.02,6.098,16730,11851246.0,2.23,1.05
2024-07-30,6.067,6.156,6.067,6.126,8512,6046024.0,1.46,0.53
2024-07-31,6.156,6.156,6.091,6.127,3449,2455712.0,1.06,0.22
2024-08-01,6.128,6.201,6.128,6.197,11962,8571860.0,1.19,0.75
2024-08-02,6.182,6.251,6.131,6.242,7969,5747666.0,1.94,0.5
2024-08-05,6.233,6.407,6.233,6.399,8108,5958677.0,2.79,0.51
2024-08-06,6.366,6.511,6.366,6.504,5228,3906098.0,2.27,0.33
2024-08-07,6.504,6.679,6.504,6.664,13887,10555910.0,2.69,0.87
2024-08-08,6.701,6.701,6.588,6.637,21036,16066952.0,1.7,1.31
2024-08-09,6.623,6.662,6.571,6.659,7536,5732109.0,1.37,0.47
2024-08-12,6.631,6.691,6.617,6.652,4669,3565982.0,1.11,0.29
2024-08-13,6.618,6.706,6.584,6.63,18625,14187303.0,1.83,1.16
2024-08-14,6.631,6.651,6.604,6.651,4598,3503911.0,0.71,0.29
2024-08-15,6.646,6.65,6.589,6.6,5469,4160946.0,0.92,0.34
2024-08-16,6.567,6.633,6.567,6.609,2101,1598171.0,1.0,0.13
2024-08-19,6.635,6.639,6.549,6.601,5192,3932710.0,1.36,0.32
2024-08-20,6.606,6.61,6.551,6.596,3488,2640166.0,0.89,0.22
2024-08-21,6.596,6.627,6.568,6.602,1668,1264959.0,0.89,0.1
2024-08-22,6.604,6.651,6.585,6.611,2222,1690032.0,1.0,0.14
2024-08-23,6.671,6.696,6.601,6.61,3604,2738138.0,1.44,0.23
2024-08-26,6.63,6.63,6.561,6.604,4028,3052768.0,1.04,0.25
2024-08-27,6.599,6.656,6.571,6.625,2696,2046843.0,1.29,0.17
2024-08-28,6.625,6.632,6.562,6.624,3852,2925946.0,1.06,0.24
2024-08-29,6.661,6.661,6.541,6.606,10466,7932785.0,1.81,0.65
2024-08-30,6.606,6.631,6.606,6.629,1599,1217381.0,0.38,0.1
2024-09-02,6.661,6.661,6.616,6.632,3011,2294233.0,0.68,0.19
2024-09-03,6.621,6.661,6.573,6.624,3970,3018366.0,1.33,0.25
2024-09-04,6.528,6.658,6.528,6.656,4934,3737672.0,1.96,0.31
2024-09-05,6.651,6.75,6.62,6.7,5885,4511210.0,1.95,0.37
2024-09-06,6.702,6.739,6.689,6.738,3612,2781225.0,0.75,0.23
2024-09-09,6.738,6.811,6.728,6.739,1587,1227423.0,1.23,0.1
2024-09-10,6.781,6.781,6.711,6.768,2709,2093988.0,1.04,0.17
2024-09-11,6.77,6.799,6.738,6.76,916,709892.0,0.9,0.06
2024-09-12,6.781,6.782,6.682,6.691,1718,1325853.0,1.48,0.11
2024-09-13,6.71,6.782,6.665,6.781,5715,4409233.0,1.75,0.36
2024-09-18,6.936,6.936,6.742,6.79,1579,1229408.0,2.86,0.1
2024-09-19,6.79,6.82,6.676,6.69,6469,4996230.0,2.12,0.4
2024-09-20,6.692,6.75,6.661,6.69,1088,835115.0,1.33,0.07
2024-09-23,6.711,6.711,6.616,6.671,598,457906.0,1.42,0.04
2024-09-24,6.771,6.771,6.511,6.67,1652,1257237.0,3.9,0.1
2024-09-25,6.745,6.745,6.586,6.687,1520,1166980.0,2.38,0.1
2024-09-26,6.647,6.711,6.623,6.684,1534,1176722.0,1.32,0.1
2024-09-27,6.677,6.684,6.652,6.676,1169,896540.0,0.48,0.07
2024-09-30,6.638,6.656,6.228,6.656,2324,1764690.0,6.41,0.15
2024-10-08,6.643,6.643,6.382,6.591,2757,2088900.0,3.92,0.17
2024-10-09,6.384,6.591,6.384,6.557,1648,1239193.0,3.14,0.1
2024-10-10,6.511,6.571,6.461,6.531,1662,1246170.0,1.68,0.1
2024-10-11,6.382,6.698,6.382,6.55,2819,2123608.0,4.84,0.18
2024-10-14,6.529,6.571,6.506,6.561,3452,2598021.0,0.99,0.22
2024-10-15,6.591,6.603,6.514,6.595,3206,2424441.0,1.36,0.2
2024-10-16,6.562,6.651,6.534,6.635,4341,3290750.0,1.77,0.27
2024-10-17,6.631,6.763,6.615,6.68,4401,3370852.0,2.23,0.28
2024-10-18,6.761,6.761,6.616,6.691,3618,2770812.0,2.17,0.23
2024-10-21,6.69,6.709,6.626,6.669,2383,1825196.0,1.24,0.15
2024-10-22,6.668,6.71,6.639,6.685,4319,3308743.0,1.06,0.27
