日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-03-29,8.317,8.768,8.259,8.511,214109,233750260.0,6.97,15.63
2023-03-30,8.514,8.519,8.389,8.428,22251,24299705.0,1.53,1.62
2023-03-31,8.417,8.5,8.37,8.471,18926,20697486.0,1.54,1.38
2023-04-03,8.467,8.469,8.389,8.468,15390,16770615.0,0.94,1.12
2023-04-04,8.449,8.449,8.386,8.386,12290,13367222.0,0.74,0.9
2023-04-06,8.386,8.388,8.357,8.358,10344,11236343.0,0.37,0.76
2023-04-07,8.319,8.352,8.314,8.327,9071,9804905.0,0.45,0.66
2023-04-10,8.309,8.326,8.241,8.303,10530,11312435.0,1.02,0.77
2023-04-11,8.298,8.304,8.265,8.302,5286,5686061.0,0.47,0.39
2023-04-12,8.303,8.303,8.279,8.287,2843,3061255.0,0.29,0.21
2023-04-13,8.287,8.287,8.245,8.246,4173,4478892.0,0.51,0.3
2023-04-14,8.245,8.298,8.217,8.296,4355,4673215.0,0.98,0.32
2023-04-17,8.296,8.442,8.296,8.434,8315,9009916.0,1.76,0.61
2023-04-18,8.434,8.446,8.419,8.44,10360,11307865.0,0.32,0.76
2023-04-19,8.442,8.443,8.369,8.434,3429,3727533.0,0.88,0.25
2023-04-20,8.434,8.434,8.369,8.418,3116,3392614.0,0.77,0.23
2023-04-21,8.419,8.419,8.309,8.372,5705,6182624.0,1.31,0.42
2023-04-24,8.371,8.371,8.314,8.347,5871,6346848.0,0.68,0.43
2023-04-25,8.347,8.347,8.265,8.346,4487,4842117.0,0.98,0.33
2023-04-26,8.337,8.337,8.256,8.273,16171,17390160.0,0.97,1.18
2023-04-27,8.27,8.27,8.11,8.125,6191,6588895.0,1.93,0.45
2023-04-28,8.115,8.159,8.039,8.158,5758,6099685.0,1.48,0.42
2023-05-04,8.157,8.162,7.9,7.939,11302,11852608.0,3.21,0.83
2023-05-05,7.962,8.019,7.719,7.858,7126,7391986.0,3.78,0.52
2023-05-08,7.858,7.858,7.799,7.812,8481,8745407.0,0.75,0.62
2023-05-09,7.812,7.812,7.679,7.757,10148,10377374.0,1.7,0.74
2023-05-10,7.739,7.885,7.688,7.875,24231,24911868.0,2.54,1.77
2023-05-11,7.917,8.039,7.868,8.036,12517,13055079.0,2.17,0.91
2023-05-12,8.036,8.135,7.989,8.135,6055,6355228.0,1.82,0.44
2023-05-15,8.135,8.135,8.02,8.038,5154,5434119.0,1.41,0.38
2023-05-16,8.038,8.128,8.038,8.088,7112,7491051.0,1.12,0.52
2023-05-17,8.089,8.089,8.047,8.048,5524,5828140.0,0.52,0.4
2023-05-18,7.951,8.062,7.949,8.049,5887,6184799.0,1.4,0.43
2023-05-19,8.019,8.037,7.968,8.037,5276,5537619.0,0.86,0.39
2023-05-22,8.037,8.037,7.99,8.0,6263,6565459.0,0.58,0.46
2023-05-23,8.0,8.048,8.0,8.009,5371,5634098.0,0.6,0.39
2023-05-24,7.953,8.123,7.953,8.087,7372,7736664.0,2.12,0.54
2023-05-25,8.09,8.147,8.089,8.123,8966,9503730.0,0.72,0.65
2023-05-26,8.119,8.147,8.076,8.106,14375,15228050.0,0.87,1.05
2023-05-29,8.124,8.313,8.102,8.105,10110,10806994.0,2.6,0.74
2023-05-30,8.104,8.234,8.065,8.089,4825,5107356.0,2.09,0.35
2023-05-31,8.088,8.088,7.905,7.94,5414,5661737.0,2.26,0.4
2023-06-01,7.944,7.944,7.854,7.857,10104,10453520.0,1.13,0.74
2023-06-02,7.84,7.916,7.84,7.894,3667,3802722.0,0.97,0.27
2023-06-05,7.84,8.01,7.84,7.919,4319,4498315.0,2.15,0.32
2023-06-06,7.953,7.953,7.53,7.58,12270,12472166.0,5.34,0.9
2023-06-07,7.566,7.709,7.56,7.632,8123,8209681.0,1.97,0.59
2023-06-08,7.632,7.949,7.632,7.937,9692,9903435.0,4.15,0.71
2023-06-09,7.938,8.018,7.819,7.926,10305,10691182.0,2.51,0.75
2023-06-12,7.875,7.928,7.718,7.91,5473,5675635.0,2.65,0.4
2023-06-13,7.916,8.009,7.853,7.945,6663,6947714.0,1.97,0.49
2023-06-14,7.939,8.009,7.852,7.969,5761,6004537.0,1.98,0.42
2023-06-15,7.969,8.095,7.919,7.972,1429,1493686.0,2.21,0.1
2023-06-16,7.973,8.055,7.863,8.046,10315,10784342.0,2.41,0.75
2023-06-19,8.046,8.046,7.843,7.979,8609,8984498.0,2.52,0.63
2023-06-20,7.979,8.009,7.857,7.978,3270,3406589.0,1.91,0.24
2023-06-21,7.951,8.031,7.899,7.989,3806,3978344.0,1.65,0.28
2023-06-26,7.983,8.099,7.878,7.95,5327,5555533.0,2.77,0.39
2023-06-27,7.95,8.008,7.795,7.872,9966,10334825.0,2.68,0.73
2023-06-28,7.872,7.872,7.679,7.71,4750,4854867.0,2.45,0.35
2023-06-29,7.703,7.779,7.629,7.678,4456,4515175.0,1.95,0.33
2023-06-30,7.678,7.713,7.526,7.699,8584,8658226.0,2.44,0.63
2023-07-03,7.698,7.698,7.509,7.522,12486,12520461.0,2.45,0.91
2023-07-04,7.517,7.654,7.504,7.525,9300,9317964.0,1.99,0.68
2023-07-05,7.525,7.596,7.47,7.486,5353,5335990.0,1.67,0.39
2023-07-06,7.464,7.817,7.464,7.795,24992,25319391.0,4.72,1.82
2023-07-07,7.795,7.986,7.663,7.883,24219,25086667.0,4.14,1.77
2023-07-10,7.868,8.001,7.771,7.854,14115,14641974.0,2.92,1.03
2023-07-11,7.859,7.954,7.78,7.831,3695,3825307.0,2.22,0.27
2023-07-12,7.849,7.894,7.709,7.787,7134,7303822.0,2.36,0.52
2023-07-13,7.789,7.897,7.735,7.892,5635,5799582.0,2.08,0.41
2023-07-14,7.893,7.999,7.75,7.955,6188,6447688.0,3.16,0.45
2023-07-17,8.017,8.145,7.947,8.111,14015,14734196.0,2.49,1.02
2023-07-18,8.134,8.301,8.111,8.227,11158,11931541.0,2.34,0.81
2023-07-19,8.219,8.318,8.144,8.189,13031,13997942.0,2.11,0.95
2023-07-20,8.189,8.189,8.009,8.114,2193,2321862.0,2.2,0.16
2023-07-21,8.077,8.159,8.049,8.113,15663,16583663.0,1.36,1.14
2023-07-24,8.099,8.147,8.072,8.116,13589,14399779.0,0.92,0.99
2023-07-25,8.087,8.169,8.071,8.11,8929,9463171.0,1.21,0.65
2023-07-26,8.08,8.119,8.015,8.047,1994,2103600.0,1.28,0.15
2023-07-27,8.019,8.047,7.988,7.996,3028,3172476.0,0.73,0.22
2023-07-28,7.965,8.019,7.965,8.0,2073,2173163.0,0.68,0.15
2023-07-31,7.991,8.052,7.991,8.019,4988,5237143.0,0.76,0.36
2023-08-01,8.019,8.069,8.009,8.057,8152,8588049.0,0.75,0.6
2023-08-02,8.057,8.118,8.017,8.1,4587,4851030.0,1.25,0.33
2023-08-03,8.103,8.211,8.103,8.174,3801,4049933.0,1.33,0.28
2023-08-04,8.148,8.163,8.123,8.132,2412,2565390.0,0.49,0.18
2023-08-07,8.132,8.139,8.041,8.119,6358,6725211.0,1.21,0.46
2023-08-08,8.118,8.149,8.115,8.14,3755,3982576.0,0.42,0.27
2023-08-09,8.172,8.247,8.147,8.245,2931,3137058.0,1.23,0.21
2023-08-10,8.224,8.316,8.203,8.312,5778,6203150.0,1.37,0.42
2023-08-11,8.312,8.319,8.282,8.292,3405,3673976.0,0.45,0.25
2023-08-14,8.283,8.312,8.22,8.312,5133,5501023.0,1.11,0.37
2023-08-15,8.283,8.379,8.258,8.373,8339,9044765.0,1.46,0.61
2023-08-16,8.335,8.394,8.335,8.368,1725,1870760.0,0.7,0.13
2023-08-17,8.368,8.389,8.335,8.358,1943,2105099.0,0.65,0.14
2023-08-18,8.374,8.374,8.309,8.369,2045,2218124.0,0.78,0.15
2023-08-21,8.374,8.409,8.335,8.348,2043,2217009.0,0.88,0.15
2023-08-22,8.348,8.369,8.179,8.336,4666,5006435.0,2.28,0.34
2023-08-23,8.334,8.334,8.227,8.312,7193,7719329.0,1.28,0.53
2023-08-24,8.307,8.336,8.283,8.324,3395,3666196.0,0.64,0.25
2023-08-25,8.309,8.337,8.284,8.298,3223,3476139.0,0.64,0.24
2023-08-28,8.337,8.429,8.298,8.407,9607,10455714.0,1.58,0.7
2023-08-29,8.397,8.429,8.397,8.426,1518,1655600.0,0.38,0.11
2023-08-30,8.394,8.474,8.394,8.449,3535,3859564.0,0.95,0.26
2023-08-31,8.435,8.435,8.413,8.433,8945,9761228.0,0.26,0.65
2023-09-01,8.433,8.434,8.338,8.389,1912,2082024.0,1.14,0.14
2023-09-04,8.389,8.409,8.337,8.356,5380,5846800.0,0.86,0.39
2023-09-05,8.355,8.399,8.339,8.389,7393,8014806.0,0.72,0.54
2023-09-06,8.389,8.413,8.361,8.392,662,719600.0,0.62,0.05
2023-09-07,8.405,8.413,8.398,8.413,1028,1119705.0,0.18,0.08
2023-09-08,8.396,8.429,8.396,8.422,989,1078016.0,0.39,0.07
2023-09-11,8.438,8.491,8.43,8.459,2974,3253196.0,0.72,0.22
2023-09-12,8.464,8.491,8.388,8.466,5397,5904536.0,1.22,0.39
2023-09-13,8.439,8.469,8.426,8.469,4176,4569347.0,0.51,0.3
2023-09-14,8.468,8.49,8.422,8.46,4677,5120688.0,0.8,0.34
2023-09-15,8.459,8.46,8.413,8.426,4211,4599123.0,0.56,0.31
2023-09-18,8.418,8.418,8.379,8.4,2897,3153147.0,0.46,0.21
2023-09-19,8.389,8.389,8.283,8.364,2073,2247207.0,1.26,0.15
2023-09-20,8.364,8.369,8.313,8.369,4323,4675805.0,0.67,0.32
2023-09-21,8.359,8.488,8.28,8.387,4131,4479523.0,2.49,0.3
2023-09-22,8.379,8.402,8.338,8.385,3847,4169960.0,0.76,0.28
2023-09-25,8.396,8.396,8.355,8.366,3806,4126950.0,0.49,0.28
2023-09-26,8.361,8.409,8.361,8.409,6248,6779048.0,0.57,0.46
2023-09-27,8.409,8.409,8.365,8.404,2264,2462071.0,0.52,0.17
2023-09-28,8.404,8.517,8.404,8.488,3028,3311073.0,1.34,0.22
2023-10-09,8.479,8.479,8.439,8.478,9307,10185127.0,0.47,0.68
2023-10-10,8.439,8.495,8.438,8.487,6429,7044146.0,0.67,0.47
2023-10-11,8.488,8.495,8.443,8.478,6940,7609145.0,0.61,0.51
2023-10-12,8.488,8.489,8.437,8.453,4606,5038229.0,0.61,0.34
2023-10-13,8.448,8.469,8.369,8.377,3831,4167071.0,1.18,0.28
2023-10-16,8.361,8.377,8.184,8.376,2987,3219041.0,2.3,0.22
2023-10-17,8.284,8.284,8.179,8.19,7227,7728856.0,1.25,0.53
2023-10-18,8.179,8.189,8.128,8.146,11908,12687640.0,0.74,0.87
2023-10-19,8.142,8.142,8.082,8.141,2561,2713891.0,0.74,0.19
2023-10-20,8.102,8.127,7.984,8.109,2795,2952682.0,1.76,0.2
2023-10-23,8.077,8.077,7.929,7.96,6817,7124923.0,1.83,0.5
2023-10-24,7.96,8.123,7.919,8.119,12590,13197920.0,2.56,0.92
2023-10-25,8.112,8.316,8.112,8.148,8194,8759133.0,2.51,0.6
2023-10-26,8.148,8.296,7.929,8.117,10680,11342702.0,4.5,0.78
2023-10-27,8.117,8.268,8.05,8.202,16825,17884341.0,2.69,1.23
2023-10-30,8.228,8.228,8.12,8.179,6641,7081864.0,1.32,0.48
2023-10-31,8.185,8.22,8.149,8.214,5816,6209051.0,0.87,0.42
2023-11-01,8.209,8.209,8.119,8.197,5786,6174104.0,1.1,0.42
2023-11-02,8.171,8.171,8.119,8.14,8235,8738796.0,0.63,0.6
2023-11-03,8.151,8.207,8.119,8.132,7425,7904764.0,1.08,0.54
2023-11-06,8.132,8.148,8.071,8.145,12181,12871337.0,0.95,0.89
2023-11-07,8.137,8.149,7.97,8.116,8582,9083978.0,2.2,0.63
2023-11-08,8.209,8.325,8.144,8.315,16193,17385450.0,2.23,1.18
2023-11-09,8.32,8.507,8.32,8.479,7350,8045253.0,2.25,0.54
2023-11-10,8.519,8.521,8.457,8.462,9611,10522712.0,0.75,0.7
2023-11-13,8.441,8.441,8.1,8.389,7125,6993759.0,4.03,0.52
2023-11-14,8.387,8.388,8.291,8.298,8200,7960355.0,1.16,0.6
2023-11-15,8.277,8.301,8.258,8.265,3320,3212138.0,0.52,0.24
2023-11-16,8.265,8.265,7.816,8.205,7521,7267180.0,5.43,0.55
2023-11-17,8.205,8.221,8.172,8.19,3796,3644738.0,0.6,0.28
2023-11-20,8.174,8.217,8.174,8.178,11404,10938179.0,0.53,0.83
2023-11-21,8.191,8.197,8.174,8.188,7732,7423549.0,0.28,0.56
2023-11-22,8.216,8.216,8.145,8.15,6376,6106480.0,0.87,0.47
2023-11-23,8.15,8.156,8.1,8.103,6898,6581471.0,0.69,0.5
2023-11-24,8.099,8.099,8.041,8.072,5115,4846111.0,0.72,0.37
2023-11-27,8.063,8.111,7.891,7.903,6166,5778256.0,2.73,0.45
2023-11-28,7.866,8.109,7.857,7.939,6096,5707244.0,3.19,0.44
2023-11-29,7.939,7.943,7.908,7.928,13807,12887766.0,0.44,1.01
2023-11-30,7.928,8.151,7.928,8.146,20147,19048816.0,2.81,1.47
2023-12-01,8.146,8.241,8.127,8.184,13460,12884676.0,1.4,0.98
2023-12-04,8.203,8.291,8.174,8.255,6354,6111577.0,1.43,0.46
2023-12-05,8.216,8.291,8.066,8.176,13884,13369227.0,2.73,1.01
2023-12-06,8.136,8.242,8.131,8.198,8056,7734953.0,1.36,0.59
2023-12-07,8.174,8.248,8.111,8.246,7369,7035950.0,1.67,0.54
2023-12-08,8.205,8.249,8.073,8.182,13152,12566902.0,2.13,0.96
2023-12-11,8.179,8.179,8.096,8.125,14432,13771143.0,1.01,1.05
2023-12-12,8.141,8.191,7.991,8.037,7162,6791711.0,2.46,0.52
2023-12-13,7.997,8.091,7.961,8.043,6910,6512634.0,1.62,0.5
2023-12-14,8.003,8.401,7.911,8.052,10616,10032851.0,6.09,0.77
2023-12-15,8.012,8.101,7.896,7.99,8618,8115505.0,2.55,0.63
2023-12-18,7.99,8.021,7.922,7.933,8019,7491690.0,1.24,0.59
2023-12-19,8.091,8.091,7.884,7.936,9852,9225469.0,2.61,0.72
2023-12-20,7.961,8.056,7.872,8.052,9787,9151398.0,2.32,0.71
2023-12-21,8.072,8.289,8.052,8.24,14637,14015903.0,2.94,1.07
2023-12-22,8.246,8.399,8.222,8.341,14291,13837793.0,2.15,1.04
2023-12-25,8.34,8.382,8.138,8.284,21255,20427309.0,2.93,1.55
2023-12-26,8.244,8.254,8.011,8.189,17460,16693330.0,2.93,1.27
2023-12-27,8.149,8.229,8.038,8.055,16668,15844235.0,2.33,1.22
2023-12-28,8.015,8.191,8.015,8.159,10083,9592763.0,2.18,0.74
2023-12-29,8.161,8.361,8.137,8.292,8797,8438685.0,2.75,0.64
2024-01-02,8.248,8.267,8.12,8.12,13402,12871218.0,1.77,0.98
2024-01-03,8.12,8.151,7.999,8.012,9972,9427619.0,1.87,0.73
2024-01-04,7.999,8.001,7.903,7.921,12657,11837891.0,1.22,0.92
2024-01-05,7.921,7.979,7.861,7.865,12084,11279899.0,1.49,0.88
2024-01-08,7.863,7.879,7.824,7.87,12606,11665569.0,0.7,0.92
2024-01-09,7.871,7.962,7.836,7.845,12712,11835088.0,1.6,0.93
2024-01-10,7.849,7.876,7.806,7.845,12328,11404030.0,0.89,0.9
2024-01-11,7.845,7.95,7.831,7.949,16692,15580148.0,1.52,1.22
2024-01-12,7.971,7.971,7.911,7.955,9644,9025075.0,0.75,0.7
2024-01-15,7.982,8.065,7.956,8.044,16721,15687969.0,1.37,1.22
2024-01-16,8.044,8.11,8.044,8.095,14609,13873509.0,0.82,1.07
2024-01-17,8.118,8.189,8.074,8.115,12812,12223261.0,1.42,0.94
2024-01-18,8.116,8.139,8.067,8.093,8321,7909978.0,0.89,0.61
2024-01-19,8.097,8.097,8.011,8.012,7721,7283972.0,1.06,0.56
2024-01-22,7.988,8.076,7.941,7.96,9047,8485464.0,1.68,0.66
2024-01-23,7.954,7.954,7.841,7.88,13664,12690523.0,1.42,1.0
2024-01-24,7.84,7.98,7.84,7.883,9189,8563656.0,1.78,0.67
2024-01-25,7.851,7.946,7.851,7.912,17761,16564331.0,1.21,1.3
2024-01-26,7.911,8.25,7.871,7.904,8764,8171973.0,4.79,0.64
2024-01-29,7.901,7.923,7.876,7.882,14661,13640661.0,0.59,1.07
2024-01-30,7.882,7.888,7.863,7.871,12719,11808410.0,0.32,0.93
2024-01-31,7.871,7.886,7.841,7.866,15507,14383852.0,0.57,1.13
2024-02-01,7.86,7.861,7.827,7.827,10474,9687258.0,0.43,0.76
2024-02-02,7.843,7.843,7.798,7.816,17432,16068636.0,0.57,1.27
2024-02-05,7.838,7.838,7.793,7.797,16634,15322260.0,0.58,1.21
2024-02-06,7.796,7.83,7.796,7.809,9521,8776198.0,0.44,0.69
2024-02-07,7.811,7.815,7.797,7.812,13825,12741510.0,0.23,1.01
2024-02-08,7.919,7.922,7.812,7.921,6839,6367341.0,1.41,0.5
2024-02-19,7.921,8.113,7.921,8.112,16912,15935235.0,2.42,1.23
2024-02-20,8.131,8.28,7.99,8.077,12395,11871063.0,3.57,0.9
2024-02-21,8.043,8.171,8.037,8.131,15221,14460671.0,1.66,1.11
2024-02-22,8.131,8.241,8.047,8.241,17703,17004682.0,2.39,1.29
2024-02-23,8.235,8.391,8.235,8.381,17319,16863712.0,1.89,1.26
2024-02-26,8.381,8.941,8.352,8.718,17854,17959175.0,7.03,1.3
2024-02-27,8.72,8.844,8.395,8.475,21980,21989087.0,5.15,1.6
2024-02-28,8.474,8.551,8.393,8.439,22550,22305021.0,1.86,1.65
2024-02-29,8.403,8.67,8.37,8.524,21664,21551165.0,3.55,1.58
2024-03-01,8.524,8.691,8.524,8.647,20087,20192207.0,1.96,1.47
2024-03-04,8.648,8.891,8.607,8.887,19898,20323373.0,3.28,1.45
2024-03-05,8.847,9.079,8.847,9.02,27746,28991260.0,2.61,2.03
2024-03-06,8.947,9.071,8.687,8.791,20341,20994405.0,4.26,1.48
2024-03-07,8.789,8.933,8.754,8.82,25310,25814192.0,2.04,1.85
2024-03-08,8.804,8.991,8.804,8.99,13241,13683261.0,2.12,0.97
2024-03-11,8.991,9.033,8.986,9.016,15417,16070772.0,0.52,1.13
2024-03-12,9.017,9.017,8.964,8.991,18664,19387633.0,0.59,1.36
2024-03-13,8.991,8.992,8.761,8.85,19507,20166433.0,2.57,1.42
2024-03-14,8.81,8.871,8.767,8.811,7062,7214958.0,1.18,0.52
2024-03-15,8.812,8.941,8.591,8.787,11569,11802768.0,3.97,0.84
2024-03-18,8.802,8.802,8.738,8.776,10163,10352163.0,0.73,0.74
2024-03-19,8.776,8.777,8.653,8.767,5604,5690813.0,1.41,0.41
2024-03-20,8.755,8.781,8.681,8.691,7644,7745578.0,1.14,0.56
2024-03-21,8.677,8.701,8.636,8.671,10933,11029220.0,0.75,0.8
2024-03-22,8.653,8.671,8.536,8.587,14479,14476892.0,1.56,1.06
2024-03-25,8.587,8.614,8.545,8.561,10891,10892330.0,0.8,0.8
2024-03-26,8.561,8.571,8.514,8.537,12917,12865097.0,0.67,0.94
2024-03-27,8.537,8.601,8.537,8.585,15356,15342121.0,0.75,1.12
2024-03-28,8.585,8.641,8.517,8.571,9787,9771140.0,1.44,0.71
2024-03-29,8.571,8.571,8.311,8.432,43847,43187770.0,3.03,3.2
2024-04-01,8.431,8.431,8.203,8.355,51623,50201619.0,2.7,3.77
2024-04-02,8.359,8.371,8.273,8.301,39325,38154159.0,1.17,2.87
2024-04-03,8.302,8.561,8.288,8.468,40767,40124174.0,3.29,2.98
2024-04-08,8.469,8.605,8.443,8.595,27470,27346712.0,1.91,2.01
2024-04-09,8.603,8.691,8.551,8.662,25464,25571160.0,1.63,1.86
2024-04-10,8.66,8.701,8.622,8.686,20570,20725592.0,0.91,1.5
2024-04-11,8.686,8.731,8.677,8.705,28011,28327037.0,0.62,2.04
2024-04-12,8.706,8.706,8.591,8.703,27928,28082097.0,1.32,2.04
2024-04-15,8.663,8.663,8.505,8.571,41998,41929593.0,1.82,3.07
2024-04-16,8.531,8.609,8.42,8.58,34646,34469835.0,2.21,2.53
