日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-04-30,3.052,3.055,2.953,3.051,101800,32846158.1,3.34,1.52
2024-05-06,3.016,3.016,2.971,2.99,29863,9558066.226,1.47,0.45
2024-05-07,2.981,2.986,2.961,2.978,34049,10848524.166,0.84,0.51
2024-05-08,2.976,2.976,2.961,2.966,26779,8512239.011,0.5,0.4
2024-05-09,2.963,2.986,2.961,2.976,27666,8801561.259,0.84,0.41
2024-05-10,2.975,3.016,2.966,3.011,25050,8052588.837,1.68,0.37
2024-05-13,3.014,3.053,3.014,3.05,127607,41589537.418,1.3,1.91
2024-05-14,3.051,3.051,3.037,3.049,51857,16891773.954,0.46,0.78
2024-05-15,3.051,3.051,3.021,3.047,12560,4088921.087,0.98,0.19
2024-05-16,3.032,3.049,3.023,3.031,12958,4212132.13,0.85,0.19
2024-05-17,3.031,3.04,2.992,3.027,26168,8466982.868,1.58,0.39
2024-05-20,2.992,3.029,2.992,3.007,12890,4149909.272,1.22,0.19
2024-05-21,3.007,3.021,2.992,3.021,12508,4020685.777,0.96,0.19
2024-05-22,3.02,3.027,3.001,3.011,7262,2338114.169,0.86,0.11
2024-05-23,2.993,3.011,2.976,2.981,18369,5864891.663,1.16,0.27
2024-05-24,2.971,3.013,2.957,2.999,14339,4603066.995,1.88,0.21
2024-05-27,2.998,3.013,2.997,3.013,15481,4975982.581,0.53,0.23
2024-05-28,3.011,3.027,2.975,3.027,24778,7995002.664,1.73,0.37
2024-05-29,3.027,3.027,2.996,3.012,34760,11204363.268,1.02,0.52
2024-05-30,3.012,3.013,2.993,2.994,18987,6096841.096,0.66,0.28
2024-05-31,3.033,3.033,2.994,3.014,9493,3057041.268,1.3,0.14
2024-06-03,3.003,3.02,2.995,3.011,5974,1921830.146,0.83,0.09
2024-06-04,3.011,3.016,2.996,3.015,11298,3640816.102,0.66,0.17
2024-06-05,3.0,3.016,3.0,3.004,20459,6592381.378,0.53,0.31
2024-06-06,3.004,3.011,2.993,3.007,12634,4060182.162,0.6,0.19
2024-06-07,2.995,3.014,2.995,3.009,12591,4050004.736,0.63,0.19
2024-06-11,2.996,3.009,2.996,3.004,26291,8452293.483,0.43,0.39
2024-06-12,2.997,3.014,2.997,3.0,11921,3825243.98,0.57,0.18
2024-06-13,2.997,3.011,2.994,3.0,13097,4205611.683,0.57,0.2
2024-06-14,2.991,3.002,2.991,2.997,8085,2592749.2,0.37,0.12
2024-06-17,2.996,3.007,2.991,2.994,27663,8870061.6,0.53,0.41
2024-06-18,2.992,3.001,2.988,2.996,16264,5206945.62,0.43,0.24
2024-06-19,2.988,2.998,2.985,2.992,14458,4628168.528,0.43,0.22
2024-06-20,2.992,2.993,2.982,2.99,12153,3888245.418,0.37,0.18
2024-06-21,2.981,2.998,2.981,2.997,20370,6523308.482,0.57,0.3
2024-06-24,2.997,3.002,2.99,2.997,7157,2294441.475,0.4,0.11
2024-06-25,2.992,3.0,2.984,2.993,17867,5725626.604,0.53,0.27
2024-06-26,2.982,2.994,2.982,2.992,15831,5064558.219,0.4,0.24
2024-06-27,2.985,3.0,2.985,2.998,23254,7449533.9,0.5,0.35
2024-06-28,2.995,3.001,2.966,2.997,17433,5573457.5,1.17,0.26
2024-07-01,2.985,2.997,2.977,2.984,20493,6546515.908,0.67,0.31
