日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-08-31,3.048,3.048,2.972,3.048,335926,113169714.0,3.35,8.43
2022-09-01,3.049,3.358,3.048,3.125,294257,102164233.0,10.17,7.39
2022-09-02,3.134,3.151,3.075,3.088,72694,24898220.0,2.43,1.83
2022-09-05,3.088,3.098,3.059,3.068,22136,7531431.0,1.26,0.56
2022-09-06,3.069,3.073,3.048,3.056,34775,11789012.0,0.81,0.87
2022-09-07,3.057,3.068,3.034,3.062,18312,6212445.0,1.11,0.46
2022-09-08,3.038,3.068,3.038,3.058,34048,11547386.0,0.98,0.85
2022-09-09,3.059,3.106,3.048,3.097,41822,14235004.0,1.9,1.05
2022-09-13,3.107,3.127,3.071,3.115,34435,11863296.0,1.81,0.86
2022-09-14,3.115,3.138,3.088,3.122,42951,14821948.0,1.61,1.08
2022-09-15,3.123,3.148,3.104,3.122,25370,8749355.0,1.41,0.64
2022-09-16,3.118,3.138,3.111,3.116,19566,6748870.0,0.86,0.49
2022-09-19,3.118,3.137,3.111,3.113,19108,6595266.0,0.83,0.48
2022-09-20,3.112,3.123,3.093,3.108,9068,3124893.0,0.96,0.23
2022-09-21,3.108,3.118,3.092,3.096,18377,6307806.0,0.84,0.46
2022-09-22,3.097,3.112,3.088,3.111,19618,6742378.0,0.78,0.49
2022-09-23,3.112,3.127,3.108,3.123,41651,14378283.0,0.61,1.05
2022-09-26,3.125,3.131,3.123,3.129,35016,12116989.0,0.26,0.88
2022-09-27,3.13,3.135,3.103,3.121,45426,15677120.0,1.02,1.14
2022-09-28,3.118,3.136,3.086,3.128,20623,7123515.0,1.6,0.52
2022-09-29,3.127,3.128,3.116,3.121,10530,3635690.0,0.38,0.26
2022-09-30,3.115,3.129,3.103,3.114,18917,6522957.0,0.83,0.47
2022-10-10,3.113,3.113,3.058,3.071,27415,9355478.0,1.77,0.69
2022-10-11,3.082,3.082,2.998,3.017,42605,14298026.0,2.74,1.07
2022-10-12,3.003,3.028,2.999,3.012,15194,5076373.0,0.96,0.38
2022-10-13,3.012,3.023,3.006,3.014,19264,6444354.0,0.56,0.48
2022-10-14,3.014,3.034,3.007,3.019,13073,4378581.0,0.9,0.33
2022-10-17,3.019,3.023,3.002,3.005,22689,7586761.0,0.7,0.57
2022-10-18,3.005,3.023,3.004,3.006,19559,6540693.0,0.63,0.49
2022-10-19,3.005,3.011,2.985,2.985,15696,5228653.0,0.86,0.39
2022-10-20,2.982,2.997,2.949,2.959,18282,6034393.0,1.61,0.46
2022-10-21,2.958,2.967,2.919,2.929,20541,6705852.0,1.62,0.52
