日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-10-27,5.986,6.005,5.985,6.005,44416,33215593.0,0.33,2.36
2023-10-30,6.003,6.003,5.975,5.99,12161,9081153.0,0.47,0.65
2023-10-31,5.985,5.989,5.977,5.985,4368,3260180.0,0.2,0.23
2023-11-01,5.985,5.985,5.835,5.911,29087,21363228.0,2.51,1.55
2023-11-02,5.915,5.915,5.787,5.866,8844,6470692.0,2.17,0.47
2023-11-03,5.826,5.875,5.792,5.874,5380,3933856.0,1.41,0.29
2023-11-06,5.834,5.834,5.799,5.82,3973,2898233.0,0.6,0.21
2023-11-07,5.82,5.82,5.716,5.729,2345,1692060.0,1.79,0.12
2023-11-08,5.735,5.735,5.655,5.724,3858,2770980.0,1.4,0.21
2023-11-09,5.715,5.715,5.665,5.698,1973,1418636.0,0.87,0.11
2023-11-10,5.694,5.694,5.662,5.663,1944,1390867.0,0.56,0.1
2023-11-13,5.66,5.684,5.635,5.666,1037,741694.0,0.87,0.06
2023-11-14,5.665,5.677,5.665,5.677,1244,890232.0,0.21,0.07
2023-11-15,5.677,5.677,5.607,5.625,2534,1805247.0,1.23,0.13
2023-11-16,5.625,5.625,5.586,5.586,1857,1318395.0,0.69,0.1
2023-11-17,5.583,5.583,5.495,5.529,3807,2667818.0,1.58,0.2
2023-11-20,5.49,5.49,5.405,5.414,2881,2004307.0,1.54,0.15
2023-11-21,5.412,5.412,5.265,5.315,5048,3431157.0,2.72,0.27
2023-11-22,5.285,5.285,5.217,5.231,1942,1303242.0,1.28,0.1
2023-11-23,5.231,5.231,5.045,5.121,5825,3843104.0,3.56,0.31
2023-11-24,5.105,5.105,4.975,4.998,3936,2558343.0,2.54,0.21
2023-11-27,4.965,4.965,4.811,4.862,2835,1800612.0,3.08,0.15
2023-11-28,4.822,5.015,4.822,5.015,2399,1549346.0,3.97,0.13
2023-11-29,5.015,5.044,5.015,5.044,2888,1882073.0,0.58,0.15
2023-11-30,5.044,5.044,4.991,5.015,2386,1547855.0,1.05,0.13
2023-12-01,4.985,4.995,4.977,4.991,1906,1234821.0,0.36,0.1
2023-12-04,4.992,5.064,4.992,5.003,2453,1590753.0,1.44,0.13
2023-12-05,5.009,5.044,4.915,4.945,2981,1933660.0,2.58,0.16
2023-12-06,4.915,4.935,4.896,4.903,1652,1056292.0,0.79,0.09
2023-12-07,4.902,4.902,4.895,4.898,1761,1124188.0,0.14,0.09
2023-12-08,4.899,4.9,4.845,4.87,1750,1108458.0,1.12,0.09
2023-12-11,4.87,5.105,4.87,5.105,3208,2055953.0,4.83,0.17
2023-12-12,5.065,5.114,4.835,5.093,5495,3572057.0,5.47,0.29
2023-12-13,5.041,5.105,4.844,5.105,6541,4267019.0,5.12,0.35
2023-12-14,5.065,5.125,5.065,5.125,2040,1343837.0,1.18,0.11
2023-12-15,5.088,5.165,5.088,5.165,1527,1010584.0,1.5,0.08
2023-12-18,5.137,5.305,5.137,5.24,1996,1353977.0,3.25,0.11
2023-12-19,5.215,5.334,5.215,5.327,2357,1605349.0,2.27,0.13
2023-12-20,5.293,5.387,5.293,5.383,1539,1057252.0,1.76,0.08
2023-12-21,5.405,5.542,5.405,5.515,4065,2830865.0,2.55,0.22
2023-12-22,5.516,5.621,5.434,5.605,6655,4680830.0,3.39,0.35
2023-12-25,5.603,5.642,5.565,5.635,3792,2684491.0,1.37,0.2
2023-12-26,5.812,5.812,5.44,5.617,3175,2061271.0,6.6,0.17
2023-12-27,5.605,5.605,5.477,5.546,1050,676618.0,2.28,0.06
2023-12-28,5.545,5.57,5.485,5.547,2266,1461510.0,1.53,0.12
2023-12-29,5.547,5.625,5.507,5.621,3239,2089587.0,2.13,0.17
2024-01-02,5.595,5.595,5.545,5.545,3335,2156033.0,0.89,0.18
2024-01-03,5.536,5.536,5.411,5.417,2956,1889836.0,2.25,0.16
2024-01-04,5.417,5.417,5.296,5.346,1579,985743.0,2.23,0.08
2024-01-05,5.346,5.355,5.315,5.334,1498,934938.0,0.75,0.08
2024-01-08,5.334,5.395,5.334,5.377,2121,1334343.0,1.14,0.11
2024-01-09,5.377,5.436,5.356,5.435,921,581940.0,1.49,0.05
2024-01-10,5.435,5.54,5.435,5.54,3914,2513805.0,1.93,0.21
2024-01-11,5.54,5.734,5.54,5.73,3419,2244130.0,3.5,0.18
2024-01-12,5.745,5.807,5.621,5.636,1812,1196956.0,3.25,0.1
2024-01-15,5.625,5.625,5.445,5.592,2523,1620907.0,3.19,0.13
2024-01-16,5.573,5.595,5.495,5.558,3099,2000070.0,1.79,0.16
2024-01-17,5.572,5.695,5.543,5.678,2128,1385712.0,2.73,0.11
2024-01-18,5.689,5.689,5.515,5.579,1830,1193059.0,3.06,0.1
2024-01-19,5.539,5.571,5.516,5.522,1449,934228.0,0.99,0.08
2024-01-22,5.507,5.529,5.505,5.523,994,638201.0,0.43,0.05
2024-01-23,5.495,5.495,5.463,5.488,477,304821.0,0.58,0.03
2024-01-24,5.485,5.493,5.398,5.492,754,479343.0,1.73,0.04
2024-01-25,5.471,5.505,5.452,5.504,1487,951403.0,0.97,0.08
2024-01-26,5.514,5.519,5.505,5.515,884,567332.0,0.25,0.05
2024-01-29,5.515,5.645,5.515,5.639,3073,1990330.0,2.36,0.16
2024-01-30,5.619,5.643,5.619,5.643,1154,754106.0,0.43,0.06
2024-01-31,5.644,5.76,5.603,5.739,5619,3690016.0,2.78,0.3
2024-02-01,5.699,5.798,5.699,5.77,5795,3854711.0,1.73,0.31
2024-02-02,5.764,5.836,5.76,5.782,5157,3450169.0,1.32,0.27
2024-02-05,5.742,5.832,5.742,5.782,2544,1704028.0,1.56,0.14
2024-02-06,5.78,5.804,5.751,5.751,2256,1507610.0,0.92,0.12
2024-02-07,5.751,5.842,5.638,5.773,6735,4461347.0,3.55,0.36
2024-02-08,5.773,5.845,5.765,5.801,2097,1403400.0,1.39,0.11
2024-02-19,5.81,5.955,5.799,5.945,2299,1552603.0,2.69,0.12
2024-02-20,5.955,6.013,5.905,5.983,3842,2650158.0,1.82,0.2
2024-02-21,5.983,6.02,5.965,5.984,5891,4065249.0,0.92,0.31
2024-02-22,5.969,6.074,5.969,6.036,8625,5975150.0,1.75,0.46
2024-02-23,6.036,6.061,5.975,6.025,8827,6118845.0,1.42,0.47
2024-02-26,5.998,6.218,5.998,6.062,17502,12235251.0,3.65,0.93
2024-02-27,6.06,6.06,6.034,6.04,7340,5097644.0,0.43,0.39
2024-02-28,6.0,6.038,5.965,6.013,8488,5871799.0,1.21,0.45
2024-02-29,5.999,6.056,5.973,6.024,7822,5415835.0,1.38,0.42
2024-03-01,6.074,6.093,5.997,6.043,10861,7554050.0,1.59,0.58
2024-03-04,6.009,6.195,6.009,6.152,14058,9872715.0,3.08,0.75
2024-03-05,6.138,6.325,6.138,6.245,17385,12464217.0,3.04,0.93
2024-03-06,6.221,6.345,6.209,6.253,16403,11787621.0,2.18,0.87
2024-03-07,6.253,6.295,6.186,6.257,11349,8101442.0,1.74,0.6
2024-03-08,6.28,6.345,6.195,6.245,17998,12863349.0,2.4,0.96
2024-03-11,6.238,6.333,6.172,6.244,17514,12524237.0,2.58,0.93
2024-03-12,6.244,6.295,6.175,6.198,17499,12429310.0,1.92,0.93
2024-03-13,6.175,6.267,6.116,6.152,16115,11421221.0,2.44,0.86
2024-03-14,6.136,6.27,6.076,6.236,18770,13283602.0,3.15,1.0
2024-03-15,6.236,6.283,6.177,6.195,15873,11271550.0,1.7,0.84
2024-03-18,6.211,6.261,6.135,6.196,16799,11926371.0,2.03,0.89
2024-03-19,6.196,6.232,6.129,6.164,14252,10077753.0,1.66,0.76
2024-03-20,6.164,6.178,6.085,6.124,16126,11349527.0,1.51,0.86
2024-03-21,6.095,6.149,5.995,6.009,14368,10016722.0,2.51,0.76
2024-03-22,6.0,6.062,5.955,5.99,12294,8489140.0,1.78,0.65
2024-03-25,5.966,6.047,5.945,6.022,14813,10197642.0,1.7,0.79
2024-03-26,6.049,6.073,5.982,6.069,16099,11166850.0,1.51,0.86
2024-03-27,6.065,6.213,6.065,6.116,15103,10616508.0,2.44,0.8
2024-03-28,6.116,6.128,6.094,6.104,13480,9461437.0,0.56,0.72
2024-03-29,6.104,6.164,6.104,6.12,14844,10424702.0,0.98,0.79
2024-04-01,6.12,6.175,6.115,6.175,16043,11298811.0,0.98,0.85
2024-04-02,6.154,6.195,6.076,6.193,20501,14458772.0,1.93,1.09
2024-04-03,6.165,6.298,6.154,6.275,30259,21570820.0,2.33,1.61
2024-04-08,6.275,6.344,6.245,6.317,21161,15245251.0,1.58,1.13
2024-04-09,6.316,6.344,6.316,6.336,20259,14670360.0,0.44,1.08
2024-04-10,6.336,6.344,6.295,6.329,16528,11938563.0,0.77,0.88
2024-04-11,6.289,6.377,6.289,6.375,21998,15954379.0,1.39,1.17
2024-04-12,6.375,6.375,6.345,6.36,17437,12659281.0,0.47,0.93
2024-04-15,6.359,6.4,6.34,6.385,17907,13006174.0,0.94,0.95
2024-04-16,6.355,6.443,6.355,6.396,20153,14711810.0,1.38,1.07
2024-04-17,6.396,6.446,6.374,6.419,17967,13140026.0,1.13,0.96
2024-04-18,6.445,6.491,6.396,6.433,18885,13836379.0,1.48,1.01
2024-04-19,6.433,6.484,6.395,6.449,17923,13138742.0,1.38,0.95
2024-04-22,6.449,6.523,6.449,6.503,18566,13759983.0,1.15,0.99
2024-04-23,6.495,6.504,6.397,6.491,20379,15082456.0,1.65,1.08
2024-04-24,6.505,6.526,6.293,6.519,19222,14230263.0,3.59,1.02
2024-04-25,6.563,6.763,6.485,6.699,21180,15897710.0,4.26,1.13
2024-04-26,6.699,6.856,6.606,6.751,26973,19827382.0,3.73,1.44
2024-04-29,6.741,6.741,6.666,6.735,18403,13416714.0,1.11,0.98
2024-04-30,6.695,6.775,6.695,6.737,17434,12774966.0,1.19,0.93
2024-05-06,6.737,6.811,6.687,6.746,10763,7883709.0,1.84,0.57
2024-05-07,6.746,6.781,6.675,6.72,4370,3206914.0,1.57,0.23
2024-05-08,6.716,6.73,6.583,6.705,7366,5341869.0,2.19,0.39
2024-05-09,6.665,6.727,6.604,6.727,6481,4731684.0,1.83,0.34
2024-05-10,6.727,6.792,6.688,6.786,9049,6661429.0,1.55,0.48
2024-05-13,6.785,6.856,6.756,6.766,10562,7792527.0,1.47,0.56
2024-05-14,6.766,6.794,6.726,6.791,8421,6215074.0,1.01,0.45
2024-05-15,6.776,6.793,6.706,6.775,12548,9235505.0,1.28,0.67
2024-05-16,6.767,6.806,6.767,6.791,11218,8282157.0,0.58,0.6
2024-05-17,6.791,6.84,6.75,6.759,8435,6217421.0,1.33,0.45
2024-05-20,6.751,6.797,6.751,6.789,6940,5120234.0,0.68,0.37
2024-05-21,6.749,6.822,6.749,6.821,7454,5523263.0,1.08,0.4
2024-05-22,6.821,6.824,6.766,6.778,2560,1892239.0,0.85,0.14
2024-05-23,6.771,6.777,6.705,6.74,4183,3070648.0,1.06,0.22
2024-05-24,6.7,6.806,6.7,6.796,4003,2945420.0,1.57,0.21
2024-05-27,6.874,6.874,6.796,6.844,1730,1285465.0,1.15,0.09
2024-05-28,6.844,6.865,6.844,6.858,7130,5311991.0,0.31,0.38
2024-05-29,6.846,6.846,6.804,6.83,10153,7531970.0,0.61,0.54
2024-05-30,6.83,6.844,6.797,6.813,11219,8305633.0,0.69,0.6
2024-05-31,6.807,6.826,6.807,6.821,7808,5788800.0,0.28,0.42
2024-06-03,6.782,6.841,6.782,6.814,8124,6022856.0,0.86,0.43
2024-06-04,6.796,6.819,6.726,6.771,7521,5554249.0,1.36,0.4
2024-06-05,6.771,6.771,6.711,6.753,7379,5414753.0,0.89,0.39
2024-06-06,6.747,6.756,6.747,6.751,6678,4904530.0,0.13,0.36
2024-06-07,6.728,6.749,6.686,6.706,4128,3014325.0,0.93,0.22
2024-06-11,6.686,6.711,6.647,6.684,9924,7216382.0,0.95,0.53
2024-06-12,6.646,6.731,6.646,6.685,7465,5439168.0,1.27,0.4
2024-06-13,6.646,6.733,6.646,6.691,7506,5467905.0,1.3,0.4
