日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,3.236,3.595,3.236,3.288,757999,305190784.0,11.2,4.91
2021-06-22,3.286,3.286,3.086,3.21,211277,81523996.0,6.08,1.37
2021-06-23,3.22,3.229,3.205,3.227,55997,21831176.0,0.75,0.36
2021-06-24,3.228,3.228,3.211,3.217,28492,11115732.0,0.53,0.18
2021-06-25,3.216,3.226,3.206,3.225,45181,17596258.0,0.62,0.29
2021-06-28,3.227,3.227,3.213,3.214,17246,6724854.0,0.43,0.11
2021-06-29,3.213,3.213,3.207,3.207,17632,6862738.0,0.19,0.11
2021-06-30,3.206,3.216,3.206,3.209,8542,3325253.0,0.31,0.06
2021-07-01,3.211,3.226,3.211,3.22,12958,5055069.0,0.47,0.08
2021-07-02,3.216,3.216,3.204,3.212,19526,7599877.0,0.37,0.13
2021-07-05,3.211,3.211,3.205,3.207,25813,10042719.0,0.19,0.17
2021-07-06,3.206,3.207,3.199,3.202,26794,10416128.0,0.25,0.17
2021-07-07,3.202,3.202,3.187,3.188,17822,6912730.0,0.47,0.12
2021-07-08,3.188,3.19,3.169,3.171,24257,9369180.0,0.66,0.16
2021-07-09,3.171,3.171,3.153,3.161,20418,7846238.0,0.57,0.13
2021-07-12,3.161,3.166,3.141,3.148,21304,8160201.0,0.79,0.14
2021-07-13,3.147,3.176,3.132,3.162,15384,5885671.0,1.4,0.1
2021-07-14,3.162,3.165,3.152,3.161,10067,3869004.0,0.41,0.07
2021-07-15,3.161,3.198,3.159,3.197,8371,3236441.0,1.23,0.05
2021-07-16,3.196,3.207,3.193,3.206,22943,8921184.0,0.44,0.15
2021-07-19,3.206,3.206,3.186,3.2,26892,10436429.0,0.62,0.17
2021-07-20,3.2,3.2,3.194,3.198,15310,5941883.0,0.19,0.1
2021-07-21,3.196,3.2,3.191,3.195,12970,5031668.0,0.28,0.08
2021-07-22,3.193,3.213,3.191,3.212,7985,3106524.0,0.69,0.05
2021-07-23,3.211,3.23,3.203,3.225,9197,3591221.0,0.84,0.06
2021-07-26,3.224,3.224,3.175,3.181,29780,11525389.0,1.52,0.19
2021-07-27,3.181,3.187,3.167,3.171,11102,4280288.0,0.63,0.07
2021-07-28,3.171,3.196,3.147,3.186,13229,5084927.0,1.55,0.09
2021-07-29,3.184,3.208,3.171,3.205,12043,4671501.0,1.16,0.08
2021-07-30,3.205,3.206,3.187,3.205,24248,9419409.0,0.59,0.16
2021-08-02,3.205,3.222,3.199,3.214,43974,17133160.0,0.72,0.28
2021-08-03,3.214,3.231,3.211,3.217,25470,9949386.0,0.62,0.16
2021-08-04,3.217,3.227,3.211,3.219,42357,16542573.0,0.5,0.27
2021-08-05,3.219,3.225,3.219,3.223,19367,7566831.0,0.19,0.13
2021-08-06,3.223,3.237,3.216,3.231,24923,9757827.0,0.65,0.16
2021-08-09,3.231,3.231,3.223,3.227,11292,4415605.0,0.25,0.07
2021-08-10,3.227,3.227,3.217,3.221,16917,6607462.0,0.31,0.11
2021-08-11,3.221,3.224,3.216,3.218,22268,8689697.0,0.25,0.14
2021-08-12,3.218,3.223,3.216,3.218,15373,5998663.0,0.22,0.1
2021-08-13,3.217,3.223,3.217,3.218,10989,4288557.0,0.19,0.07
2021-08-16,3.219,3.219,3.207,3.212,18162,7076650.0,0.37,0.12
2021-08-17,3.212,3.221,3.204,3.22,27386,10668307.0,0.53,0.18
2021-08-18,3.219,3.234,3.214,3.232,39630,15503670.0,0.62,0.26
2021-08-19,3.232,3.247,3.228,3.246,40366,15822394.0,0.59,0.26
2021-08-20,3.246,3.251,3.243,3.246,21868,8595065.0,0.25,0.14
2021-08-23,3.246,3.246,3.232,3.243,19216,7542774.0,0.43,0.12
2021-08-24,3.243,3.264,3.234,3.257,56800,22360863.0,0.93,0.37
2021-08-25,3.257,3.3,3.248,3.3,87143,34584028.0,1.6,0.56
2021-08-26,3.301,3.334,3.293,3.324,96602,38569120.0,1.24,0.63
2021-08-27,3.324,3.39,3.32,3.376,67650,27368155.0,2.11,0.44
2021-08-30,3.377,3.443,3.371,3.407,124847,51159159.0,2.13,0.81
2021-08-31,3.407,3.43,3.386,3.405,96620,39516538.0,1.29,0.63
2021-09-01,3.403,3.403,3.338,3.364,120826,48880498.0,1.91,0.78
2021-09-02,3.361,3.411,3.349,3.406,46385,18886560.0,1.84,0.3
2021-09-03,3.405,3.419,3.385,3.407,41926,17147077.0,1.0,0.27
2021-09-06,3.408,3.414,3.394,3.406,18570,7595980.0,0.59,0.12
2021-09-07,3.406,3.413,3.4,3.409,36765,15038047.0,0.38,0.24
2021-09-08,3.409,3.412,3.406,3.408,11382,4658511.0,0.18,0.07
2021-09-09,3.408,3.412,3.398,3.407,28599,11700008.0,0.41,0.19
2021-09-10,3.407,3.407,3.401,3.407,9224,3771520.0,0.18,0.06
2021-09-13,3.407,3.413,3.401,3.413,65574,26829128.0,0.35,0.42
2021-09-14,3.413,3.445,3.404,3.445,124704,51193493.0,1.2,0.81
2021-09-15,3.446,3.56,3.445,3.559,101282,42350247.0,3.34,0.66
2021-09-16,3.56,3.57,3.537,3.554,168769,71491383.0,0.93,1.09
