日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-06-30,2.36,2.36,1.941,2.24,650500,155957068.0,17.42,16.44
2023-07-03,2.24,2.242,2.115,2.177,135124,32215456.0,5.67,3.41
2023-07-04,2.155,2.184,2.112,2.18,29328,6971251.0,3.31,0.74
2023-07-05,2.156,2.178,2.141,2.176,11479,2743855.0,1.7,0.29
2023-07-06,2.176,2.2,2.176,2.196,37897,9130181.0,1.1,0.96
2023-07-07,2.197,2.248,2.197,2.238,53881,13171817.0,2.32,1.36
2023-07-10,2.242,2.268,2.242,2.264,57483,14208730.0,1.16,1.45
2023-07-11,2.265,2.279,2.227,2.254,79817,19727357.0,2.3,2.02
2023-07-12,2.255,2.262,2.23,2.254,37329,9210244.0,1.42,0.94
2023-07-13,2.25,2.277,2.237,2.273,37732,9393848.0,1.77,0.95
2023-07-14,2.275,2.309,2.267,2.29,54999,13832963.0,1.85,1.39
2023-07-17,2.309,2.309,2.29,2.297,35601,8973782.0,0.83,0.9
2023-07-18,2.296,2.38,2.292,2.379,101096,25816752.0,3.83,2.55
2023-07-19,2.379,2.39,2.339,2.353,54132,13923801.0,2.14,1.37
2023-07-20,2.353,2.353,2.306,2.327,46829,11936417.0,2.0,1.18
2023-07-21,2.325,2.342,2.304,2.337,53279,13556636.0,1.63,1.35
2023-07-24,2.336,2.354,2.311,2.333,50789,12923398.0,1.84,1.28
2023-07-25,2.318,2.372,2.305,2.344,63253,16208473.0,2.87,1.6
2023-07-26,2.34,2.341,2.281,2.324,64745,16422014.0,2.56,1.64
2023-07-27,2.321,2.332,2.29,2.325,53500,13533670.0,1.81,1.35
2023-07-28,2.325,2.325,2.291,2.321,24891,6292857.0,1.46,0.63
2023-07-31,2.321,2.37,2.294,2.369,70279,17927999.0,3.27,1.78
2023-08-01,2.366,2.415,2.34,2.39,69401,18086166.0,3.17,1.75
2023-08-02,2.392,2.392,2.36,2.388,73929,19258304.0,1.34,1.87
2023-08-03,2.384,2.404,2.361,2.397,48824,12705150.0,1.8,1.23
2023-08-04,2.396,2.396,2.372,2.39,26737,6958589.0,1.0,0.68
2023-08-07,2.388,2.388,2.352,2.368,31816,8239185.0,1.51,0.8
