日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-08-31,3.007,3.007,3.007,3.007,190473,62151278.0,0.0,4.77
2022-09-01,3.104,3.194,3.007,3.158,475915,160928339.0,6.22,11.91
2022-09-02,3.159,3.162,3.131,3.133,88893,30197000.0,0.98,2.22
2022-09-05,3.135,3.144,3.101,3.122,30995,10469980.0,1.37,0.78
2022-09-06,3.12,3.12,3.094,3.116,38398,12926218.0,0.83,0.96
2022-09-07,3.124,3.13,3.114,3.125,18491,6250318.0,0.51,0.46
2022-09-08,3.129,3.134,3.129,3.131,23673,8019731.0,0.16,0.59
2022-09-09,3.131,3.15,3.131,3.146,20259,6881873.0,0.61,0.51
2022-09-13,3.15,3.161,3.135,3.139,25863,8801267.0,0.83,0.65
2022-09-14,3.135,3.151,3.121,3.136,29842,10124567.0,0.96,0.75
2022-09-15,3.135,3.144,3.13,3.137,23042,7811116.0,0.45,0.58
2022-09-16,3.137,3.143,3.131,3.135,33904,11500387.0,0.38,0.85
2022-09-19,3.135,3.143,3.123,3.129,26925,9123958.0,0.64,0.67
2022-09-20,3.129,3.135,3.117,3.118,33815,11429760.0,0.58,0.85
2022-09-21,3.117,3.12,3.1,3.117,30903,10416239.0,0.64,0.77
2022-09-22,3.117,3.124,3.11,3.123,15899,5367991.0,0.45,0.4
2022-09-23,3.123,3.138,3.116,3.131,32750,11086225.0,0.7,0.82
2022-09-26,3.133,3.135,3.119,3.123,27847,9410865.0,0.51,0.7
2022-09-27,3.123,3.129,3.112,3.126,50823,17154716.0,0.54,1.27
2022-09-28,3.126,3.134,3.112,3.127,17988,6085197.0,0.7,0.45
2022-09-29,3.127,3.131,3.116,3.118,31672,10702152.0,0.48,0.79
2022-09-30,3.118,3.137,3.114,3.124,28332,9577284.0,0.74,0.71
2022-10-10,3.124,3.124,3.074,3.086,22264,7469917.0,1.6,0.56
2022-10-11,3.086,3.094,3.007,3.026,30267,9917508.0,2.82,0.76
2022-10-12,3.02,3.029,3.006,3.021,19040,6232042.0,0.76,0.48
2022-10-13,3.002,3.044,3.002,3.036,21570,7074237.0,1.39,0.54
2022-10-14,3.032,3.065,3.007,3.045,13053,4294333.0,1.91,0.33
2022-10-17,3.046,3.063,3.046,3.046,7853,2595796.0,0.56,0.2
2022-10-18,3.046,3.054,3.042,3.046,11391,3763102.0,0.39,0.29
2022-10-19,3.045,3.052,3.032,3.035,8654,2853667.0,0.66,0.22
2022-10-20,3.034,3.052,3.01,3.015,13578,4467168.0,1.38,0.34
2022-10-21,3.015,3.016,2.979,2.984,20849,6778296.0,1.23,0.52
2022-10-24,2.984,3.013,2.939,2.959,21362,6862091.0,2.48,0.53
2022-10-25,2.975,2.975,2.922,2.932,13621,4348298.0,1.79,0.34
2022-10-26,2.931,2.955,2.844,2.929,13285,4228070.0,3.79,0.33
2022-10-27,2.935,3.037,2.935,2.977,36328,11751907.0,3.48,0.91
2022-10-28,2.977,3.005,2.945,2.954,20954,6773231.0,2.02,0.52
2022-10-31,2.954,2.97,2.872,2.943,33287,10536198.0,3.32,0.83
2022-11-01,2.939,2.985,2.91,2.963,15328,4933369.0,2.55,0.38
2022-11-02,2.964,3.012,2.964,3.0,12104,3926468.0,1.62,0.3
2022-11-03,3.0,3.006,2.961,2.985,17394,5642316.0,1.5,0.44
2022-11-04,2.985,3.041,2.985,3.034,28694,9397909.0,1.88,0.72
2022-11-07,3.03,3.049,3.01,3.023,20797,6838094.0,1.29,0.52
2022-11-08,3.022,3.03,2.993,3.016,7173,2345163.0,1.22,0.18
2022-11-09,3.016,3.051,2.991,2.999,16986,5583376.0,1.99,0.43
