日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-08-01,4.926,4.926,4.801,4.83,440786,213664000.0,3.3,29.39
2025-08-04,4.798,4.831,4.761,4.771,154652,74177546.0,1.45,10.31
2025-08-05,4.761,4.793,4.739,4.769,101167,48256178.0,1.13,6.75
2025-08-06,4.766,4.806,4.764,4.804,34446,16501392.0,0.88,2.3
2025-08-07,4.804,4.825,4.791,4.814,50533,24313711.0,0.71,3.37
2025-08-08,4.813,4.822,4.761,4.813,106325,51112183.0,1.27,7.09
2025-08-11,4.806,4.812,4.77,4.795,44561,21336050.0,0.87,2.97
2025-08-12,4.793,4.81,4.769,4.788,33660,16109160.0,0.86,2.24
2025-08-13,4.784,4.79,4.773,4.777,20029,9575450.0,0.36,1.34
2025-08-14,4.777,4.786,4.752,4.768,21237,10136626.0,0.71,1.42
2025-08-15,4.766,4.774,4.728,4.73,31863,15117734.0,0.96,2.12
2025-08-18,4.733,4.733,4.605,4.606,67902,31505922.0,2.71,4.53
2025-08-19,4.61,4.617,4.558,4.605,29171,13348898.0,1.28,1.95
2025-08-20,4.589,4.666,4.589,4.61,22693,10514604.0,1.67,1.51
2025-08-21,4.61,4.635,4.609,4.618,18076,8357746.0,0.56,1.21
2025-08-22,4.617,4.625,4.61,4.62,15446,7135762.0,0.32,1.03
2025-08-25,4.62,4.655,4.61,4.631,19274,8921422.0,0.97,1.29
2025-08-26,4.632,4.648,4.621,4.63,20968,9716592.0,0.58,1.4
2025-08-27,4.628,4.63,4.591,4.621,47964,22156230.0,0.84,3.2
2025-08-28,4.616,4.62,4.583,4.613,31401,14478932.0,0.8,2.09
2025-08-29,4.614,4.624,4.595,4.6,28056,12923137.0,0.63,1.87
2025-09-01,4.6,4.605,4.596,4.604,16420,7555642.0,0.2,1.09
2025-09-02,4.604,4.62,4.599,4.606,21633,9964262.0,0.46,1.44
2025-09-03,4.606,4.622,4.602,4.619,15624,7202591.0,0.43,1.04
2025-09-04,4.619,4.652,4.613,4.644,19460,9021184.0,0.84,1.3
2025-09-05,4.646,4.659,4.624,4.64,17970,8342209.0,0.75,1.2
2025-09-08,4.636,4.664,4.621,4.66,55836,25972510.0,0.93,3.72
2025-09-09,4.66,4.692,4.646,4.681,26427,12332803.0,0.99,1.76
2025-09-10,4.684,4.684,4.653,4.66,13911,6489435.0,0.66,0.93
2025-09-11,4.66,4.66,4.611,4.631,19315,8959659.0,1.05,1.29
2025-09-12,4.633,4.633,4.621,4.629,13822,6391315.0,0.26,0.92
2025-09-15,4.62,4.628,4.606,4.618,15119,6986593.0,0.48,1.01
2025-09-16,4.617,4.643,4.604,4.61,9732,4490726.0,0.84,0.65
2025-09-17,4.61,4.618,4.609,4.614,10650,4913488.0,0.2,0.71
2025-09-18,4.61,4.621,4.606,4.611,13419,6190454.0,0.33,0.89
2025-09-19,4.61,4.614,4.602,4.609,30494,14053185.0,0.26,2.03
2025-09-22,4.609,4.61,4.593,4.598,20329,9359385.0,0.37,1.36
2025-09-23,4.596,4.601,4.588,4.6,23266,10700510.0,0.28,1.55
