日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-12-27,2.733,2.882,2.733,2.792,528425,163208602.61,5.86,21.58
2022-12-28,2.773,2.791,2.733,2.773,136302,41275697.437,2.08,5.57
2022-12-29,2.768,2.785,2.736,2.782,79631,24194502.66,1.77,3.25
2022-12-30,2.782,2.813,2.782,2.802,56205,17230530.845,1.11,2.3
2023-01-03,2.802,2.802,2.783,2.8,17572,5386854.068,0.68,0.72
2023-01-04,2.8,2.81,2.793,2.803,33334,10227669.666,0.61,1.36
2023-01-05,2.803,2.811,2.753,2.78,59914,18321946.822,2.07,2.45
2023-01-06,2.779,2.797,2.772,2.793,43415,13230652.32,0.9,1.77
2023-01-09,2.79,2.803,2.757,2.797,44085,13492571.575,1.65,1.8
2023-01-10,2.797,2.817,2.793,2.803,42977,13198410.354,0.86,1.76
2023-01-11,2.808,2.819,2.8,2.819,28741,8856425.013,0.68,1.17
2023-01-12,2.819,2.823,2.801,2.802,31827,9786693.779,0.78,1.3
2023-01-13,2.802,2.82,2.802,2.807,11689,3595662.746,0.64,0.48
2023-01-16,2.807,2.809,2.793,2.807,26347,8097731.885,0.57,1.08
2023-01-17,2.807,2.809,2.798,2.807,21942,6743933.293,0.39,0.9
2023-01-18,2.806,2.814,2.802,2.81,22515,6921907.313,0.43,0.92
2023-01-19,2.809,2.814,2.803,2.813,19251,5920970.701,0.39,0.79
2023-01-20,2.812,2.825,2.793,2.812,21275,6547016.527,1.14,0.87
2023-01-30,2.813,2.813,2.803,2.805,30601,9409674.58,0.36,1.25
2023-01-31,2.805,2.861,2.803,2.844,31605,9774773.396,2.07,1.29
2023-02-01,2.847,2.853,2.809,2.853,51265,15934047.039,1.55,2.09
2023-02-02,2.933,2.933,2.837,2.846,46519,14497157.424,3.36,1.9
2023-02-03,2.846,2.866,2.839,2.865,54968,17145892.717,0.95,2.24
2023-02-06,2.865,2.885,2.853,2.866,88198,27717106.8,1.12,3.6
2023-02-07,2.866,2.866,2.853,2.859,42955,13421817.759,0.45,1.75
2023-02-08,2.859,2.872,2.826,2.871,43197,13499683.242,1.61,1.76
2023-02-09,2.869,2.869,2.836,2.862,30539,9550253.235,1.15,1.25
2023-02-10,2.862,2.868,2.846,2.864,43651,13661510.727,0.77,1.78
2023-02-13,2.865,2.893,2.865,2.881,49121,15461729.531,0.98,2.01
2023-02-14,2.881,2.901,2.874,2.897,45602,14389370.459,0.94,1.86
2023-02-15,2.897,2.909,2.881,2.889,56520,17895285.581,0.97,2.31
2023-02-16,2.882,2.889,2.865,2.887,35799,11286149.671,0.83,1.46
2023-02-17,2.873,2.899,2.873,2.889,23218,7333296.657,0.9,0.95
2023-02-20,2.89,2.91,2.881,2.884,35824,11308284.317,1.0,1.46
2023-02-21,2.893,2.903,2.885,2.894,42003,13284694.931,0.62,1.72
2023-02-22,2.894,2.913,2.888,2.896,19488,6170940.868,0.86,0.8
2023-02-23,2.896,2.913,2.884,2.885,14857,4695522.288,1.0,0.61
2023-02-24,2.886,2.886,2.861,2.867,20238,6351038.989,0.87,0.83
2023-02-27,2.867,2.872,2.863,2.868,31659,9927425.225,0.31,1.29
2023-02-28,2.846,2.873,2.846,2.872,24207,7597829.625,0.94,0.99
2023-03-01,2.872,2.879,2.872,2.875,36477,11464401.848,0.24,1.49
2023-03-02,2.875,2.887,2.867,2.874,32738,10280220.683,0.7,1.34
2023-03-03,2.874,2.881,2.869,2.874,53223,16715734.719,0.42,2.17
2023-03-06,2.874,2.876,2.869,2.872,41946,13169999.341,0.24,1.71
2023-03-07,2.873,2.88,2.85,2.856,52327,16432573.218,1.04,2.14
2023-03-08,2.858,2.862,2.856,2.859,30866,9648818.602,0.21,1.26
2023-03-09,2.859,2.861,2.854,2.86,41974,13116907.148,0.24,1.71
2023-03-10,2.86,2.872,2.852,2.866,28940,9069771.877,0.7,1.18
2023-03-13,2.867,2.869,2.86,2.867,47892,15002851.874,0.31,1.96
2023-03-14,2.865,2.867,2.858,2.864,24748,7748714.272,0.31,1.01
2023-03-15,2.861,2.869,2.846,2.857,30725,9609067.317,0.8,1.25
2023-03-16,2.857,2.857,2.824,2.839,34561,10763320.595,1.16,1.41
2023-03-17,2.839,2.851,2.833,2.838,4951,1539214.606,0.63,0.2
2023-03-20,2.839,2.839,2.829,2.829,32338,10028237.789,0.35,1.32
2023-03-21,2.829,2.829,2.815,2.823,60171,18573334.409,0.49,2.46
2023-03-22,2.82,2.841,2.82,2.84,45930,14242381.866,0.74,1.88
2023-03-23,2.839,2.852,2.837,2.846,49663,15452063.044,0.53,2.03
2023-03-24,2.845,2.853,2.844,2.853,49672,15473521.631,0.32,2.03
2023-03-27,2.853,2.874,2.844,2.862,69559,21779586.052,1.05,2.84
2023-03-28,2.862,2.865,2.84,2.843,48156,15040483.128,0.87,1.97
2023-03-29,2.822,2.844,2.819,2.821,15286,4731755.58,0.88,0.62
2023-03-30,2.82,2.82,2.801,2.802,40137,12346019.651,0.67,1.64
2023-03-31,2.805,2.841,2.802,2.829,32087,9917573.158,1.39,1.31
2023-04-03,2.821,2.848,2.819,2.838,39905,12398045.593,1.03,1.63
2023-04-04,2.832,2.844,2.823,2.831,21528,6675819.483,0.74,0.88
2023-04-06,2.832,2.861,2.791,2.8,40097,12306778.582,2.47,1.64
2023-04-07,2.798,2.818,2.798,2.818,40277,12376225.762,0.71,1.64
2023-04-10,2.818,2.818,2.804,2.809,34284,10565786.632,0.5,1.4
2023-04-11,2.808,2.815,2.801,2.809,18522,5698163.269,0.5,0.76
2023-04-12,2.809,2.811,2.793,2.801,17508,5374012.9,0.64,0.71
2023-04-13,2.801,2.801,2.77,2.771,31435,9576212.353,1.11,1.28
2023-04-14,2.771,2.783,2.749,2.761,41417,12551517.574,1.23,1.69
2023-04-17,2.761,2.808,2.75,2.793,32424,9845152.474,2.1,1.32
2023-04-18,2.759,2.828,2.759,2.808,42092,12947962.974,2.47,1.72
2023-04-19,2.808,2.828,2.764,2.808,32373,9955622.15,2.28,1.32
2023-04-20,2.824,2.826,2.783,2.784,39167,11986349.368,1.53,1.6
2023-04-21,2.784,2.784,2.715,2.73,32365,9762977.185,2.48,1.32
2023-04-24,2.728,2.76,2.723,2.743,33376,10054616.393,1.36,1.36
2023-04-25,2.742,2.746,2.737,2.744,31788,9566968.197,0.33,1.3
2023-04-26,2.744,2.755,2.729,2.732,23889,7178206.777,0.95,0.98
2023-04-27,2.732,2.734,2.714,2.718,26841,8034071.152,0.73,1.1
