日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-09-20,3.227,3.234,3.117,3.226,161397,53692572.566,3.63,3.17
2024-09-23,3.196,3.217,3.151,3.217,4982,1652069.983,2.05,0.1
2024-09-24,3.216,3.217,3.175,3.217,6690,2217886.73,1.31,0.13
2024-09-25,3.216,3.226,2.909,3.225,6060,1984885.747,9.85,0.12
2024-09-26,3.21,3.237,3.151,3.224,13437,4468310.797,2.67,0.26
2024-09-27,3.224,3.236,3.197,3.227,14913,4968291.124,1.21,0.29
2024-09-30,3.206,3.237,3.186,3.227,26418,8746080.572,1.58,0.52
2024-10-08,3.231,3.239,3.226,3.23,4888,1630353.792,0.4,0.1
2024-10-09,3.191,3.238,3.191,3.226,3275,1088494.864,1.46,0.06
2024-10-10,3.226,3.226,3.196,3.211,7400,2449835.49,0.93,0.15
2024-10-11,3.186,3.221,3.186,3.208,9664,3199659.985,1.09,0.19
2024-10-14,3.218,3.226,3.206,3.217,3060,1015084.87,0.62,0.06
2024-10-15,3.219,3.234,3.219,3.224,4277,1423853.75,0.47,0.08
2024-10-16,3.207,3.234,3.207,3.223,6513,2164437.2,0.84,0.13
2024-10-17,3.222,3.222,3.196,3.21,7691,2548818.999,0.81,0.15
2024-10-18,3.211,3.228,3.211,3.221,7275,2418702.342,0.53,0.14
2024-10-21,3.223,3.231,3.219,3.22,20755,6907984.274,0.37,0.41
2024-10-22,3.236,3.236,3.181,3.224,7316,2436068.952,1.71,0.14
2024-10-23,3.234,3.234,3.213,3.221,5447,1811516.7,0.65,0.11
2024-10-24,3.221,3.229,3.211,3.216,3854,1279937.1,0.56,0.08
2024-10-25,3.231,3.231,3.211,3.22,6602,2191154.098,0.62,0.13
2024-10-28,3.23,3.232,3.216,3.221,15181,5052751.8,0.5,0.3
2024-10-29,3.226,3.25,3.221,3.237,39039,13035304.179,0.9,0.77
2024-10-30,3.271,3.271,3.217,3.251,9206,3090391.083,1.67,0.18
2024-10-31,3.251,3.28,3.251,3.275,11104,3742626.16,0.89,0.22
2024-11-01,3.325,3.325,3.242,3.279,6975,2357876.318,2.53,0.14
2024-11-04,3.288,3.396,3.277,3.281,8927,3037004.357,3.63,0.18
2024-11-05,3.295,3.311,3.284,3.295,7989,2714440.828,0.82,0.16
2024-11-06,3.311,3.311,3.285,3.297,4623,1571164.219,0.79,0.09
2024-11-07,3.34,3.341,3.287,3.298,5500,1870097.5,1.64,0.11
2024-11-08,3.298,3.304,3.277,3.302,2344,797749.174,0.82,0.05
2024-11-11,3.311,3.311,3.277,3.297,1774,602967.938,1.03,0.03
2024-11-12,3.306,3.311,3.278,3.303,3730,1269010.9,1.0,0.07
2024-11-13,3.303,3.311,3.28,3.281,7587,2572276.677,0.94,0.15
2024-11-14,3.281,3.383,3.242,3.278,2324,785890.306,4.3,0.05
2024-11-15,3.311,3.311,3.273,3.285,58522,19891901.433,1.16,1.15
2024-11-18,3.311,3.311,3.284,3.287,9673,3279086.899,0.82,0.19
2024-11-19,3.296,3.304,3.281,3.286,15119,5126710.155,0.7,0.3
2024-11-20,3.311,3.311,3.283,3.291,19710,6693790.443,0.85,0.39
2024-11-21,3.586,3.594,3.256,3.3,7648,2600947.349,10.27,0.15
2024-11-22,3.316,3.316,3.246,3.292,4395,1494752.253,2.12,0.09
2024-11-25,3.295,3.298,3.234,3.256,17850,6007140.558,1.94,0.35
2024-11-26,3.247,3.265,3.232,3.236,12813,4281994.4,1.01,0.25
2024-11-27,3.245,3.295,3.226,3.24,10929,3650005.415,2.13,0.21
2024-11-28,3.281,3.281,3.239,3.245,4061,1358888.5,1.3,0.08
2024-11-29,3.247,3.266,3.247,3.266,3542,1189523.8,0.59,0.07
2024-12-02,3.376,3.376,3.236,3.285,7439,2509701.154,4.29,0.15
2024-12-03,3.272,3.286,3.271,3.285,7878,2666217.609,0.46,0.15
2024-12-04,3.273,3.286,3.273,3.285,2733,925866.6,0.4,0.05
2024-12-05,3.281,3.296,3.281,3.284,5683,1925294.6,0.46,0.11
2024-12-06,3.286,3.286,3.246,3.285,3990,1351848.353,1.22,0.08
2024-12-09,3.291,3.296,3.279,3.285,4844,1640366.0,0.52,0.1
2024-12-10,3.285,3.338,3.285,3.313,19690,6713775.342,1.61,0.39
2024-12-11,3.312,3.432,3.312,3.396,42941,14985868.828,3.62,0.84
2024-12-12,3.396,3.476,3.378,3.461,31918,11313534.46,2.89,0.63
2024-12-13,3.451,3.473,3.396,3.455,37203,13238843.299,2.22,0.73
2024-12-16,3.445,3.506,3.396,3.479,33319,11925734.626,3.18,0.65
2024-12-17,3.454,3.561,3.42,3.534,37400,13473488.504,4.05,0.73
2024-12-18,3.525,3.544,3.471,3.496,38744,13924196.614,2.07,0.76
2024-12-19,3.496,3.496,3.396,3.448,57540,20319335.036,2.86,1.13
2024-12-20,3.422,3.494,3.396,3.447,27391,9709730.95,2.84,0.54
2024-12-23,3.446,3.475,3.427,3.436,4855,1721798.35,1.39,0.1
2024-12-24,3.461,3.491,3.409,3.434,10967,3920082.992,2.39,0.22
2024-12-25,3.469,3.488,3.421,3.466,17399,6179889.5,1.95,0.34
2024-12-26,3.465,3.481,3.461,3.466,12049,4305420.8,0.58,0.24
2024-12-27,3.467,3.519,3.467,3.507,11232,4049148.9,1.5,0.22
2024-12-30,3.509,3.538,3.485,3.499,5646,2044210.7,1.51,0.11
2024-12-31,3.501,3.542,3.491,3.497,9296,3352072.364,1.46,0.18
2025-01-02,3.497,3.654,3.497,3.654,8797,3245272.972,4.49,0.17
2025-01-03,3.654,3.826,3.654,3.796,24270,9457389.2,4.71,0.48
2025-01-06,3.797,4.076,3.797,3.832,14820,5854563.722,7.35,0.29
2025-01-07,3.827,3.877,3.771,3.786,13505,5268475.772,2.77,0.27
2025-01-08,3.864,3.945,3.864,3.938,24794,9941562.998,2.14,0.49
2025-01-09,3.941,4.006,3.924,3.93,14191,5801889.448,2.08,0.28
2025-01-10,3.916,3.934,3.849,3.876,20819,8343023.053,2.16,0.41
2025-01-13,3.837,3.905,3.793,3.81,9868,3837581.1,2.89,0.19
2025-01-14,3.82,3.82,3.773,3.798,7254,2805265.028,1.23,0.14
2025-01-15,3.798,3.83,3.795,3.829,10369,4010982.792,0.92,0.2
2025-01-16,3.867,3.871,3.81,3.861,15569,6093631.356,1.59,0.31
2025-01-17,3.86,3.92,3.859,3.869,22169,8750918.407,1.58,0.44
2025-01-20,3.894,3.95,3.87,3.95,15012,5948696.198,2.07,0.29
2025-01-21,3.949,4.029,3.927,4.028,15175,6135065.429,2.58,0.3
2025-01-22,4.005,4.172,4.005,4.156,9985,4127605.51,4.15,0.2
2025-01-23,4.131,4.25,4.131,4.242,12954,5548875.484,2.86,0.25
