日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-07-09,2.372,2.373,2.295,2.367,99037,24459858.064,3.3,2.56
2024-07-10,2.314,2.342,2.244,2.342,21129,5112369.144,4.14,0.55
2024-07-11,2.282,2.303,2.282,2.283,9048,2187493.054,0.9,0.23
2024-07-12,2.283,2.283,2.259,2.259,4899,1172646.541,1.05,0.13
2024-07-15,2.257,2.277,2.246,2.253,6564,1568095.88,1.37,0.17
2024-07-16,2.245,2.249,2.146,2.172,19989,4650577.844,4.57,0.52
2024-07-17,2.155,2.173,2.11,2.134,62080,14042019.466,2.9,1.6
2024-07-18,2.117,2.134,2.113,2.119,35598,7991281.211,0.98,0.92
2024-07-19,2.107,2.185,2.087,2.177,46061,10469128.375,4.62,1.19
2024-07-22,2.166,2.225,2.157,2.173,11392,2615602.478,3.12,0.29
2024-07-23,2.174,2.189,2.132,2.172,6386,1464703.8,2.62,0.16
2024-07-24,2.176,2.176,2.152,2.165,4597,1050153.0,1.1,0.12
2024-07-25,2.152,2.167,2.127,2.157,365,83320.82,1.85,0.01
2024-07-26,2.167,2.217,2.166,2.214,6744,1562090.208,2.36,0.17
2024-07-29,2.225,2.229,2.178,2.222,20155,4720209.404,2.3,0.52
2024-07-30,2.184,2.274,2.184,2.274,11822,2804051.2,4.05,0.31
2024-07-31,2.277,2.283,2.256,2.283,7404,1775441.641,1.19,0.19
2024-08-01,2.279,2.293,2.247,2.255,5865,1403591.062,2.01,0.15
2024-08-02,2.255,2.283,2.219,2.278,2633,631003.544,2.84,0.07
2024-08-05,2.277,2.296,2.24,2.278,13893,3343505.601,2.46,0.36
2024-08-06,2.276,2.302,2.272,2.302,11140,2690851.738,1.32,0.29
2024-08-07,2.263,2.365,2.263,2.349,27821,6854289.186,4.43,0.72
2024-08-08,2.361,2.361,2.305,2.324,10816,2647485.928,2.38,0.28
2024-08-09,2.284,2.349,2.284,2.333,6748,1659407.466,2.8,0.17
2024-08-12,2.333,2.341,2.285,2.294,19989,4853508.794,2.4,0.52
2024-08-13,2.258,2.297,2.257,2.261,19573,4694457.82,1.74,0.51
2024-08-14,2.258,2.294,2.257,2.26,16331,3904213.268,1.64,0.42
2024-08-15,2.285,2.285,2.236,2.249,12167,2896857.9,2.17,0.31
2024-08-16,2.245,2.277,2.229,2.252,14061,3327406.9,2.13,0.36
2024-08-19,2.248,2.267,2.241,2.244,10189,2420510.6,1.15,0.26
2024-08-20,2.291,2.291,2.227,2.247,7769,1846725.4,2.85,0.2
2024-08-21,2.273,2.273,2.228,2.247,1026,242807.48,2.0,0.03
2024-08-22,2.262,2.266,2.248,2.253,5277,1255190.8,0.8,0.14
2024-08-23,2.253,2.277,2.237,2.244,4403,1043173.4,1.78,0.11
2024-08-26,2.238,2.242,2.216,2.23,7048,1658960.7,1.16,0.18
2024-08-27,2.23,2.245,2.225,2.237,4107,966530.35,0.9,0.11
2024-08-28,2.192,2.276,2.192,2.275,6456,1529173.44,3.76,0.17
2024-08-29,2.275,2.301,2.228,2.246,29383,6981199.568,3.21,0.76
2024-08-30,2.225,2.276,2.216,2.251,6921,1635515.2,2.67,0.18
2024-09-02,2.212,2.264,2.212,2.239,2706,641170.0,2.31,0.07
2024-09-03,2.2,2.251,2.2,2.213,7330,1713353.9,2.28,0.19
2024-09-04,2.177,2.237,2.177,2.228,4743,1109949.66,2.71,0.12
2024-09-05,2.254,2.254,2.225,2.241,5463,1293739.8,1.3,0.14
2024-09-06,2.202,2.252,2.202,2.219,4801,1129118.4,2.23,0.12
2024-09-09,2.267,2.267,2.173,2.216,2899,676777.9,4.24,0.07
2024-09-10,2.174,2.243,2.174,2.215,1739,406819.758,3.11,0.04
2024-09-11,2.177,2.255,2.177,2.221,10665,2499016.73,3.52,0.28
2024-09-12,2.217,2.267,2.205,2.218,2278,533062.2,2.79,0.06
2024-09-13,2.235,2.235,2.199,2.227,3011,706906.7,1.62,0.08
2024-09-18,2.229,2.23,2.219,2.229,3652,858353.357,0.49,0.09
2024-09-19,2.257,2.257,2.177,2.19,13784,3203019.6,3.59,0.36
2024-09-20,2.163,2.211,2.163,2.203,10548,2433137.0,2.19,0.27
2024-09-23,2.177,2.227,2.177,2.217,12563,2931293.2,2.27,0.32
2024-09-24,2.217,2.253,2.198,2.238,13299,3130746.4,2.48,0.34
2024-09-25,2.277,2.277,2.219,2.241,7983,1891618.865,2.59,0.21
2024-09-26,2.241,2.274,2.219,2.257,15534,3703845.313,2.45,0.4
2024-09-27,2.25,2.285,2.247,2.284,30100,7219699.876,1.68,0.78
2024-09-30,2.257,2.297,2.257,2.279,36673,8806453.98,1.75,0.95
2024-10-08,2.279,2.297,2.227,2.278,12963,3111595.376,3.07,0.33
2024-10-09,2.271,2.272,2.244,2.259,9387,2231294.147,1.23,0.24
2024-10-10,2.276,2.276,2.222,2.225,8007,1891578.92,2.39,0.21
2024-10-11,2.214,2.267,2.214,2.257,4206,1000459.8,2.38,0.11
2024-10-14,2.256,2.278,2.241,2.262,5365,1282737.2,1.64,0.14
2024-10-15,2.297,2.297,2.245,2.258,7341,1742903.457,2.3,0.19
2024-10-16,2.258,2.267,2.246,2.256,1538,366625.5,0.93,0.04
2024-10-17,2.25,2.266,2.25,2.261,1662,395210.171,0.71,0.04
2024-10-18,2.266,2.266,2.248,2.257,3740,888718.8,0.8,0.1
2024-10-21,2.257,2.266,2.248,2.256,2397,569886.6,0.8,0.06
2024-10-22,2.248,2.262,2.241,2.255,5937,1410965.2,0.93,0.15
2024-10-23,2.267,2.274,2.251,2.255,1300,309557.5,1.02,0.03
2024-10-24,2.265,2.265,2.22,2.222,3204,756387.6,2.0,0.08
2024-10-25,2.221,2.237,2.211,2.223,10955,2564169.5,1.17,0.28
2024-10-28,2.264,2.265,2.216,2.228,2306,541907.408,2.2,0.06
2024-10-29,2.257,2.257,2.227,2.227,1922,452846.232,1.35,0.05
2024-10-30,2.208,2.241,2.208,2.235,2121,499975.377,1.48,0.05
2024-10-31,2.235,2.269,2.235,2.26,9582,2279475.182,1.52,0.25
2024-11-01,2.32,2.331,2.241,2.267,3212,767586.7,3.98,0.08
2024-11-04,2.307,2.307,2.237,2.241,4730,1122145.499,3.09,0.12
2024-11-05,2.251,2.266,2.231,2.251,10638,2530361.522,1.56,0.27
2024-11-06,2.277,2.277,2.232,2.247,9666,2288740.2,2.0,0.25
2024-11-07,2.265,2.265,2.245,2.257,6277,1493368.7,0.89,0.16
2024-11-08,2.276,2.276,2.247,2.248,4203,1000199.85,1.28,0.11
2024-11-11,2.308,2.319,2.209,2.257,9608,2289829.0,4.89,0.25
2024-11-12,2.29,2.303,2.254,2.265,12528,2949513.0,2.17,0.32
2024-11-13,2.273,2.273,2.263,2.267,8176,1926761.352,0.44,0.21
2024-11-14,2.327,2.338,2.169,2.26,8515,1999402.5,7.45,0.22
2024-11-15,2.26,2.278,2.25,2.262,6876,1618392.188,1.24,0.18
2024-11-18,2.295,2.295,2.233,2.244,5148,1204340.3,2.74,0.13
2024-11-19,2.244,2.244,2.22,2.233,3044,707918.3,1.07,0.08
2024-11-20,2.234,2.291,2.222,2.241,5169,1208060.7,3.09,0.13
2024-11-21,2.233,2.284,2.226,2.262,4976,1167559.854,2.59,0.13
2024-11-22,2.259,2.265,2.252,2.258,6054,1422258.2,0.57,0.16
2024-11-25,2.265,2.265,2.25,2.253,821,192594.1,0.66,0.02
2024-11-26,2.26,2.264,2.249,2.256,3419,800483.131,0.67,0.09
2024-11-27,2.252,2.28,2.217,2.236,21966,5088012.3,2.79,0.57
2024-11-28,2.234,2.235,2.176,2.189,18035,4128876.2,2.64,0.47
2024-11-29,2.184,2.19,2.166,2.174,5942,1343747.1,1.1,0.15
2024-12-02,2.174,2.174,2.13,2.135,29923,6687404.2,2.02,0.77
2024-12-03,2.14,2.14,2.127,2.129,8076,1794733.2,0.61,0.21
2024-12-04,2.129,2.142,2.122,2.142,12475,2767131.5,0.94,0.32
2024-12-05,2.142,2.209,2.139,2.208,23087,5218718.4,3.27,0.6
2024-12-06,2.21,2.21,2.184,2.2,12793,2919724.0,1.18,0.33
2024-12-09,2.199,2.204,2.182,2.204,4800,1094654.8,1.0,0.12
2024-12-10,2.211,2.31,2.183,2.221,5205,1202616.428,5.76,0.13
2024-12-11,2.211,2.283,2.185,2.266,9477,2214321.37,4.41,0.24
2024-12-12,2.274,2.341,2.233,2.341,15715,3741678.3,4.77,0.41
2024-12-13,2.34,2.383,2.3,2.344,19703,4811880.308,3.55,0.51
2024-12-16,2.334,2.372,2.311,2.372,5970,1458389.522,2.6,0.15
2024-12-17,2.36,2.378,2.344,2.349,5525,1352807.867,1.43,0.14
2024-12-18,2.341,2.347,2.27,2.275,16722,3998122.3,3.28,0.43
2024-12-19,2.265,2.325,2.248,2.325,5403,1282727.3,3.38,0.14
2024-12-20,2.325,2.366,2.319,2.341,8376,2040815.548,2.02,0.22
2024-12-23,2.34,2.365,2.325,2.34,2469,597235.5,1.71,0.06
2024-12-24,2.364,2.37,2.304,2.321,8613,2080481.8,2.82,0.22
2024-12-25,2.321,2.363,2.306,2.363,10255,2498219.1,2.46,0.26
2024-12-26,2.379,2.379,2.327,2.34,4332,1056173.586,2.2,0.11
2024-12-27,2.308,2.36,2.308,2.339,5075,1232505.2,2.22,0.13
2024-12-30,2.33,2.36,2.299,2.306,9192,2224308.614,2.61,0.24
2024-12-31,2.319,2.364,2.302,2.339,9020,2190000.0,2.69,0.23
2025-01-02,2.36,2.36,2.328,2.353,15219,3714152.96,1.37,0.39
2025-01-03,2.359,2.379,2.335,2.345,21277,5186475.1,1.87,0.55
2025-01-06,2.359,2.365,2.345,2.345,15420,3768475.122,0.85,0.4
2025-01-07,2.354,2.354,2.268,2.301,15668,3739039.2,3.67,0.4
2025-01-08,2.298,2.348,2.298,2.332,6948,1677987.4,2.17,0.18
2025-01-09,2.349,2.36,2.334,2.344,13160,3211753.2,1.11,0.34
2025-01-10,2.36,2.36,2.333,2.36,17151,4186860.643,1.15,0.44
2025-01-13,2.36,2.36,2.324,2.344,9994,2438596.8,1.53,0.26
2025-01-14,2.34,2.356,2.321,2.351,1792,436873.5,1.49,0.05
2025-01-15,2.359,2.38,2.356,2.378,23188,5704823.548,1.02,0.6
2025-01-16,2.377,2.378,2.344,2.36,22561,5531185.3,1.43,0.58
2025-01-17,2.367,2.377,2.346,2.367,21159,5194498.4,1.31,0.55
2025-01-20,2.378,2.378,2.36,2.371,2726,669337.8,0.76,0.07
2025-01-21,2.367,2.378,2.36,2.377,7264,1787209.4,0.76,0.19
2025-01-22,2.378,2.459,2.372,2.42,103261,25716571.182,3.66,2.67
2025-01-23,2.439,2.503,2.415,2.501,43532,11036834.784,3.64,1.12
2025-01-24,2.477,2.528,2.477,2.52,27682,7175340.954,2.04,0.71
2025-01-27,2.518,2.534,2.475,2.526,7488,1946934.466,2.34,0.19
2025-02-05,2.526,2.54,2.493,2.535,9484,2476797.654,1.86,0.24
2025-02-06,2.538,2.562,2.524,2.546,23207,6119136.5,1.5,0.6
2025-02-07,2.549,2.688,2.546,2.626,48850,13172229.2,5.58,1.26
2025-02-10,2.625,2.744,2.625,2.744,29595,8256748.098,4.53,0.76
2025-02-11,2.75,2.828,2.744,2.823,16488,4772085.1,3.06,0.43
2025-02-12,2.841,2.841,2.735,2.8,25331,7149373.229,3.75,0.65
2025-02-13,2.78,2.796,2.69,2.77,64909,18394348.62,3.79,1.68
2025-02-14,2.744,2.788,2.691,2.77,28798,8155729.058,3.5,0.74
2025-02-17,2.77,2.901,2.73,2.842,29533,8566412.2,6.17,0.76
2025-02-18,2.861,2.938,2.78,2.807,19941,5748135.002,5.56,0.51
2025-02-19,2.768,2.819,2.767,2.819,20913,5968287.8,1.85,0.54
2025-02-20,2.807,2.866,2.803,2.845,14147,4096190.648,2.23,0.37
2025-02-21,2.846,2.896,2.819,2.869,15113,4440598.0,2.71,0.39
2025-02-24,2.829,2.929,2.763,2.77,19161,5535905.7,5.79,0.49
2025-02-25,2.768,2.8,2.715,2.744,37828,10651147.948,3.07,0.98
2025-02-26,2.733,2.751,2.722,2.729,10258,2871110.169,1.06,0.26
2025-02-27,2.727,2.73,2.651,2.673,42681,11665106.007,2.89,1.1
2025-02-28,2.661,2.661,2.632,2.637,3203,864579.784,1.08,0.08
2025-03-03,2.634,2.682,2.597,2.682,8280,2236410.418,3.22,0.21
2025-03-04,2.682,2.857,2.682,2.726,20598,5745815.499,6.52,0.53
2025-03-05,2.726,2.792,2.711,2.791,13155,3668949.707,2.97,0.34
2025-03-06,2.821,2.825,2.755,2.778,9915,2814984.45,2.51,0.26
2025-03-07,2.778,2.82,2.744,2.786,13457,3797836.611,2.74,0.35
2025-03-10,2.8,2.851,2.785,2.796,19049,5443017.45,2.37,0.49
2025-03-11,2.801,2.801,2.742,2.783,16210,4577958.788,2.11,0.42
2025-03-12,2.769,2.808,2.745,2.76,12413,3499184.288,2.26,0.32
2025-03-13,2.818,2.818,2.726,2.771,5902,1666043.585,3.33,0.15
2025-03-14,2.801,2.801,2.75,2.787,8404,2371086.15,1.84,0.22
2025-03-17,2.801,2.81,2.791,2.801,13157,3758673.3,0.68,0.34
2025-03-18,2.806,2.841,2.787,2.841,2906,835300.099,1.93,0.08
2025-03-19,2.856,2.856,2.821,2.833,11928,3452985.46,1.23,0.31
2025-03-20,2.83,2.877,2.808,2.824,21568,6227345.816,2.44,0.56
2025-03-21,2.817,2.837,2.809,2.832,13381,3852625.8,0.99,0.35
2025-03-24,2.832,2.84,2.777,2.814,8544,2443456.606,2.22,0.22
2025-03-25,2.802,2.841,2.77,2.789,19103,5459129.754,2.52,0.49
2025-03-26,2.788,2.806,2.761,2.786,21563,6123588.2,1.61,0.56
2025-03-27,2.786,2.795,2.773,2.793,9896,2816196.374,0.79,0.26
2025-03-28,2.807,2.812,2.767,2.783,37063,10551635.084,1.61,0.96
2025-03-31,2.777,2.801,2.767,2.801,11143,3168839.247,1.22,0.29
2025-04-01,2.8,2.812,2.794,2.809,7920,2266515.0,0.64,0.2
2025-04-02,2.817,2.835,2.81,2.827,7926,2281100.5,0.89,0.2
2025-04-03,2.834,2.84,2.803,2.82,8540,2458564.6,1.31,0.22
2025-04-07,2.8,2.8,2.75,2.762,3342,943775.493,1.77,0.09
2025-04-08,2.82,2.82,2.722,2.746,1993,561988.562,3.55,0.05
2025-04-09,2.79,2.79,2.676,2.702,12828,3565725.5,4.15,0.33
2025-04-10,2.721,2.763,2.671,2.747,4933,1367366.5,3.4,0.13
2025-04-11,2.761,2.806,2.727,2.761,17758,5040616.8,2.88,0.46
2025-04-14,2.761,2.782,2.747,2.77,1282,361711.368,1.27,0.03
2025-04-15,2.782,2.795,2.775,2.79,1520,431924.5,0.72,0.04
2025-04-16,2.779,2.821,2.771,2.801,5975,1708251.2,1.79,0.15
2025-04-17,2.797,2.834,2.797,2.818,3103,892727.1,1.32,0.08
2025-04-18,2.83,2.83,2.801,2.808,6723,1928031.4,1.03,0.17
2025-04-21,2.797,2.819,2.745,2.806,10383,2939669.8,2.64,0.27
2025-04-22,2.798,2.834,2.798,2.827,13557,3904095.642,1.28,0.35
2025-04-23,2.838,2.839,2.817,2.822,17625,5079710.7,0.78,0.46
2025-04-24,2.834,2.834,2.791,2.793,6883,1974946.0,1.52,0.18
2025-04-25,2.804,2.804,2.742,2.754,11273,3176136.4,2.22,0.29
2025-04-28,2.746,2.754,2.714,2.741,13760,3845902.0,1.45,0.36
2025-04-29,2.752,2.761,2.738,2.741,13181,3691463.9,0.84,0.34
2025-04-30,2.741,2.749,2.735,2.737,7351,2058486.4,0.51,0.19
2025-05-06,2.745,2.756,2.745,2.751,2371,666308.3,0.4,0.06
2025-05-07,2.771,2.771,2.738,2.74,7086,1984828.758,1.2,0.18
2025-05-08,2.751,2.782,2.751,2.782,5559,1565821.33,1.13,0.14
2025-05-09,2.783,2.849,2.783,2.817,13323,3835702.18,2.37,0.34
2025-05-12,2.805,2.835,2.797,2.816,12100,3474483.2,1.35,0.31
2025-05-13,2.827,2.83,2.802,2.83,4242,1219274.856,0.99,0.11
2025-05-14,2.841,2.858,2.825,2.858,8875,2571969.0,1.17,0.23
2025-05-15,2.861,2.881,2.835,2.877,6676,1951049.8,1.61,0.17
2025-05-16,2.886,3.049,2.871,2.969,44351,13374314.788,6.19,1.15
2025-05-19,2.969,3.029,2.957,3.029,10902,3325247.299,2.43,0.28
2025-05-20,3.036,3.053,3.001,3.028,19899,6139536.188,1.72,0.51
2025-05-21,3.025,3.074,3.015,3.056,15524,4823404.928,1.95,0.4
2025-05-22,3.047,3.065,3.019,3.059,19222,5952724.5,1.51,0.5
2025-05-23,3.058,3.058,3.011,3.042,8845,2733644.5,1.54,0.23
2025-05-26,3.054,3.059,2.999,3.011,16308,5023319.8,1.97,0.42
2025-05-27,3.021,3.051,2.97,2.987,24040,7325813.8,2.69,0.62
2025-05-28,2.975,3.038,2.975,3.025,20868,6364184.496,2.11,0.54
2025-05-29,3.026,3.031,3.006,3.021,9364,2883036.6,0.83,0.24
2025-05-30,3.033,3.033,3.002,3.008,7393,2271152.2,1.03,0.19
2025-06-03,3.015,3.041,2.974,2.988,17996,5519970.5,2.23,0.46
2025-06-04,2.976,3.019,2.972,2.992,12327,3756496.8,1.57,0.32
2025-06-05,3.004,3.027,2.986,3.01,24755,7583126.6,1.37,0.64
2025-06-06,3.022,3.069,2.991,3.058,7923,2450171.2,2.59,0.2
2025-06-09,3.07,3.079,3.038,3.061,17215,5371921.4,1.34,0.44
2025-06-10,3.073,3.077,2.997,3.006,36131,11175926.2,2.61,0.93
2025-06-11,3.021,3.036,2.998,3.018,25317,7776876.0,1.26,0.65
2025-06-12,3.025,3.044,3.018,3.044,15999,4939541.8,0.86,0.41
2025-06-13,3.041,3.085,3.04,3.072,31860,9978427.2,1.48,0.82
2025-06-16,3.082,3.129,3.062,3.126,16506,5136017.1,2.18,0.43
2025-06-17,3.136,3.161,3.126,3.161,8545,2711439.992,1.12,0.22
