日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-10-29,3.919,3.929,3.755,3.928,120259,48652132.434,4.44,16.76
2024-10-30,3.853,3.853,3.789,3.843,12343,4908668.157,1.63,1.72
2024-10-31,3.833,3.869,3.791,3.869,15166,6038365.87,2.03,2.11
2024-11-01,3.844,3.844,3.765,3.766,7910,3112007.434,2.04,1.1
2024-11-04,3.76,3.76,3.656,3.661,11062,4229104.875,2.76,1.54
2024-11-05,3.682,3.682,3.593,3.593,12087,4537921.428,2.43,1.68
2024-11-06,3.592,3.592,3.547,3.591,9306,3453562.449,1.25,1.3
2024-11-07,3.554,3.623,3.554,3.605,5907,2216471.584,1.92,0.82
2024-11-08,3.607,3.623,3.579,3.605,3625,1358523.916,1.22,0.51
2024-11-11,3.605,3.605,3.572,3.592,3081,1149410.2,0.92,0.43
2024-11-12,3.591,3.633,3.579,3.615,2842,1064335.748,1.5,0.4
2024-11-13,3.613,3.613,3.59,3.596,2198,822312.746,0.64,0.31
2024-11-14,3.584,3.609,3.58,3.59,3349,1251480.082,0.81,0.47
2024-11-15,3.584,3.597,3.575,3.579,2357,879221.202,0.61,0.33
2024-11-18,3.613,3.613,3.561,3.577,1565,582642.746,1.45,0.22
2024-11-19,3.564,3.598,3.564,3.593,1573,586287.857,0.95,0.22
2024-11-20,3.593,3.593,3.575,3.58,2676,996283.545,0.5,0.37
2024-11-21,3.579,3.603,3.577,3.601,2819,1054078.741,0.73,0.39
2024-11-22,3.617,3.617,3.556,3.566,4298,1597781.634,1.69,0.6
2024-11-25,3.559,3.566,3.544,3.554,2450,906708.669,0.62,0.34
2024-11-26,3.543,3.552,3.542,3.544,3326,1227157.688,0.28,0.46
2024-11-27,3.543,3.554,3.514,3.549,2062,760735.251,1.13,0.29
2024-11-28,3.552,3.614,3.55,3.602,7304,2709962.564,1.8,1.02
2024-11-29,3.602,3.612,3.555,3.584,1941,724718.421,1.58,0.27
2024-12-02,3.603,3.603,3.559,3.583,4067,1517044.034,1.23,0.57
2024-12-03,3.569,3.6,3.569,3.576,4329,1612715.284,0.87,0.6
2024-12-04,3.576,3.597,3.565,3.578,1274,474243.144,0.89,0.18
2024-12-05,3.565,3.605,3.564,3.577,4753,1769493.385,1.15,0.66
2024-12-06,3.565,3.61,3.565,3.59,9215,3433482.594,1.26,1.28
2024-12-09,3.589,3.614,3.587,3.591,3735,1396484.338,0.75,0.52
2024-12-10,3.591,3.611,3.575,3.595,4215,1573004.419,1.0,0.59
2024-12-11,3.585,3.612,3.585,3.603,4339,1622894.106,0.75,0.6
2024-12-12,3.594,3.64,3.593,3.639,5958,2243744.198,1.3,0.83
2024-12-13,3.639,3.664,3.591,3.648,4847,1835031.398,2.01,0.68
2024-12-16,3.638,3.65,3.622,3.632,1466,555334.884,0.77,0.2
2024-12-17,3.624,3.654,3.624,3.632,1318,498978.292,0.83,0.18
2024-12-18,3.664,3.664,3.616,3.641,3397,1286882.674,1.32,0.47
2024-12-19,3.645,3.664,3.614,3.656,3953,1494148.416,1.37,0.55
2024-12-20,3.638,3.654,3.638,3.646,2797,1059454.928,0.44,0.39
2024-12-23,3.586,3.643,3.586,3.626,1315,496488.467,1.56,0.18
2024-12-24,3.625,3.635,3.617,3.618,1383,520888.693,0.5,0.19
2024-12-25,3.617,3.639,3.518,3.591,10946,4050893.533,3.34,1.53
2024-12-26,3.532,3.597,3.519,3.58,3657,1357118.443,2.17,0.51
2024-12-27,3.578,3.599,3.535,3.594,4729,1765157.581,1.79,0.66
2024-12-30,3.588,3.714,3.588,3.714,12104,4582694.204,3.51,1.69
2024-12-31,3.662,3.754,3.662,3.754,19487,7532516.802,2.48,2.72
2025-01-02,3.705,3.743,3.705,3.722,14061,5443205.198,1.01,1.96
2025-01-03,3.753,3.753,3.656,3.713,6080,2349209.284,2.61,0.85
2025-01-06,3.754,3.754,3.626,3.626,10739,4090807.603,3.45,1.5
2025-01-07,3.626,3.635,3.585,3.586,3646,1363113.956,1.38,0.51
2025-01-08,3.589,3.612,3.557,3.607,3197,1195310.566,1.53,0.45
2025-01-09,3.603,3.655,3.558,3.638,10934,4115339.778,2.69,1.52
2025-01-10,3.644,3.689,3.605,3.681,4929,1873817.126,2.31,0.69
2025-01-13,3.681,3.704,3.663,3.663,3788,1452872.131,1.11,0.53
2025-01-14,3.655,3.704,3.638,3.641,5409,2048913.702,1.8,0.75
2025-01-15,3.638,3.671,3.638,3.671,1093,415284.759,0.91,0.15
2025-01-16,3.671,3.704,3.648,3.664,2041,778326.578,1.53,0.28
2025-01-17,3.668,3.684,3.665,3.681,4820,1841512.779,0.52,0.67
2025-01-20,3.694,3.754,3.684,3.744,8742,3383068.563,1.9,1.22
2025-01-21,3.734,3.767,3.708,3.765,8427,3286749.984,1.58,1.17
2025-01-22,3.766,3.817,3.741,3.807,6607,2607060.687,2.02,0.92
2025-01-23,3.783,3.823,3.782,3.803,13105,5175730.267,1.08,1.83
2025-01-24,3.803,3.893,3.784,3.87,12192,4846093.574,2.87,1.7
2025-01-27,3.845,3.919,3.845,3.877,10922,4406072.561,1.91,1.52
2025-02-05,3.915,3.915,3.82,3.908,8325,3354695.862,2.45,1.16
2025-02-06,3.91,3.919,3.869,3.903,9920,4016526.207,1.28,1.38
2025-02-07,3.903,3.903,3.844,3.895,8652,3484017.328,1.51,1.21
2025-02-10,3.87,3.95,3.87,3.947,16622,6770026.017,2.05,2.32
2025-02-11,3.924,4.057,3.924,4.052,24008,9988157.556,3.37,3.35
2025-02-12,4.049,4.069,4.011,4.067,15592,6541570.909,1.43,2.17
2025-02-13,4.065,4.065,3.99,4.019,13889,5795177.953,1.84,1.94
2025-02-14,3.96,4.054,3.96,4.018,3661,1524820.684,2.34,0.51
2025-02-17,3.989,4.053,3.957,4.032,4128,1722665.31,2.39,0.58
2025-02-18,4.032,4.032,3.992,4.024,7342,3059218.235,0.99,1.02
2025-02-19,4.023,4.023,3.972,4.006,9173,3802581.95,1.27,1.28
2025-02-20,3.975,4.011,3.971,4.009,2638,1093824.17,1.0,0.37
2025-02-21,3.974,4.054,3.974,4.028,5994,2493919.374,2.0,0.84
2025-02-24,4.028,4.062,3.987,4.005,11875,4947712.649,1.86,1.66
2025-02-25,3.989,4.026,3.964,3.986,6294,2599525.951,1.55,0.88
2025-02-26,3.989,3.989,3.92,3.92,11542,4734012.67,1.73,1.61
2025-02-27,3.91,3.928,3.904,3.905,12351,5007652.596,0.61,1.72
2025-02-28,3.901,3.921,3.88,3.919,7231,2930430.229,1.05,1.01
2025-03-03,3.939,3.939,3.844,3.869,4823,1943837.167,2.42,0.67
2025-03-04,3.864,3.924,3.862,3.914,7776,3147088.93,1.6,1.08
2025-03-05,3.822,4.009,3.822,3.994,11328,4618673.94,4.78,1.58
2025-03-06,3.97,4.404,3.97,4.034,23856,9956333.878,10.87,3.32
2025-03-07,4.016,4.074,4.002,4.062,21910,9144560.592,1.78,3.05
2025-03-10,4.062,4.079,4.024,4.078,14478,6098265.039,1.35,2.02
2025-03-11,4.074,4.083,4.064,4.082,2693,1136230.286,0.47,0.38
2025-03-12,4.073,4.134,4.049,4.084,8054,3413863.117,2.08,1.12
2025-03-13,4.084,4.211,4.026,4.081,3287,1381665.731,4.53,0.46
2025-03-14,4.066,4.095,4.048,4.092,10666,4502524.448,1.15,1.49
2025-03-17,4.059,4.151,4.058,4.145,4988,2128931.931,2.27,0.7
2025-03-18,4.112,4.145,4.112,4.14,3234,1382740.506,0.8,0.45
2025-03-19,4.152,4.231,4.142,4.226,5577,2417924.722,2.15,0.78
2025-03-20,4.204,4.26,4.194,4.21,3021,1321750.994,1.56,0.42
2025-03-21,4.21,4.21,4.178,4.201,1837,797376.413,0.76,0.26
2025-03-24,4.19,4.206,4.108,4.114,4563,1960925.371,2.33,0.64
2025-03-25,4.154,4.154,4.059,4.137,5841,2499327.818,2.31,0.81
2025-03-26,4.116,4.136,4.112,4.131,974,415769.535,0.58,0.14
