日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-11-15,5.906,5.917,5.572,5.91,285839,216361700.0,5.84,28.62
2022-11-16,5.906,5.906,5.756,5.781,32481,24419330.0,2.54,3.25
2022-11-17,5.76,5.76,5.694,5.717,14821,11043405.0,1.14,1.48
2022-11-18,5.709,5.709,5.605,5.614,23327,17165638.0,1.82,2.34
2022-11-21,5.612,5.836,5.577,5.824,32965,24628039.0,4.61,3.3
2022-11-22,5.821,5.846,5.75,5.826,13946,10515612.0,1.65,1.4
2022-11-23,5.831,5.864,5.786,5.862,15001,11367954.0,1.34,1.5
2022-11-24,5.863,5.907,5.863,5.877,16519,12582146.0,0.75,1.65
2022-11-25,5.877,5.903,5.877,5.89,20792,15842837.0,0.44,2.08
2022-11-28,5.89,5.901,5.799,5.9,18371,13963654.0,1.73,1.84
2022-11-29,5.885,5.927,5.86,5.906,26125,19947323.0,1.14,2.62
2022-11-30,5.903,5.917,5.889,5.899,22282,17007843.0,0.47,2.23
2022-12-01,5.904,5.923,5.898,5.903,34032,26004488.0,0.42,3.41
2022-12-02,5.901,5.917,5.896,5.903,26971,20589549.0,0.36,2.7
2022-12-05,5.901,5.965,5.897,5.946,36488,27996360.0,1.15,3.65
2022-12-06,5.953,6.009,5.947,6.007,47523,36644294.0,1.04,4.76
2022-12-07,6.007,6.007,5.931,5.941,36635,28113782.0,1.27,3.67
2022-12-08,5.92,5.959,5.905,5.946,15431,11840090.0,0.91,1.54
2022-12-09,5.946,5.965,5.944,5.95,27006,20741700.0,0.35,2.7
2022-12-12,5.947,5.953,5.91,5.949,9449,7253840.0,0.72,0.95
2022-12-13,5.95,5.95,5.906,5.906,32087,24592503.0,0.74,3.21
2022-12-14,5.906,5.924,5.906,5.911,16128,12330451.0,0.3,1.61
2022-12-15,5.911,5.927,5.906,5.913,12153,9297109.0,0.36,1.22
2022-12-16,5.913,5.927,5.909,5.924,13444,10286680.0,0.3,1.35
2022-12-19,5.925,5.93,5.891,5.922,15949,12201546.0,0.66,1.6
2022-12-20,5.907,5.957,5.907,5.92,15461,11833829.0,0.84,1.55
2022-12-21,5.915,5.95,5.915,5.916,16173,12379371.0,0.59,1.62
2022-12-22,5.916,5.956,5.915,5.944,19522,14974254.0,0.69,1.95
2022-12-23,5.944,5.976,5.944,5.975,16531,12720725.0,0.54,1.65
2022-12-26,5.971,5.972,5.911,5.967,15753,12119576.0,1.02,1.58
2022-12-27,5.916,5.971,5.916,5.955,12279,9436347.0,0.92,1.23
2022-12-28,5.955,5.975,5.927,5.961,7673,5905388.0,0.81,0.77
2022-12-29,5.966,5.986,5.917,5.931,20003,15383938.0,1.16,2.0
2022-12-30,5.923,5.995,5.923,5.979,8330,6400881.0,1.21,0.83
2023-01-03,5.978,5.982,5.921,5.978,10094,7778068.0,1.02,1.01
2023-01-04,5.978,5.986,5.92,5.942,17289,13297400.0,1.1,1.73
2023-01-05,5.942,5.965,5.931,5.951,11387,8745114.0,0.57,1.14
2023-01-06,5.951,5.974,5.922,5.961,13396,10307558.0,0.87,1.34
2023-01-09,5.964,5.964,5.923,5.957,12957,9958172.0,0.69,1.3
2023-01-10,5.947,5.964,5.927,5.958,15031,11553334.0,0.62,1.5
2023-01-11,5.958,5.978,5.952,5.972,16134,12423869.0,0.44,1.62
2023-01-12,5.97,5.973,5.952,5.971,8740,6729800.0,0.35,0.87
2023-01-13,5.957,5.977,5.953,5.964,6990,5379329.0,0.4,0.7
2023-01-16,5.946,5.963,5.946,5.953,11329,8705987.0,0.29,1.13
2023-01-17,5.951,5.956,5.945,5.949,9256,7107162.0,0.18,0.93
2023-01-18,5.952,5.964,5.946,5.959,14299,10992061.0,0.3,1.43
2023-01-19,5.956,5.958,5.941,5.957,22897,17596583.0,0.29,2.29
2023-01-20,5.957,5.966,5.957,5.964,18391,14138615.0,0.15,1.84
2023-01-30,5.962,5.977,5.957,5.966,17228,13261262.0,0.34,1.72
2023-01-31,5.967,5.998,5.924,5.997,33917,26147243.0,1.24,3.4
2023-02-01,5.997,5.999,5.991,5.995,12462,9627390.0,0.13,1.25
2023-02-02,5.991,5.991,5.971,5.978,18240,14053086.0,0.33,1.83
2023-02-03,5.978,6.015,5.956,5.994,16108,12415975.0,0.99,1.61
2023-02-06,5.994,6.02,5.945,5.956,26456,20407991.0,1.25,2.65
2023-02-07,5.951,5.977,5.935,5.951,23097,17760770.0,0.71,2.31
2023-02-08,5.949,5.95,5.939,5.947,11606,8907975.0,0.18,1.16
2023-02-09,5.944,5.977,5.933,5.957,17725,13607092.0,0.74,1.77
2023-02-10,5.956,5.984,5.946,5.959,26901,20706273.0,0.64,2.69
2023-02-13,5.959,5.961,5.942,5.959,17103,13142190.0,0.32,1.71
2023-02-14,5.959,5.977,5.959,5.973,22277,17149371.0,0.3,2.23
2023-02-15,5.971,5.991,5.956,5.965,19073,14707935.0,0.59,1.91
2023-02-16,5.951,5.975,5.951,5.973,17468,13448039.0,0.4,1.75
2023-02-17,5.964,5.994,5.964,5.992,20117,15516634.0,0.5,2.01
