日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-05-21,3.554,3.554,3.554,3.554,10381,3689574.0,0.0,0.69
2025-05-22,3.554,3.909,3.554,3.909,78229,30575130.0,9.99,5.22
2025-05-23,3.92,4.299,3.909,4.178,252722,103504708.0,9.98,16.86
2025-05-26,4.199,4.399,4.075,4.133,80421,33290479.0,7.75,5.37
2025-05-27,4.129,4.129,4.0,4.068,102917,41755610.0,3.12,6.87
2025-05-28,4.068,4.12,4.038,4.118,56371,23124564.0,2.02,3.76
2025-05-29,4.118,4.16,4.096,4.115,36601,15054615.0,1.55,2.44
2025-05-30,4.11,4.13,4.095,4.103,41480,17023624.0,0.85,2.77
2025-06-03,4.094,4.11,4.09,4.096,28582,11722021.0,0.49,1.91
2025-06-04,4.096,4.112,4.095,4.107,40770,16723119.0,0.42,2.72
2025-06-05,4.108,4.118,4.095,4.102,27048,11099216.0,0.56,1.8
2025-06-06,4.101,4.11,4.094,4.102,26242,10765304.0,0.39,1.75
2025-06-09,4.103,4.103,4.09,4.095,31196,12777528.0,0.32,2.08
2025-06-10,4.096,4.098,4.085,4.09,29655,12129426.0,0.32,1.98
2025-06-11,4.089,4.094,4.075,4.086,13423,5485239.0,0.46,0.9
2025-06-12,4.086,4.086,4.068,4.074,14996,6106239.0,0.44,1.0
2025-06-13,4.075,4.087,4.06,4.085,18996,7734340.0,0.66,1.27
2025-06-16,4.08,4.122,4.072,4.115,37739,15473193.0,1.22,2.52
2025-06-17,4.125,4.22,4.104,4.22,35027,14618824.0,2.82,2.34
2025-06-18,4.22,4.35,4.22,4.345,35039,15022096.0,3.08,2.34
2025-06-19,4.344,4.38,4.285,4.363,51390,22355668.0,2.19,3.43
2025-06-20,4.363,4.399,4.323,4.384,24800,10826762.0,1.74,1.65
2025-06-23,4.384,4.394,4.36,4.37,13299,5820663.0,0.78,0.89
2025-06-24,4.364,4.384,4.188,4.291,59242,25382468.0,4.49,3.95
2025-06-25,4.271,4.308,4.206,4.257,17260,7355417.0,2.38,1.15
2025-06-26,4.254,4.293,4.226,4.238,18313,7792917.0,1.57,1.22
2025-06-27,4.23,4.234,4.17,4.198,34917,14641442.0,1.51,2.33
2025-06-30,4.198,4.214,4.16,4.185,21363,8919540.0,1.29,1.43
2025-07-01,4.186,4.188,4.162,4.179,8854,3697394.0,0.62,0.59
2025-07-02,4.179,4.309,4.179,4.28,20346,8672906.0,3.11,1.36
2025-07-03,4.279,4.312,4.273,4.278,14850,6373296.0,0.91,0.99
2025-07-04,4.284,4.32,4.249,4.315,12561,5388106.0,1.66,0.84
2025-07-07,4.332,4.334,4.294,4.313,4957,2137947.0,0.93,0.33
2025-07-08,4.313,4.313,4.234,4.242,14545,6183181.0,1.83,0.97
2025-07-09,4.235,4.293,4.194,4.21,12932,5472639.0,2.33,0.86
2025-07-10,4.21,4.25,4.19,4.21,11511,4848848.0,1.43,0.77
2025-07-11,4.218,4.25,4.205,4.226,4881,2055655.0,1.07,0.33
2025-07-14,4.234,4.244,4.209,4.211,5139,2166157.0,0.83,0.34
2025-07-15,4.211,4.29,4.205,4.235,9044,3845356.0,2.02,0.6
2025-07-16,4.236,4.244,4.222,4.239,2903,1229379.0,0.52,0.19
2025-07-17,4.239,4.254,4.222,4.235,8277,3507612.0,0.75,0.55
2025-07-18,4.244,4.248,4.197,4.2,15050,6340702.0,1.2,1.0
2025-07-21,4.213,4.217,4.163,4.163,14367,5997703.0,1.29,0.96
2025-07-22,4.175,4.175,4.092,4.098,19119,7860207.0,1.99,1.28
2025-07-23,4.098,4.099,3.993,4.073,44610,17956293.0,2.59,2.98
2025-07-24,4.078,4.078,4.031,4.046,16846,6815750.0,1.15,1.12
2025-07-25,4.043,4.053,4.028,4.046,10733,4340029.0,0.62,0.72
2025-07-28,4.062,4.128,4.047,4.125,8892,3642818.0,2.0,0.59
2025-07-29,4.127,4.132,4.094,4.103,11226,4606295.0,0.92,0.75
2025-07-30,4.103,4.125,4.09,4.12,6331,2598770.0,0.85,0.42
2025-07-31,4.114,4.19,4.114,4.18,17261,7195771.0,1.84,1.15
2025-08-01,4.164,4.197,4.16,4.17,13143,5485050.0,0.89,0.88
2025-08-04,4.163,4.197,4.092,4.097,10281,4247870.0,2.52,0.69
2025-08-05,4.103,4.115,4.055,4.113,9967,4083586.0,1.46,0.66
2025-08-06,4.097,4.129,4.07,4.115,5070,2086942.0,1.43,0.34
2025-08-07,4.115,4.145,4.104,4.121,5318,2196129.0,1.0,0.35
2025-08-08,4.121,4.121,4.1,4.112,3336,1371125.0,0.51,0.22
2025-08-11,4.104,4.104,4.07,4.085,11514,4703504.0,0.83,0.77
2025-08-12,4.085,4.1,4.069,4.085,10621,4334561.0,0.76,0.71
2025-08-13,4.085,4.085,4.057,4.058,10456,4257430.0,0.69,0.7
2025-08-14,4.055,4.065,4.043,4.043,6779,2749462.0,0.54,0.45
