日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-04-21,3.8,3.8,3.64,3.735,675240,251314086.992,4.86,22.51
2025-04-22,3.724,3.746,3.695,3.742,207580,77084181.322,1.37,6.92
2025-04-23,3.724,3.747,3.722,3.738,113987,42570507.411,0.67,3.8
2025-04-24,3.737,3.741,3.728,3.741,205276,76718816.096,0.35,6.84
2025-04-25,3.733,3.739,3.714,3.721,77209,28791859.178,0.67,2.57
2025-04-28,3.715,3.715,3.65,3.67,146263,53791446.868,1.75,4.88
2025-04-29,3.668,3.707,3.662,3.696,59798,22086604.796,1.23,1.99
2025-04-30,3.695,3.717,3.695,3.711,50739,18813257.485,0.6,1.69
2025-05-06,3.711,3.73,3.7,3.728,71532,26581583.156,0.81,2.38
2025-05-07,3.716,3.755,3.713,3.749,70899,26535404.473,1.13,2.36
2025-05-08,3.749,3.759,3.738,3.755,68385,25637139.086,0.56,2.28
2025-05-09,3.746,3.764,3.745,3.749,34488,12946505.175,0.51,1.15
2025-05-12,3.749,3.762,3.746,3.759,37630,14123107.99,0.43,1.25
2025-05-13,3.759,3.759,3.748,3.75,28526,10703334.801,0.29,0.95
2025-05-14,3.747,3.763,3.747,3.756,52391,19671602.426,0.43,1.75
2025-05-15,3.762,3.762,3.737,3.753,39183,14678120.925,0.67,1.31
2025-05-16,3.753,3.77,3.746,3.766,41128,15466728.613,0.64,1.37
2025-05-19,3.775,3.789,3.763,3.78,37594,14187913.955,0.69,1.25
2025-05-20,3.78,3.801,3.78,3.8,65552,24892659.204,0.56,2.19
2025-05-21,3.801,3.838,3.784,3.83,49320,18777181.899,1.42,1.64
2025-05-22,3.826,3.833,3.814,3.82,28532,10916346.882,0.5,0.95
2025-05-23,3.819,3.819,3.785,3.804,34943,13278339.419,0.89,1.16
2025-05-26,3.798,3.807,3.785,3.804,32602,12389058.364,0.58,1.09
2025-05-27,3.804,3.804,3.79,3.799,23372,8879387.814,0.37,0.78
2025-05-28,3.793,3.799,3.791,3.796,20008,7591845.662,0.21,0.67
2025-05-29,3.796,3.812,3.796,3.807,30747,11704775.581,0.42,1.03
2025-05-30,3.805,3.81,3.796,3.805,37988,14446815.291,0.37,1.27
2025-06-03,3.805,3.805,3.79,3.796,36781,13965419.817,0.39,1.23
2025-06-04,3.795,3.798,3.788,3.793,34921,13249151.363,0.26,1.16
2025-06-05,3.793,3.807,3.793,3.801,29025,11036719.807,0.37,0.97
2025-06-06,3.805,3.82,3.8,3.818,23999,9151707.394,0.53,0.8
2025-06-09,3.818,3.822,3.8,3.812,19951,7598520.047,0.58,0.67
2025-06-10,3.812,3.812,3.803,3.806,27472,10461842.865,0.24,0.92
2025-06-11,3.808,3.82,3.797,3.816,32076,12213945.788,0.6,1.07
