日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-09-19,2.353,2.374,2.352,2.363,112129,26946274.0,0.94,3.4
2024-09-20,2.354,2.367,2.352,2.361,19308,4635830.0,0.63,0.59
2024-09-23,2.356,2.36,2.354,2.359,4856,1167165.0,0.25,0.15
2024-09-24,2.356,2.356,2.31,2.351,36130,8655204.0,1.95,1.09
2024-09-25,2.351,2.361,2.311,2.358,39234,9415143.0,2.13,1.19
2024-09-26,2.335,2.372,2.335,2.362,32674,7871918.0,1.57,0.99
2024-09-27,2.354,2.375,2.339,2.354,2102,503864.0,1.52,0.06
2024-09-30,2.331,2.364,2.313,2.364,6005,1440936.0,2.17,0.18
2024-10-08,2.355,2.376,2.348,2.371,13260,3191025.0,1.18,0.4
2024-10-09,2.336,2.374,2.336,2.368,4425,1064798.0,1.6,0.13
2024-10-10,2.368,2.384,2.338,2.375,49692,12033815.0,1.94,1.51
2024-10-11,2.375,2.39,2.359,2.384,11902,2886850.0,1.31,0.36
2024-10-14,2.383,2.384,2.36,2.374,6983,1689314.0,1.01,0.21
2024-10-15,2.375,2.384,2.36,2.375,18038,4366924.0,1.01,0.55
2024-10-16,2.376,2.376,2.371,2.372,9933,2402983.0,0.21,0.3
2024-10-17,2.364,2.375,2.364,2.373,9720,2349813.0,0.46,0.29
2024-10-18,2.374,2.385,2.361,2.378,8607,2083099.0,1.01,0.26
2024-10-21,2.363,2.387,2.363,2.384,9644,2341738.0,1.01,0.29
2024-10-22,2.404,2.404,2.375,2.387,14278,3467589.0,1.22,0.43
2024-10-23,2.369,2.398,2.369,2.381,26054,6323968.0,1.21,0.79
2024-10-24,2.381,2.394,2.376,2.382,11559,2805112.0,0.76,0.35
2024-10-25,2.382,2.389,2.37,2.385,5056,1228378.0,0.8,0.15
2024-10-28,2.373,2.396,2.373,2.394,4563,1111105.0,0.96,0.14
2024-10-29,2.379,2.429,2.379,2.404,9253,2264207.0,2.09,0.28
2024-10-30,2.417,2.432,2.404,2.411,925,227384.0,1.16,0.03
2024-10-31,2.414,2.449,2.405,2.414,401,98617.0,1.82,0.01
2024-11-01,2.432,2.432,2.381,2.41,2903,713991.0,2.11,0.09
2024-11-04,2.419,2.427,2.405,2.406,1482,363616.0,0.91,0.04
2024-11-05,2.423,2.423,2.393,2.408,6388,1563922.0,1.25,0.19
2024-11-06,2.41,2.41,2.388,2.409,457,111981.0,0.91,0.01
2024-11-07,2.42,2.436,2.39,2.431,1466,362563.0,1.91,0.04
2024-11-08,2.431,2.619,2.401,2.419,953,235197.0,8.97,0.03
2024-11-11,2.419,2.427,2.414,2.427,5848,1443242.0,0.54,0.18
2024-11-12,2.434,2.434,2.424,2.429,2953,730321.0,0.41,0.09
2024-11-13,2.429,2.434,2.403,2.429,8582,2108146.0,1.28,0.26
2024-11-14,2.421,2.434,2.399,2.404,17025,4180055.0,1.44,0.52
2024-11-15,2.403,2.414,2.384,2.402,11637,2839537.0,1.25,0.35
2024-11-18,2.42,2.454,2.387,2.399,6710,1643806.0,2.79,0.2
2024-11-19,2.444,2.633,2.381,2.398,24290,5941799.0,10.5,0.74
2024-11-20,2.412,2.412,2.354,2.388,38983,9452788.0,2.42,1.18
2024-11-21,2.378,2.432,2.373,2.422,5229,1273225.0,2.47,0.16
2024-11-22,2.429,2.431,2.39,2.429,1788,442045.0,1.69,0.05
2024-11-25,2.429,2.442,2.429,2.436,455,112957.0,0.54,0.01
2024-11-26,2.444,2.444,2.431,2.438,2300,571532.0,0.53,0.07
2024-11-27,2.444,2.444,2.434,2.434,5729,1423934.0,0.41,0.17
2024-11-28,2.434,2.443,2.434,2.443,1311,325979.0,0.37,0.04
2024-11-29,2.42,2.453,2.404,2.447,1624,404252.0,2.01,0.05
2024-12-02,2.454,2.462,2.45,2.462,3468,866843.0,0.49,0.11
2024-12-03,2.448,2.461,2.448,2.454,634,158599.0,0.53,0.02
2024-12-04,2.449,2.48,2.449,2.476,2876,723539.0,1.26,0.09
2024-12-05,2.478,2.498,2.471,2.485,9258,2339958.0,1.09,0.28
2024-12-06,2.445,2.504,2.445,2.489,4386,1108128.0,2.37,0.13
2024-12-09,2.498,2.498,2.479,2.489,1854,469892.0,0.76,0.06
2024-12-10,2.449,2.498,2.449,2.491,4800,1216372.0,1.97,0.15
2024-12-11,2.488,2.53,2.469,2.53,14277,3654185.0,2.45,0.43
2024-12-12,2.53,2.586,2.53,2.58,15607,4070681.0,2.21,0.47
2024-12-13,2.56,2.612,2.56,2.604,26031,6858681.0,2.02,0.79
2024-12-16,2.59,2.613,2.566,2.608,5837,1547435.0,1.8,0.18
2024-12-17,2.601,2.614,2.569,2.608,8288,2193189.0,1.73,0.25
2024-12-18,2.602,2.614,2.568,2.613,9325,2457084.0,1.76,0.28
2024-12-19,2.609,2.609,2.573,2.574,5517,1453325.0,1.38,0.17
2024-12-20,2.592,2.615,2.55,2.551,4633,1216294.0,2.53,0.14
2024-12-23,2.55,2.589,2.535,2.545,1091,281946.0,2.12,0.03
2024-12-24,2.563,2.584,2.538,2.563,4565,1191112.0,1.81,0.14
2024-12-25,2.581,2.589,2.557,2.566,1434,374399.0,1.25,0.04
2024-12-26,2.569,2.575,2.555,2.564,872,227778.0,0.78,0.03
2024-12-27,2.549,2.581,2.549,2.575,7626,1995774.0,1.25,0.23
2024-12-30,2.582,2.584,2.574,2.576,2100,551775.0,0.39,0.06
2024-12-31,2.579,2.59,2.575,2.579,5930,1557788.0,0.58,0.18
2025-01-02,2.579,2.581,2.571,2.581,2536,665821.0,0.39,0.08
2025-01-03,2.581,2.613,2.566,2.611,17222,4560673.0,1.82,0.52
2025-01-06,2.607,2.619,2.599,2.609,12171,3231109.0,0.77,0.37
2025-01-07,2.608,2.614,2.589,2.595,10477,2775617.0,0.96,0.32
2025-01-08,2.589,2.633,2.589,2.629,25716,6841809.0,1.7,0.78
2025-01-09,2.629,2.634,2.623,2.632,7795,2085583.0,0.42,0.24
2025-01-10,2.634,2.644,2.624,2.637,7480,2006803.0,0.76,0.23
2025-01-13,2.634,2.636,2.615,2.62,8820,2354674.0,0.8,0.27
2025-01-14,2.624,2.624,2.583,2.586,2979,787600.0,1.56,0.09
2025-01-15,2.604,2.615,2.585,2.603,1542,408175.0,1.16,0.05
2025-01-16,2.599,2.599,2.587,2.593,4447,1172909.0,0.46,0.13
2025-01-17,2.611,2.647,2.59,2.642,3509,934616.0,2.2,0.11
2025-01-20,2.635,2.642,2.633,2.64,3529,947553.0,0.34,0.11
2025-01-21,2.634,2.649,2.634,2.647,6685,1798756.0,0.57,0.2
2025-01-22,2.648,2.664,2.635,2.658,15302,4121897.0,1.1,0.46
2025-01-23,2.672,2.834,2.634,2.776,16931,4701455.0,7.52,0.51
2025-01-24,2.861,2.954,2.76,2.899,19268,5569267.0,6.99,0.58
2025-01-27,2.904,2.909,2.86,2.892,23971,7056056.0,1.69,0.73
2025-02-05,2.892,2.914,2.842,2.914,16303,4799268.0,2.49,0.49
2025-02-06,2.91,2.962,2.878,2.944,13544,4040919.0,2.88,0.41
2025-02-07,2.97,2.97,2.92,2.944,9250,2766630.0,1.7,0.28
2025-02-10,2.946,3.004,2.946,3.003,12948,3912819.0,1.97,0.39
2025-02-11,2.984,3.05,2.963,3.042,51499,15885615.0,2.9,1.56
2025-02-12,3.044,3.1,3.044,3.051,36596,11412967.0,1.84,1.11
2025-02-13,3.011,3.063,3.011,3.023,12445,3836613.0,1.7,0.38
2025-02-14,2.983,3.034,2.983,3.034,16514,5059018.0,1.69,0.5
2025-02-17,3.034,3.079,3.033,3.073,25533,7930144.0,1.52,0.77
2025-02-18,3.074,3.081,3.062,3.064,17468,5443236.0,0.62,0.53
2025-02-19,3.064,3.081,3.025,3.056,8553,2662638.0,1.83,0.26
2025-02-20,3.074,3.074,3.026,3.05,7769,2405373.0,1.57,0.24
2025-02-21,3.05,3.082,3.034,3.039,7846,2441666.0,1.57,0.24
2025-02-24,3.059,3.072,2.999,3.014,3535,1093604.0,2.4,0.11
2025-02-25,2.994,3.044,2.935,3.004,21321,6533555.0,3.62,0.65
2025-02-26,3.003,3.012,2.983,3.011,11207,3414492.0,0.97,0.34
2025-02-27,3.033,3.033,2.972,3.001,8605,2626216.0,2.03,0.26
2025-02-28,3.013,3.034,2.934,2.955,12965,3913670.0,3.33,0.39
2025-03-03,2.954,3.004,2.917,2.984,26390,7927872.0,2.94,0.8
2025-03-04,3.016,3.072,3.013,3.053,12731,3922795.0,1.98,0.39
2025-03-05,3.064,3.064,3.049,3.054,7391,2290958.0,0.49,0.22
2025-03-06,3.047,3.064,3.0,3.022,5333,1635550.0,2.1,0.16
2025-03-07,3.022,3.034,2.988,3.0,2520,767908.0,1.52,0.08
2025-03-10,3.033,3.033,2.982,3.003,12727,3880606.0,1.7,0.39
2025-03-11,3.036,3.036,2.964,2.973,15053,4573705.0,2.4,0.46
2025-03-12,3.034,3.034,2.944,2.989,10116,3052580.0,3.03,0.31
2025-03-13,3.022,3.023,2.983,2.983,5891,1792035.0,1.34,0.18
2025-03-14,3.016,3.034,2.963,2.984,14305,4335716.0,2.38,0.43
2025-03-17,3.013,3.014,2.97,3.002,3843,1168338.0,1.47,0.12
2025-03-18,3.03,3.03,2.979,3.022,4829,1473106.0,1.7,0.15
2025-03-19,3.007,3.054,2.983,3.037,18884,5791335.0,2.35,0.57
2025-03-20,3.051,3.057,3.036,3.056,3528,1091656.0,0.69,0.11
2025-03-21,3.054,3.104,3.03,3.039,14562,4508426.0,2.42,0.44
2025-03-24,3.054,3.054,2.994,3.013,13464,4118330.0,1.97,0.41
2025-03-25,3.009,3.029,2.97,3.009,30456,9260564.0,1.96,0.92
2025-03-26,3.004,3.039,2.981,3.006,14611,4449432.0,1.93,0.44
2025-03-27,3.004,3.031,2.971,3.007,28898,8789162.0,2.0,0.88
2025-03-28,3.022,3.054,3.009,3.033,21295,6534074.0,1.5,0.65
2025-03-31,3.037,3.063,3.024,3.059,7666,2371418.0,1.29,0.23
2025-04-01,3.054,3.08,3.048,3.059,4499,1397816.0,1.05,0.14
2025-04-02,3.054,3.094,3.054,3.094,12204,3804919.0,1.31,0.37
2025-04-03,3.103,3.154,3.083,3.154,14704,4629537.0,2.29,0.45
2025-04-07,3.158,3.473,3.054,3.155,15017,4739502.0,13.28,0.46
2025-04-08,3.194,3.194,3.092,3.146,15799,5010995.0,3.23,0.48
2025-04-09,3.135,3.196,3.075,3.107,19203,6040327.0,3.85,0.58
2025-04-10,3.154,3.154,3.068,3.142,11071,3522963.0,2.77,0.34
2025-04-11,3.158,3.193,3.156,3.18,3689,1186389.0,1.18,0.11
2025-04-14,3.174,3.23,3.153,3.186,9986,3227357.0,2.42,0.3
2025-04-15,3.169,3.223,3.14,3.219,7427,2384423.0,2.61,0.23
2025-04-16,3.206,3.273,3.199,3.273,5704,1879308.0,2.3,0.17
2025-04-17,3.273,3.337,3.272,3.313,6664,2241314.0,1.99,0.2
2025-04-18,3.349,3.363,3.249,3.251,2922,973423.0,3.44,0.09
2025-04-21,3.248,3.263,3.164,3.256,8746,2831323.0,3.05,0.27
2025-04-22,3.264,3.288,3.256,3.278,5069,1680003.0,0.98,0.15
2025-04-23,3.265,3.294,3.264,3.277,6151,2041925.0,0.92,0.19
2025-04-24,3.288,3.295,3.26,3.275,3290,1093525.0,1.07,0.1
2025-04-25,3.308,3.308,3.222,3.26,10133,3287816.0,2.63,0.31
2025-04-28,3.259,3.259,3.228,3.228,4025,1302084.0,0.95,0.12
2025-04-29,3.25,3.29,3.229,3.254,3749,1214955.0,1.89,0.11
2025-04-30,3.26,3.313,3.233,3.313,5601,1826471.0,2.46,0.17
2025-05-06,3.324,3.325,3.3,3.321,3454,1145362.0,0.75,0.1
2025-05-07,3.324,3.35,3.312,3.332,2351,782020.0,1.14,0.07
2025-05-08,3.34,3.345,3.303,3.318,4277,1418679.0,1.26,0.13
2025-05-09,3.317,3.317,3.29,3.312,2389,789797.0,0.81,0.07
2025-05-12,3.323,3.33,3.292,3.33,4268,1416566.0,1.15,0.13
2025-05-13,3.319,3.34,3.314,3.329,1730,574844.0,0.78,0.05
2025-05-14,3.335,3.37,3.329,3.369,5788,1942342.0,1.23,0.18
2025-05-15,3.372,3.4,3.372,3.384,2846,963122.0,0.83,0.09
2025-05-16,3.398,3.41,3.38,3.393,2284,776224.0,0.89,0.07
2025-05-19,3.404,3.407,3.387,3.405,583,198438.0,0.59,0.02
2025-05-20,3.413,3.428,3.4,3.42,1698,578828.0,0.82,0.05
2025-05-21,3.42,3.45,3.404,3.449,3441,1178969.0,1.35,0.1
2025-05-22,3.448,3.505,3.436,3.455,11526,3995528.0,2.0,0.35
