日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-12,2.26,2.261,2.074,2.159,103796,24705810.0,8.73,5.31
2024-03-13,2.103,2.167,2.103,2.167,16178,3848112.0,2.96,0.83
2024-03-14,2.155,2.173,2.14,2.169,18518,4448524.0,1.52,0.95
2024-03-15,2.17,2.179,2.156,2.178,4714,1134526.0,1.06,0.24
2024-03-18,2.176,2.2,2.155,2.16,23625,5674089.0,2.07,1.21
2024-03-19,2.15,2.15,2.125,2.127,5208,1238615.0,1.16,0.27
2024-03-20,2.129,2.13,2.109,2.119,7333,1726235.0,0.99,0.38
2024-03-21,2.107,2.107,2.078,2.086,14313,3334749.0,1.37,0.73
2024-03-22,2.088,2.1,1.99,1.991,24534,5536883.0,5.27,1.26
2024-03-25,1.98,2.02,1.955,2.008,20392,4497242.0,3.26,1.04
2024-03-26,2.008,2.016,1.983,2.0,4376,979179.0,1.64,0.22
2024-03-27,2.016,2.086,1.986,2.057,39883,9117176.0,5.0,2.04
2024-03-28,2.057,2.105,2.02,2.027,8341,1900214.0,4.13,0.43
2024-03-29,2.02,2.023,2.014,2.021,9323,2106634.0,0.44,0.48
2024-04-01,2.014,2.05,1.981,2.039,6191,1403135.0,3.41,0.32
2024-04-02,2.037,2.105,2.037,2.07,39125,9084884.0,3.33,2.0
2024-04-03,2.067,2.11,2.058,2.07,19074,4425012.0,2.51,0.98
2024-04-08,2.065,2.12,2.065,2.093,10634,2484543.0,2.66,0.54
2024-04-09,2.091,2.11,2.085,2.107,22266,5215557.0,1.19,1.14
2024-04-10,2.114,2.115,2.079,2.106,6548,1533319.0,1.71,0.34
2024-04-11,2.106,2.135,2.102,2.116,19749,4653792.0,1.57,1.01
2024-04-12,2.124,2.124,2.115,2.116,7702,1816348.0,0.43,0.39
2024-04-15,2.108,2.125,2.075,2.09,20631,4828214.0,2.36,1.06
2024-04-16,2.072,2.102,2.064,2.076,11719,2709481.0,1.82,0.6
2024-04-17,2.057,2.145,2.057,2.117,22074,5173228.0,4.24,1.13
2024-04-18,2.119,2.159,2.105,2.12,28039,6653820.0,2.55,1.44
2024-04-19,2.118,2.16,2.118,2.143,43033,10256356.0,1.98,2.2
2024-04-22,2.143,2.168,2.143,2.161,20610,4946241.0,1.17,1.06
2024-04-23,2.161,2.21,2.153,2.16,11047,2651330.0,2.64,0.57
2024-04-24,2.154,2.177,2.136,2.171,28539,6809340.0,1.9,1.46
2024-04-25,2.167,2.234,2.167,2.233,21560,5275748.0,3.09,1.1
2024-04-26,2.233,2.322,2.233,2.268,39456,9911384.0,3.99,2.02
2024-04-29,2.27,2.299,2.247,2.276,21512,5396176.0,2.29,1.1
2024-04-30,2.272,2.321,2.272,2.275,12627,3198300.0,2.15,0.65
2024-05-06,2.252,2.272,2.244,2.268,12856,3216510.0,1.23,0.66
2024-05-07,2.268,2.34,2.26,2.329,28917,7343289.0,3.53,1.48
2024-05-08,2.328,2.379,2.321,2.355,33714,8743221.0,2.49,1.73
2024-05-09,2.329,2.389,2.329,2.38,40174,10450481.0,2.55,2.06
2024-05-10,2.38,2.415,2.38,2.41,14355,3790241.0,1.47,0.73
