日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-10-14,3.578,3.578,3.478,3.491,865930,339241742.0,3.75,21.66
2022-10-17,3.491,3.58,3.432,3.568,97176,37596003.0,4.24,2.43
2022-10-18,3.569,3.732,3.569,3.704,107922,43640243.0,4.57,2.7
2022-10-19,3.704,3.782,3.662,3.701,43417,17662229.0,3.24,1.09
2022-10-20,3.701,3.715,3.697,3.703,58621,23867268.0,0.49,1.47
2022-10-21,3.704,3.727,3.701,3.718,53831,21989113.0,0.7,1.35
2022-10-24,3.718,3.726,3.682,3.699,63538,25862558.0,1.18,1.59
2022-10-25,3.693,3.698,3.632,3.667,75782,30610554.0,1.78,1.9
2022-10-26,3.669,3.685,3.642,3.683,51435,20728222.0,1.17,1.29
2022-10-27,3.682,3.691,3.669,3.686,34723,14074847.0,0.6,0.87
2022-10-28,3.687,3.708,3.62,3.69,72351,29112390.0,2.39,1.81
2022-10-31,3.69,3.69,3.638,3.683,36477,14752018.0,1.41,0.91
2022-11-01,3.678,3.699,3.646,3.692,64770,26167825.0,1.44,1.62
2022-11-02,3.687,3.71,3.669,3.698,41386,16837087.0,1.11,1.04
2022-11-03,3.698,3.704,3.687,3.698,30943,12582575.0,0.46,0.77
2022-11-04,3.698,3.72,3.694,3.714,46700,19030524.0,0.7,1.17
2022-11-07,3.715,3.741,3.688,3.714,55982,22896072.0,1.43,1.4
2022-11-08,3.71,3.711,3.669,3.675,45823,18585018.0,1.13,1.15
2022-11-09,3.672,3.682,3.662,3.674,29893,12073721.0,0.54,0.75
2022-11-10,3.678,3.725,3.636,3.643,50051,20169533.0,2.42,1.25
2022-11-11,3.643,3.7,3.637,3.648,49131,19824458.0,1.73,1.23
2022-11-14,3.649,3.697,3.633,3.638,40322,16224840.0,1.75,1.01
2022-11-15,3.641,3.684,3.612,3.647,19164,7693548.0,1.98,0.48
2022-11-16,3.65,3.682,3.632,3.637,28282,11349234.0,1.37,0.71
2022-11-17,3.636,3.645,3.563,3.624,61902,24645972.0,2.25,1.55
2022-11-18,3.618,3.637,3.606,3.618,39550,15765005.0,0.86,0.99
2022-11-21,3.614,3.691,3.607,3.684,27610,11113542.0,2.32,0.69
2022-11-22,3.626,3.72,3.626,3.666,30923,12473477.0,2.55,0.77
2022-11-23,3.662,3.704,3.65,3.671,41722,16856709.0,1.47,1.04
2022-11-24,3.671,3.705,3.644,3.662,43339,17475990.0,1.66,1.08
2022-11-25,3.655,3.7,3.633,3.667,34284,13856397.0,1.83,0.86
2022-11-28,3.666,3.68,3.624,3.672,35989,14499346.0,1.53,0.9
2022-11-29,3.671,3.68,3.635,3.675,42020,16947826.0,1.23,1.05
2022-11-30,3.674,3.687,3.641,3.67,28145,11373168.0,1.25,0.7
2022-12-01,3.67,3.698,3.65,3.681,34994,14161183.0,1.31,0.88
2022-12-02,3.681,3.729,3.643,3.693,33510,13583636.0,2.34,0.84
2022-12-05,3.696,3.712,3.665,3.701,23153,9412170.0,1.27,0.58
2022-12-06,3.701,3.72,3.646,3.691,65653,26649717.0,2.0,1.64
2022-12-07,3.689,3.691,3.662,3.662,28543,11531625.0,0.79,0.71
2022-12-08,3.662,3.701,3.662,3.681,25338,10261149.0,1.06,0.63
2022-12-09,3.678,3.708,3.659,3.661,35933,14524152.0,1.33,0.9
