日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-06-28,5.029,5.041,5.028,5.03,36765,20954842.0,0.26,0.77
2024-07-01,5.029,5.043,5.028,5.033,10382,5917759.0,0.3,0.22
2024-07-02,5.033,5.033,5.027,5.028,14308,8153321.0,0.12,0.3
2024-07-03,5.028,5.03,5.028,5.028,5064,2885587.0,0.04,0.11
2024-07-04,5.0,5.029,5.0,5.029,9720,5538229.0,0.58,0.2
2024-07-05,5.025,5.03,5.025,5.026,3464,1973269.0,0.1,0.07
2024-07-08,5.025,5.028,5.025,5.026,2215,1261333.0,0.06,0.05
2024-07-09,5.026,5.026,5.025,5.025,1910,1087653.0,0.02,0.04
2024-07-10,5.025,5.03,5.025,5.029,8894,5067034.0,0.1,0.19
2024-07-11,5.029,5.029,5.024,5.027,5592,3185963.0,0.1,0.12
2024-07-12,5.026,5.028,5.025,5.028,6759,3850879.0,0.06,0.14
2024-07-15,5.024,5.03,5.024,5.029,6110,3481138.0,0.12,0.13
2024-07-16,5.025,5.029,5.025,5.026,5753,3277599.0,0.08,0.12
2024-07-17,5.027,5.062,5.023,5.036,8876,5062303.0,0.78,0.19
2024-07-18,5.035,5.035,5.027,5.03,7361,4196640.0,0.16,0.15
2024-07-19,5.029,5.049,5.025,5.034,5509,3141231.0,0.48,0.12
2024-07-22,5.03,5.049,5.026,5.032,8782,5007837.0,0.46,0.18
2024-07-23,5.032,5.032,5.024,5.028,2165,1233469.0,0.16,0.05
2024-07-24,5.028,5.028,5.025,5.025,938,534120.0,0.06,0.02
2024-07-25,5.023,5.032,5.023,5.027,689,392527.0,0.18,0.01
2024-07-26,5.05,5.05,5.025,5.027,1246,710191.0,0.5,0.03
2024-07-29,5.025,5.03,5.025,5.028,4567,2602358.0,0.1,0.1
2024-07-30,5.028,5.028,5.026,5.028,4754,2708537.0,0.04,0.1
2024-07-31,5.027,5.029,5.027,5.028,14654,8349683.0,0.04,0.31
2024-08-01,5.028,5.028,5.026,5.027,3469,1976535.0,0.04,0.07
2024-08-02,5.027,5.029,5.027,5.029,5967,3399913.0,0.04,0.12
2024-08-05,5.029,5.079,5.025,5.062,24784,14158072.0,1.07,0.52
2024-08-06,5.061,5.178,5.032,5.17,32370,18696178.0,2.88,0.68
2024-08-07,5.131,5.228,5.05,5.227,19547,11465908.0,3.44,0.41
2024-08-08,5.227,5.253,5.203,5.211,10565,6224955.0,0.96,0.22
2024-08-09,5.211,5.242,5.21,5.223,19283,11354074.0,0.61,0.4
2024-08-12,5.196,5.234,5.196,5.22,9501,5590465.0,0.73,0.2
2024-08-13,5.245,5.245,5.198,5.202,7490,4397254.0,0.9,0.16
2024-08-14,5.181,5.182,5.13,5.178,12085,7048289.0,1.0,0.25
2024-08-15,5.176,5.226,5.176,5.226,12330,7216837.0,0.97,0.26
2024-08-16,5.226,5.258,5.198,5.234,16410,9679759.0,1.15,0.34
2024-08-19,5.24,5.268,5.196,5.23,8789,5185046.0,1.38,0.18
2024-08-20,5.205,5.26,5.205,5.231,11359,6703682.0,1.05,0.24
2024-08-21,5.231,5.328,5.21,5.228,13398,7944871.0,2.26,0.28
2024-08-22,5.202,5.305,5.202,5.234,9547,5648114.0,1.97,0.2
2024-08-23,5.265,5.265,5.218,5.23,2947,1740186.0,0.9,0.06
2024-08-26,5.219,5.222,5.201,5.22,1129,663778.0,0.4,0.02
2024-08-27,5.207,5.222,5.171,5.207,6102,3583829.0,0.98,0.13
2024-08-28,5.191,5.264,5.185,5.208,18631,10973270.0,1.52,0.39
2024-08-29,5.196,5.229,5.19,5.199,12387,7282179.0,0.75,0.26
2024-08-30,5.226,5.226,5.186,5.199,2347,1378063.0,0.77,0.05
2024-09-02,5.26,5.26,5.145,5.179,7562,4434086.0,2.21,0.16
2024-09-03,5.179,5.247,5.16,5.169,7293,4263817.0,1.68,0.15
2024-09-04,5.169,5.188,5.137,5.156,11919,6940523.0,0.99,0.25
2024-09-05,5.138,5.179,5.138,5.154,7912,4610750.0,0.8,0.17
2024-09-06,5.14,5.22,5.091,5.143,4638,2690525.0,2.5,0.1
2024-09-09,5.142,5.154,5.113,5.13,5980,3470661.0,0.8,0.13
2024-09-10,5.15,5.15,5.103,5.115,3119,1804978.0,0.92,0.07
2024-09-11,5.13,5.147,5.085,5.094,7131,4117941.0,1.21,0.15
2024-09-12,5.126,5.144,5.061,5.127,14166,8174952.0,1.63,0.3
2024-09-13,5.065,5.16,5.065,5.109,4604,2664148.0,1.85,0.1
2024-09-18,5.108,5.12,5.031,5.064,12610,7214362.0,1.74,0.26
2024-09-19,5.056,5.091,5.053,5.069,1578,906830.0,0.75,0.03
2024-09-20,5.062,5.083,5.034,5.065,5096,2921789.0,0.97,0.11
2024-09-23,5.031,5.07,5.031,5.037,2937,1679361.0,0.77,0.06
2024-09-24,5.037,5.069,5.031,5.038,2376,1357243.0,0.75,0.05
2024-09-25,5.03,5.057,5.03,5.043,2953,1686761.0,0.54,0.06
2024-09-26,5.043,5.069,5.032,5.048,4938,2824909.0,0.73,0.1
2024-09-27,5.129,5.129,5.032,5.069,1069,610390.0,1.92,0.02
2024-09-30,5.041,5.052,5.032,5.05,2894,1653650.0,0.39,0.06
2024-10-08,5.13,5.13,5.02,5.029,11001,6288214.0,2.18,0.23
2024-10-09,5.028,5.039,4.975,4.975,10741,6103534.0,1.27,0.22
2024-10-10,4.975,5.001,4.906,4.911,7658,4108169.0,1.91,0.16
2024-10-11,4.911,4.961,4.757,4.92,7067,3764665.0,4.15,0.15
2024-10-14,4.92,4.93,4.904,4.92,7837,4193362.0,0.53,0.16
2024-10-15,4.916,4.943,4.898,4.906,6041,3222688.0,0.91,0.13
2024-10-16,4.896,4.916,4.896,4.904,1246,664541.0,0.41,0.03
2024-10-17,4.904,4.914,4.891,4.9,1664,887043.0,0.47,0.03
2024-10-18,4.891,4.906,4.889,4.899,2159,1149717.0,0.35,0.05
2024-10-21,4.892,4.925,4.871,4.884,2199,1169159.0,1.1,0.05
2024-10-22,4.919,4.919,4.872,4.896,2020,1073244.0,0.96,0.04
2024-10-23,4.891,4.913,4.891,4.903,1105,589503.0,0.45,0.02
2024-10-24,4.903,4.914,4.873,4.893,3523,1876074.0,0.84,0.07
2024-10-25,4.881,4.886,4.857,4.876,2874,1524160.0,0.59,0.06
2024-10-28,4.876,4.91,4.851,4.861,2734,1447720.0,1.21,0.06
2024-10-29,4.871,4.871,4.856,4.869,1457,772107.0,0.31,0.03
2024-10-30,4.861,4.873,4.829,4.873,3185,1682535.0,0.9,0.07
2024-10-31,4.873,4.886,4.862,4.886,1264,670424.0,0.49,0.03
2024-11-01,4.906,4.924,4.888,4.922,2941,1571464.0,0.74,0.06
2024-11-04,4.889,4.946,4.889,4.933,1690,906667.0,1.16,0.04
2024-11-05,4.933,4.947,4.921,4.946,1773,950628.0,0.53,0.04
2024-11-06,4.946,4.975,4.946,4.974,1635,881605.0,0.59,0.03
2024-11-07,4.974,5.01,4.97,5.01,2997,1622929.0,0.8,0.06
2024-11-08,5.01,5.011,4.955,4.992,4472,2423357.0,1.12,0.09
2024-11-11,4.986,5.004,4.953,5.004,4336,2343300.0,1.02,0.09
2024-11-12,5.006,5.024,4.966,5.023,5719,3109899.0,1.16,0.12
2024-11-13,5.016,5.03,4.985,5.027,6998,3806422.0,0.9,0.15
2024-11-14,5.026,5.056,4.991,5.048,6104,3338690.0,1.29,0.13
2024-11-15,5.061,5.068,5.007,5.017,4176,2276740.0,1.21,0.09
2024-11-18,4.977,5.015,4.922,4.958,3224,1744611.0,1.85,0.07
2024-11-19,4.982,5.033,4.931,4.979,3192,1721607.0,2.06,0.07
2024-11-20,4.939,5.011,4.939,5.004,12175,6606673.0,1.45,0.25
2024-11-21,5.004,5.029,4.967,5.003,3399,1845596.0,1.24,0.07
2024-11-22,5.015,5.015,4.987,4.997,4722,2563300.0,0.56,0.1
2024-11-25,4.957,4.971,4.957,4.971,2139,1154951.0,0.28,0.04
2024-11-26,4.953,5.004,4.953,4.968,1321,713930.0,1.03,0.03
2024-11-27,4.953,4.989,4.953,4.989,1251,675767.0,0.72,0.03
2024-11-28,4.983,5.006,4.962,4.996,2187,1183203.0,0.88,0.05
2024-11-29,5.038,5.038,4.959,4.967,3330,1802224.0,1.58,0.07
2024-12-02,4.961,4.966,4.952,4.952,3830,2064258.0,0.28,0.08
2024-12-03,4.955,4.976,4.926,4.936,2525,1356305.0,1.01,0.05
2024-12-04,4.971,5.016,4.897,4.931,583,311882.0,2.41,0.01
2024-12-05,4.97,4.972,4.911,4.911,2362,1270084.0,1.24,0.05
2024-12-06,4.938,4.95,4.912,4.95,5254,2814927.0,0.77,0.11
2024-12-09,4.957,4.957,4.912,4.932,1335,715320.0,0.91,0.03
2024-12-10,4.978,4.98,4.913,4.951,6453,3467199.0,1.36,0.13
2024-12-11,4.951,5.021,4.946,4.972,8123,4383781.0,1.51,0.17
2024-12-12,5.02,5.02,4.972,4.977,4614,2500814.0,0.97,0.1
2024-12-13,4.943,5.071,4.931,4.984,2991,1620194.0,2.81,0.06
2024-12-16,4.984,5.021,4.955,4.984,3257,1760149.0,1.32,0.07
2024-12-17,4.977,5.007,4.932,4.973,7895,4254460.0,1.5,0.17
2024-12-18,4.971,4.988,4.944,4.951,5278,2842344.0,0.88,0.11
2024-12-19,4.962,4.97,4.934,4.948,3015,1624098.0,0.73,0.06
2024-12-20,4.935,4.96,4.935,4.951,1606,863641.0,0.51,0.03
2024-12-23,4.949,4.979,4.935,4.973,4266,2300145.0,0.89,0.09
2024-12-24,4.972,4.999,4.953,4.995,2835,1531811.0,0.92,0.06
2024-12-25,4.968,4.991,4.961,4.971,1809,977390.0,0.6,0.04
2024-12-26,4.989,5.03,4.988,5.003,3314,1801623.0,0.84,0.07
2024-12-27,5.026,5.03,4.996,5.003,3850,2097009.0,0.68,0.08
2024-12-30,5.011,5.05,4.969,4.976,8835,4797181.0,1.62,0.18
2024-12-31,5.133,5.133,4.952,4.995,5664,2964052.0,3.64,0.12
2025-01-02,4.976,5.016,4.957,5.003,1767,924865.0,1.18,0.04
2025-01-03,5.003,5.031,5.003,5.029,4537,2390787.0,0.56,0.09
2025-01-06,5.052,5.07,5.03,5.048,8236,4356712.0,0.8,0.17
2025-01-07,5.023,5.055,4.969,5.002,3618,1896096.0,1.7,0.08
2025-01-08,5.002,5.028,4.986,5.022,2762,1450495.0,0.84,0.06
2025-01-09,5.047,5.047,4.996,5.04,8089,4266544.0,1.02,0.17
2025-01-10,5.076,5.106,5.002,5.041,2286,1206997.0,2.06,0.05
2025-01-13,5.049,5.049,5.02,5.024,3461,1826141.0,0.58,0.07
2025-01-14,5.016,5.016,4.992,4.993,2863,1500055.0,0.48,0.06
2025-01-15,4.989,5.026,4.986,5.021,5317,2795008.0,0.8,0.11
2025-01-16,5.023,5.068,4.999,5.063,9059,4793035.0,1.37,0.19
2025-01-17,5.062,5.063,4.967,5.026,8601,4524689.0,1.9,0.18
2025-01-20,5.029,5.04,4.984,5.029,5531,2905447.0,1.11,0.12
2025-01-21,5.016,5.02,4.996,5.014,3981,2090235.0,0.48,0.08
2025-01-22,5.014,5.055,5.009,5.051,9471,4988499.0,0.92,0.2
2025-01-23,5.052,5.065,5.029,5.063,7297,3862386.0,0.71,0.15
2025-01-24,5.046,5.102,5.046,5.101,13679,7290542.0,1.11,0.29
2025-01-27,5.101,5.174,5.101,5.174,8225,4430897.0,1.43,0.17
2025-02-05,5.165,5.281,5.147,5.266,8748,4787409.0,2.59,0.18
2025-02-06,5.26,5.274,5.221,5.25,7982,4388132.0,1.01,0.17
2025-02-07,5.225,5.271,5.225,5.269,5063,2787948.0,0.88,0.11
2025-02-10,5.269,5.323,5.236,5.296,13632,7550620.0,1.65,0.29
2025-02-11,5.306,5.404,5.295,5.351,9565,5360387.0,2.06,0.2
2025-02-12,5.376,5.407,5.263,5.265,13961,7754022.0,2.69,0.29
2025-02-13,5.264,5.285,5.174,5.211,7607,4153133.0,2.11,0.16
2025-02-14,5.211,5.274,5.211,5.217,17140,9423495.0,1.21,0.36
2025-02-17,5.241,5.26,5.206,5.212,15615,8551356.0,1.04,0.33
2025-02-18,5.266,5.267,5.162,5.184,12874,7050337.0,2.01,0.27
2025-02-19,5.186,5.255,5.186,5.213,8560,4675894.0,1.33,0.18
2025-02-20,5.246,5.297,5.213,5.296,27786,15322021.0,1.61,0.58
2025-02-21,5.277,5.405,5.277,5.34,23745,13250354.0,2.42,0.5
2025-02-24,5.335,5.356,5.301,5.301,8467,4703520.0,1.03,0.18
2025-02-25,5.306,5.343,5.236,5.31,12956,7172269.0,2.02,0.27
2025-02-26,5.316,5.375,5.306,5.336,16340,9097591.0,1.3,0.34
2025-02-27,5.336,5.356,5.276,5.352,26575,14737404.0,1.5,0.56
2025-02-28,5.326,5.326,5.166,5.284,36488,19924782.0,2.99,0.76
2025-03-03,5.259,5.29,5.238,5.253,26649,14634080.0,0.98,0.56
2025-03-04,5.246,5.325,5.237,5.302,27064,14935437.0,1.68,0.57
2025-03-05,5.296,5.323,5.245,5.316,36087,19930844.0,1.47,0.75
2025-03-06,5.292,5.319,5.235,5.283,31429,17341664.0,1.58,0.66
2025-03-07,5.286,5.286,5.229,5.255,26926,14783454.0,1.08,0.56
2025-03-10,5.231,5.266,5.218,5.241,31671,17357968.0,0.91,0.66
2025-03-11,5.25,5.26,5.207,5.224,21920,11976631.0,1.01,0.46
2025-03-12,5.224,5.224,5.206,5.21,4155,2267664.0,0.34,0.09
2025-03-13,5.224,5.224,5.178,5.186,13624,7407446.0,0.88,0.28
2025-03-14,5.206,5.221,5.183,5.196,15899,8644525.0,0.73,0.33
2025-03-17,5.212,5.212,5.19,5.196,14725,8012719.0,0.42,0.31
2025-03-18,5.196,5.215,5.177,5.18,7762,4220636.0,0.73,0.16
2025-03-19,5.18,5.189,5.176,5.182,8166,4431999.0,0.25,0.17
2025-03-20,5.186,5.225,5.183,5.206,25847,14076951.0,0.81,0.54
2025-03-21,5.208,5.209,5.182,5.201,14493,7889922.0,0.52,0.3
2025-03-24,5.222,5.222,5.194,5.22,4126,2250324.0,0.54,0.09
2025-03-25,5.22,5.231,5.208,5.225,6462,3533310.0,0.44,0.14
2025-03-26,5.23,5.241,5.219,5.238,9785,5352769.0,0.42,0.2
2025-03-27,5.246,5.272,5.22,5.267,31949,17560004.0,0.99,0.67
2025-03-28,5.272,5.34,5.257,5.326,7284,4046795.0,1.58,0.15
2025-03-31,5.326,5.39,5.271,5.296,21987,12197862.0,2.23,0.46
2025-04-01,5.304,5.304,5.256,5.273,5797,3197467.0,0.91,0.12
2025-04-02,5.236,5.306,5.116,5.298,15807,8742004.0,3.6,0.33
2025-04-03,5.298,5.342,5.298,5.328,15400,8576316.0,0.83,0.32
2025-04-07,5.327,5.432,5.271,5.286,11201,6202848.0,3.02,0.23
2025-04-08,5.276,5.341,5.246,5.283,17450,9651569.0,1.8,0.36
2025-04-09,5.309,5.309,5.222,5.265,5736,3087693.0,1.65,0.12
2025-04-10,5.241,5.269,5.225,5.244,9677,5214373.0,0.84,0.2
2025-04-11,5.25,5.26,5.24,5.249,8388,4509926.0,0.38,0.18
2025-04-14,5.25,5.262,5.245,5.254,3309,1779680.0,0.32,0.07
2025-04-15,5.27,5.27,5.25,5.268,1805,973031.0,0.38,0.04
2025-04-16,5.267,5.277,5.255,5.277,11968,6463438.0,0.42,0.25
2025-04-17,5.277,5.294,5.258,5.294,6059,3281320.0,0.68,0.13
2025-04-18,5.295,5.315,5.291,5.296,1303,707347.0,0.45,0.03
2025-04-21,5.304,5.31,5.275,5.282,2896,1567568.0,0.66,0.06
2025-04-22,5.26,5.303,5.26,5.27,7603,4107583.0,0.81,0.16
2025-04-23,5.264,5.285,5.264,5.274,4767,2574956.0,0.4,0.1
2025-04-24,5.264,5.296,5.264,5.29,4064,2202649.0,0.61,0.08
2025-04-25,5.303,5.303,5.276,5.289,9645,5234403.0,0.51,0.2
2025-04-28,5.288,5.288,5.259,5.26,8414,4540717.0,0.55,0.18
2025-04-29,5.285,5.285,5.269,5.269,1553,839472.0,0.3,0.03
2025-04-30,5.27,5.29,5.27,5.276,5002,2705063.0,0.38,0.1
2025-05-06,5.276,5.285,5.272,5.276,1766,954433.0,0.25,0.04
2025-05-07,5.29,5.29,5.268,5.268,2062,1113877.0,0.42,0.04
2025-05-08,5.28,5.282,5.265,5.268,4774,2577452.0,0.32,0.1
2025-05-09,5.27,5.285,5.268,5.27,4298,2320634.0,0.32,0.09
2025-05-12,5.27,5.283,5.265,5.269,1064,574388.0,0.34,0.02
2025-05-13,5.28,5.28,5.262,5.277,1925,1040184.0,0.34,0.04
2025-05-14,5.277,5.285,5.264,5.265,4851,2621926.0,0.4,0.1
2025-05-15,5.27,5.275,5.248,5.259,4246,2287600.0,0.51,0.09
2025-05-16,5.259,5.264,5.24,5.25,3203,1722413.0,0.46,0.07
2025-05-19,5.263,5.263,5.234,5.234,6458,3472638.0,0.55,0.14
2025-05-20,5.255,5.299,5.24,5.25,12403,6686919.0,1.13,0.26
2025-05-21,5.264,5.363,5.26,5.331,9203,5013348.0,1.96,0.19
2025-05-22,5.326,5.39,5.326,5.38,11878,6517909.0,1.2,0.25
2025-05-23,5.38,5.433,5.372,5.387,11538,6371077.0,1.13,0.24
2025-05-26,5.42,5.42,5.355,5.358,5736,3166298.0,1.21,0.12
2025-05-27,5.358,5.394,5.319,5.361,4612,2526177.0,1.4,0.1
2025-05-28,5.382,5.43,5.321,5.366,4858,2670992.0,2.03,0.1
2025-05-29,5.361,5.423,5.341,5.358,5548,3049828.0,1.53,0.12
2025-05-30,5.38,5.421,5.314,5.325,3715,2031285.0,2.0,0.08
2025-06-03,5.334,5.347,5.287,5.314,6127,3335679.0,1.13,0.13
2025-06-04,5.299,5.4,5.295,5.372,10733,5899397.0,1.98,0.22
2025-06-05,5.372,5.572,5.372,5.509,35567,20067673.0,3.72,0.74
2025-06-06,5.509,5.556,5.415,5.452,5418,3038189.0,2.56,0.11
2025-06-09,5.452,5.474,5.416,5.427,2715,1508202.0,1.06,0.06
2025-06-10,5.405,5.461,5.388,5.42,13091,7304332.0,1.35,0.27
2025-06-11,5.44,5.489,5.417,5.417,2784,1550580.0,1.33,0.06
2025-06-12,5.4,5.432,5.395,5.41,4925,2727606.0,0.68,0.1
2025-06-13,5.41,5.469,5.406,5.42,4550,2523112.0,1.16,0.1
2025-06-16,5.432,5.472,5.42,5.43,3352,1868893.0,0.96,0.07
2025-06-17,5.413,5.452,5.397,5.425,3404,1888796.0,1.01,0.07
2025-06-18,5.44,5.44,5.385,5.419,2816,1562723.0,1.01,0.06
2025-06-19,5.418,5.469,5.407,5.413,9003,4999522.0,1.14,0.19
2025-06-20,5.399,5.429,5.398,5.399,1750,969095.0,0.57,0.04
2025-06-23,5.41,5.535,5.397,5.4,7446,4126871.0,2.56,0.16
2025-06-24,5.4,5.415,5.35,5.37,3364,1851815.0,1.2,0.07
2025-06-25,5.37,5.386,5.35,5.364,9675,5317218.0,0.67,0.2
2025-06-26,5.343,5.388,5.343,5.37,7549,4154317.0,0.84,0.16
2025-06-27,5.37,5.399,5.346,5.369,9716,5343058.0,0.99,0.2
2025-06-30,5.371,5.409,5.352,5.37,9265,5096359.0,1.06,0.19
2025-07-01,5.37,5.4,5.348,5.362,15604,8580226.0,0.97,0.33
2025-07-02,5.363,5.402,5.363,5.38,10913,6010187.0,0.73,0.23
2025-07-03,5.37,5.399,5.355,5.366,4819,2651879.0,0.82,0.1
2025-07-04,5.366,5.39,5.345,5.373,9697,5329106.0,0.84,0.2
2025-07-07,5.367,5.372,5.345,5.353,7130,3912775.0,0.5,0.15
2025-07-08,5.353,5.366,5.332,5.335,11798,6457070.0,0.64,0.25
2025-07-09,5.333,5.344,5.296,5.325,10935,5962705.0,0.9,0.23
