日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-10,5.7,5.768,5.519,5.755,47024,29249388.428,5.26,11.76
2024-12-11,5.75,5.92,5.641,5.895,28072,18028003.088,4.85,7.02
2024-12-12,5.896,6.122,5.875,6.076,17393,11574626.307,4.19,4.35
2024-12-13,6.07,6.15,6.036,6.139,25528,17119886.299,1.88,6.38
2024-12-16,6.13,6.272,6.079,6.18,24024,16178738.381,3.14,6.01
2024-12-17,6.191,6.266,6.086,6.12,15841,10681006.964,2.91,3.96
2024-12-18,6.12,6.139,5.952,6.009,14791,9794806.875,3.06,3.7
2024-12-19,5.998,6.006,5.805,5.96,8486,5542383.139,3.34,2.12
2024-12-20,5.922,6.065,5.922,6.005,8530,5638347.785,2.4,2.13
2024-12-23,6.001,6.065,6.001,6.044,13023,8631511.851,1.07,3.26
2024-12-24,6.006,6.094,6.006,6.045,12208,8120929.022,1.46,3.05
2024-12-25,6.021,6.05,6.021,6.04,11519,7644646.929,0.48,2.88
2024-12-26,6.04,6.132,6.003,6.13,10777,7206138.465,2.14,2.69
2024-12-27,6.13,6.38,6.09,6.209,8342,5675783.674,4.73,2.09
2024-12-30,6.169,6.278,6.169,6.206,10381,7081746.228,1.76,2.6
2024-12-31,6.263,6.263,6.185,6.19,11440,7781765.212,1.26,2.86
2025-01-02,6.15,6.245,6.15,6.193,8611,5856780.192,1.53,2.15
2025-01-03,6.193,6.337,6.193,6.334,12963,8906085.76,2.33,3.24
2025-01-06,6.395,6.431,6.306,6.386,20247,14165584.22,1.97,5.06
2025-01-07,6.346,6.395,6.218,6.23,10456,7192475.836,2.77,2.61
2025-01-08,6.23,6.34,6.221,6.323,10038,6880603.133,1.91,2.51
2025-01-09,6.323,6.396,6.319,6.355,14460,10068079.619,1.22,3.62
2025-01-10,6.356,6.407,6.3,6.336,11475,7968705.391,1.68,2.87
2025-01-13,6.337,6.389,6.24,6.266,4174,2887920.636,2.35,1.04
2025-01-14,6.232,6.368,6.2,6.203,2154,1467634.716,2.68,0.54
2025-01-15,6.2,6.231,6.003,6.172,14353,9674959.155,3.68,3.59
2025-01-16,6.172,6.172,6.095,6.127,5665,3811770.315,1.25,1.42
2025-01-17,6.127,6.22,6.1,6.178,4676,3163165.332,1.96,1.17
2025-01-20,6.23,6.23,6.138,6.213,7888,5366570.194,1.49,1.97
2025-01-21,6.213,6.239,6.111,6.189,3962,2693156.568,2.06,0.99
2025-01-22,6.149,6.298,6.149,6.194,3172,2155685.704,2.41,0.79
2025-01-23,6.154,6.286,6.154,6.2,6286,4281662.417,2.13,1.57
2025-01-24,6.2,6.22,6.162,6.189,4875,3309473.107,0.94,1.22
2025-01-27,6.16,6.3,6.16,6.234,6688,4581812.507,2.26,1.67
2025-02-05,6.235,6.285,6.22,6.279,6349,4340522.759,1.04,1.59
2025-02-06,6.279,6.389,6.216,6.22,2517,1723400.021,2.76,0.63
2025-02-07,6.22,6.279,6.22,6.229,8078,5514808.457,0.95,2.02
2025-02-10,6.25,6.3,6.19,6.195,7880,5372969.219,1.77,1.97
2025-02-11,6.21,6.285,6.18,6.23,6882,4690607.768,1.69,1.72
2025-02-12,6.23,6.24,6.201,6.212,8843,6030018.556,0.63,2.21
2025-02-13,6.212,6.221,6.181,6.21,3086,2100044.698,0.64,0.77
2025-02-14,6.211,6.23,6.18,6.225,8438,5745010.979,0.81,2.11
2025-02-17,6.25,6.286,6.25,6.253,6220,4263197.565,0.58,1.56
2025-02-18,6.253,6.299,6.253,6.293,5639,3877880.145,0.74,1.41
2025-02-19,6.256,6.397,6.256,6.356,10620,7349073.47,2.24,2.66
2025-02-20,6.356,6.495,6.32,6.378,9979,6972736.437,2.75,2.49
2025-02-21,6.398,6.42,6.388,6.401,14531,10168602.717,0.5,3.63
2025-02-24,6.405,6.438,6.309,6.33,22081,15388001.32,2.02,5.52
2025-02-25,6.33,6.351,6.3,6.348,10258,7115610.579,0.81,2.56
2025-02-26,6.343,6.35,6.33,6.346,11146,7735337.674,0.32,2.79
2025-02-27,6.399,6.399,6.321,6.335,8302,5760550.775,1.23,2.08
