日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-26,7.82,7.823,7.64,7.645,134315,116252739.0,2.57,6.77
2024-12-27,7.694,7.92,7.647,7.909,25608,22218230.0,3.57,1.29
2024-12-30,7.909,8.08,7.82,7.841,49394,43679394.0,3.29,2.49
2024-12-31,7.859,7.88,7.741,7.814,28977,25469925.0,1.77,1.46
2025-01-02,7.839,7.889,7.813,7.861,64128,56446997.0,0.97,3.23
2025-01-03,7.851,8.19,7.851,8.139,20404,18351869.0,4.31,1.03
2025-01-06,8.2,8.49,8.15,8.277,24308,22608065.0,4.18,1.23
2025-01-07,8.277,8.339,8.039,8.231,21471,19670634.0,3.62,1.08
2025-01-08,8.231,8.239,8.141,8.225,31914,29260702.0,1.19,1.61
2025-01-09,8.211,8.328,8.211,8.251,14829,13647671.0,1.42,0.75
2025-01-10,8.251,8.251,8.156,8.248,10010,9183730.0,1.15,0.5
2025-01-13,8.248,8.325,8.19,8.193,3855,3537308.0,1.64,0.19
2025-01-14,8.191,8.205,8.131,8.139,8331,7600828.0,0.9,0.42
2025-01-15,8.139,8.23,8.068,8.139,6111,5562905.0,1.99,0.31
2025-01-16,8.151,8.19,8.075,8.16,8127,7381463.0,1.41,0.41
2025-01-17,8.167,8.24,8.136,8.208,5262,4812480.0,1.27,0.27
2025-01-20,8.214,8.29,8.14,8.286,4182,3844626.0,1.83,0.21
2025-01-21,8.263,8.332,8.23,8.281,5160,4772917.0,1.23,0.26
2025-01-22,8.289,8.34,8.271,8.328,8297,7681759.0,0.83,0.42
2025-01-23,8.327,8.37,8.283,8.346,6157,5712873.0,1.04,0.31
2025-01-24,8.353,8.64,8.353,8.577,12701,11958578.0,3.44,0.64
2025-01-27,8.578,8.761,8.577,8.761,8214,7935941.0,2.15,0.41
2025-02-05,8.89,8.89,8.618,8.688,11019,10626858.0,3.1,0.56
2025-02-06,8.688,8.785,8.618,8.687,5230,5035998.0,1.92,0.26
2025-02-07,8.679,8.74,8.398,8.643,4767,4576714.0,3.94,0.24
2025-02-10,8.625,8.702,8.57,8.677,9664,9288601.0,1.53,0.49
2025-02-11,8.696,8.867,8.604,8.825,10018,9770309.0,3.03,0.5
2025-02-12,8.818,8.92,8.724,8.784,19537,19102541.0,2.22,0.98
2025-02-13,8.643,8.84,8.643,8.72,6434,6239164.0,2.24,0.32
2025-02-14,8.72,8.817,8.702,8.713,7333,7124051.0,1.32,0.37
2025-02-17,8.565,8.787,8.565,8.649,8383,8077054.0,2.55,0.42
2025-02-18,8.62,8.703,8.612,8.625,5648,5428650.0,1.05,0.28
2025-02-19,8.553,8.622,8.551,8.608,16167,15447424.0,0.82,0.81
2025-02-20,8.6,8.757,8.571,8.755,25340,24489799.0,2.16,1.28
2025-02-21,8.755,8.817,8.736,8.746,26556,25871459.0,0.93,1.34
2025-02-24,8.65,8.837,8.65,8.66,8870,8558506.0,2.14,0.45
2025-02-25,8.659,8.7,8.65,8.683,10021,9637381.0,0.58,0.51
2025-02-26,8.698,8.698,8.662,8.689,11642,11223951.0,0.41,0.59
2025-02-27,8.665,8.7,8.521,8.64,15370,14650460.0,2.06,0.77
2025-02-28,8.638,8.638,8.54,8.595,9536,9113317.0,1.13,0.48
2025-03-03,8.668,8.68,8.541,8.66,18580,17848592.0,1.62,0.94
2025-03-04,8.543,8.755,8.543,8.726,5719,5540918.0,2.45,0.29
2025-03-05,8.728,8.749,8.699,8.74,5108,4953261.0,0.57,0.26
2025-03-06,8.706,8.81,8.706,8.762,11253,10916370.0,1.19,0.57
2025-03-07,8.651,8.815,8.651,8.706,16447,15918544.0,1.87,0.83
2025-03-10,8.652,8.706,8.625,8.668,12793,12302046.0,0.93,0.64
2025-03-11,8.736,8.736,8.611,8.651,5067,4865453.0,1.44,0.26
2025-03-12,8.64,8.677,8.613,8.646,10314,9906094.0,0.74,0.52
2025-03-13,8.606,8.689,8.606,8.646,11256,10806668.0,0.96,0.57
2025-03-14,8.605,8.69,8.544,8.622,13666,13095456.0,1.69,0.69
2025-03-17,8.622,8.648,8.585,8.645,3745,3592835.0,0.73,0.19
2025-03-18,8.655,8.655,8.626,8.65,7701,7390948.0,0.34,0.39
2025-03-19,8.65,8.69,8.62,8.69,7263,6977100.0,0.81,0.37
2025-03-20,8.72,8.737,8.643,8.712,6253,6041731.0,1.08,0.32
2025-03-21,8.72,8.787,8.651,8.686,14015,13528769.0,1.56,0.71
2025-03-24,8.65,8.7,8.645,8.698,6596,6349795.0,0.63,0.33
2025-03-25,8.698,8.874,8.698,8.807,10472,10240109.0,2.02,0.53
2025-03-26,8.797,8.924,8.797,8.889,8024,7898457.0,1.44,0.4
2025-03-27,8.891,9.019,8.891,9.004,7108,7028554.0,1.44,0.36
2025-03-28,9.019,9.04,8.952,9.01,10357,10311217.0,0.98,0.52
2025-03-31,8.938,9.03,8.938,9.03,4230,4204475.0,1.02,0.21
2025-04-01,9.03,9.14,8.835,8.99,6820,6800080.0,3.38,0.34
2025-04-02,8.986,9.045,8.986,9.045,6775,6760373.0,0.66,0.34
2025-04-03,9.045,9.1,8.966,9.039,12186,12170794.0,1.48,0.61
2025-04-07,8.969,9.049,8.939,9.023,6888,6870113.0,1.22,0.35
2025-04-08,9.024,9.069,8.995,9.04,7344,7337471.0,0.82,0.37
2025-04-09,9.04,9.043,8.95,9.04,2500,2497093.0,1.03,0.13
2025-04-10,8.93,9.053,8.93,9.052,5546,5547825.0,1.36,0.28
2025-04-11,9.088,9.088,9.052,9.08,3971,3982737.0,0.4,0.2
2025-04-14,9.002,9.12,9.002,9.106,3736,3752692.0,1.3,0.19
2025-04-15,9.097,9.156,9.097,9.156,5019,5062010.0,0.65,0.25
2025-04-16,9.157,9.3,9.157,9.264,12286,12546152.0,1.56,0.62
2025-04-17,9.264,9.34,9.234,9.24,14525,14877194.0,1.14,0.73
2025-04-18,9.279,9.294,9.209,9.249,8262,8433639.0,0.92,0.42
2025-04-21,9.248,9.25,9.15,9.218,6048,5999908.0,1.08,0.3
2025-04-22,9.245,9.248,9.148,9.237,5743,5693344.0,1.08,0.29
2025-04-23,9.197,9.269,9.197,9.265,4275,4253226.0,0.78,0.22
2025-04-24,9.23,9.314,9.23,9.31,4888,4884119.0,0.91,0.25
2025-04-25,9.349,9.35,9.289,9.3,4654,4651575.0,0.66,0.23
2025-04-28,9.34,9.34,9.272,9.298,13086,13075018.0,0.73,0.66
2025-04-29,9.302,9.302,9.298,9.3,3545,3545137.0,0.04,0.18
2025-04-30,9.296,9.366,9.265,9.266,10880,10898069.0,1.09,0.55
2025-05-06,9.3,9.3,9.246,9.262,8625,8606686.0,0.58,0.43
2025-05-07,9.262,9.316,9.26,9.305,7186,7184208.0,0.6,0.36
2025-05-08,9.271,9.323,9.271,9.318,4378,4379476.0,0.56,0.22
2025-05-09,9.319,9.321,9.3,9.318,6212,6222693.0,0.23,0.31
