日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,10.469,10.469,9.708,9.787,181026,238979030.0,7.85,3.24
2021-06-22,9.785,9.785,9.255,9.729,36108,46636671.0,5.42,0.65
2021-06-23,9.729,9.746,9.639,9.705,22568,29320407.0,1.1,0.4
2021-06-24,9.707,9.707,9.635,9.642,18691,24233048.0,0.74,0.33
2021-06-25,9.646,9.724,9.609,9.724,14802,19193277.0,1.19,0.26
2021-06-28,9.72,9.72,9.637,9.64,11296,14644387.0,0.85,0.2
2021-06-29,9.64,9.64,9.588,9.601,10337,13358300.0,0.54,0.19
2021-06-30,9.608,9.639,9.588,9.634,7072,9136565.0,0.53,0.13
2021-07-01,9.634,9.777,9.628,9.723,10873,14132550.0,1.55,0.19
2021-07-02,9.719,9.719,9.61,9.635,8749,11337486.0,1.12,0.16
2021-07-05,9.635,9.635,9.612,9.615,5301,6861272.0,0.24,0.09
2021-07-06,9.615,9.615,9.59,9.592,7708,9956443.0,0.26,0.14
2021-07-07,9.592,9.593,9.568,9.569,7732,9971332.0,0.26,0.14
2021-07-08,9.569,9.569,9.487,9.487,10923,14008985.0,0.86,0.2
2021-07-09,9.486,9.487,9.4,9.417,9222,11748048.0,0.92,0.17
2021-07-12,9.417,9.417,9.367,9.368,11225,14253324.0,0.53,0.2
2021-07-13,9.368,9.368,9.269,9.274,10506,13240844.0,1.06,0.19
2021-07-14,9.273,9.273,9.179,9.184,12182,15244623.0,1.01,0.22
2021-07-15,9.184,9.273,9.184,9.267,12548,15769944.0,0.97,0.22
2021-07-16,9.267,9.397,9.249,9.382,13263,16791294.0,1.6,0.24
2021-07-19,9.383,9.453,9.383,9.422,14177,18035345.0,0.75,0.25
2021-07-20,9.422,9.422,9.369,9.416,8898,11309643.0,0.56,0.16
2021-07-21,9.415,9.417,9.38,9.389,7023,8930076.0,0.39,0.13
2021-07-22,9.389,9.389,9.285,9.325,4865,6151105.0,1.11,0.09
2021-07-23,9.325,9.375,9.325,9.351,6659,8431461.0,0.54,0.12
2021-07-26,9.351,9.351,9.266,9.294,9066,11438825.0,0.91,0.16
2021-07-27,9.367,9.367,9.224,9.255,12094,15244278.0,1.54,0.22
2021-07-28,9.255,9.255,9.225,9.231,11537,14492589.0,0.32,0.21
2021-07-29,9.231,9.253,9.229,9.236,11335,14239142.0,0.26,0.2
2021-07-30,9.235,9.235,9.205,9.213,16544,20737130.0,0.32,0.3
2021-08-02,9.212,9.212,9.184,9.19,15908,19905599.0,0.3,0.28
2021-08-03,9.189,9.199,9.182,9.185,14264,17846860.0,0.18,0.26
2021-08-04,9.184,9.199,9.18,9.185,9162,11459715.0,0.21,0.16
2021-08-05,9.185,9.199,9.181,9.183,15443,19311909.0,0.2,0.28
2021-08-06,9.182,9.192,9.169,9.186,26070,32591256.0,0.25,0.47
2021-08-09,9.186,9.203,9.186,9.197,12853,16085711.0,0.19,0.23
2021-08-10,9.195,9.197,9.185,9.19,12755,15957589.0,0.13,0.23
2021-08-11,9.191,9.191,9.185,9.19,12789,15998559.0,0.07,0.23
2021-08-12,9.189,9.193,9.182,9.19,13086,16371687.0,0.12,0.23
2021-08-13,9.19,9.199,9.181,9.192,9370,11721868.0,0.2,0.17
2021-08-16,9.192,9.192,9.184,9.186,14589,18248844.0,0.09,0.26
2021-08-17,9.186,9.189,9.179,9.18,15381,19233636.0,0.11,0.28
2021-08-18,9.179,9.184,9.175,9.179,13038,16297653.0,0.1,0.23
2021-08-19,9.178,9.192,9.177,9.192,20259,25332612.0,0.16,0.36
2021-08-20,9.192,9.216,9.181,9.215,16645,20848538.0,0.38,0.3
2021-08-23,9.216,9.298,9.202,9.284,11491,14448124.0,1.04,0.21
2021-08-24,9.282,9.307,9.26,9.303,15095,19034491.0,0.51,0.27
2021-08-25,9.304,9.338,9.299,9.335,14398,18207127.0,0.42,0.26
2021-08-26,9.335,9.363,9.314,9.359,19705,24970224.0,0.52,0.35
2021-08-27,9.359,9.45,9.359,9.446,29876,38093744.0,0.97,0.53
2021-08-30,9.446,9.618,9.446,9.574,41472,53371248.0,1.82,0.74
