日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-19,3.131,3.355,3.131,3.28,41960,14065561.345,7.45,3.7
2024-12-20,3.275,3.326,3.234,3.302,22882,7730236.491,2.8,2.02
2024-12-23,3.309,3.331,3.245,3.301,9425,3202310.3,2.6,0.83
2024-12-24,3.301,3.301,3.256,3.277,21401,7239022.383,1.36,1.89
2024-12-25,3.281,3.281,3.222,3.27,10078,3397378.363,1.8,0.89
2024-12-26,3.261,3.281,3.231,3.281,17853,6015721.821,1.53,1.57
2024-12-27,3.279,3.302,3.243,3.302,7749,2636210.749,1.8,0.68
2024-12-30,3.302,3.333,3.262,3.325,29821,10260230.651,2.15,2.63
2024-12-31,3.326,3.38,3.321,3.354,16809,5798236.385,1.77,1.48
2025-01-02,3.353,3.353,3.316,3.349,21250,7349652.952,1.1,1.87
2025-01-03,3.347,3.436,3.317,3.436,46944,16438923.514,3.55,4.14
2025-01-06,3.541,3.541,3.396,3.49,27257,9819272.512,4.22,2.4
2025-01-07,3.5,3.851,3.4,3.451,16476,5917455.365,12.92,1.45
2025-01-08,3.472,3.481,3.456,3.48,16859,6056270.516,0.72,1.49
2025-01-09,3.476,3.831,3.476,3.63,21453,7934379.688,10.2,1.89
2025-01-10,3.7,3.7,3.594,3.631,13318,4990722.538,2.92,1.17
2025-01-13,3.631,3.668,3.621,3.621,6909,2594703.192,1.29,0.61
2025-01-14,3.657,3.657,3.547,3.613,24263,9073360.122,3.04,2.14
2025-01-15,3.63,3.657,3.587,3.603,17861,6660012.5,1.94,1.57
2025-01-16,3.651,3.651,3.567,3.599,7726,2860349.16,2.33,0.68
2025-01-17,3.646,3.646,3.559,3.6,11443,4249127.108,2.42,1.01
2025-01-20,3.56,3.641,3.56,3.607,21102,7851060.352,2.25,1.86
2025-01-21,3.607,3.979,3.574,3.607,22138,8243487.46,11.23,1.95
2025-01-22,3.621,3.631,3.601,3.616,8495,3168227.613,0.83,0.75
2025-01-23,3.616,3.671,3.581,3.662,27053,10143793.6,2.49,2.38
2025-01-24,3.662,3.769,3.651,3.758,14907,5754034.69,3.22,1.31
2025-01-27,3.732,3.927,3.732,3.885,7601,3031500.225,5.19,0.67
2025-02-05,3.885,3.935,3.845,3.877,11731,4671890.147,2.32,1.03
2025-02-06,3.917,3.917,3.837,3.879,7615,3035583.953,2.06,0.67
2025-02-07,3.907,4.261,3.841,3.902,12815,5106430.768,10.83,1.13
2025-02-10,3.902,3.969,3.901,3.963,7167,2898938.997,1.74,0.63
2025-02-11,3.963,4.076,3.963,4.076,12436,5158580.082,2.85,1.1
2025-02-12,4.08,4.202,4.01,4.048,11925,5016842.456,4.71,1.05
2025-02-13,4.048,4.16,3.938,3.991,20033,8235603.084,5.48,1.77
2025-02-14,4.029,4.029,3.862,3.996,23563,9619356.756,4.18,2.08
2025-02-17,3.981,4.007,3.96,3.977,10636,4369046.556,1.18,0.94
2025-02-18,3.977,4.001,3.899,3.941,22604,9161749.84,2.56,1.99
2025-02-19,3.936,3.98,3.897,3.946,10216,4141216.876,2.11,0.9
2025-02-20,3.946,3.977,3.901,3.931,10259,4150671.02,1.93,0.9
2025-02-21,3.931,3.968,3.868,3.931,10924,4419135.44,2.54,0.96
2025-02-24,3.934,3.981,3.881,3.945,12940,5272307.818,2.54,1.14
2025-02-25,3.943,3.961,3.916,3.931,4058,1646393.302,1.14,0.36
2025-02-26,3.941,3.967,3.924,3.93,5002,2029735.822,1.09,0.44
2025-02-27,3.94,3.942,3.856,3.886,11151,4466872.406,2.19,0.98
2025-02-28,3.896,3.906,3.861,3.874,11122,4441854.681,1.16,0.98
2025-03-03,3.834,3.931,3.834,3.855,8193,3271018.695,2.5,0.72
2025-03-04,3.893,3.94,3.86,3.871,10946,4394771.8,2.08,0.96
2025-03-05,3.841,3.926,3.841,3.869,5078,2029891.5,2.2,0.45
