日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-31,3.136,3.158,3.105,3.151,53599,17172181.0,1.69,6.49
2025-01-02,3.151,3.151,3.092,3.092,11312,3609447.0,1.87,1.37
2025-01-03,3.091,3.148,3.088,3.128,12778,4083268.0,1.94,1.55
2025-01-06,3.134,3.148,3.11,3.118,6182,1976934.0,1.21,0.75
2025-01-07,3.117,3.127,3.098,3.113,2871,915360.0,0.93,0.35
2025-01-08,3.109,3.127,3.109,3.127,1958,625073.0,0.58,0.24
2025-01-09,3.127,3.129,3.118,3.127,2791,892675.0,0.35,0.34
2025-01-10,3.12,3.133,3.12,3.129,3886,1243192.0,0.42,0.47
2025-01-13,3.128,3.128,3.12,3.126,590,188582.0,0.26,0.07
2025-01-14,3.114,3.121,3.093,3.101,3700,1176622.0,0.9,0.45
2025-01-15,3.094,3.106,3.094,3.106,1639,520328.0,0.39,0.2
2025-01-16,3.1,3.113,3.1,3.107,837,266147.0,0.42,0.1
2025-01-17,3.101,3.116,3.1,3.111,698,221785.0,0.51,0.08
2025-01-20,3.107,3.114,3.102,3.113,2023,643730.0,0.39,0.24
2025-01-21,3.12,3.12,3.111,3.114,906,288635.0,0.29,0.11
2025-01-22,3.103,3.123,3.103,3.119,1580,503480.0,0.64,0.19
2025-01-23,3.117,3.122,3.107,3.122,1631,519648.0,0.48,0.2
2025-01-24,3.122,3.138,3.116,3.138,6313,2020253.0,0.7,0.76
2025-01-27,3.141,3.191,3.141,3.167,21287,6878187.0,1.59,2.58
2025-02-05,3.157,3.178,3.14,3.167,7187,2327736.0,1.2,0.87
2025-02-06,3.144,3.174,3.144,3.165,7113,2299179.0,0.95,0.86
2025-02-07,3.165,3.165,3.144,3.161,3402,1097784.0,0.66,0.41
2025-02-10,3.151,3.198,3.146,3.189,24569,7986006.0,1.65,2.97
2025-02-11,3.19,3.292,3.188,3.26,18523,6132627.0,3.26,2.24
2025-02-12,3.26,3.358,3.26,3.323,49331,16702270.0,3.01,5.97
2025-02-13,3.322,3.323,3.283,3.288,12253,4137343.0,1.2,1.48
2025-02-14,3.283,3.308,3.248,3.298,15234,5121774.0,1.82,1.84
2025-02-17,3.299,3.326,3.264,3.298,22977,7749478.0,1.88,2.78
2025-02-18,3.296,3.316,3.264,3.274,11489,3861619.0,1.58,1.39
2025-02-19,3.258,3.277,3.254,3.264,11275,3759858.0,0.7,1.37
2025-02-20,3.258,3.278,3.258,3.273,12937,4324030.0,0.61,1.57
2025-02-21,3.273,3.295,3.266,3.283,12118,4057152.0,0.89,1.47
2025-02-24,3.295,3.295,3.244,3.244,13703,4568281.0,1.55,1.66
2025-02-25,3.244,3.258,3.158,3.197,20730,6773641.0,3.08,2.51
2025-02-26,3.191,3.227,3.169,3.185,6073,1985169.0,1.81,0.74
2025-02-27,3.178,3.18,3.129,3.142,9032,2911252.0,1.6,1.09
2025-02-28,3.129,3.158,3.095,3.122,8244,2622579.0,2.01,1.0
2025-03-03,3.14,3.155,3.093,3.142,8246,2650695.0,1.99,1.0
2025-03-04,3.142,3.192,3.128,3.188,14623,4758382.0,2.04,1.77
2025-03-05,3.171,3.222,3.162,3.209,7598,2491088.0,1.88,0.92
2025-03-06,3.209,3.224,3.205,3.212,9586,3148865.0,0.59,1.16
2025-03-07,3.218,3.218,3.181,3.192,5347,1747508.0,1.15,0.65
2025-03-10,3.168,3.203,3.158,3.203,1490,486218.0,1.41,0.18
2025-03-11,3.204,3.204,3.19,3.199,6662,2178089.0,0.44,0.81
2025-03-12,3.176,3.195,3.176,3.188,1993,650080.0,0.59,0.24
2025-03-13,3.178,3.192,3.177,3.188,425,138539.0,0.47,0.05
2025-03-14,3.185,3.196,3.164,3.196,1742,567665.0,1.0,0.21
2025-03-17,3.179,3.189,3.178,3.186,979,318517.0,0.34,0.12
2025-03-18,3.187,3.187,3.162,3.168,6244,2022250.0,0.78,0.76
2025-03-19,3.161,3.186,3.161,3.18,9358,3031960.0,0.79,1.13
2025-03-20,3.183,3.188,3.167,3.178,11923,3874643.0,0.66,1.44
2025-03-21,3.174,3.174,3.161,3.172,2961,958914.0,0.41,0.36
2025-03-24,3.173,3.177,3.158,3.171,1450,468981.0,0.6,0.18
2025-03-25,3.172,3.178,3.165,3.165,8464,2745227.0,0.41,1.02
2025-03-26,3.172,3.172,3.157,3.168,5383,1743787.0,0.47,0.65
2025-03-27,3.16,3.21,3.158,3.171,13487,4375617.0,1.64,1.63
2025-03-28,3.171,3.198,3.168,3.182,17729,5759982.0,0.95,2.15
2025-03-31,3.178,3.184,3.167,3.173,7218,2342591.0,0.53,0.87
2025-04-01,3.173,3.173,3.135,3.15,11738,3784622.0,1.2,1.42
2025-04-02,3.142,3.151,3.142,3.151,7928,2553106.0,0.29,0.96
