日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-21,6.363,6.37,6.225,6.35,28931,20139360.714,2.28,3.81
2024-11-22,6.309,6.349,6.278,6.313,1342,932433.835,1.12,0.18
2024-11-25,6.278,6.306,6.258,6.265,1345,927026.606,0.76,0.18
2024-11-26,6.26,6.269,6.258,6.259,1395,961565.48,0.18,0.18
2024-11-27,6.258,6.293,6.235,6.258,1861,1280867.196,0.93,0.25
2024-11-28,6.249,6.249,6.22,6.226,1296,890346.91,0.46,0.17
2024-11-29,6.225,6.225,6.19,6.192,1002,683773.839,0.56,0.13
2024-12-02,6.227,6.227,6.169,6.175,2300,1566474.295,0.94,0.3
2024-12-03,6.136,6.188,6.136,6.145,2333,1580259.4,0.84,0.31
2024-12-04,6.139,6.16,6.068,6.077,8915,5991892.88,1.5,1.17
2024-12-05,6.076,6.076,5.857,5.969,12456,8185225.342,3.6,1.64
2024-12-06,5.935,5.977,5.871,5.96,5766,3794828.864,1.78,0.76
2024-12-09,5.96,6.018,5.88,5.93,3614,2364653.722,2.32,0.48
2024-12-10,5.929,5.929,5.893,5.893,18486,12070633.7,0.61,2.43
2024-12-11,5.918,5.931,5.9,5.92,13206,8645608.1,0.53,1.74
2024-12-12,5.961,6.049,5.92,5.957,9339,6171622.248,2.18,1.23
2024-12-13,5.95,5.978,5.948,5.957,6591,4341450.768,0.5,0.87
2024-12-16,5.956,5.957,5.896,5.897,7651,5027164.1,1.02,1.01
2024-12-17,5.896,5.954,5.878,5.919,5591,3661934.226,1.29,0.74
2024-12-18,5.958,5.958,5.911,5.918,5380,3523125.6,0.79,0.71
2024-12-19,5.959,5.959,5.9,5.91,3056,1999122.218,1.0,0.4
2024-12-20,5.905,5.936,5.895,5.909,6930,4531235.36,0.69,0.91
2024-12-23,5.88,5.92,5.88,5.917,1354,886075.36,0.68,0.18
2024-12-24,5.958,5.958,5.897,5.952,7059,4624889.148,1.03,0.93
2024-12-25,5.959,6.006,5.958,5.979,5432,3594098.004,0.81,0.72
2024-12-26,6.019,6.039,6.019,6.03,8805,5862850.668,0.33,1.16
2024-12-27,6.092,6.092,6.031,6.043,4376,2917628.687,1.01,0.58
2024-12-30,6.049,6.055,6.036,6.045,6548,4370080.523,0.31,0.86
2024-12-31,6.052,6.135,6.031,6.109,5309,3342898.102,1.72,0.7
2025-01-02,6.149,6.205,6.121,6.174,9303,5926342.6,1.38,1.23
2025-01-03,6.134,6.189,6.101,6.104,7489,4761903.438,1.43,0.99
2025-01-06,6.104,6.107,6.037,6.044,12110,7601801.992,1.15,1.59
2025-01-07,6.044,6.044,5.927,5.989,6349,3926648.605,1.94,0.84
2025-01-08,5.979,6.079,5.979,6.073,21452,13406598.372,1.67,2.83
2025-01-09,6.078,6.14,6.055,6.12,4472,2827166.098,1.4,0.59
2025-01-10,6.12,6.149,6.083,6.126,6260,3966527.06,1.08,0.82
2025-01-13,6.126,6.184,6.103,6.157,5847,3720970.323,1.32,0.77
2025-01-14,6.157,6.186,6.157,6.159,3709,2365917.266,0.47,0.49
2025-01-15,6.204,6.204,5.787,6.194,6297,4027475.6,6.77,0.83
2025-01-16,6.194,6.211,6.193,6.195,7339,4710659.672,0.29,0.97
2025-01-17,6.194,6.221,6.161,6.211,14633,9356185.157,0.97,1.93
2025-01-20,6.211,6.34,6.211,6.255,6042,3916211.226,2.08,0.8
2025-01-21,6.264,6.321,6.244,6.296,11857,7723187.448,1.23,1.56
2025-01-22,6.328,6.365,6.314,6.334,8739,5736419.575,0.81,1.15
2025-01-23,6.384,6.384,6.294,6.305,9800,6414795.4,1.42,1.29
2025-01-24,6.304,6.367,6.304,6.353,4855,3185964.643,1.0,0.64
2025-01-27,6.406,6.406,6.342,6.369,5951,3915553.4,1.01,0.78
2025-02-05,6.403,6.403,6.324,6.334,5073,3334847.7,1.24,0.67
2025-02-06,6.298,6.346,6.298,6.326,12505,8191762.853,0.76,1.65
2025-02-07,6.324,6.324,6.26,6.319,5775,3751125.83,1.01,0.76
2025-02-10,6.319,6.383,6.308,6.379,8309,5444636.108,1.19,1.09
2025-02-11,6.383,6.447,6.366,6.442,7092,4711952.854,1.27,0.93
2025-02-12,6.443,6.56,6.442,6.446,15186,10177887.598,1.83,2.0
2025-02-13,6.537,6.537,6.449,6.497,15026,10093524.392,1.37,1.98
2025-02-14,6.457,6.636,6.376,6.636,10185,6867571.164,4.0,1.34
2025-02-17,6.632,6.654,6.558,6.613,10047,6852211.161,1.45,1.32
2025-02-18,6.573,6.61,6.484,6.532,14214,9592514.926,1.91,1.87
2025-02-19,6.493,6.604,6.492,6.552,10288,6972843.02,1.71,1.35
2025-02-20,6.598,6.784,6.586,6.764,16581,11472125.316,3.02,2.18
2025-02-21,6.791,7.067,6.791,7.054,11172,8006535.284,4.08,1.47
2025-02-24,7.134,7.134,6.974,7.009,15528,11256532.6,2.27,2.05
2025-02-25,7.004,7.064,6.809,7.064,9842,7091276.476,3.64,1.3
2025-02-26,7.064,7.078,7.019,7.025,8995,6515242.136,0.84,1.18
2025-02-27,7.025,7.134,7.008,7.034,7017,5091521.4,1.79,0.92
2025-02-28,6.994,7.034,6.905,7.03,7481,5355048.06,1.83,0.99
2025-03-03,7.02,7.02,6.901,7.012,22876,16507174.114,1.69,3.01
2025-03-04,6.995,7.034,6.995,7.034,9632,6976255.8,0.56,1.27
2025-03-05,6.994,7.075,6.929,7.051,6277,4543510.3,2.08,0.83
2025-03-06,7.021,7.046,6.996,7.029,12779,9244204.4,0.71,1.68
2025-03-07,7.05,7.05,6.975,6.989,5135,3697539.822,1.07,0.68
2025-03-10,6.99,7.026,6.955,7.009,8798,6326407.4,1.02,1.16
2025-03-11,7.029,7.033,6.964,6.975,8383,6046717.6,0.98,1.1
2025-03-12,6.959,6.984,6.877,6.885,12296,8767056.715,1.53,1.62
2025-03-13,6.885,6.885,6.834,6.875,7432,5265785.8,0.74,0.98
2025-03-14,6.835,6.964,6.814,6.939,5750,4109850.655,2.18,0.76
2025-03-17,6.902,7.057,6.899,7.049,8715,6284792.4,2.28,1.15
2025-03-18,7.049,7.049,7.023,7.035,8376,6073769.2,0.37,1.1
2025-03-19,7.035,7.037,6.964,6.966,8040,5802048.56,1.04,1.06
2025-03-20,6.966,7.054,6.966,7.012,8227,5940759.338,1.26,1.08
2025-03-21,6.977,7.044,6.977,7.043,8313,5999435.76,0.96,1.09
2025-03-24,7.043,7.054,7.026,7.052,8907,6467039.445,0.4,1.17
2025-03-25,7.052,7.052,7.013,7.045,5399,3913695.027,0.55,0.71
2025-03-26,7.045,7.045,7.006,7.028,9222,6674880.2,0.55,1.21
2025-03-27,7.01,7.043,7.01,7.034,6405,4641709.9,0.47,0.84
2025-03-28,7.017,7.205,7.017,7.205,5531,4062423.334,2.67,0.73
2025-03-31,7.205,7.237,7.065,7.142,7636,5605198.154,2.39,1.01
2025-04-01,7.142,7.142,7.05,7.056,3642,2665133.0,1.29,0.48
2025-04-02,7.056,7.114,7.056,7.08,6615,4831790.34,0.82,0.87
2025-04-03,7.084,7.234,7.042,7.114,3344,2451298.34,2.71,0.44
2025-04-07,7.074,7.134,6.99,7.025,5701,4132704.5,2.02,0.75
2025-04-08,6.99,7.134,6.99,7.126,6704,4913035.167,2.05,0.88
2025-04-09,7.126,7.169,7.037,7.081,4750,3485613.2,1.85,0.63
2025-04-10,7.085,7.185,7.044,7.182,5825,4291230.959,1.99,0.77
2025-04-11,7.184,7.256,7.184,7.234,4890,3644443.73,1.0,0.64
2025-04-14,7.212,7.359,7.212,7.266,2848,2129578.8,2.03,0.38
2025-04-15,7.271,7.271,7.236,7.263,1620,1211842.39,0.48,0.21
2025-04-16,7.242,7.29,7.226,7.234,1543,1151829.17,0.88,0.2
2025-04-17,7.224,7.263,7.203,7.234,4319,3222834.5,0.83,0.57
2025-04-18,7.213,7.243,7.172,7.184,2897,2153028.4,0.98,0.38
2025-04-21,7.184,7.204,7.152,7.174,3565,2636446.1,0.72,0.47
2025-04-22,7.144,7.165,7.131,7.154,3951,2908107.7,0.47,0.52
2025-04-23,7.131,7.205,7.131,7.181,1788,1323076.474,1.03,0.24
