日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-29,5.697,5.701,5.604,5.699,31217,21263093.0,1.7,1.74
2024-04-01,5.7,5.701,5.512,5.696,16507,11099595.0,3.32,0.92
2024-04-02,5.679,5.701,5.622,5.696,7356,5011294.0,1.39,0.41
2024-04-03,5.668,5.691,5.621,5.677,13492,9177447.0,1.23,0.75
2024-04-08,5.643,5.676,5.641,5.673,9366,6370930.0,0.62,0.52
2024-04-09,5.674,5.681,5.669,5.671,9607,6535544.0,0.21,0.53
2024-04-10,5.673,5.701,5.67,5.701,9454,6434507.0,0.55,0.53
2024-04-11,5.701,5.726,5.7,5.721,4385,3002938.0,0.46,0.24
2024-04-12,5.725,5.726,5.702,5.712,10781,7377386.0,0.42,0.6
2024-04-15,5.721,5.746,5.693,5.741,7148,4905352.0,0.93,0.4
2024-04-16,5.741,5.755,5.731,5.736,3870,2659265.0,0.42,0.22
2024-04-17,5.728,5.839,5.728,5.822,6504,4515109.0,1.94,0.36
2024-04-18,5.822,5.872,5.822,5.844,7264,5071157.0,0.86,0.4
2024-04-19,5.804,5.823,5.771,5.818,2481,1722811.0,0.89,0.14
2024-04-22,5.815,5.849,5.779,5.839,4175,2908032.0,1.2,0.23
2024-04-23,5.839,5.891,5.786,5.841,19633,13650280.0,1.8,1.09
2024-04-24,5.873,5.881,5.856,5.873,18539,12971669.0,0.43,1.03
2024-04-25,5.908,6.033,5.908,6.021,17940,12803194.0,2.13,1.0
2024-04-26,6.03,6.126,6.03,6.121,13569,9810771.0,1.59,0.75
2024-04-29,6.114,6.171,5.992,6.052,19189,13790545.0,2.92,1.07
2024-04-30,6.05,6.111,6.034,6.091,25924,17594449.0,1.27,1.44
2024-05-06,6.096,6.097,6.046,6.046,11269,7611803.0,0.84,0.63
2024-05-07,6.045,6.045,6.031,6.041,15535,10458240.0,0.23,0.86
2024-05-08,6.044,6.044,6.007,6.008,8370,5611641.0,0.61,0.47
2024-05-09,6.011,6.046,6.006,6.036,9346,6289898.0,0.67,0.52
2024-05-10,6.036,6.061,6.006,6.027,6400,4300369.0,0.91,0.36
2024-05-13,6.04,6.061,5.955,6.039,9896,6657660.0,1.76,0.55
2024-05-14,6.038,6.054,5.977,6.025,6640,4459246.0,1.28,0.37
2024-05-15,6.006,6.026,6.006,6.021,5275,3541973.0,0.33,0.29
2024-05-16,6.006,6.024,6.006,6.015,7423,4982356.0,0.3,0.41
2024-05-17,6.014,6.036,6.006,6.016,6440,4326070.0,0.5,0.36
2024-05-20,6.015,6.041,6.014,6.015,6628,4447182.0,0.45,0.37
2024-05-21,6.015,6.015,5.975,6.005,9049,6057880.0,0.67,0.5
2024-05-22,5.996,6.017,5.986,5.986,7502,5018227.0,0.52,0.42
2024-05-23,5.976,5.988,5.947,5.97,6400,4271427.0,0.68,0.36
2024-05-24,5.972,6.039,5.946,6.016,6558,4376175.0,1.56,0.36
2024-05-27,6.016,6.074,5.998,5.998,6682,4488852.0,1.26,0.37
2024-05-28,5.965,5.996,5.939,5.962,2893,1925998.0,0.95,0.16
2024-05-29,5.939,6.03,5.939,5.994,6530,4359548.0,1.53,0.36
2024-05-30,6.026,6.026,5.913,5.939,5197,3451065.0,1.89,0.29
2024-05-31,5.93,5.967,5.93,5.964,5625,3740391.0,0.62,0.31
2024-06-03,5.938,5.968,5.907,5.956,7922,5271487.0,1.02,0.44
2024-06-04,5.949,6.055,5.906,5.927,18100,12064774.0,2.5,1.01
2024-06-05,5.944,6.015,5.916,5.926,7425,4930394.0,1.67,0.41
2024-06-06,5.906,5.921,5.886,5.886,9015,5950386.0,0.59,0.5
2024-06-07,5.886,6.004,5.886,5.896,10616,7018921.0,2.0,0.59
2024-06-11,5.896,5.906,5.842,5.886,7513,4948044.0,1.09,0.42
2024-06-12,5.88,5.886,5.864,5.867,10115,6642002.0,0.37,0.56
2024-06-13,5.866,5.881,5.866,5.87,11737,7708051.0,0.26,0.65
2024-06-14,5.87,5.95,5.845,5.866,8918,5850784.0,1.79,0.5
2024-06-17,5.865,5.901,5.856,5.869,7528,4937638.0,0.77,0.42
2024-06-18,5.851,5.916,5.851,5.911,12507,8215759.0,1.11,0.7
2024-06-19,5.911,5.956,5.886,5.956,7831,5171368.0,1.18,0.44
2024-06-20,5.956,6.006,5.907,5.968,7860,5197566.0,1.66,0.44
2024-06-21,5.961,6.001,5.909,5.951,12827,8532588.0,1.54,0.71
2024-06-24,5.906,5.992,5.9,5.942,9890,6563595.0,1.55,0.55
2024-06-25,5.951,5.953,5.9,5.9,14371,9518851.0,0.89,0.8
2024-06-26,5.9,5.968,5.876,5.906,11493,7600831.0,1.56,0.64
2024-06-27,5.906,5.934,5.902,5.928,10592,6993565.0,0.54,0.59
2024-06-28,5.896,5.935,5.896,5.917,10636,7036249.0,0.66,0.59
2024-07-01,5.897,5.916,5.897,5.912,11195,7397155.0,0.32,0.62
2024-07-02,5.906,5.916,5.906,5.91,12087,7985914.0,0.17,0.67
2024-07-03,5.915,5.921,5.907,5.91,13650,9016773.0,0.24,0.76
2024-07-04,5.909,5.92,5.896,5.896,6680,4411385.0,0.41,0.37
2024-07-05,5.895,5.895,5.864,5.867,8301,5449813.0,0.53,0.46
2024-07-08,5.806,5.931,5.806,5.854,10935,7158325.0,2.13,0.61
2024-07-09,5.85,5.861,5.846,5.848,10937,7158835.0,0.26,0.61
2024-07-10,5.841,5.842,5.835,5.838,6217,4061423.0,0.12,0.35
2024-07-11,5.833,5.836,5.815,5.82,7159,4664455.0,0.36,0.4
2024-07-12,5.806,5.956,5.806,5.889,10923,7142349.0,2.58,0.61
2024-07-15,5.877,5.884,5.847,5.866,7517,4929475.0,0.63,0.42
2024-07-16,5.954,5.954,5.843,5.918,10020,6593142.0,1.89,0.56
2024-07-17,5.906,5.931,5.906,5.923,9913,6560841.0,0.42,0.55
2024-07-18,5.908,5.958,5.908,5.942,8979,5958166.0,0.84,0.5
2024-07-19,5.942,5.956,5.942,5.956,7739,5140928.0,0.24,0.43
2024-07-22,5.956,5.976,5.956,5.976,9102,6063531.0,0.34,0.51
2024-07-23,5.976,5.977,5.947,5.961,11995,7981396.0,0.5,0.67
2024-07-24,5.961,5.967,5.902,5.902,7608,5060643.0,1.09,0.42
2024-07-25,5.901,5.94,5.901,5.915,6939,4583465.0,0.66,0.39
2024-07-26,5.812,5.942,5.812,5.926,5986,3967113.0,2.2,0.33
2024-07-29,5.888,6.004,5.888,5.952,8719,5795098.0,1.96,0.48
2024-07-30,6.004,6.004,5.951,5.961,7028,4676592.0,0.89,0.39
2024-07-31,5.907,5.966,5.906,5.952,3627,2413163.0,1.01,0.2
2024-08-01,5.931,5.966,5.924,5.925,7649,5071711.0,0.71,0.43
2024-08-02,5.952,5.953,5.931,5.938,8040,5332055.0,0.37,0.45
