日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,5.285,6.235,5.285,5.688,247246,227877271.0,18.08,6.2
2021-06-22,5.685,5.685,4.779,5.342,53892,47288671.0,15.93,1.35
2021-06-23,5.343,5.35,5.335,5.349,31826,28026041.0,0.28,0.8
2021-06-24,5.349,5.353,5.338,5.343,10344,9111075.0,0.28,0.26
2021-06-25,5.345,5.349,5.342,5.349,16325,14381699.0,0.13,0.41
2021-06-28,5.349,5.352,5.34,5.352,13464,11861555.0,0.22,0.34
2021-06-29,5.351,5.351,5.343,5.344,8142,7173412.0,0.15,0.2
2021-06-30,5.346,5.353,5.342,5.347,5970,5259461.0,0.21,0.15
2021-07-01,5.348,5.535,5.347,5.534,10604,9429083.0,3.52,0.27
2021-07-02,5.53,5.53,5.445,5.452,7919,7071367.0,1.54,0.2
2021-07-05,5.454,5.455,5.435,5.445,5018,4472058.0,0.37,0.13
2021-07-06,5.446,5.449,5.426,5.434,6080,5412639.0,0.42,0.15
2021-07-07,5.445,5.445,5.407,5.417,6908,6139221.0,0.7,0.17
2021-07-08,5.417,5.42,5.365,5.366,6944,6138775.0,1.02,0.17
2021-07-09,5.366,5.366,5.342,5.345,9464,8337015.0,0.45,0.24
2021-07-12,5.345,5.347,5.339,5.342,8279,7291941.0,0.15,0.21
2021-07-13,5.342,5.344,5.333,5.336,7342,6461506.0,0.21,0.18
2021-07-14,5.336,5.336,5.296,5.306,6576,5768898.0,0.75,0.16
2021-07-15,5.306,5.342,5.303,5.338,8226,7232604.0,0.74,0.21
2021-07-16,5.308,5.396,5.308,5.395,7294,6444724.0,1.65,0.18
2021-07-19,5.395,5.417,5.389,5.416,9375,8318875.0,0.52,0.24
2021-07-20,5.416,5.433,5.415,5.432,11595,10312402.0,0.33,0.29
2021-07-21,5.433,5.433,5.396,5.432,5350,4756545.0,0.68,0.13
2021-07-22,5.432,5.442,5.41,5.441,3093,2751630.0,0.59,0.08
2021-07-23,5.441,5.461,5.423,5.459,3427,3050003.0,0.7,0.09
2021-07-26,5.459,5.459,5.447,5.453,9281,8275836.0,0.22,0.23
2021-07-27,5.453,5.46,5.423,5.45,5604,4995439.0,0.68,0.14
2021-07-28,5.45,5.45,5.408,5.419,6772,6014180.0,0.77,0.17
2021-07-29,5.418,5.435,5.41,5.423,4435,3944032.0,0.46,0.11
2021-07-30,5.423,5.428,5.411,5.423,4912,4364693.0,0.31,0.12
2021-08-02,5.423,5.595,5.405,5.511,17371,15541425.0,3.5,0.44
2021-08-03,5.515,5.53,5.476,5.528,6317,5674359.0,0.98,0.16
2021-08-04,5.529,5.548,5.506,5.547,5702,5132616.0,0.76,0.14
2021-08-05,5.547,5.55,5.537,5.548,6337,5710244.0,0.23,0.16
2021-08-06,5.548,5.565,5.535,5.565,14319,12917793.0,0.54,0.36
2021-08-09,5.565,5.568,5.554,5.565,4276,3860267.0,0.25,0.11
2021-08-10,5.563,5.57,5.56,5.566,4058,3664241.0,0.18,0.1
2021-08-11,5.566,5.566,5.546,5.556,4435,4000792.0,0.36,0.11
2021-08-12,5.556,5.56,5.547,5.552,4913,4431021.0,0.23,0.12
2021-08-13,5.552,5.552,5.53,5.53,5184,4666053.0,0.4,0.13
2021-08-16,5.53,5.53,5.496,5.503,6327,5673236.0,0.61,0.16
2021-08-17,5.502,5.509,5.49,5.507,4949,4438231.0,0.35,0.12
2021-08-18,5.507,5.534,5.485,5.53,3590,3226555.0,0.89,0.09
2021-08-19,5.528,5.549,5.511,5.547,9499,8546420.0,0.69,0.24
2021-08-20,5.549,5.561,5.539,5.556,7674,6922550.0,0.4,0.19
2021-08-23,5.555,5.561,5.537,5.552,4981,4490760.0,0.43,0.12
2021-08-24,5.552,5.57,5.536,5.564,5863,5292865.0,0.61,0.15
2021-08-25,5.563,5.57,5.56,5.57,7403,6685693.0,0.18,0.19
2021-08-26,5.57,5.606,5.563,5.606,8659,7841467.0,0.77,0.22
2021-08-27,5.606,5.698,5.605,5.696,20141,18373235.0,1.66,0.51
2021-08-30,5.676,5.943,5.676,5.783,22727,21078987.0,4.69,0.57
2021-08-31,5.783,5.804,5.78,5.781,7873,7286766.0,0.42,0.2
2021-09-01,5.781,5.782,5.688,5.737,10055,9240184.0,1.63,0.25
2021-09-02,5.735,5.76,5.708,5.754,8612,7936662.0,0.91,0.22
2021-09-03,5.755,5.765,5.726,5.765,3870,3567879.0,0.68,0.1
2021-09-06,5.726,5.836,5.726,5.834,6755,6257109.0,1.91,0.17
2021-09-07,5.834,5.87,5.832,5.856,7001,6518233.0,0.65,0.18
2021-09-08,5.856,5.89,5.853,5.857,6439,6005227.0,0.63,0.16
2021-09-09,5.857,5.886,5.855,5.858,6417,5987121.0,0.53,0.16
2021-09-10,5.858,5.864,5.809,5.857,5286,4915457.0,0.94,0.13
2021-09-13,5.86,5.934,5.86,5.934,9118,8523276.0,1.26,0.23
2021-09-14,5.93,5.95,5.879,5.95,11554,10848001.0,1.2,0.29
2021-09-15,5.95,6.075,5.947,6.066,18605,17662295.0,2.15,0.47
2021-09-16,6.07,6.137,6.07,6.131,10360,9927499.0,1.1,0.26
2021-09-17,6.134,6.188,6.093,6.182,12693,12229182.0,1.55,0.32
2021-09-22,6.182,6.219,6.173,6.207,11709,11319122.0,0.74,0.29
2021-09-23,6.207,6.307,6.207,6.273,12999,12653430.0,1.61,0.33
2021-09-24,6.276,6.419,6.276,6.413,20774,20490968.0,2.28,0.52
2021-09-27,6.414,6.578,6.315,6.329,37663,37404652.0,4.1,0.94
2021-09-28,6.327,6.327,5.882,6.064,63047,59781224.0,7.03,1.58
2021-09-29,6.062,6.236,6.019,6.236,22175,21346253.0,3.58,0.56
2021-09-30,6.236,6.355,6.236,6.339,17595,17232410.0,1.91,0.44
2021-10-08,6.339,6.485,6.295,6.336,22790,22334684.0,3.0,0.57
2021-10-11,6.336,6.367,6.295,6.335,16274,15932229.0,1.14,0.41
2021-10-12,6.332,6.342,6.319,6.339,10596,10379351.0,0.36,0.27
2021-10-13,6.34,6.357,6.33,6.335,12366,12118506.0,0.43,0.31
2021-10-14,6.335,6.336,6.315,6.32,13768,13473594.0,0.33,0.35
2021-10-15,6.32,6.339,6.315,6.337,9731,9532453.0,0.38,0.24
2021-10-18,6.337,6.34,6.317,6.336,9892,9690690.0,0.36,0.25
2021-10-19,6.336,6.339,6.327,6.336,16015,15692325.0,0.19,0.4
2021-10-20,6.337,6.365,6.331,6.356,11729,11503843.0,0.54,0.29
2021-10-21,6.356,6.458,6.356,6.437,8030,7946355.0,1.6,0.2
2021-10-22,6.445,6.545,6.445,6.545,11071,11072108.0,1.55,0.28
2021-10-25,6.546,6.597,6.504,6.577,10578,10606122.0,1.42,0.27
2021-10-26,6.577,6.635,6.385,6.506,22657,22600413.0,3.8,0.57
2021-10-27,6.429,6.555,6.391,6.54,11587,11528720.0,2.52,0.29
