日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,2.115,2.115,1.915,1.952,503689,120538189.0,10.61,7.05
2021-06-22,1.953,1.955,1.715,1.92,120667,27915408.0,12.3,1.69
2021-06-23,1.91,1.91,1.888,1.893,70789,16345059.0,1.15,0.99
2021-06-24,1.894,1.91,1.894,1.908,88668,20530463.0,0.85,1.24
2021-06-25,1.907,1.91,1.895,1.909,53746,12437919.0,0.79,0.75
2021-06-28,1.905,1.905,1.895,1.899,35713,8257688.0,0.52,0.5
2021-06-29,1.898,1.898,1.886,1.887,28602,6586920.0,0.63,0.4
2021-06-30,1.888,1.898,1.886,1.888,12542,2889069.0,0.64,0.18
2021-07-01,1.888,1.903,1.886,1.898,19518,4511232.0,0.9,0.27
2021-07-02,1.896,1.897,1.889,1.895,27869,6437066.0,0.42,0.39
2021-07-05,1.895,1.895,1.885,1.887,30426,7012100.0,0.53,0.43
2021-07-06,1.887,1.889,1.88,1.883,21210,4874702.0,0.48,0.3
2021-07-07,1.883,1.883,1.875,1.878,14232,3265340.0,0.42,0.2
2021-07-08,1.878,1.881,1.875,1.878,18783,4305138.0,0.32,0.26
2021-07-09,1.878,1.879,1.873,1.875,11979,2743576.0,0.32,0.17
2021-07-12,1.875,1.879,1.867,1.869,17467,3996008.0,0.64,0.24
2021-07-13,1.869,1.869,1.851,1.853,15707,3565351.0,0.96,0.22
2021-07-14,1.852,1.852,1.837,1.839,14098,3181127.0,0.81,0.2
2021-07-15,1.838,1.875,1.835,1.87,14051,3184848.0,2.18,0.2
2021-07-16,1.87,1.883,1.865,1.883,17753,4068369.0,0.96,0.25
2021-07-19,1.884,1.89,1.883,1.885,33860,7791828.0,0.37,0.47
2021-07-20,1.885,1.885,1.881,1.885,8946,2055743.0,0.21,0.13
2021-07-21,1.884,1.886,1.88,1.881,9516,2186314.0,0.32,0.13
2021-07-22,1.88,1.88,1.87,1.872,7581,1734608.0,0.53,0.11
2021-07-23,1.872,1.876,1.868,1.871,11211,2562271.0,0.43,0.16
2021-07-26,1.872,1.873,1.862,1.863,11233,2560331.0,0.59,0.16
2021-07-27,1.864,1.864,1.855,1.856,11189,2542788.0,0.48,0.16
2021-07-28,1.855,1.867,1.833,1.864,10916,2469121.0,1.83,0.15
2021-07-29,1.865,1.877,1.863,1.875,14667,3351431.0,0.75,0.21
2021-07-30,1.875,1.879,1.862,1.875,16134,3693248.0,0.91,0.23
2021-08-02,1.875,1.89,1.866,1.888,29584,6796585.0,1.28,0.41
2021-08-03,1.887,1.898,1.882,1.892,29511,6808164.0,0.85,0.41
2021-08-04,1.892,1.893,1.888,1.891,9742,2246473.0,0.26,0.14
2021-08-05,1.89,1.891,1.885,1.887,11271,2595158.0,0.32,0.16
2021-08-06,1.881,1.888,1.881,1.887,15128,3481658.0,0.37,0.21
2021-08-09,1.887,1.887,1.88,1.885,13697,3150032.0,0.37,0.19
2021-08-10,1.885,1.886,1.881,1.886,11283,2595171.0,0.27,0.16
2021-08-11,1.886,1.886,1.884,1.885,8979,2065231.0,0.11,0.13
2021-08-12,1.885,1.886,1.884,1.884,9112,2095392.0,0.11,0.13
2021-08-13,1.884,1.886,1.883,1.883,6612,1520058.0,0.16,0.09
2021-08-16,1.884,1.885,1.88,1.882,7714,1771502.0,0.27,0.11
2021-08-17,1.882,1.882,1.877,1.88,8286,1901966.0,0.27,0.12
2021-08-18,1.88,1.886,1.877,1.886,17150,3941255.0,0.48,0.24
2021-08-19,1.886,1.893,1.881,1.891,22217,5117276.0,0.64,0.31
2021-08-20,1.891,1.896,1.891,1.895,17092,3946393.0,0.26,0.24
2021-08-23,1.894,1.895,1.887,1.894,10274,2370550.0,0.42,0.14
2021-08-24,1.894,1.897,1.89,1.896,13455,3107785.0,0.37,0.19
2021-08-25,1.897,1.923,1.89,1.92,42162,9811419.0,1.74,0.59
2021-08-26,1.92,1.931,1.915,1.925,66971,15648647.0,0.83,0.94
