序号,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收
1,508090,中银中外运仓储物流REIT,4.132,0.008,0.19,3897.0,1609832.0,4.122,4.145,4.122,4.124
2,508099,建信中关村REIT,2.1,0.003,0.14,26015.0,5462819.0,2.1,2.107,2.09,2.097
3,508028,中信建投国家电投新能源REIT,10.969,0.014,0.13,10144.0,11109873.0,10.955,10.97,10.916,10.955
4,508056,中金普洛斯REIT,3.544,0.001,0.03,26183.0,9259718.0,3.549,3.549,3.51,3.543
5,508007,中金山东高速REIT,8.013,0.002,0.02,5974.0,4803451.0,8.031,8.063,8.01,8.011
6,508003,中金联东科创REIT,4.265,0.001,0.02,672.0,286541.0,4.266,4.271,4.23,4.264
7,508091,凯德商业,,,,,,,,,5.718
8,508088,国泰君安东久新经济REIT,3.891,0.0,0.0,25320.0,9827270.0,3.886,3.908,3.864,3.891
9,508029,沈软REIT,,,,,,,,,
10,508019,中金湖北科投光谷REIT,1.945,0.0,0.0,1204.0,234007.0,1.943,1.948,1.94,1.945
11,508005,华夏首创奥莱REIT,4.01,0.0,0.0,13625.0,5472904.0,3.995,4.033,3.986,4.01
12,180607,华夏中海商业REIT,,,,,,,,,
13,180501,红土创新深圳安居REIT,3.52,0.0,0.0,17627.0,6188339.498,3.502,3.531,3.499,3.52
14,508098,嘉实京东仓储基础设施REIT,3.886,-0.001,-0.03,9818.0,3821224.0,3.876,3.9,3.876,3.887
15,508027,东吴苏园产业REIT,3.039,-0.001,-0.03,6067.0,1837526.0,3.041,3.041,3.024,3.04
16,180606,中金中国绿发商业REIT,4.0,-0.002,-0.05,8456.0,3376904.833,3.995,4.008,3.984,4.002
17,508055,汇添富上海地产租赁住房REIT,3.664,-0.002,-0.05,2365.0,867589.0,3.66,3.703,3.659,3.666
18,508089,华夏特变电工新能源REIT,4.933,-0.003,-0.06,8393.0,4141856.0,4.947,4.947,4.91,4.936
19,508031,国泰君安城投宽庭保租房REIT,4.002,-0.003,-0.07,7634.0,3058063.0,4.005,4.1,3.991,4.005
20,508036,平安宁波交投REIT,9.754,-0.009,-0.09,4210.0,4111242.0,9.785,9.812,9.75,9.763
21,508078,中航易商仓储物流REIT,3.222,-0.003,-0.09,4802.0,1545624.0,3.212,3.238,3.195,3.225
22,508018,华夏中国交建REIT,5.347,-0.006,-0.11,14644.0,7831400.0,5.351,5.353,5.341,5.353
23,180303,华泰宝湾物流REIT,4.577,-0.006,-0.13,2158.0,989498.564,4.583,4.62,4.556,4.583
24,508021,国泰君安临港创新产业园REIT,4.478,-0.006,-0.13,2811.0,1262316.0,4.496,4.51,4.471,4.484
25,508068,华夏北京保障房REIT,4.085,-0.007,-0.17,19451.0,7947437.0,4.09,4.09,4.083,4.092
26,180402,工银蒙能清洁能源REIT,6.841,-0.012,-0.18,4109.0,2813417.2,6.854,6.87,6.832,6.853
27,180401,鹏华深圳能源REIT,6.113,-0.011,-0.18,11298.0,6912188.733,6.12,6.128,6.112,6.124
28,180106,广发成都高投产业园REIT,3.763,-0.007,-0.19,490.0,183976.6,3.748,3.763,3.748,3.77
29,508012,招商科创REIT,3.451,-0.007,-0.2,467.0,161039.0,3.455,3.455,3.434,3.458
30,508048,华安外高桥REIT,3.75,-0.008,-0.21,840.0,315442.0,3.758,3.765,3.749,3.758
31,180202,华夏越秀高速REIT,5.886,-0.013,-0.22,7392.0,4355200.722,5.899,5.9,5.885,5.899
32,180102,华夏合肥高新REIT,1.805,-0.004,-0.22,10957.0,1978853.801,1.81,1.815,1.802,1.809
33,180801,中航首钢绿能REIT,11.909,-0.03,-0.25,1459.0,1736622.114,11.939,11.939,11.874,11.939
34,180302,华夏深国际REIT,3.146,-0.008,-0.25,13952.0,4391066.5,3.173,3.2,3.137,3.154
35,508009,中金安徽交控REIT,7.513,-0.021,-0.28,28907.0,21746388.0,7.534,7.547,7.485,7.534
36,180101,博时蛇口产园REIT,1.99,-0.006,-0.3,25675.0,5097921.168,1.995,1.995,1.98,1.996
37,508086,XD工银河北高速REIT,5.146,-0.016,-0.31,3335.0,1714117.0,5.16,5.16,5.132,5.162
38,180602,中金印力消费REIT,4.436,-0.014,-0.31,12127.0,5391771.2,4.472,4.52,4.435,4.45
39,180601,华夏华润商业REIT,10.249,-0.035,-0.34,14872.0,15245769.9,10.284,10.298,10.23,10.284
40,508006,富国首创水务REIT,3.669,-0.013,-0.35,26878.0,9872612.0,3.682,3.691,3.661,3.682
41,508008,国金中国铁建REIT,8.084,-0.029,-0.36,46177.0,37343483.0,8.129,8.129,8.047,8.113
42,508000,华安张江产业园REIT,2.714,-0.01,-0.37,23394.0,6356612.0,2.723,2.746,2.703,2.724
43,180605,易方达华威市场REIT,5.373,-0.02,-0.37,2474.0,1333712.824,5.4,5.5,5.373,5.393
44,508069,华夏南京交通高速公路REIT,6.685,-0.025,-0.37,1680.0,1130541.0,6.71,6.844,6.669,6.71
45,180201,平安广州广河REIT,8.83,-0.035,-0.39,8849.0,7831301.58,8.863,8.884,8.826,8.865
46,508001,浙商沪杭甬REIT,6.994,-0.028,-0.4,15885.0,11123535.0,7.022,7.031,6.994,7.022
47,508077,华夏基金华润有巢REIT,3.389,-0.014,-0.41,11014.0,3721706.0,3.405,3.429,3.363,3.403
48,508017,华夏金茂商业REIT,3.724,-0.016,-0.43,4903.0,1825178.0,3.741,3.749,3.7,3.74
49,508082,中金唯品会奥莱REIT,4.377,-0.02,-0.45,32953.0,14423360.0,4.397,4.397,4.36,4.397
50,180701,银华绍兴原水水利REIT,4.243,-0.02,-0.47,4830.0,2053847.3,4.237,4.265,4.235,4.263
51,180301,红土创新盐田港REIT,2.288,-0.011,-0.48,12954.0,2970655.702,2.296,2.3,2.286,2.299
52,180901,南方润泽科技数据中心REIT,6.06,-0.03,-0.49,52195.0,31481985.033,6.078,6.085,5.981,6.09
53,508033,易方达深高速REIT,6.583,-0.033,-0.5,7641.0,5027773.0,6.584,6.616,6.571,6.616
54,508080,中金亦庄产业园REIT,3.86,-0.02,-0.52,8567.0,3328138.0,3.9,3.902,3.86,3.88
55,180103,华夏和达高科REIT,2.308,-0.012,-0.52,8015.0,1845462.288,2.307,2.313,2.297,2.32
56,508087,国泰君安济南能源供热REIT,11.978,-0.065,-0.54,681.0,816592.0,12.021,12.032,11.977,12.043
57,508022,博时津开产园REIT,3.484,-0.019,-0.54,1978.0,689276.0,3.508,3.508,3.482,3.503
58,508096,中航京能光伏REIT,11.375,-0.064,-0.56,4365.0,4978612.0,11.399,11.447,11.371,11.439
59,508015,中信建投明阳智能新能源REIT,7.524,-0.044,-0.58,10638.0,8009611.0,7.554,7.604,7.484,7.568
60,180203,招商高速公路REIT,7.789,-0.046,-0.59,4107.0,3227763.6,7.795,7.899,7.767,7.835
61,180305,南方顺丰物流REIT,4.038,-0.029,-0.71,15040.0,6072058.566,4.051,4.066,4.032,4.067
62,508092,华夏金隅智造工场REIT,4.189,-0.031,-0.73,3798.0,1601564.0,4.22,4.235,4.18,4.22
63,508097,华泰南京建邺REIT,3.105,-0.025,-0.8,1384.0,429877.0,3.111,3.159,3.088,3.13
64,508026,嘉实中国电建清洁能源REIT,4.237,-0.036,-0.84,9794.0,4162065.0,4.251,4.26,4.237,4.273
65,508016,华夏华电清洁能源REIT,4.547,-0.039,-0.85,21377.0,9756732.0,4.581,4.583,4.532,4.586
66,508084,汇添富九州通医药REIT,4.105,-0.036,-0.87,16014.0,6605695.0,4.141,4.17,4.101,4.141
67,508060,南方万国数据中心REIT,4.165,-0.037,-0.88,18384.0,7676579.0,4.202,4.202,4.156,4.202
68,508085,华泰苏州恒泰租赁住房REIT,3.88,-0.036,-0.92,17464.0,6788121.0,3.916,3.916,3.874,3.916
69,508058,中金厦门安居REIT,4.3,-0.041,-0.94,30065.0,12980762.0,4.329,4.348,4.295,4.341
70,508066,华泰江苏交控REIT,6.328,-0.062,-0.97,12021.0,7644099.0,6.39,6.406,6.328,6.39
71,180502,招商基金蛇口租赁住房REIT,3.699,-0.039,-1.04,8187.0,3032487.706,3.736,3.736,3.695,3.738
72,180105,易方达广开产园REIT,2.27,-0.024,-1.05,15321.0,3492084.9,2.283,2.291,2.266,2.294
73,508039,创金合信首农REIT,4.926,-0.053,-1.06,19870.0,9809516.0,4.949,4.967,4.9,4.979
74,508002,华安百联消费REIT,3.055,-0.036,-1.16,19012.0,5849901.0,3.09,3.143,3.051,3.091
