序号,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收
1,180305,南方顺丰物流REIT,4.103,0.042,1.03,13556.0,5505735.464,4.06,4.11,4.04,4.061
2,180203,招商高速公路REIT,7.829,0.063,0.81,5871.0,4584755.2,7.765,7.853,7.726,7.766
3,180701,银华绍兴原水水利REIT,4.28,0.03,0.71,8083.0,3453737.856,4.25,4.306,4.21,4.25
4,508026,嘉实中国电建清洁能源REIT,4.268,0.028,0.66,8334.0,3518727.0,4.215,4.281,4.201,4.24
5,508097,华泰南京建邺REIT,3.14,0.016,0.51,2441.0,766839.0,3.125,3.18,3.091,3.124
6,508092,华夏金隅智造工场REIT,4.239,0.019,0.45,5972.0,2514547.0,4.195,4.25,4.181,4.22
7,508007,中金山东高速REIT,8.171,0.035,0.43,7035.0,5740213.0,8.096,8.173,8.096,8.136
8,508039,创金合信首农REIT,4.965,0.019,0.38,4375.0,2169639.0,4.945,4.99,4.945,4.946
9,508096,中航京能光伏REIT,11.444,0.043,0.38,4934.0,5652033.0,11.361,11.5,11.306,11.401
10,508000,华安张江产业园REIT,2.729,0.01,0.37,13674.0,3724644.0,2.731,2.74,2.708,2.719
11,508088,国泰君安东久新经济REIT,3.894,0.014,0.36,26409.0,10275713.0,3.882,3.924,3.844,3.88
12,508003,中金联东科创REIT,4.259,0.013,0.31,414.0,176283.0,4.246,4.269,4.209,4.246
13,508060,南方万国数据中心REIT,4.21,0.012,0.29,37181.0,15682674.0,4.206,4.28,4.177,4.198
14,508002,华安百联消费REIT,3.1,0.008,0.26,4739.0,1469514.0,3.082,3.144,3.06,3.092
15,180201,平安广州广河REIT,8.865,0.015,0.17,8237.0,7298442.652,8.85,8.884,8.842,8.85
16,180606,中金中国绿发商业REIT,4.017,0.005,0.12,1208.0,484036.885,3.991,4.022,3.99,4.012
17,180202,华夏越秀高速REIT,5.897,0.007,0.12,11086.0,6538507.423,5.89,5.908,5.889,5.89
18,180101,博时蛇口产园REIT,2.0,0.002,0.1,11253.0,2241317.273,1.998,2.003,1.988,1.998
19,508028,中信建投国家电投新能源REIT,10.96,0.01,0.09,6652.0,7276361.0,10.938,10.963,10.911,10.95
20,508090,中银中外运仓储物流REIT,4.123,0.003,0.07,3835.0,1580482.0,4.1,4.144,4.1,4.12
21,180602,中金印力消费REIT,4.438,0.003,0.07,877.0,388875.6,4.434,4.465,4.408,4.435
22,508016,华夏华电清洁能源REIT,4.6,0.002,0.04,23266.0,10700510.0,4.596,4.601,4.588,4.598
23,508022,博时津开产园REIT,3.538,0.001,0.03,728.0,257195.0,3.554,3.554,3.519,3.537
24,180501,红土创新深圳安居REIT,3.54,0.001,0.03,6759.0,2386016.18,3.532,3.542,3.504,3.539
25,508056,中金普洛斯REIT,3.543,0.001,0.03,4533.0,1604834.0,3.549,3.56,3.532,3.542
26,508005,华夏首创奥莱REIT,4.012,0.001,0.02,8062.0,3231719.0,4.0,4.018,3.987,4.011
27,508091,凯德商业,,,,,,,,,5.718
28,508086,工银河北高速REIT,5.264,0.0,0.0,2791.0,1468616.0,5.26,5.27,5.25,5.264
29,508085,华泰苏州恒泰租赁住房REIT,3.92,0.0,0.0,4136.0,1619976.0,3.914,3.924,3.908,3.92
30,508010,中金重庆两江REIT,3.345,0.0,0.0,534.0,179268.0,3.344,3.387,3.325,3.345
31,180901,南方润泽科技数据中心REIT,6.09,0.0,0.0,24059.0,14639087.714,6.07,6.12,6.058,6.09
32,180607,华夏中海商业REIT,,,,,,,,,
33,180102,华夏合肥高新REIT,1.812,0.0,0.0,19682.0,3549477.375,1.809,1.812,1.8,1.812
34,508058,中金厦门安居REIT,4.346,-0.001,-0.02,36220.0,15694722.0,4.338,4.362,4.307,4.347
35,508078,中航易商仓储物流REIT,3.222,-0.001,-0.03,699.0,224943.0,3.223,3.23,3.206,3.223
36,180302,华夏深国际REIT,3.148,-0.001,-0.03,2540.0,797295.666,3.15,3.152,3.128,3.149
37,508098,嘉实京东仓储基础设施REIT,3.886,-0.002,-0.05,13457.0,5217589.0,3.865,3.9,3.81,3.888
38,508027,东吴苏园产业REIT,3.045,-0.002,-0.07,6734.0,2042856.0,3.047,3.047,3.021,3.047
39,508011,嘉实物美消费REIT,4.197,-0.003,-0.07,5613.0,2356106.0,4.175,4.204,4.16,4.2
40,180401,鹏华深圳能源REIT,6.135,-0.005,-0.08,23483.0,14395549.01,6.14,6.14,6.109,6.14
41,180103,华夏和达高科REIT,2.313,-0.002,-0.09,2201.0,508092.55,2.312,2.313,2.301,2.315
42,180303,华泰宝湾物流REIT,4.596,-0.004,-0.09,10472.0,4805390.85,4.598,4.6,4.563,4.6
43,508033,易方达深高速REIT,6.85,-0.006,-0.09,8407.0,5760048.0,6.861,6.863,6.849,6.856
44,508082,中金唯品会奥莱REIT,4.391,-0.004,-0.09,11375.0,5002682.0,4.381,4.407,4.37,4.395
45,508006,富国首创水务REIT,3.682,-0.004,-0.11,25847.0,9522544.0,3.686,3.705,3.676,3.686
46,508015,中信建投明阳智能新能源REIT,7.801,-0.01,-0.13,9086.0,7085616.0,7.791,7.823,7.761,7.811
47,180301,红土创新盐田港REIT,2.3,-0.003,-0.13,11522.0,2645004.28,2.299,2.305,2.28,2.303
48,180601,华夏华润商业REIT,10.281,-0.019,-0.18,12623.0,12959553.6,10.26,10.339,10.253,10.3
49,508077,华夏基金华润有巢REIT,3.412,-0.008,-0.23,19591.0,6677169.0,3.413,3.413,3.404,3.42
50,508048,华安外高桥REIT,3.773,-0.009,-0.24,1320.0,497387.0,3.782,3.782,3.76,3.782
51,180801,中航首钢绿能REIT,11.957,-0.029,-0.24,8325.0,9953551.467,11.986,11.986,11.8,11.986
52,508018,华夏中国交建REIT,5.351,-0.014,-0.26,15186.0,8125544.0,5.365,5.371,5.346,5.365
53,508017,华夏金茂商业REIT,3.717,-0.01,-0.27,2100.0,779912.0,3.705,3.727,3.681,3.727
54,180106,广发成都高投产业园REIT,3.799,-0.011,-0.29,3204.0,1218011.54,3.787,3.82,3.787,3.81
55,508068,华夏北京保障房REIT,4.104,-0.012,-0.29,15674.0,6429251.0,4.108,4.108,4.086,4.116
56,508009,中金安徽交控REIT,7.552,-0.023,-0.3,23304.0,17548554.0,7.575,7.598,7.5,7.575
57,180402,工银蒙能清洁能源REIT,6.874,-0.021,-0.3,6457.0,4442771.9,6.89,6.891,6.855,6.895
58,508008,国金中国铁建REIT,8.185,-0.026,-0.32,19636.0,16104000.0,8.215,8.255,8.18,8.211
59,508099,建信中关村REIT,2.101,-0.007,-0.33,20998.0,4399333.0,2.108,2.108,2.092,2.108
60,180603,华夏大悦城商业REIT,5.1,-0.019,-0.37,690.0,351417.2,5.088,5.118,5.06,5.119
61,180605,易方达华威市场REIT,5.434,-0.022,-0.4,2557.0,1389066.023,5.456,5.489,5.405,5.456
62,508036,平安宁波交投REIT,9.787,-0.041,-0.42,4881.0,4771400.0,9.828,9.835,9.74,9.828
63,508031,XD国泰君安城投宽庭保租房REIT,4.02,-0.017,-0.42,15936.0,6401801.0,4.053,4.053,4.004,4.037
64,508012,招商科创REIT,3.46,-0.015,-0.43,926.0,320464.0,3.473,3.473,3.441,3.475
65,508084,汇添富九州通医药REIT,4.162,-0.021,-0.5,460.0,192357.0,4.192,4.202,4.159,4.183
66,508087,国泰君安济南能源供热REIT,12.085,-0.065,-0.53,545.0,659045.0,12.117,12.135,12.057,12.15
67,508080,中金亦庄产业园REIT,3.864,-0.022,-0.57,3993.0,1548807.0,3.886,3.901,3.861,3.886
68,508055,汇添富上海地产租赁住房REIT,3.677,-0.021,-0.57,4412.0,1624295.0,3.696,3.696,3.672,3.698
69,180502,招商基金蛇口租赁住房REIT,3.74,-0.023,-0.61,5385.0,2014426.598,3.763,3.763,3.723,3.763
70,508069,华夏南京交通高速公路REIT,6.73,-0.047,-0.69,1062.0,717544.0,6.799,6.81,6.73,6.777
71,508089,华夏特变电工新能源REIT,4.93,-0.037,-0.74,25726.0,12713350.0,4.95,4.988,4.917,4.967
72,508019,中金湖北科投光谷REIT,1.942,-0.015,-0.77,13764.0,2674396.0,1.95,1.958,1.937,1.957
73,508001,浙商沪杭甬REIT,7.015,-0.056,-0.79,8979.0,6307959.0,7.071,7.071,7.011,7.071
74,180105,易方达广开产园REIT,2.3,-0.019,-0.82,6428.0,1479165.3,2.323,2.323,2.293,2.319
75,508021,国泰君安临港创新产业园REIT,4.51,-0.043,-0.94,2127.0,961540.0,4.536,4.554,4.497,4.553
76,508066,华泰江苏交控REIT,6.426,-0.083,-1.28,17253.0,11103442.0,6.509,6.509,6.42,6.509
