股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
159278,机器人ETF鹏华,2.3,1.111,1.115,1.051,1.087,0.025,26.61,1.99,-,890353,96769407.335,1.086,371680446,371680446,0.159278,深A,2025-09-02 15:34:18,2025-09-02
159530,机器人ETF易方达,2.22,1.567,1.586,1.48,1.534,0.034,15.55,1.7,-,6056359,932517338.717,1.533,6101291834,6101291834,0.159530,深A,2025-09-02 15:34:57,2025-09-02
159559,机器人50ETF,2.1,1.408,1.425,1.334,1.38,0.029,24.89,2.2,-,2266594,313813820.4,1.379,1282091887,1282091887,0.159559,深A,2025-09-02 15:34:12,2025-09-02
515290,银行ETF天弘,1.96,1.507,1.508,1.476,1.478,0.029,3.52,1.91,-,1306231,195191217.0,1.478,5595450154,5595450154,1.515290,沪A,2025-09-02 16:12:01,2025-09-02
512800,银行ETF,1.94,0.842,0.842,0.824,0.825,0.016,14.23,1.95,-,23232151,1939585269.0,0.826,13742686106,13742686106,1.512800,沪A,2025-09-02 16:12:00,2025-09-02
517900,银行AH优选ETF,1.86,1.532,1.532,1.502,1.502,0.028,6.62,1.32,-,455489,69095021.0,1.504,1054006048,1054006048,1.517900,沪A,2025-09-02 16:11:43,2025-09-02
512700,银行ETF南方,1.86,1.699,1.7,1.665,1.668,0.031,10.95,1.11,-,1106102,186244817.0,1.668,1716977133,1716977133,1.512700,沪A,2025-09-02 16:11:39,2025-09-02
512820,银行ETF龙头,1.86,1.475,1.476,1.445,1.448,0.027,15.24,1.11,-,1131884,165438031.0,1.448,1095337808,1095337808,1.512820,沪A,2025-09-02 16:11:36,2025-09-02
159887,银行ETF,1.86,1.369,1.369,1.34,1.343,0.025,30.63,1.75,-,3107298,421305675.6,1.344,1389009238,1389009238,0.159887,深A,2025-09-02 15:34:39,2025-09-02
516210,银行ETF指数基金,1.85,1.43,1.431,1.4,1.406,0.026,5.68,1.36,-,69126,9794673.0,1.404,173932330,173932330,1.516210,沪A,2025-09-02 16:11:46,2025-09-02
516310,银行ETF易方达,1.84,1.385,1.385,1.357,1.36,0.025,3.65,1.13,-,559149,76809053.0,1.36,2123147517,2123147517,1.516310,沪A,2025-09-02 16:11:58,2025-09-02
512730,银行ETF指数,1.77,1.721,1.722,1.686,1.691,0.03,13.32,1.15,-,92042,15714949.0,1.691,118893392,118893392,1.512730,沪A,2025-09-02 16:11:32,2025-09-02
515020,银行ETF基金,1.77,1.781,1.781,1.747,1.752,0.031,3.29,0.65,-,111988,19764331.0,1.75,607045472,607045472,1.515020,沪A,2025-09-02 16:11:41,2025-09-02
513350,标普油气ETF,1.54,0.986,0.987,0.974,0.975,0.015,13.25,1.24,-,842474,82798317.0,0.971,626845556,626845556,1.513350,沪A,2025-09-02 16:11:41,2025-09-02
560190,公用事业ETF,1.51,1.007,1.008,0.996,0.996,0.015,9.12,1.56,-,27212,2727575.0,0.992,30042838,30042838,1.560190,沪A,2025-09-02 16:12:01,2025-09-02
159518,标普油气ETF,1.51,0.939,0.939,0.932,0.933,0.014,14.16,1.3,-,1638710,153373198.8,0.925,1086728528,1086728528,0.159518,深A,2025-09-02 15:34:06,2025-09-02
516110,汽车ETF,1.34,1.439,1.443,1.409,1.419,0.019,13.67,1.44,-,596984,85147334.0,1.42,628300647,628300647,1.516110,沪A,2025-09-02 16:11:35,2025-09-02
517180,中国国企ETF,1.14,1.508,1.509,1.491,1.491,0.017,4.81,1.17,-,122950,18445144.0,1.491,385288420,385288420,1.517180,沪A,2025-09-02 16:11:47,2025-09-02
159719,国企共赢ETF,1.14,1.596,1.596,1.58,1.58,0.018,13.4,1.02,-,60577,9630195.9,1.578,72132794,72132794,0.159719,深A,2025-09-02 15:34:36,2025-09-02
159625,绿色电力ETF,1.1,1.19,1.193,1.178,1.178,0.013,7.07,0.97,-,171170,20343072.056,1.177,288115395,288115395,0.159625,深A,2025-09-02 15:34:18,2025-09-02
561170,绿色电力ETF,1.09,1.113,1.114,1.1,1.101,0.012,10.5,0.84,-,113457,12593469.0,1.101,120240395,120240395,1.561170,沪A,2025-09-02 16:12:01,2025-09-02
520880,港股通创新药ETF,1.08,0.655,0.674,0.648,0.653,0.007,87.39,3.58,-,14853485,982520854.0,0.648,1113249790,1113249790,1.520880,沪A,2025-09-02 16:11:54,2025-09-02
159697,油气ETF,1.06,1.05,1.05,1.038,1.042,0.011,4.74,1.19,-,46491,4857961.7,1.039,102923106,102923106,0.159697,深A,2025-09-02 15:35:00,2025-09-02
517090,央企共赢ETF,1.04,1.557,1.558,1.536,1.54,0.016,5.24,0.69,-,74440,11534086.0,1.541,221210775,221210775,1.517090,沪A,2025-09-02 16:11:52,2025-09-02
159669,绿电ETF,1.02,1.092,1.095,1.081,1.081,0.011,5.12,1.49,-,40812,4450846.3,1.081,87092221,87092221,0.159669,深A,2025-09-02 15:34:18,2025-09-02
562550,绿电ETF,1.0,1.11,1.111,1.098,1.101,0.011,3.49,0.69,-,51935,5745913.0,1.099,165300423,165300423,1.562550,沪A,2025-09-02 16:11:45,2025-09-02
159391,大盘价值ETF,0.99,1.121,1.121,1.108,1.11,0.011,0.18,0.32,-,7792,868425.814,1.11,486599644,486599644,0.159391,深A,2025-09-02 15:34:27,2025-09-02
560620,公用事业ETF基金,0.97,0.939,0.939,0.931,0.934,0.009,1.2,0.4,-,12977,1214290.0,0.93,101756613,101756613,1.560620,沪A,2025-09-02 16:11:44,2025-09-02
159577,美国50ETF,0.96,1.362,1.362,1.35,1.352,0.013,4.09,0.98,-,194759,26348160.0,1.349,649218809,649218809,0.159577,深A,2025-09-02 15:34:51,2025-09-02
159301,公用事业ETF,0.96,0.951,1.036,0.941,1.036,0.009,20.9,1.68,-,142036,13489255.8,0.942,64628398,64628398,0.159301,深A,2025-09-02 15:34:24,2025-09-02
515550,国联中证500ETF,0.96,1.582,1.585,1.529,1.57,0.015,3.64,1.02,-,4132,642009.0,1.567,17948897,17948897,1.515550,沪A,2025-09-02 16:11:48,2025-09-02
510650,金融地产ETF,0.96,3.056,3.094,3.019,3.035,0.029,2.79,1.63,-,2781,847521.0,3.027,30414840,30414840,1.510650,沪A,2025-09-02 16:11:40,2025-09-02
159588,石油天然气ETF,0.92,0.986,0.986,0.975,0.981,0.009,5.47,1.03,-,50452,4949684.3,0.977,90992869,90992869,0.159588,深A,2025-09-02 15:35:00,2025-09-02
561560,电力ETF,0.9,1.232,1.232,1.218,1.22,0.011,8.18,0.84,-,399421,48998428.0,1.221,601369024,601369024,1.561560,沪A,2025-09-02 16:11:34,2025-09-02
513190,港股通金融ETF,0.89,1.708,1.723,1.687,1.693,0.015,19.59,1.74,-,3431306,585140500.0,1.693,2992306688,2992306688,1.513190,沪A,2025-09-02 16:12:00,2025-09-02
515300,300红利低波ETF,0.88,1.378,1.38,1.362,1.366,0.012,3.31,1.21,-,1186922,162953487.0,1.366,4940371426,4940371426,1.515300,沪A,2025-09-02 16:11:38,2025-09-02
159526,机器人ETF嘉实,0.87,1.505,1.519,1.448,1.493,0.013,12.37,1.23,-,515210,76044049.5,1.492,626776755,626776755,0.159526,深A,2025-09-02 15:34:30,2025-09-02
560580,电力ETF南方,0.85,1.071,1.071,1.056,1.056,0.009,5.16,1.04,-,28361,3027610.0,1.062,58908213,58908213,1.560580,沪A,2025-09-02 16:11:59,2025-09-02
562350,电力指数ETF,0.85,1.07,1.07,1.061,1.062,0.009,7.72,0.83,-,26559,2836343.0,1.061,36819663,36819663,1.562350,沪A,2025-09-02 16:11:54,2025-09-02
561700,电力ETF基金,0.85,1.067,1.069,1.05,1.056,0.009,2.62,0.59,-,33954,3614305.0,1.058,138511111,138511111,1.561700,沪A,2025-09-02 16:12:00,2025-09-02
562960,绿色电力ETF易方达,0.82,1.103,1.109,1.093,1.094,0.009,1.82,0.81,-,16386,1808735.0,1.094,99149773,99149773,1.562960,沪A,2025-09-02 16:11:36,2025-09-02
560890,红利低波ETF新华,0.81,1.245,1.246,1.235,1.235,0.01,3.31,6.74,-,14903,1849968.0,1.235,56001594,56001594,1.560890,沪A,2025-09-02 16:11:35,2025-09-02
159525,红利低波ETF,0.81,1.122,1.122,1.111,1.115,0.009,8.16,2.15,-,196361,21903916.158,1.113,270114477,270114477,0.159525,深A,2025-09-02 15:34:09,2025-09-02
530880,红利ETF国企,0.8,1.014,1.015,1.006,1.009,0.008,2.29,0.67,-,14061,1419940.0,1.006,62194704,62194704,1.530880,沪A,2025-09-02 16:12:01,2025-09-02
159611,电力ETF,0.79,1.017,1.017,1.006,1.009,0.008,7.23,1.36,-,2893992,293467254.303,1.009,4071216665,4071216665,0.159611,深A,2025-09-02 15:34:30,2025-09-02
512530,沪深300红利ETF,0.76,1.587,1.587,1.572,1.578,0.012,1.49,1.29,-,19109,3018810.0,1.575,203932674,203932674,1.512530,沪A,2025-09-02 16:11:48,2025-09-02
512890,红利低波ETF,0.76,1.2,1.2,1.189,1.192,0.009,2.34,1.05,-,4048948,483915529.0,1.191,20769733018,20769733018,1.512890,沪A,2025-09-02 16:12:00,2025-09-02
159730,龙头家电ETF,0.76,1.061,1.066,1.045,1.059,0.008,25.6,1.36,-,91079,9617589.1,1.053,37741192,37741192,0.159730,深A,2025-09-02 15:34:33,2025-09-02
510030,价值ETF,0.73,1.097,1.098,1.086,1.087,0.008,3.68,0.85,-,57085,6232130.0,1.089,170287091,170287091,1.510030,沪A,2025-09-02 16:11:38,2025-09-02
561760,油气ETF博时,0.72,0.978,0.978,0.965,0.971,0.007,18.7,1.43,-,53652,5216803.0,0.971,28063710,28063710,1.561760,沪A,2025-09-02 16:12:01,2025-09-02
510230,金融ETF,0.72,1.403,1.405,1.387,1.389,0.01,1.43,1.14,-,477857,66655531.0,1.393,4682944624,4682944624,1.510230,沪A,2025-09-02 16:11:59,2025-09-02
