股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
920819,颖泰生物,-,-,-,-,-,-,0.0,-,173.56,-,-,4.33,5307714000,5228507475,0.920819,深A,2025-09-01 08:00:00,2025-09-01
920799,艾融软件,-,-,-,-,-,-,0.0,-,166.21,-,-,59.98,12582607399,7239860169,0.920799,深A,2025-09-01 08:00:00,2025-09-01
920682,球冠电缆,-,-,-,-,-,-,0.0,-,32.56,-,-,10.6,3439488000,1996238873,0.920682,深A,2025-09-01 08:00:00,2025-09-01
920489,佳先股份,-,-,-,-,-,-,0.0,-,267.28,-,-,22.48,3067602816,1925496278,0.920489,深A,2025-09-01 08:00:00,2025-09-01
920445,龙竹科技,-,-,-,-,-,-,0.0,-,68.1,-,-,13.99,2055551050,1472626446,0.920445,深A,2025-09-01 08:00:00,2025-09-01
920167,同享科技,-,-,-,-,-,-,0.0,-,154.65,-,-,20.08,2202898990,1310710695,0.920167,深A,2025-09-01 08:00:00,2025-09-01
920128,胜业电气,-,-,-,-,-,-,0.0,-,79.74,-,-,34.5,2801055000,757620000,0.920128,深A,2025-09-01 08:00:00,2025-09-01
920118,太湖远大,-,-,-,-,-,-,0.0,-,50.14,-,-,27.1,1379281600,595224400,0.920118,深A,2025-09-01 08:00:00,2025-09-01
920116,星图测控,-,-,-,-,-,-,0.0,-,189.12,-,-,76.36,12200419000,3098748361,0.920116,深A,2025-09-01 08:00:00,2025-09-01
920112,巴兰仕,-,-,-,-,-,-,0.0,-,23.77,-,-,44.96,3686720000,1042307680,0.920112,深A,2025-09-01 08:00:00,2025-09-01
920111,聚星科技,-,-,-,-,-,-,0.0,-,41.83,-,-,29.14,4521202130,1074930890,0.920111,深A,2025-09-01 08:00:00,2025-09-01
920108,宏海科技,-,-,-,-,-,-,0.0,-,53.11,-,-,17.12,2948064000,606096792,0.920108,深A,2025-09-01 08:00:00,2025-09-01
920106,林泰新材,-,-,-,-,-,-,0.0,-,36.96,-,-,99.53,5556610605,2913750703,0.920106,深A,2025-09-01 08:00:00,2025-09-01
920101,志高机械,-,-,-,-,-,-,0.0,-,36.6,-,-,50.76,4361601273,1035887898,0.920101,深A,2025-09-01 08:00:00,2025-09-01
920100,三协电机,-,-,-,-,-,-,0.0,-,-,-,-,8.83,-,-,0.920100,深A,2025-09-01 08:00:00,2025-09-01
920099,瑞华技术,-,-,-,-,-,-,0.0,-,47.56,-,-,29.88,2342591940,1175726606,0.920099,深A,2025-09-01 08:00:00,2025-09-01
920098,科隆新材,-,-,-,-,-,-,0.0,-,48.94,-,-,34.31,2790101860,1493779482,0.920098,深A,2025-09-01 08:00:00,2025-09-01
920088,科力股份,-,-,-,-,-,-,0.0,-,62.22,-,-,38.39,3381064885,927118500,0.920088,深A,2025-09-01 08:00:00,2025-09-01
920082,方正阀门,-,-,-,-,-,-,0.0,-,35.16,-,-,21.98,3194902900,859251282,0.920082,深A,2025-09-01 08:00:00,2025-09-01
920068,天工股份,-,-,-,-,-,-,0.0,-,107.38,-,-,20.96,13741376314,1314281311,0.920068,深A,2025-09-01 08:00:00,2025-09-01
920066,科拜尔,-,-,-,-,-,-,0.0,-,73.87,-,-,31.39,1972965903,535332939,0.920066,深A,2025-09-01 08:00:00,2025-09-01
920060,万源通,-,-,-,-,-,-,0.0,-,43.84,-,-,37.35,5678868163,2618282584,0.920060,深A,2025-09-01 08:00:00,2025-09-01
920056,能之光,-,-,-,-,-,-,0.0,-,39.74,-,-,29.53,2346887891,904520732,0.920056,深A,2025-09-01 08:00:00,2025-09-01
920037,广信科技,-,-,-,-,-,-,0.0,-,44.55,-,-,93.99,8596598723,2778749309,0.920037,深A,2025-09-01 08:00:00,2025-09-01
920029,开发科技,-,-,-,-,-,-,0.0,-,18.18,-,-,103.52,14377547768,3291245936,0.920029,深A,2025-09-01 08:00:00,2025-09-01
