股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
113039,嘉泽转债,7.89,185.352,199.227,172.8,172.8,13.56,589.08,4.43,-,1691816,3213416144.0,171.792,532325383,532325383,1.113039,沪A,2025-09-25 15:24:28,2025-09-25
110074,精达转债,6.54,339.644,347.0,321.0,324.95,20.862,236.2,2.83,-,637942,2138192783.0,318.782,917330894,917330894,1.110074,沪A,2025-09-25 15:24:12,2025-09-25
123222,博俊转债,5.92,217.138,229.5,205.49,205.49,12.138,301.98,6.97,-,736874,1627522765.228,205.0,529855588,529855588,0.123222,深A,2025-09-25 15:24:00,2025-09-25
123254,亿纬转债,5.67,168.538,172.819,158.996,158.999,9.038,31.51,2.91,-,1575241,2630212641.074,159.5,8426819944,8426819944,0.123254,深A,2025-09-25 15:24:12,2025-09-25
123118,惠城转债,5.52,1836.0,1887.585,1736.0,1750.0,96.001,95.97,1.73,-,118825,2182072938.422,1739.999,2273144256,2273144256,0.123118,深A,2025-09-25 15:24:03,2025-09-25
113685,升24转债,4.92,153.18,158.5,149.06,149.5,7.177,63.79,2.47,-,1509112,2339636574.0,146.003,3623842064,3623842064,1.113685,沪A,2025-09-25 15:24:06,2025-09-25
123161,Z联转债,4.81,183.8,191.688,175.501,176.9,8.44,1330.53,1.41,-,643178,1194355255.118,175.36,88849104,88849104,0.123161,深A,2025-09-25 15:24:15,2025-09-25
113577,春秋转债,4.8,138.028,139.48,131.304,131.414,6.319,136.2,2.27,-,215613,293398155.0,131.709,218510332,218510332,1.113577,沪A,2025-09-25 15:24:10,2025-09-25
111005,富春转债,4.47,151.458,152.233,145.419,145.436,6.474,17.11,2.12,-,90625,134996817.0,144.984,802432057,802432057,1.111005,沪A,2025-09-25 15:24:21,2025-09-25
113671,武进转债,4.47,136.436,136.603,130.749,130.749,5.833,98.57,3.18,-,305507,411672284.0,130.603,422850637,422850637,1.113671,沪A,2025-09-25 15:24:06,2025-09-25
113575,东时转债,4.33,181.242,181.723,173.44,174.88,7.527,341.47,1.06,-,333220,593299465.0,173.715,176865006,176865006,1.113575,沪A,2025-09-25 15:24:17,2025-09-25
123251,华医转债,4.27,166.83,181.58,160.077,160.16,6.83,124.98,15.2,-,876556,1520025691.76,160.0,1170116925,1170116925,0.123251,深A,2025-09-25 15:24:21,2025-09-25
118013,道通转债,4.26,202.382,203.981,194.549,195.104,8.278,10.67,1.44,-,136587,273528857.0,194.104,2589846025,2589846025,1.118013,沪A,2025-09-25 15:24:33,2025-09-25
113045,环旭转债,4.25,136.724,137.6,130.875,130.886,5.576,12.75,2.35,-,439725,596613767.0,131.148,4716731897,4716731897,1.113045,沪A,2025-09-25 15:24:32,2025-09-25
113667,春23转债,4.18,159.147,159.779,151.649,152.4,6.379,13.68,1.17,-,77969,121379215.0,152.768,907082199,907082199,1.113667,沪A,2025-09-25 15:24:29,2025-09-25
118030,睿创转债,3.91,244.4,245.5,228.718,235.05,9.195,12.59,0.58,-,184980,439828190.0,235.205,3591296696,3591296696,1.118030,沪A,2025-09-25 15:24:13,2025-09-25
113615,金诚转债,3.72,618.424,650.0,613.926,630.0,22.165,42.65,3.09,-,211505,1330128381.0,596.259,3066956327,3066956327,1.113615,沪A,2025-09-25 15:24:13,2025-09-25
127037,银轮转债,3.7,479.268,490.659,462.156,469.996,17.1,40.29,1.09,-,203665,975083082.01,462.168,2422878986,2422878986,0.127037,深A,2025-09-25 15:24:12,2025-09-25
123080,海波转债,3.49,145.805,147.738,140.388,140.888,4.917,330.47,6.33,-,491080,712993190.62,140.888,216669146,216669146,0.123080,深A,2025-09-25 15:24:12,2025-09-25
123245,集智转债,3.38,239.5,244.8,231.0,231.9,7.84,128.64,2.86,-,197988,474716684.3,231.66,368620198,368620198,0.123245,深A,2025-09-25 15:24:03,2025-09-25
123147,中辰转债,3.13,145.002,148.488,141.0,141.0,4.402,153.84,1.17,-,157393,228321674.083,140.6,148353721,148353721,0.123147,深A,2025-09-25 15:24:18,2025-09-25
113069,博23转债,2.91,195.669,198.179,189.74,190.419,5.535,12.86,1.54,-,181672,353123826.0,190.134,2763947896,2763947896,1.113069,沪A,2025-09-25 15:24:28,2025-09-25
113675,新23转债,2.61,162.753,165.689,157.607,157.66,4.142,32.19,0.66,-,349121,565225271.0,158.611,1765268189,1765268189,1.113675,沪A,2025-09-25 15:24:15,2025-09-25
123056,雪榕转债,2.59,148.405,154.999,142.55,144.788,3.744,701.29,1.12,-,591791,885445325.676,144.661,125233489,125233489,0.123056,深A,2025-09-25 15:24:00,2025-09-25
118012,微芯转债,2.43,157.42,159.38,153.15,153.91,3.741,20.68,0.91,-,103293,161813926.0,153.679,786464023,786464023,1.118012,沪A,2025-09-25 15:24:30,2025-09-25
110095,双良转债,2.31,124.398,125.112,121.181,121.181,2.812,5.47,1.66,-,141086,174785085.0,121.586,3206363426,3206363426,1.110095,沪A,2025-09-25 15:24:16,2025-09-25
118051,皓元转债,2.23,204.51,212.163,199.598,200.728,4.454,37.01,1.68,-,304214,630888409.0,200.056,1680892845,1680892845,1.118051,沪A,2025-09-25 15:24:14,2025-09-25
110096,豫光转债,2.16,208.307,218.265,207.532,209.974,4.409,62.92,1.52,-,446514,947375919.0,203.898,1478219379,1478219379,1.110096,沪A,2025-09-25 15:24:14,2025-09-25
123210,信服转债,2.16,153.51,155.903,149.849,150.244,3.247,13.73,2.11,-,166677,256097014.962,150.263,1864208247,1864208247,0.123210,深A,2025-09-25 15:24:00,2025-09-25
110077,洪城转债,2.07,199.753,199.87,195.758,195.996,4.059,5.53,1.85,-,36955,72975246.0,195.694,1335290877,1335290877,1.110077,沪A,2025-09-25 15:24:26,2025-09-25
118049,汇成转债,1.95,239.976,243.264,230.15,232.999,4.582,62.25,0.61,-,689163,1631606640.0,235.394,2656828771,2656828771,1.118049,沪A,2025-09-25 15:24:28,2025-09-25
113588,润达转债,1.94,158.174,160.2,154.367,155.399,3.008,39.05,1.03,-,91463,143951555.0,155.166,370440345,370440345,1.113588,沪A,2025-09-25 15:24:29,2025-09-25
118042,奥维转债,1.89,123.002,123.4,120.507,120.801,2.279,8.35,2.62,-,95132,116654412.0,120.723,1402161299,1402161299,1.118042,沪A,2025-09-25 15:24:14,2025-09-25
113677,华懋转债,1.8,186.438,187.608,178.0,182.5,3.296,16.42,0.77,-,172406,317299220.0,183.142,1957481730,1957481730,1.113677,沪A,2025-09-25 15:24:08,2025-09-25
127107,领益转债,1.73,173.346,183.0,166.967,170.391,2.955,187.96,1.4,-,1079275,1893409516.66,170.391,995346838,995346838,0.127107,深A,2025-09-25 15:23:54,2025-09-25
110062,烽火转债,1.72,133.957,136.5,130.467,131.4,2.266,21.87,0.53,-,594324,798088382.0,131.691,3641148713,3641148713,1.110062,沪A,2025-09-25 15:24:30,2025-09-25
118035,国力转债,1.72,139.366,141.711,137.035,137.366,2.354,9.43,1.27,-,45267,63330421.0,137.012,668931714,668931714,1.118035,沪A,2025-09-25 15:24:20,2025-09-25
113046,金田转债,1.71,134.293,140.566,134.0,136.117,2.263,37.38,6.47,-,560379,770757756.0,132.03,2013385117,2013385117,1.113046,沪A,2025-09-25 15:24:14,2025-09-25
111023,利柏转债,1.62,135.192,135.422,133.2,134.0,2.15,2.4,2.15,-,18001,24275884.0,133.042,1013940000,1013940000,1.111023,沪A,2025-09-25 15:24:33,2025-09-25
128101,联创转债,1.56,131.58,132.99,129.453,129.5,2.026,32.22,3.18,-,96123,126647616.29,129.554,392582746,392582746,0.128101,深A,2025-09-25 15:24:00,2025-09-25
123253,永贵转债,1.51,139.707,141.84,137.501,137.501,2.075,4.22,0.74,-,41328,57907963.048,137.632,1369073555,1369073555,0.123253,深A,2025-09-25 15:24:15,2025-09-25
113047,旗滨转债,1.5,138.999,139.754,137.1,137.1,2.059,5.25,1.24,-,78578,109098538.0,136.94,2082305099,2082305099,1.113047,沪A,2025-09-25 15:24:21,2025-09-25
123258,胜蓝转02,1.47,172.71,174.888,170.444,170.999,2.51,79.29,0.89,-,356798,618723832.281,170.2,777195000,777195000,0.123258,深A,2025-09-25 15:24:03,2025-09-25
113680,丽岛转债,1.45,129.372,132.955,127.328,127.529,1.843,36.26,6.22,-,108727,141133347.0,127.529,387968516,387968516,1.113680,沪A,2025-09-25 15:24:12,2025-09-25
113654,永02转债,1.45,138.393,139.413,135.7,135.898,1.974,8.32,0.96,-,50773,70215943.0,136.419,844771631,844771631,1.113654,沪A,2025-09-25 15:24:10,2025-09-25
113692,保隆转债,1.41,138.636,140.676,136.502,136.85,1.931,10.59,1.21,-,147177,204960865.0,136.705,1926882494,1926882494,1.113692,沪A,2025-09-25 15:24:21,2025-09-25
118025,奕瑞转债,1.41,135.881,136.455,134.0,134.303,1.885,2.7,0.67,-,38436,52045930.0,133.996,1931867735,1931867735,1.118025,沪A,2025-09-25 15:24:26,2025-09-25
128116,瑞达转债,1.41,128.45,128.667,126.3,127.002,1.79,5.55,1.23,-,36025,46023677.522,126.66,833539667,833539667,0.128116,深A,2025-09-25 15:24:24,2025-09-25
127031,洋丰转债,1.41,123.6,123.859,121.565,121.884,1.717,5.0,1.09,-,50028,61566916.66,121.883,1235912491,1235912491,0.127031,深A,2025-09-25 15:24:27,2025-09-25
113633,科沃转债,1.33,118.562,119.464,116.85,117.081,1.555,4.17,0.92,-,43381,51324308.0,117.007,1232532375,1232532375,1.113633,沪A,2025-09-25 15:24:11,2025-09-25
