股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
113668,鹿山转债,7.14,153.429,157.817,143.501,146.0,10.223,530.21,23.87,-,1351474,2082977999.0,143.206,391082850,391082850,1.113668,沪A,2025-09-02 16:12:00,2025-09-02
118014,Z高测转,5.39,151.73,166.0,135.91,145.11,7.757,2222.08,6.2,-,995153,1565080843.0,143.973,67951825,67951825,1.118014,沪A,2025-09-02 16:11:49,2025-09-02
123231,信测转债,4.64,139.75,149.8,133.35,135.0,6.199,2516.94,7.0,-,1011979,1441076179.513,133.551,56188863,56188863,0.123231,深A,2025-09-02 15:34:15,2025-09-02
113606,荣泰转债,4.58,170.922,176.826,155.585,163.578,7.491,1042.29,1.8,-,633243,1056569365.0,163.431,103843319,103843319,1.113606,沪A,2025-09-02 16:11:55,2025-09-02
113675,新23转债,3.34,133.254,134.0,126.149,129.051,4.303,29.58,3.28,-,343084,450978740.0,128.951,1545589294,1545589294,1.113675,沪A,2025-09-02 16:11:42,2025-09-02
113575,东时转债,3.01,195.405,202.88,183.5,195.0,5.706,878.51,1.05,-,857466,1655117533.0,189.699,190725050,190725050,1.113575,沪A,2025-09-02 16:11:48,2025-09-02
113673,岱美转债,2.42,122.075,122.148,117.897,119.263,2.881,10.24,2.11,-,92942,111910476.0,119.194,1108331133,1108331133,1.113673,沪A,2025-09-02 16:11:46,2025-09-02
128076,金轮转债,1.82,139.88,143.099,137.399,137.899,2.5,231.12,2.88,-,424172,597290194.256,137.38,256719106,256719106,0.128076,深A,2025-09-02 15:34:33,2025-09-02
127033,Z装转2,1.76,90.159,91.65,88.3,88.651,1.559,56.29,1.69,-,430022,387276011.983,88.6,688712430,688712430,0.127033,深A,2025-09-02 15:34:42,2025-09-02
123183,海顺转债,1.59,126.0,126.58,123.866,124.067,1.97,25.42,2.51,-,160904,201000251.9,124.03,797433336,797433336,0.123183,深A,2025-09-02 15:34:42,2025-09-02
128129,青农转债,1.43,112.791,112.984,110.361,111.095,1.594,3.59,0.92,-,179299,200131132.503,111.197,5639194596,5639194596,0.128129,深A,2025-09-02 15:34:39,2025-09-02
113062,常银转债,1.04,130.202,130.49,128.22,128.81,1.338,3.35,1.22,-,200815,260171332.0,128.864,7811466386,7811466386,1.113062,沪A,2025-09-02 16:11:50,2025-09-02
127064,杭氧转债,1.01,127.471,129.62,125.719,126.4,1.271,13.23,2.85,-,150337,191888951.55,126.2,1448850810,1448850810,0.127064,深A,2025-09-02 15:35:00,2025-09-02
113056,重银转债,0.98,122.173,122.447,120.3,121.14,1.182,2.65,1.03,-,344159,418647662.0,120.991,15881446643,15881446643,1.113056,沪A,2025-09-02 16:12:00,2025-09-02
123192,科思转债,0.95,121.811,123.26,119.41,120.784,1.148,12.7,1.48,-,91240,110607385.723,120.663,875427884,875427884,0.123192,深A,2025-09-02 15:34:09,2025-09-02
113685,升24转债,0.93,130.356,131.48,125.56,129.315,1.195,9.25,2.2,-,235139,302170141.0,129.161,3312176758,3312176758,1.113685,沪A,2025-09-02 16:11:35,2025-09-02
113049,长汽转债,0.85,117.515,118.298,115.417,116.5,0.995,2.31,0.8,-,80839,94278041.0,116.52,4107265590,4107265590,1.113049,沪A,2025-09-02 16:11:58,2025-09-02
123159,崧盛转债,0.78,145.0,148.92,136.316,147.0,1.12,190.01,2.55,-,559272,802205365.144,143.88,426780530,426780530,0.123159,深A,2025-09-02 15:34:21,2025-09-02
