股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0699,全息技术,2.34,3116.7,3143.69,3052.72,3052.72,71.33,3.19,1.03,-350.71,3308598,13229435744.0,3045.37,234333044000,223189434000,90.BK0699,板块,2025-09-25 15:24:33,2025-09-25
BK0679,超导概念,2.11,5317.07,5354.45,5269.37,5271.84,109.84,9.33,1.4,34.66,13640930,25813714967.0,5207.23,318059808000,268778944000,90.BK0679,板块,2025-09-25 15:24:33,2025-09-25
BK0954,盲盒经济,1.94,1413.64,1418.8,1380.18,1382.29,26.97,5.4,1.3,-582.29,3745065,6864546797.0,1386.67,156662302000,113758122000,90.BK0954,板块,2025-09-25 15:24:33,2025-09-25
BK1051,昨日连板_含一字,1.93,222.35,229.18,220.79,224.48,4.21,15.51,0.39,160.48,14857378,35198489363.0,218.14,235839825000,219456777000,90.BK1051,板块,2025-09-25 15:24:33,2025-09-25
BK1151,短剧互动游戏,1.81,1341.87,1354.79,1317.73,1318.0,23.85,6.21,1.34,-850.37,27549455,35748135194.0,1318.02,558780272000,494551200000,90.BK1151,板块,2025-09-25 15:24:30,2025-09-25
BK0885,VPN,1.81,1328.66,1341.0,1301.93,1304.92,23.57,5.11,1.05,161.57,7307642,21163963476.0,1305.09,425748592000,383110512000,90.BK0885,板块,2025-09-25 15:24:33,2025-09-25
BK1092,麒麟电池,1.77,1817.13,1834.16,1782.19,1785.34,31.52,4.19,1.08,32.14,3713287,25657064115.0,1785.61,1916011584000,1780146064000,90.BK1092,板块,2025-09-25 15:24:30,2025-09-25
BK1189,腾讯云,1.76,1133.06,1146.67,1114.15,1115.99,19.64,6.16,0.94,68.92,10141188,35233353588.0,1113.42,673157696000,475579120000,90.BK1189,板块,2025-09-25 15:24:30,2025-09-25
BK1169,Kimi概念,1.64,1176.66,1193.54,1155.26,1155.95,19.04,3.95,1.27,97.57,5507668,18448633001.0,1157.62,511179600000,472126528000,90.BK1169,板块,2025-09-25 15:24:30,2025-09-25
BK1168,铜缆高速连接,1.57,2218.81,2239.52,2192.11,2192.43,34.31,8.39,1.11,50.08,24119139,71390175210.0,2184.5,1013541424000,946976336000,90.BK1168,板块,2025-09-25 15:24:30,2025-09-25
BK1088,F5G概念,1.55,3565.59,3582.64,3494.06,3521.9,54.29,2.5,0.94,35.15,10254516,57649325141.0,3511.3,1089370240000,1070220912000,90.BK1088,板块,2025-09-25 15:24:30,2025-09-25
BK1163,可控核聚变,1.44,1853.78,1867.14,1840.59,1840.59,26.39,3.57,1.51,37.73,40422440,48545580556.0,1827.39,1180333904000,1068951280000,90.BK1163,板块,2025-09-25 15:24:30,2025-09-25
BK1000,宁组合,1.28,707.88,714.31,699.05,699.73,8.95,2.42,1.05,34.33,11462514,103727448772.0,698.93,5583385600000,4615199744000,90.BK1000,板块,2025-09-25 15:24:33,2025-09-25
BK1172,AI语料,1.18,1175.92,1187.27,1158.8,1159.7,13.66,6.44,0.98,198.35,23670002,31470250102.0,1162.26,468666432000,415720576000,90.BK1172,板块,2025-09-25 15:24:30,2025-09-25
BK1173,锂矿概念,1.17,1486.13,1501.55,1478.14,1478.14,17.18,2.51,1.0,31.18,19750126,74490021332.0,1468.95,3682482848000,3303036400000,90.BK1173,板块,2025-09-25 15:24:30,2025-09-25
BK1182,智谱AI,1.01,1326.8,1343.87,1314.44,1315.6,13.33,5.5,1.07,121.66,13636900,25232145652.0,1313.47,472842448000,417809024000,90.BK1182,板块,2025-09-25 15:24:30,2025-09-25
BK0915,WiFi,0.99,1437.71,1448.3,1420.21,1423.15,14.03,2.15,0.93,42.77,9479976,27125015597.0,1423.68,620087728000,578193920000,90.BK0915,板块,2025-09-25 15:24:33,2025-09-25
BK1138,液冷概念,0.96,1798.71,1818.2,1783.48,1784.98,17.12,5.25,0.95,38.33,67324145,214017462074.0,1781.59,5323351552000,5045509120000,90.BK1138,板块,2025-09-25 15:24:30,2025-09-25
BK0880,UWB概念,0.96,1797.15,1805.82,1777.88,1779.65,17.13,2.8,1.03,51.86,13696449,13705607049.0,1780.02,391206544000,372066880000,90.BK0880,板块,2025-09-25 15:24:33,2025-09-25
BK1161,英伟达概念,0.94,1969.85,1993.23,1947.21,1953.29,18.29,4.11,0.97,65.63,22119422,107043039571.0,1951.56,3026884656000,2835676288000,90.BK1161,板块,2025-09-25 15:24:30,2025-09-25
BK0853,电子竞技,0.92,1626.08,1636.71,1611.04,1612.19,14.85,2.77,1.11,19.93,28482323,29200169866.0,1611.23,3217648624000,977383392000,90.BK0853,板块,2025-09-25 15:24:33,2025-09-25
BK0897,IPv6,0.86,1500.97,1514.64,1485.12,1487.23,12.84,2.47,0.95,33.67,12181141,28414741364.0,1488.13,661047568000,611716720000,90.BK0897,板块,2025-09-25 15:24:33,2025-09-25
BK1133,ERP概念,0.84,1378.53,1400.67,1361.29,1363.7,11.43,5.21,1.4,125.55,6583983,13711238253.0,1367.1,283320192000,239302822000,90.BK1133,板块,2025-09-25 15:24:30,2025-09-25
BK1111,AIGC概念,0.83,2210.7,2242.15,2185.4,2187.07,18.17,5.55,1.02,119.02,63184540,115086571544.0,2192.53,2332980384000,2008862256000,90.BK1111,板块,2025-09-25 15:24:30,2025-09-25
