股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK1145,机器人执行器,2.4,1936.32,1960.67,1823.58,1904.8,45.42,8.22,1.77,52.27,13891183,43394947142.0,1890.9,598969200000,554240704000,90.BK1145,板块,2025-09-02 15:39:40,2025-09-02
BK1100,减速器,2.39,2012.78,2035.04,1912.33,1975.38,47.04,9.23,1.23,85.08,43943169,67495874417.0,1965.74,871131952000,734655616000,90.BK1100,板块,2025-09-02 15:39:40,2025-09-02
BK1004,工业母机,1.02,1945.74,1966.98,1901.37,1956.67,19.63,5.59,1.42,31.38,36695455,75480249607.0,1926.11,1483189904000,1291015600000,90.BK1004,板块,2025-09-02 15:39:40,2025-09-02
BK1051,昨日连板_含一字,0.85,136753.71,141957.42,136670.67,141235.83,1149.57,17.7,1.23,148.0,29013829,35295223615.0,135604.14,241909941000,232945324000,90.BK1051,板块,2025-09-02 15:39:40,2025-09-02
BK0816,昨日连板,0.71,400.5,411.72,400.01,407.78,2.83,19.22,1.46,158.86,26514514,32894885143.0,397.67,216167667000,207373885000,90.BK0816,板块,2025-09-02 15:39:40,2025-09-02
BK1053,低价股,0.68,1144.58,1152.24,1131.65,1136.07,7.77,3.01,1.12,-9.62,183098389,43209443931.0,1136.81,1605031856000,1378774064000,90.BK1053,板块,2025-09-02 15:39:40,2025-09-02
BK1156,PEEK材料概念,0.5,1771.07,1791.42,1691.85,1764.08,8.89,6.63,1.24,48.06,15254556,32276617762.0,1762.18,607411680000,518113616000,90.BK1156,板块,2025-09-02 15:39:40,2025-09-02
BK1023,培育钻石,0.5,1695.07,1698.73,1669.67,1694.16,8.38,3.45,1.29,892.65,4330996,8383123649.0,1686.69,190686893000,181895144000,90.BK1023,板块,2025-09-02 15:39:40,2025-09-02
BK0547,黄金概念,0.43,16699.26,16831.35,16603.71,16787.68,72.08,3.61,1.3,21.74,60633016,76957059128.0,16627.18,2453569904000,2059705712000,90.BK0547,板块,2025-09-02 15:39:40,2025-09-02
BK1050,昨日涨停_含一字,0.38,2611.56,2672.55,2602.33,2655.3,10.0,13.0,1.73,78.3,163790696,203147873614.0,2601.56,1781426080000,1646051904000,90.BK1050,板块,2025-09-02 15:39:40,2025-09-02
BK1093,汽车一体化压铸,0.33,1358.19,1367.26,1321.13,1357.4,4.52,5.54,1.04,53.31,9373492,20243000840.0,1353.67,397040144000,364031232000,90.BK1093,板块,2025-09-02 15:39:40,2025-09-02
BK0815,昨日涨停,0.31,6715.08,6856.51,6688.37,6812.03,20.74,12.93,1.81,77.9,161031238,194071861984.0,6694.34,1726564064000,1594386544000,90.BK0815,板块,2025-09-02 15:39:40,2025-09-02
BK1184,人形机器人,0.15,1732.84,1755.28,1661.13,1733.73,2.56,5.94,1.07,47.62,77389816,205273364846.0,1730.28,3889797920000,3303220576000,90.BK1184,板块,2025-09-02 15:39:40,2025-09-02
BK0611,上证50_,0.01,2088.88,2100.99,2070.91,2089.14,0.12,0.46,1.11,12.0,77445856,196061437507.0,2088.76,30256552704000,22718204672000,90.BK0611,板块,2025-09-02 15:39:40,2025-09-02
