股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
689009,九号公司-WD,-,-,-,-,-,-,0.0,-,18.0,-,-,59.78,42897920444,33063832527,1.689009,沪A,2025-12-05 08:30:29,2025-12-05
688981,中芯国际,-,-,-,-,-,-,0.0,-,180.3,-,-,114.73,917872637473,229409811247,1.688981,沪A,2025-12-05 08:30:31,2025-12-05
688819,天能股份,-,-,-,-,-,-,0.0,-,17.2,-,-,32.08,31184968000,31184968000,1.688819,沪A,2025-12-05 08:30:25,2025-12-05
688807,优迅股份,-,-,-,-,-,-,0.0,-,31.87,-,-,51.66,3099600000,-,1.688807,沪A,2025-12-05 08:00:00,2025-12-05
688805,健信超导,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,1.688805,沪A,2025-12-05 08:00:00,2025-12-05
688802,沐曦股份,-,-,-,-,-,-,0.0,-,-81.79,-,-,104.66,37677600000,-,1.688802,沪A,2025-12-05 08:00:00,2025-12-05
688800,瑞可达,-,-,-,-,-,-,0.0,-,46.74,-,-,70.6,14520608051,14520608051,1.688800,沪A,2025-12-05 08:30:15,2025-12-05
688799,华纳药厂,-,-,-,-,-,-,0.0,-,22.22,-,-,46.72,6135270400,6135270400,1.688799,沪A,2025-12-05 08:30:17,2025-12-05
688798,艾为电子,-,-,-,-,-,-,0.0,-,46.29,-,-,73.0,17018390428,9909256520,1.688798,沪A,2025-12-05 08:30:09,2025-12-05
688796,百奥赛图,-,-,-,-,-,-,0.0,-,78.36,-,-,26.68,11923249846,957482262,1.688796,沪A,2025-12-05 08:00:00,2025-12-05
688795,N摩尔-U,-,-,-,-,-,-,0.0,-,-55.68,-,-,114.28,53714824639,3357819072,1.688795,沪A,2025-12-05 08:30:19,2025-12-05
688793,倍轻松,-,-,-,-,-,-,0.0,-,-26.27,-,-,26.75,2299039958,2299039958,1.688793,沪A,2025-12-05 08:30:28,2025-12-05
688790,昂瑞微,-,-,-,-,-,-,0.0,-,-74.08,-,-,83.06,6200326504,-,1.688790,沪A,2025-12-05 08:00:00,2025-12-05
688789,宏华数科,-,-,-,-,-,-,0.0,-,27.61,-,-,79.2,14276283674,14276283674,1.688789,沪A,2025-12-05 08:30:23,2025-12-05
688788,科思科技,-,-,-,-,-,-,0.0,-,-35.88,-,-,57.33,8993609811,8993609811,1.688788,沪A,2025-12-05 08:30:23,2025-12-05
688787,海天瑞声,-,-,-,-,-,-,0.0,-,1179.23,-,-,108.94,6571825109,6571825109,1.688787,沪A,2025-12-05 08:30:15,2025-12-05
688786,悦安新材,-,-,-,-,-,-,0.0,-,46.89,-,-,26.7,3839460080,3839460080,1.688786,沪A,2025-12-05 08:30:09,2025-12-05
688783,西安奕材-U,-,-,-,-,-,-,0.0,-,-129.59,-,-,23.87,96382286000,3929421778,1.688783,沪A,2025-12-05 08:30:11,2025-12-05
688779,五矿新能,-,-,-,-,-,-,0.0,-,-508.88,-,-,7.07,13639579857,13639579857,1.688779,沪A,2025-12-05 08:30:21,2025-12-05
688778,厦钨新能,-,-,-,-,-,-,0.0,-,48.76,-,-,71.13,35898676734,35898676734,1.688778,沪A,2025-12-05 08:30:29,2025-12-05
688777,中控技术,-,-,-,-,-,-,0.0,-,70.53,-,-,51.3,40588022735,40179276493,1.688777,沪A,2025-12-05 08:30:12,2025-12-05
688776,国光电气,-,-,-,-,-,-,0.0,-,-187.31,-,-,92.17,9989699729,9989699729,1.688776,沪A,2025-12-05 08:30:18,2025-12-05
688775,影石创新,-,-,-,-,-,-,0.0,-,106.12,-,-,279.36,112023360000,8520918316,1.688775,沪A,2025-12-05 08:30:16,2025-12-05
688772,珠海冠宇,-,-,-,-,-,-,0.0,-,50.35,-,-,22.94,25969659442,25969659442,1.688772,沪A,2025-12-05 08:30:24,2025-12-05
688768,容知日新,-,-,-,-,-,-,0.0,-,100.16,-,-,40.82,3591699265,3562098070,1.688768,沪A,2025-12-05 08:30:20,2025-12-05
688767,博拓生物,-,-,-,-,-,-,0.0,-,195.09,-,-,38.78,5791146693,5791146693,1.688767,沪A,2025-12-05 08:30:25,2025-12-05
