股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
300092,科新机电,19.97,16.34,16.34,14.32,14.32,2.72,37.23,5.21,42.88,781314,1233006500.95,13.62,4475906248,3429214623,0.300092,深A,2025-09-02 15:34:33,2025-09-02
688585,上纬新材,14.66,97.6,102.14,87.9,88.0,12.48,6.58,2.21,658.32,265495,2574205307.0,85.12,39368104653,39368104653,1.688585,沪A,2025-09-02 16:11:39,2025-09-02
300953,震裕科技,14.53,160.12,167.44,133.0,139.8,20.31,14.62,1.86,65.71,182386,2699782843.6,139.81,27777254288,19975545471,0.300953,深A,2025-09-02 15:34:18,2025-09-02
301529,福赛科技,14.28,92.11,96.72,78.55,80.91,11.51,14.74,2.3,61.73,66688,600109147.11,80.6,7814355413,4166919156,0.301529,深A,2025-09-02 15:34:30,2025-09-02
301413,安培龙,13.42,136.0,143.89,110.0,117.19,16.09,20.86,2.63,158.82,119962,1505495704.26,119.91,13382669960,7822701776,0.301413,深A,2025-09-02 15:34:06,2025-09-02
300530,领湃科技,12.3,40.53,42.1,35.8,35.91,4.44,15.68,2.49,-49.38,248142,991966038.83,36.09,6969188378,6413771702,0.300530,深A,2025-09-02 15:34:42,2025-09-02
300945,曼卡龙,11.91,22.46,23.8,19.79,20.5,2.39,23.6,3.12,38.37,562612,1218610330.37,20.07,5886128787,5354478532,0.300945,深A,2025-09-02 15:34:33,2025-09-02
300007,汉威科技,11.5,51.95,55.58,46.15,47.42,5.36,30.51,2.8,143.98,864415,4282520224.41,46.59,17010799907,14717177276,0.300007,深A,2025-09-02 15:34:42,2025-09-02
301550,斯菱股份,11.32,112.82,121.62,92.81,101.47,11.47,17.69,3.45,90.73,172403,1843178569.92,101.35,17994790000,10995062074,0.301550,深A,2025-09-02 15:34:09,2025-09-02
301488,豪恩汽电,11.02,129.89,139.98,116.1,117.11,12.89,51.87,1.36,127.5,121433,1519938299.18,117.0,11949880000,3041009099,0.301488,深A,2025-09-02 15:34:45,2025-09-02
688388,嘉元科技,10.59,31.13,33.78,29.01,29.09,2.98,15.89,1.84,180.51,677338,2148335594.0,28.15,13268825113,13268825113,1.688388,沪A,2025-09-02 16:11:44,2025-09-02
688248,南网科技,10.36,40.15,40.38,35.57,36.18,3.77,5.73,1.97,64.94,130984,496569745.0,36.38,22672705000,9170260000,1.688248,沪A,2025-09-02 16:11:44,2025-09-02
601908,京运通,10.13,4.24,4.24,3.83,3.84,0.39,5.9,1.85,-24.15,1425462,595449545.0,3.85,10237916131,10237916131,1.601908,沪A,2025-09-02 16:11:59,2025-09-02
002263,大东南,10.11,4.03,4.03,3.62,3.66,0.37,19.4,2.97,476.68,3644438,1424538511.95,3.66,7569791203,7569730753,0.002263,深A,2025-09-02 15:34:39,2025-09-02
