股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
03302,精技集团,155.26,0.485,0.58,0.201,0.202,0.295,16.22,51.14,-7.74,149266000,59427584.0,0.19,446390796,446390796,128.03302,港股,2025-09-25 15:09:29,2025-09-25
00544,大同集团,112.73,2.34,2.8,1.1,1.1,1.24,13.11,27.53,-1.42,4562848,9107467.0,1.1,81462998,81462998,128.00544,港股,2025-09-25 15:09:15,2025-09-25
08472,立高控股,47.73,0.65,0.72,0.435,0.475,0.21,2.86,1.94,-11.89,3295000,1800661.0,0.44,74880000,74880000,128.08472,港股,2025-09-25 15:09:29,2025-09-25
02427,GUANZE MEDICAL,45.1,0.74,0.77,0.54,0.54,0.23,0.33,86.02,31.32,3175000,2139650.0,0.51,703000000,703000000,128.02427,港股,2025-09-25 15:03:28,2025-09-25
08526,荣丰集团亚洲,44.8,0.181,0.181,0.13,0.13,0.056,0.25,-,-7.51,400000,61800.0,0.125,29367250,29367250,128.08526,港股,2025-09-25 15:08:18,2025-09-25
01027,中国集成控股,42.67,2.14,2.25,1.75,1.75,0.64,0.87,18.73,41.93,3574150,7392012.0,1.5,882857000,882857000,128.01027,港股,2025-09-25 15:07:48,2025-09-25
08490,骏码半导体,41.6,0.177,0.188,0.123,0.125,0.052,0.23,24.45,-1.65,1600000,246525.0,0.125,124873500,124873500,128.08490,港股,2025-09-25 15:09:17,2025-09-25
03728,正利控股,38.33,0.083,0.098,0.065,0.065,0.023,2.61,54.6,8.92,26430000,2207580.0,0.06,84079000,84079000,128.03728,港股,2025-09-25 15:06:27,2025-09-25
00436,新宇环保,34.43,0.082,0.082,0.063,0.063,0.021,0.04,23.23,-14.9,1280000,88620.0,0.061,248927155,248927155,128.00436,港股,2025-09-25 15:09:06,2025-09-25
02167,天润云,32.1,4.98,4.98,3.85,3.9,1.21,1.04,38.17,16.68,1799400,8233182.0,3.77,864395532,864395532,128.02167,港股,2025-09-25 15:08:12,2025-09-25
