股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
00352,富阳,77.05,0.54,0.56,0.33,0.33,0.235,18.24,2.19,-22.34,44916150,21351849.0,0.305,132939031,132939031,128.00352,港股,2025-09-02 16:08:02,2025-09-02
02336,硕奥国际,50.0,0.255,0.255,0.17,0.17,0.085,0.4,13.75,-73.61,7320000,1387450.0,0.17,463057246,463057246,128.02336,港股,2025-09-02 16:08:02,2025-09-02
02122,凯知乐国际,40.45,0.125,0.15,0.093,0.094,0.036,6.66,31.61,-0.68,73680000,9603822.0,0.089,138239286,138239286,128.02122,港股,2025-09-02 16:08:02,2025-09-02
03822,三和建筑集团,38.46,1.08,1.09,0.7,0.7,0.3,1.15,230.71,8.29,969000,879666.0,0.78,90720000,90720000,128.03822,港股,2025-09-02 16:08:02,2025-09-02
08239,首都金融控股,34.35,3.52,3.55,2.67,2.88,0.9,2.26,1.06,-25.36,2120434,6912082.0,2.62,330321943,330321943,128.08239,港股,2025-09-02 16:08:02,2025-09-02
02559,嘀嗒出行,31.58,1.75,1.81,1.33,1.33,0.42,3.19,15.06,9.22,32487500,53432535.0,1.33,1782095639,1782095639,128.02559,港股,2025-09-02 16:08:02,2025-09-02
01201,天臣控股,31.25,0.84,0.85,0.69,0.69,0.2,0.06,4.92,-2.24,137100,98496.0,0.64,184535592,184535592,128.01201,港股,2025-09-02 15:56:28,2025-09-02
01156,CHINANEWENERGY,28.91,0.165,0.173,0.127,0.128,0.037,1.19,5.94,-1.39,7000000,1065044.0,0.128,97310218,97310218,128.01156,港股,2025-09-02 16:08:02,2025-09-02
09963,高科桥,28.57,0.45,0.7,0.36,0.36,0.1,1.61,214.18,-1.25,4198000,2207010.0,0.35,117000000,117000000,128.09963,港股,2025-09-02 16:08:03,2025-09-02
08056,生活概念,27.04,0.249,0.249,0.196,0.205,0.053,0.09,0.54,0.57,97000,19790.0,0.196,28240222,28240222,128.08056,港股,2025-09-02 15:50:07,2025-09-02
08143,金威医疗,25.9,0.175,0.221,0.148,0.148,0.036,1.54,73.98,-19.48,17310744,3166028.0,0.139,197277496,197277496,128.08143,港股,2025-09-02 16:03:59,2025-09-02
01575,皇庭智家,24.39,0.051,0.06,0.048,0.048,0.01,0.04,5.24,-6.68,1198000,66004.0,0.041,168300000,168300000,128.01575,港股,2025-09-02 15:56:26,2025-09-02
06162,天瑞汽车内饰,23.85,0.135,0.148,0.108,0.109,0.026,25.44,908.4,-653.37,508704000,70629384.0,0.109,270000000,270000000,128.06162,港股,2025-09-02 16:08:02,2025-09-02
00147,国际商业结算,23.26,0.53,0.54,0.455,0.48,0.1,1.01,1.48,-47.08,205260000,101421150.0,0.43,10769108330,10769108330,128.00147,港股,2025-09-02 16:08:02,2025-09-02
08178,中国信息科技,20.48,3.0,3.0,2.5,2.72,0.51,0.22,2.69,-3.53,220506,639369.0,2.49,302219100,302219100,128.08178,港股,2025-09-02 16:08:02,2025-09-02
00975,MONGOL MINING,20.28,11.03,11.45,9.18,9.18,1.86,4.91,5.38,17.45,51059257,545928896.0,9.17,11465136655,11465136655,128.00975,港股,2025-09-02 16:08:02,2025-09-02
08179,百利达集团控股,18.18,0.013,0.013,0.012,0.012,0.002,0.88,0.74,-0.81,16716000,216384.0,0.011,24801378,24801378,128.08179,港股,2025-09-02 15:54:25,2025-09-02
08431,浩柏国际,17.65,0.3,0.3,0.241,0.25,0.045,0.97,2.41,-0.71,440000,111440.0,0.255,13647900,13647900,128.08431,港股,2025-09-02 15:51:05,2025-09-02
00033,INTL GENIUS,17.07,0.48,0.48,0.41,0.415,0.07,1.09,1.31,-17.32,6078000,2665130.0,0.41,267957650,267957650,128.00033,港股,2025-09-02 16:08:02,2025-09-02
08200,修身堂,16.67,0.63,0.64,0.57,0.57,0.09,0.19,3.01,-0.96,148250,91997.0,0.54,49670480,49670480,128.08200,港股,2025-09-02 15:53:27,2025-09-02
02270,德商产投服务,16.34,2.35,2.4,2.11,2.11,0.33,0.0,0.39,41.86,6000,13220.0,2.02,1457609120,1457609120,128.02270,港股,2025-09-02 15:50:05,2025-09-02
01341,昊天国际建投,16.07,0.26,0.265,0.22,0.226,0.036,38.73,3.63,-12.65,3580633008,884280816.0,0.224,2403999737,2403999737,128.01341,港股,2025-09-02 16:08:02,2025-09-02
00311,联泰控股,16.02,0.239,0.24,0.206,0.206,0.033,0.01,0.32,-1.34,108000,23030.0,0.206,247152927,247152927,128.00311,港股,2025-09-02 15:06:00,2025-09-02
