股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
AEVAW,Aeva Technologies Inc Wt,235.2,0.251,0.297,0.053,0.075,0.176,-,20.18,-,1076494,140306.0,0.075,-,-,105.AEVAW,美股,2025-12-05 05:00:00,2025-12-04
SEVNR,Seven Hills Realty Trust Rt,218.18,0.028,0.045,0.005,0.009,0.019,-,1.22,-,567111,7555.0,0.009,-,-,105.SEVNR,美股,2025-12-05 05:00:00,2025-12-04
SMX,SMX (Security Matters) PLC,141.07,141.0,167.55,59.159,62.6,82.51,623.55,0.57,-3.36,6550836,737450336.0,58.49,148130652,148130652,105.SMX,美股,2025-12-05 05:00:00,2025-12-04
PLRZ,Polyrizon Ltd,104.51,14.5,18.2,12.46,16.31,7.41,2548.39,0.83,-13.32,26546008,422105584.0,7.09,15104302,15104302,105.PLRZ,美股,2025-12-05 05:00:00,2025-12-04
ACONW,Aclarion Inc Wt,94.3,0.075,0.18,0.036,0.036,0.036,-,27.82,-,418708,41839.0,0.039,-,-,105.ACONW,美股,2025-12-05 05:00:00,2025-12-04
PMI,Picard Medical Inc,82.67,3.69,4.16,2.23,2.55,1.67,53.18,208.3,-8.62,39194355,116650266.0,2.02,271957339,271957339,107.PMI,美股,2025-12-05 05:00:00,2025-12-04
SNCR,Synchronoss Technologies Inc,64.34,8.71,8.87,8.66,8.72,3.41,18.78,24.42,-10.31,2161150,18831252.0,5.3,100229750,100229750,105.SNCR,美股,2025-12-05 05:00:00,2025-12-04
ILLRW,Triller Group Inc Wt,55.68,0.029,0.029,0.016,0.016,0.01,-,1.68,-,27930,650.0,0.019,-,-,105.ILLRW,美股,2025-12-05 05:00:00,2025-12-04
PMCB,PharmaCyte Biotech Inc,54.22,1.21,1.49,0.9,1.015,0.425,1652.69,161.25,-7.31,112313308,131751276.0,0.785,8222893,8222893,105.PMCB,美股,2025-12-05 05:00:00,2025-12-04
UWMC_WS,UWM Holdings Corp Wt,48.81,0.025,0.027,0.017,0.02,0.008,-,0.26,-,32869,680.0,0.017,-,-,106.UWMC_WS,美股,2025-12-05 05:00:00,2025-12-04
QCLS,Q/C Technologies Inc,48.18,6.92,7.95,5.4,5.48,2.25,2304.45,8.73,-3.7,96020802,647766736.0,4.67,28833979,28833979,105.QCLS,美股,2025-12-05 05:00:00,2025-12-04
